Date	Rain	TMAX	TMIN	RHUM	ESOL	Mes	anio	Modif	X	Y	ESTACION	NOMBRE_ESTACION
01/01/2012	0.00	32.20	20.10	80.00	485.39	enero	2012	NO	-73.467917	4.057361	35025110	LA LIBERTAD_AUT
02/01/2012	0.00	31.80	20.40	81.08	459.95	enero	2012	NO	-73.467917	4.057361	35025110	LA LIBERTAD_AUT
03/01/2012	0.00	32.60	20.40	77.06	487.19	enero	2012	NO	-73.467917	4.057361	35025110	LA LIBERTAD_AUT
04/01/2012	0.00	33.00	22.80	74.58	448.60	enero	2012	NO	-73.467917	4.057361	35025110	LA LIBERTAD_AUT
05/01/2012	0.00	32.60	23.00	78.74	466.33	enero	2012	SI	-73.467917	4.057361	35025110	LA LIBERTAD_AUT
06/01/2012	2.00	31.80	23.00	81.36	519.26	enero	2012	NO	-73.467917	4.057361	35025110	LA LIBERTAD_AUT
07/01/2012	0.00	33.10	22.30	80.12	537.67	enero	2012	NO	-73.467917	4.057361	35025110	LA LIBERTAD_AUT
08/01/2012	0.00	32.80	22.30	77.29	520.83	enero	2012	NO	-73.467917	4.057361	35025110	LA LIBERTAD_AUT
09/01/2012	0.00	33.20	22.40	74.64	426.39	enero	2012	NO	-73.467917	4.057361	35025110	LA LIBERTAD_AUT
10/01/2012	0.00	33.40	22.60	71.65	309.30	enero	2012	NO	-73.467917	4.057361	35025110	LA LIBERTAD_AUT
11/01/2012	0.00	32.40	23.20	79.49	416.70	enero	2012	NO	-73.467917	4.057361	35025110	LA LIBERTAD_AUT
12/01/2012	0.90	32.20	23.20	77.42	423.84	enero	2012	NO	-73.467917	4.057361	35025110	LA LIBERTAD_AUT
13/01/2012	0.00	32.60	24.00	74.83	498.73	enero	2012	NO	-73.467917	4.057361	35025110	LA LIBERTAD_AUT
14/01/2012	0.00	33.40	22.40	75.04	529.25	enero	2012	NO	-73.467917	4.057361	35025110	LA LIBERTAD_AUT
15/01/2012	0.00	33.60	22.80	69.38	545.59	enero	2012	NO	-73.467917	4.057361	35025110	LA LIBERTAD_AUT
16/01/2012	0.00	32.40	22.20	77.54	334.99	enero	2012	NO	-73.467917	4.057361	35025110	LA LIBERTAD_AUT
17/01/2012	0.00	32.80	20.40	75.26	554.34	enero	2012	NO	-73.467917	4.057361	35025110	LA LIBERTAD_AUT
18/01/2012	0.10	32.00	19.00	79.25	545.49	enero	2012	NO	-73.467917	4.057361	35025110	LA LIBERTAD_AUT
19/01/2012	0.20	31.20	21.60	85.80	517.20	enero	2012	NO	-73.467917	4.057361	35025110	LA LIBERTAD_AUT
20/01/2012	0.00	30.20	22.80	87.45	429.92	enero	2012	NO	-73.467917	4.057361	35025110	LA LIBERTAD_AUT
21/01/2012	0.00	31.60	21.80	80.73	409.20	enero	2012	NO	-73.467917	4.057361	35025110	LA LIBERTAD_AUT
22/01/2012	0.00	33.60	21.40	77.21	487.02	enero	2012	NO	-73.467917	4.057361	35025110	LA LIBERTAD_AUT
23/01/2012	0.00	34.80	22.00	71.50	505.00	enero	2012	NO	-73.467917	4.057361	35025110	LA LIBERTAD_AUT
24/01/2012	0.00	34.50	21.40	77.70	406.46	enero	2012	NO	-73.467917	4.057361	35025110	LA LIBERTAD_AUT
25/01/2012	0.00	32.60	23.20	76.99	364.40	enero	2012	NO	-73.467917	4.057361	35025110	LA LIBERTAD_AUT
26/01/2012	0.00	33.00	21.80	77.65	486.59	enero	2012	NO	-73.467917	4.057361	35025110	LA LIBERTAD_AUT
27/01/2012	0.00	33.60	21.20	78.77	398.64	enero	2012	NO	-73.467917	4.057361	35025110	LA LIBERTAD_AUT
28/01/2012	0.00	33.80	22.80	67.05	359.76	enero	2012	NO	-73.467917	4.057361	35025110	LA LIBERTAD_AUT
29/01/2012	0.00	34.00	21.20	79.21	323.48	enero	2012	NO	-73.467917	4.057361	35025110	LA LIBERTAD_AUT
30/01/2012	0.00	32.20	21.80	79.25	449.28	enero	2012	NO	-73.467917	4.057361	35025110	LA LIBERTAD_AUT
31/01/2012	0.00	34.80	21.20	75.12	200.34	enero	2012	NO	-73.467917	4.057361	35025110	LA LIBERTAD_AUT
01/02/2012	0.00	36.38	23.60	56.22	400.04	febrero	2012	SI	-73.467917	4.057361	35025110	LA LIBERTAD_AUT
02/02/2012	0.00	32.20	22.60	81.77	305.77	febrero	2012	NO	-73.467917	4.057361	35025110	LA LIBERTAD_AUT
03/02/2012	0.00	33.60	21.20	78.77	379.05	febrero	2012	NO	-73.467917	4.057361	35025110	LA LIBERTAD_AUT
04/02/2012	0.00	35.40	22.20	70.01	494.83	febrero	2012	NO	-73.467917	4.057361	35025110	LA LIBERTAD_AUT
05/02/2012	24.10	30.20	23.80	81.53	477.22	febrero	2012	NO	-73.467917	4.057361	35025110	LA LIBERTAD_AUT
06/02/2012	12.60	34.77	21.80	60.98	437.41	febrero	2012	NO	-73.467917	4.057361	35025110	LA LIBERTAD_AUT
07/02/2012	1.30	31.40	20.80	82.18	474.81	febrero	2012	NO	-73.467917	4.057361	35025110	LA LIBERTAD_AUT
08/02/2012	10.60	26.20	22.00	95.33	502.67	febrero	2012	NO	-73.467917	4.057361	35025110	LA LIBERTAD_AUT
09/02/2012	0.00	31.80	20.80	84.20	512.66	febrero	2012	NO	-73.467917	4.057361	35025110	LA LIBERTAD_AUT
10/02/2012	2.50	31.80	21.40	83.02	574.13	febrero	2012	NO	-73.467917	4.057361	35025110	LA LIBERTAD_AUT
11/02/2012	0.00	34.20	23.00	68.86	573.35	febrero	2012	NO	-73.467917	4.057361	35025110	LA LIBERTAD_AUT
12/02/2012	0.00	32.40	24.60	69.04	470.52	febrero	2012	NO	-73.467917	4.057361	35025110	LA LIBERTAD_AUT
13/02/2012	0.00	33.60	24.20	70.95	449.45	febrero	2012	NO	-73.467917	4.057361	35025110	LA LIBERTAD_AUT
14/02/2012	0.00	33.40	23.80	66.06	581.60	febrero	2012	NO	-73.467917	4.057361	35025110	LA LIBERTAD_AUT
15/02/2012	0.00	33.00	22.00	75.34	505.68	febrero	2012	NO	-73.467917	4.057361	35025110	LA LIBERTAD_AUT
16/02/2012	0.00	33.60	21.20	78.77	405.94	febrero	2012	NO	-73.467917	4.057361	35025110	LA LIBERTAD_AUT
17/02/2012	0.00	34.30	21.20	79.76	575.60	febrero	2012	NO	-73.467917	4.057361	35025110	LA LIBERTAD_AUT
18/02/2012	2.70	33.00	22.40	73.50	446.78	febrero	2012	NO	-73.467917	4.057361	35025110	LA LIBERTAD_AUT
19/02/2012	0.00	33.00	22.80	74.58	405.86	febrero	2012	NO	-73.467917	4.057361	35025110	LA LIBERTAD_AUT
20/02/2012	0.00	34.30	22.40	75.48	479.20	febrero	2012	NO	-73.467917	4.057361	35025110	LA LIBERTAD_AUT
21/02/2012	0.00	34.40	20.80	76.58	590.81	febrero	2012	NO	-73.467917	4.057361	35025110	LA LIBERTAD_AUT
22/02/2012	0.00	33.60	22.00	70.28	568.19	febrero	2012	NO	-73.467917	4.057361	35025110	LA LIBERTAD_AUT
23/02/2012	0.00	33.80	20.80	75.69	558.74	febrero	2012	NO	-73.467917	4.057361	35025110	LA LIBERTAD_AUT
24/02/2012	0.00	34.80	20.00	70.04	424.33	febrero	2012	NO	-73.467917	4.057361	35025110	LA LIBERTAD_AUT
25/02/2012	0.00	32.10	23.20	81.51	281.77	febrero	2012	NO	-73.467917	4.057361	35025110	LA LIBERTAD_AUT
26/02/2012	0.00	31.20	21.10	83.53	212.39	febrero	2012	NO	-73.467917	4.057361	35025110	LA LIBERTAD_AUT
27/02/2012	0.00	34.20	20.60	75.39	291.16	febrero	2012	NO	-73.467917	4.057361	35025110	LA LIBERTAD_AUT
28/02/2012	0.00	34.60	21.00	71.65	541.63	febrero	2012	NO	-73.467917	4.057361	35025110	LA LIBERTAD_AUT
29/02/2012	0.00	34.60	21.80	62.28	565.69	febrero	2012	NO	-73.467917	4.057361	35025110	LA LIBERTAD_AUT
01/03/2012	0.00	35.00	23.60	65.81	514.93	marzo	2012	NO	-73.467917	4.057361	35025110	LA LIBERTAD_AUT
02/03/2012	2.00	32.00	23.00	80.19	470.68	marzo	2012	NO	-73.467917	4.057361	35025110	LA LIBERTAD_AUT
03/03/2012	24.30	31.30	22.20	84.06	162.35	marzo	2012	NO	-73.467917	4.057361	35025110	LA LIBERTAD_AUT
04/03/2012	0.00	31.00	21.20	81.40	476.91	marzo	2012	SI	-73.467917	4.057361	35025110	LA LIBERTAD_AUT
05/03/2012	0.00	33.20	21.00	74.31	378.43	marzo	2012	NO	-73.467917	4.057361	35025110	LA LIBERTAD_AUT
06/03/2012	0.00	34.20	19.60	73.76	421.55	marzo	2012	SI	-73.467917	4.057361	35025110	LA LIBERTAD_AUT
07/03/2012	0.00	34.00	22.20	76.23	382.38	marzo	2012	NO	-73.467917	4.057361	35025110	LA LIBERTAD_AUT
