Date	Rain	TMAX	TMIN	RHUM	ESOL	Mes	ANIO	Modif	X	Y	ESTACION	NOMBRE_ESTACION
01/01/2012	0.00	32.45	21.83	81.16	476.42	enero	2012	SI	4.97763	-72.61643	21	FED_AGUAZUL_EL_CUSIANA
02/01/2012	0.00	34.03	21.80	77.83	521.22	enero	2012	SI	4.97763	-72.61643	21	FED_AGUAZUL_EL_CUSIANA
03/01/2012	0.00	32.99	19.49	73.47	496.60	enero	2012	SI	4.97763	-72.61643	21	FED_AGUAZUL_EL_CUSIANA
04/01/2012	0.00	33.34	21.96	80.11	523.75	enero	2012	SI	4.97763	-72.61643	21	FED_AGUAZUL_EL_CUSIANA
05/01/2012	0.00	33.86	20.64	78.12	507.84	enero	2012	SI	4.97763	-72.61643	21	FED_AGUAZUL_EL_CUSIANA
06/01/2012	0.00	32.24	22.74	86.49	467.17	enero	2012	SI	4.97763	-72.61643	21	FED_AGUAZUL_EL_CUSIANA
07/01/2012	0.20	33.46	21.96	81.49	527.96	enero	2012	SI	4.97763	-72.61643	21	FED_AGUAZUL_EL_CUSIANA
08/01/2012	0.00	34.47	20.97	75.29	499.45	enero	2012	SI	4.97763	-72.61643	21	FED_AGUAZUL_EL_CUSIANA
09/01/2012	0.00	34.63	21.46	78.10	509.24	enero	2012	SI	4.97763	-72.61643	21	FED_AGUAZUL_EL_CUSIANA
10/01/2012	0.00	31.21	22.05	88.03	425.01	enero	2012	SI	4.97763	-72.61643	21	FED_AGUAZUL_EL_CUSIANA
11/01/2012	0.00	33.08	22.69	84.45	480.97	enero	2012	SI	4.97763	-72.61643	21	FED_AGUAZUL_EL_CUSIANA
12/01/2012	0.00	30.82	22.04	84.55	425.74	enero	2012	SI	4.97763	-72.61643	21	FED_AGUAZUL_EL_CUSIANA
13/01/2012	0.00	31.33	22.50	87.51	420.78	enero	2012	SI	4.97763	-72.61643	21	FED_AGUAZUL_EL_CUSIANA
14/01/2012	0.00	30.93	23.15	90.42	405.59	enero	2012	SI	4.97763	-72.61643	21	FED_AGUAZUL_EL_CUSIANA
15/01/2012	0.00	32.47	21.92	79.10	472.79	enero	2012	SI	4.97763	-72.61643	21	FED_AGUAZUL_EL_CUSIANA
16/01/2012	0.00	31.20	22.20	92.23	394.54	enero	2012	SI	4.97763	-72.61643	21	FED_AGUAZUL_EL_CUSIANA
17/01/2012	0.00	31.94	23.10	89.89	471.32	enero	2012	SI	4.97763	-72.61643	21	FED_AGUAZUL_EL_CUSIANA
18/01/2012	0.00	31.42	22.75	88.56	433.37	enero	2012	SI	4.97763	-72.61643	21	FED_AGUAZUL_EL_CUSIANA
19/01/2012	0.00	34.74	21.40	74.73	521.09	enero	2012	SI	4.97763	-72.61643	21	FED_AGUAZUL_EL_CUSIANA
20/01/2012	0.00	31.94	23.60	88.59	443.24	enero	2012	SI	4.97763	-72.61643	21	FED_AGUAZUL_EL_CUSIANA
21/01/2012	0.25	30.33	22.83	92.87	371.82	enero	2012	SI	4.97763	-72.61643	21	FED_AGUAZUL_EL_CUSIANA
22/01/2012	0.00	31.20	22.20	92.23	394.54	enero	2012	SI	4.97763	-72.61643	21	FED_AGUAZUL_EL_CUSIANA
23/01/2012	0.00	31.49	22.55	87.57	433.99	enero	2012	SI	4.97763	-72.61643	21	FED_AGUAZUL_EL_CUSIANA
24/01/2012	0.00	31.10	22.15	89.94	448.85	enero	2012	SI	4.97763	-72.61643	21	FED_AGUAZUL_EL_CUSIANA
25/01/2012	0.00	33.21	23.94	76.92	455.55	enero	2012	SI	4.97763	-72.61643	21	FED_AGUAZUL_EL_CUSIANA
26/01/2012	0.20	30.84	23.84	86.99	406.94	enero	2012	SI	4.97763	-72.61643	21	FED_AGUAZUL_EL_CUSIANA
27/01/2012	0.00	33.91	21.29	75.51	506.88	enero	2012	SI	4.97763	-72.61643	21	FED_AGUAZUL_EL_CUSIANA
28/01/2012	0.00	31.88	22.43	86.91	472.87	enero	2012	SI	4.97763	-72.61643	21	FED_AGUAZUL_EL_CUSIANA
29/01/2012	0.00	31.67	23.28	88.78	437.81	enero	2012	SI	4.97763	-72.61643	21	FED_AGUAZUL_EL_CUSIANA
30/01/2012	0.00	33.78	23.33	79.89	465.58	enero	2012	SI	4.97763	-72.61643	21	FED_AGUAZUL_EL_CUSIANA
31/01/2012	0.00	31.38	22.38	88.78	451.25	enero	2012	SI	4.97763	-72.61643	21	FED_AGUAZUL_EL_CUSIANA
01/02/2012	0.00	30.87	22.37	89.25	434.25	febrero	2012	SI	4.97763	-72.61643	21	FED_AGUAZUL_EL_CUSIANA
02/02/2012	0.00	31.76	21.70	84.53	496.45	febrero	2012	SI	4.97763	-72.61643	21	FED_AGUAZUL_EL_CUSIANA
03/02/2012	0.00	32.42	20.42	80.70	498.12	febrero	2012	SI	4.97763	-72.61643	21	FED_AGUAZUL_EL_CUSIANA
04/02/2012	0.00	33.77	21.77	78.90	516.98	febrero	2012	SI	4.97763	-72.61643	21	FED_AGUAZUL_EL_CUSIANA
