Date	Rain	TMAX	TMIN	RHUM	ESOL	Mes	ANIO	Modif	X	Y	ESTACION	NOMBRE_ESTACION
01/01/2012	0	31.33	18	79	503.6991091	enero	2012	NO	-72.5013	5.1399	49	FED_AGUAZUL_EL_PALMAR
02/01/2012	0	31.17	20.11	79.92	479.3685106	enero	2012	NO	-72.5013	5.1399	49	FED_AGUAZUL_EL_PALMAR
03/01/2012	0	32.06	20.33	79.79	480.0495197	enero	2012	NO	-72.5013	5.1399	49	FED_AGUAZUL_EL_PALMAR
04/01/2012	0	32.33	22	80.3	411.473965	enero	2012	NO	-72.5013	5.1399	49	FED_AGUAZUL_EL_PALMAR
05/01/2012	0	31.83	23.44	75.4	300.8822112	enero	2012	NO	-72.5013	5.1399	49	FED_AGUAZUL_EL_PALMAR
06/01/2012	0	31.33	22.11	78.5	472.6616026	enero	2012	NO	-72.5013	5.1399	49	FED_AGUAZUL_EL_PALMAR
07/01/2012	0	32.39	20.39	77.08	465.2736854	enero	2012	NO	-72.5013	5.1399	49	FED_AGUAZUL_EL_PALMAR
08/01/2012	0	31.61	20.89	78.12	472.06314	enero	2012	NO	-72.5013	5.1399	49	FED_AGUAZUL_EL_PALMAR
09/01/2012	0	32.11	19.61	78.25	508.9408157	enero	2012	NO	-72.5013	5.1399	49	FED_AGUAZUL_EL_PALMAR
10/01/2012	0	32.06	20.17	78.92	504.6483946	enero	2012	NO	-72.5013	5.1399	49	FED_AGUAZUL_EL_PALMAR
11/01/2012	0	32.11	20.94	79.58	482.2989134	enero	2012	NO	-72.5013	5.1399	49	FED_AGUAZUL_EL_PALMAR
12/01/2012	0	32.06	20.5	78.83	422.1018346	enero	2012	NO	-72.5013	5.1399	49	FED_AGUAZUL_EL_PALMAR
13/01/2012	0	30.33	23.28	74.21	317.0200637	enero	2012	NO	-72.5013	5.1399	49	FED_AGUAZUL_EL_PALMAR
14/01/2012	0	31.94	20.56	75.83	509.9726477	enero	2012	NO	-72.5013	5.1399	49	FED_AGUAZUL_EL_PALMAR
15/01/2012	0	32.94	20.72	74.75	480.6686189	enero	2012	NO	-72.5013	5.1399	49	FED_AGUAZUL_EL_PALMAR
16/01/2012	0	31.5	20.44	77.25	482.2989134	enero	2012	NO	-72.5013	5.1399	49	FED_AGUAZUL_EL_PALMAR
17/01/2012	0	31.44	19.11	76.42	509.8901011	enero	2012	NO	-72.5013	5.1399	49	FED_AGUAZUL_EL_PALMAR
18/01/2012	0	30.89	20	77	438.5286	enero	2012	NO	-72.5013	5.1399	49	FED_AGUAZUL_EL_PALMAR
19/01/2012	0	30.17	22.11	75.21	393.3756317	enero	2012	NO	-72.5013	5.1399	49	FED_AGUAZUL_EL_PALMAR
20/01/2012	0	30.44	21.83	70.92	265.4284637	enero	2012	NO	-72.5013	5.1399	49	FED_AGUAZUL_EL_PALMAR
21/01/2012	0	32.44	16.94	69.79	521.8593523	enero	2012	NO	-72.5013	5.1399	49	FED_AGUAZUL_EL_PALMAR
22/01/2012	0	32.44	18.22	71.42	512.0363117	enero	2012	NO	-72.5013	5.1399	49	FED_AGUAZUL_EL_PALMAR
23/01/2012	0	33.67	17.83	69.5	517.979664	enero	2012	NO	-72.5013	5.1399	49	FED_AGUAZUL_EL_PALMAR
24/01/2012	0	32.94	19.72	73.71	499.1590483	enero	2012	NO	-72.5013	5.1399	49	FED_AGUAZUL_EL_PALMAR
25/01/2012	0	30.72	21.89	77.75	422.535204	enero	2012	NO	-72.5013	5.1399	49	FED_AGUAZUL_EL_PALMAR
26/01/2012	0	31.33	21.33	73.04	483.2481989	enero	2012	NO	-72.5013	5.1399	49	FED_AGUAZUL_EL_PALMAR
27/01/2012	0	32.61	20.22	71.88	465.0054091	enero	2012	NO	-72.5013	5.1399	49	FED_AGUAZUL_EL_PALMAR
28/01/2012	0	32.56	19.56	72.67	499.8400574	enero	2012	NO	-72.5013	5.1399	49	FED_AGUAZUL_EL_PALMAR
29/01/2012	0	31.5	20.83	76.38	472.9298789	enero	2012	NO	-72.5013	5.1399	49	FED_AGUAZUL_EL_PALMAR
30/01/2012	0	31.44	21	73.42	473.0124254	enero	2012	NO	-72.5013	5.1399	49	FED_AGUAZUL_EL_PALMAR
31/01/2012	0	33.17	19.94	71.25	520.3941509	enero	2012	NO	-72.5013	5.1399	49	FED_AGUAZUL_EL_PALMAR
01/02/2012	0	31.39	21.33	72.42	462.6941054	febrero	2012	NO	-72.5013	5.1399	49	FED_AGUAZUL_EL_PALMAR
02/02/2012	0	30.78	21.17	72.17	475.158636	febrero	2012	NO	-72.5013	5.1399	49	FED_AGUAZUL_EL_PALMAR
03/02/2012	0	32.5	19.06	71.54	424.598868	febrero	2012	NO	-72.5013	5.1399	49	FED_AGUAZUL_EL_PALMAR
04/02/2012	0	33.44	20.44	69.58	463.0449283	febrero	2012	NO	-72.5013	5.1399	49	FED_AGUAZUL_EL_PALMAR
05/02/2012	0	28.78	23	85.38	227.6840491	febrero	2012	NO	-72.5013	5.1399	49	FED_AGUAZUL_EL_PALMAR
06/02/2012	13.2	25.28	22.28	95.75	197.2029734	febrero	2012	SI	-72.5013	5.1399	49	FED_AGUAZUL_EL_PALMAR
07/02/2012	0.25	31.33	22.11	84	475.2411826	febrero	2012	NO	-72.5013	5.1399	49	FED_AGUAZUL_EL_PALMAR
08/02/2012	20.06	29.72	22.61	91.17	248.8366051	febrero	2012	NO	-72.5013	5.1399	49	FED_AGUAZUL_EL_PALMAR
09/02/2012	0.25	32.67	21.89	84.17	492.3489571	febrero	2012	NO	-72.5013	5.1399	49	FED_AGUAZUL_EL_PALMAR
10/02/2012	0	32.39	23.33	79.88	389.0832106	febrero	2012	NO	-72.5013	5.1399	49	FED_AGUAZUL_EL_PALMAR
11/02/2012	0	33	20.67	75.38	548.0678851	febrero	2012	NO	-72.5013	5.1399	49	FED_AGUAZUL_EL_PALMAR
12/02/2012	0	32.56	22.06	73.75	332.6007269	febrero	2012	NO	-72.5013	5.1399	49	FED_AGUAZUL_EL_PALMAR
13/02/2012	0	32.94	21.44	73.12	464.3244	febrero	2012	NO	-72.5013	5.1399	49	FED_AGUAZUL_EL_PALMAR
14/02/2012	0	32.28	20.67	72.96	541.195884	febrero	2012	NO	-72.5013	5.1399	49	FED_AGUAZUL_EL_PALMAR
15/02/2012	0	32.33	20.11	70.71	554.0112374	febrero	2012	NO	-72.5013	5.1399	49	FED_AGUAZUL_EL_PALMAR
16/02/2012	0	33.11	19	69.5	539.0496734	febrero	2012	NO	-72.5013	5.1399	49	FED_AGUAZUL_EL_PALMAR
17/02/2012	0	33.94	18.78	68.58	544.807296	febrero	2012	NO	-72.5013	5.1399	49	FED_AGUAZUL_EL_PALMAR
18/02/2012	0	32.5	20.17	72.92	488.4073589	febrero	2012	NO	-72.5013	5.1399	49	FED_AGUAZUL_EL_PALMAR
19/02/2012	0	32.67	20.78	72.58	393.5613614	febrero	2012	NO	-72.5013	5.1399	49	FED_AGUAZUL_EL_PALMAR
20/02/2012	0	34.22	19.89	67.46	509.209092	febrero	2012	NO	-72.5013	5.1399	49	FED_AGUAZUL_EL_PALMAR
21/02/2012	0	34.28	21.33	64.62	515.400084	febrero	2012	NO	-72.5013	5.1399	49	FED_AGUAZUL_EL_PALMAR
22/02/2012	0	33.44	19.94	66.17	512.9855971	febrero	2012	NO	-72.5013	5.1399	49	FED_AGUAZUL_EL_PALMAR
23/02/2012	0	33.33	18.22	68.67	544.2088334	febrero	2012	NO	-72.5013	5.1399	49	FED_AGUAZUL_EL_PALMAR
24/02/2012	0	33.89	19.78	69.38	444.4719523	febrero	2012	NO	-72.5013	5.1399	49	FED_AGUAZUL_EL_PALMAR
25/02/2012	0.25	32.39	22.44	72.75	390.1975891	febrero	2012	NO	-72.5013	5.1399	49	FED_AGUAZUL_EL_PALMAR
26/02/2012	0	32.67	20.33	68.67	512.5728643	febrero	2012	NO	-72.5013	5.1399	49	FED_AGUAZUL_EL_PALMAR
27/02/2012	0	33.83	18.94	66.21	568.023516	febrero	2012	NO	-72.5013	5.1399	49	FED_AGUAZUL_EL_PALMAR
28/02/2012	0	32.72	21.44	63.88	527.3486986	febrero	2012	NO	-72.5013	5.1399	49	FED_AGUAZUL_EL_PALMAR
29/02/2012	0	33.61	20.39	65.67	545.323212	febrero	2012	NO	-72.5013	5.1399	49	FED_AGUAZUL_EL_PALMAR
01/03/2012	0	34.33	20.28	63.38	540.5974214	marzo	2012	NO	-72.5013	5.1399	49	FED_AGUAZUL_EL_PALMAR
02/03/2012	0	31.89	23.44	75.67	255.8117894	marzo	2012	NO	-72.5013	5.1399	49	FED_AGUAZUL_EL_PALMAR
03/03/2012	4.58	32.94	22.94	78.96	318.7535414	marzo	2012	NO	-72.5013	5.1399	49	FED_AGUAZUL_EL_PALMAR
04/03/2012	5.33	34.56	22.94	76.17	480.5860723	marzo	2012	NO	-72.5013	5.1399	49	FED_AGUAZUL_EL_PALMAR
05/03/2012	2.03	34.67	23.06	68.71	546.6233203	marzo	2012	NO	-72.5013	5.1399	49	FED_AGUAZUL_EL_PALMAR
06/03/2012	0	34.17	20.94	67.79	547.3043294	marzo	2012	NO	-72.5013	5.1399	49	FED_AGUAZUL_EL_PALMAR
07/03/2012	0	33.11	19.94	67.88	573.5334989	marzo	2012	NO	-72.5013	5.1399	49	FED_AGUAZUL_EL_PALMAR
08/03/2012	0	33.22	19.44	63.88	541.0307909	marzo	2012	NO	-72.5013	5.1399	49	FED_AGUAZUL_EL_PALMAR
09/03/2012	0	29.06	23.17	76.21	219.4293931	marzo	2012	NO	-72.5013	5.1399	49	FED_AGUAZUL_EL_PALMAR
10/03/2012	4.82	28.94	21.94	83.92	273.2703869	marzo	2012	NO	-72.5013	5.1399	49	FED_AGUAZUL_EL_PALMAR
11/03/2012	0	34.11	22.28	75.39	414.6107342	marzo	2012	NO	-72.5013	5.1399	49	FED_AGUAZUL_EL_PALMAR
12/03/2012	0.75	32.39	22.94	83.12	334.313568	marzo	2012	NO	-72.5013	5.1399	49	FED_AGUAZUL_EL_PALMAR
13/03/2012	8.12	31.78	22.78	81.33	309.1162306	marzo	2012	NO	-72.5013	5.1399	49	FED_AGUAZUL_EL_PALMAR
14/03/2012	0	33.83	21.5	73.62	437.496768	marzo	2012	NO	-72.5013	5.1399	49	FED_AGUAZUL_EL_PALMAR
15/03/2012	0	34.39	22.33	71.42	329.2369546	marzo	2012	NO	-72.5013	5.1399	49	FED_AGUAZUL_EL_PALMAR
16/03/2012	0	34.39	22.5	72.29	312.12918	marzo	2012	NO	-72.5013	5.1399	49	FED_AGUAZUL_EL_PALMAR
17/03/2012	0	35.44	22.17	75.83	413.4138091	marzo	2012	NO	-72.5013	5.1399	49	FED_AGUAZUL_EL_PALMAR
18/03/2012	4.56	30.83	22.44	81.71	267.9254971	marzo	2012	NO	-72.5013	5.1399	49	FED_AGUAZUL_EL_PALMAR
19/03/2012	0	31.44	23.83	76.96	267.3270346	marzo	2012	NO	-72.5013	5.1399	49	FED_AGUAZUL_EL_PALMAR
20/03/2012	0	33.28	23.28	73.83	379.7967226	marzo	2012	NO	-72.5013	5.1399	49	FED_AGUAZUL_EL_PALMAR
21/03/2012	0.76	32.39	22.61	80.38	336.1295923	marzo	2012	NO	-72.5013	5.1399	49	FED_AGUAZUL_EL_PALMAR
22/03/2012	8.37	31.67	23	90.08	263.4679829	marzo	2012	NO	-72.5013	5.1399	49	FED_AGUAZUL_EL_PALMAR
23/03/2012	0	29.67	23.44	89.54	220.7295014	marzo	2012	NO	-72.5013	5.1399	49	FED_AGUAZUL_EL_PALMAR
24/03/2012	3.3	30.06	23.11	90.46	209.461896	marzo	2012	NO	-72.5013	5.1399	49	FED_AGUAZUL_EL_PALMAR
25/03/2012	4.31	32.22	22.83	88.62	372.1405291	marzo	2012	NO	-72.5013	5.1399	49	FED_AGUAZUL_EL_PALMAR
26/03/2012	20.57	32.17	22.17	88.5	355.3835774	marzo	2012	NO	-72.5013	5.1399	49	FED_AGUAZUL_EL_PALMAR
27/03/2012	0.5	32.11	22	90.67	323.3142389	marzo	2012	NO	-72.5013	5.1399	49	FED_AGUAZUL_EL_PALMAR
28/03/2012	57.66	27.06	22.61	96.17	211.3292084	marzo	2012	SI	-72.5013	5.1399	49	FED_AGUAZUL_EL_PALMAR
29/03/2012	0.25	29.78	22.67	93	249.1048814	marzo	2012	NO	-72.5013	5.1399	49	FED_AGUAZUL_EL_PALMAR
30/03/2012	22.09	31.06	22.94	88.83	385.8226214	marzo	2012	NO	-72.5013	5.1399	49	FED_AGUAZUL_EL_PALMAR
31/03/2012	34.04	31.44	22.78	90.38	401.382648	marzo	2012	NO	-72.5013	5.1399	49	FED_AGUAZUL_EL_PALMAR
01/04/2012	0.25	31.89	22.44	85.29	415.3949266	abril	2012	NO	-72.5013	5.1399	49	FED_AGUAZUL_EL_PALMAR
02/04/2012	1.27	32	23.39	84.92	466.5531571	abril	2012	NO	-72.5013	5.1399	49	FED_AGUAZUL_EL_PALMAR
03/04/2012	0	30.33	24.28	88.29	337.5741571	abril	2012	NO	-72.5013	5.1399	49	FED_AGUAZUL_EL_PALMAR
04/04/2012	13.21	30.61	22.72	88.71	376.0202174	abril	2012	NO	-72.5013	5.1399	49	FED_AGUAZUL_EL_PALMAR
