Date	Rain	TMAX	TMIN	RHUM	ESOL	Mes	ANIO	Modif	X	Y	ESTACION	NOMBRE_ESTACION
01/01/2012	0.00	31.44	18.33	76.29	576.88	enero	2012	NO	-73.68548	3.82888	1	FED_CASTILLA_LA_NUEVA
02/01/2012	0.00	31.39	19.11	77.21	565.28	enero	2012	NO	-73.68548	3.82888	1	FED_CASTILLA_LA_NUEVA
03/01/2012	0.00	32.17	20.06	77.67	552.28	enero	2012	NO	-73.68548	3.82888	1	FED_CASTILLA_LA_NUEVA
04/01/2012	0.00	32.61	20.06	77.17	549.80	enero	2012	NO	-73.68548	3.82888	1	FED_CASTILLA_LA_NUEVA
05/01/2012	0.00	31.83	21.50	76.50	459.60	enero	2012	NO	-73.68548	3.82888	1	FED_CASTILLA_LA_NUEVA
06/01/2012	0.00	31.89	20.00	78.08	546.36	enero	2012	NO	-73.68548	3.82888	1	FED_CASTILLA_LA_NUEVA
07/01/2012	0.00	32.56	20.17	74.21	559.17	enero	2012	NO	-73.68548	3.82888	1	FED_CASTILLA_LA_NUEVA
08/01/2012	0.00	31.94	19.28	77.25	567.59	enero	2012	NO	-73.68548	3.82888	1	FED_CASTILLA_LA_NUEVA
09/01/2012	0.00	32.44	19.67	76.38	576.01	enero	2012	NO	-73.68548	3.82888	1	FED_CASTILLA_LA_NUEVA
10/01/2012	0.00	31.83	21.00	80.19	465.71	enero	2012	NO	-73.68548	3.82888	1	FED_CASTILLA_LA_NUEVA
11/01/2012	0.00	32.50	21.11	76.62	563.73	enero	2012	NO	-73.68548	3.82888	1	FED_CASTILLA_LA_NUEVA
12/01/2012	0.00	32.50	23.17	72.55	513.01	enero	2012	NO	-73.68548	3.82888	1	FED_CASTILLA_LA_NUEVA
13/01/2012	0.00	32.06	19.94	70.21	480.83	enero	2012	NO	-73.68548	3.82888	1	FED_CASTILLA_LA_NUEVA
14/01/2012	0.00	32.17	21.33	72.12	570.60	enero	2012	NO	-73.68548	3.82888	1	FED_CASTILLA_LA_NUEVA
15/01/2012	0.00	33.33	21.44	71.88	524.01	enero	2012	NO	-73.68548	3.82888	1	FED_CASTILLA_LA_NUEVA
16/01/2012	0.00	31.94	20.44	73.75	582.12	enero	2012	NO	-73.68548	3.82888	1	FED_CASTILLA_LA_NUEVA
17/01/2012	0.00	31.78	19.67	72.75	544.21	enero	2012	NO	-73.68548	3.82888	1	FED_CASTILLA_LA_NUEVA
18/01/2012	0.00	31.28	22.17	70.92	466.22	enero	2012	NO	-73.68548	3.82888	1	FED_CASTILLA_LA_NUEVA
19/01/2012	0.00	30.78	20.72	69.54	493.46	enero	2012	NO	-73.68548	3.82888	1	FED_CASTILLA_LA_NUEVA
20/01/2012	0.00	31.56	16.39	66.91	505.06	enero	2012	NO	-73.68548	3.82888	1	FED_CASTILLA_LA_NUEVA
21/01/2012	0.00	33.00	17.89	66.79	619.35	enero	2012	NO	-73.68548	3.82888	1	FED_CASTILLA_LA_NUEVA
22/01/2012	0.00	32.72	17.06	68.75	582.90	enero	2012	NO	-73.68548	3.82888	1	FED_CASTILLA_LA_NUEVA
23/01/2012	0.00	33.89	19.28	68.54	617.82	enero	2012	NO	-73.68548	3.82888	1	FED_CASTILLA_LA_NUEVA
24/01/2012	0.00	33.00	19.17	65.78	514.28	enero	2012	SI	-73.68548	3.82888	1	FED_CASTILLA_LA_NUEVA
25/01/2012	0.00	30.72	22.33	75.29	328.29	enero	2012	NO	-73.68548	3.82888	1	FED_CASTILLA_LA_NUEVA
26/01/2012	0.00	31.28	21.28	76.92	304.14	enero	2012	NO	-73.68548	3.82888	1	FED_CASTILLA_LA_NUEVA
27/01/2012	0.00	32.00	21.39	70.04	420.12	enero	2012	NO	-73.68548	3.82888	1	FED_CASTILLA_LA_NUEVA
28/01/2012	0.00	32.28	20.61	68.58	451.86	enero	2012	NO	-73.68548	3.82888	1	FED_CASTILLA_LA_NUEVA
29/01/2012	0.00	31.83	20.56	71.92	473.45	enero	2012	NO	-73.68548	3.82888	1	FED_CASTILLA_LA_NUEVA
