Date	Rain	TMAX	TMIN	RHUM	ESOL	Mes	ANIO	Modif	X	Y	ESTACIO	NOMBRE_ESTACION
01/01/2012	0.0	32.5	22.0	82.7	509.8	enero	2012	SI	-73.46865	4.26775	16	FED_CUMARAL_BARCELONA
02/01/2012	0.0	32.2	22.8	83.2	484.9	enero	2012	SI	-73.46865	4.26775	16	FED_CUMARAL_BARCELONA
03/01/2012	0.0	32.4	20.8	76.1	513.2	enero	2012	SI	-73.46865	4.26775	16	FED_CUMARAL_BARCELONA
04/01/2012	1.5	33.4	20.8	67.6	514.4	enero	2012	SI	-73.46865	4.26775	16	FED_CUMARAL_BARCELONA
05/01/2012	0.0	33.0	21.0	77.3	485.1	enero	2012	SI	-73.46865	4.26775	16	FED_CUMARAL_BARCELONA
06/01/2012	0.0	32.4	21.4	73.2	482.8	enero	2012	SI	-73.46865	4.26775	16	FED_CUMARAL_BARCELONA
07/01/2012	0.0	33.8	21.0	69.6	543.8	enero	2012	SI	-73.46865	4.26775	16	FED_CUMARAL_BARCELONA
08/01/2012	14.3	33.2	21.4	80.8	501.4	enero	2012	SI	-73.46865	4.26775	16	FED_CUMARAL_BARCELONA
09/01/2012	0.0	33.2	20.0	74.8	522.1	enero	2012	SI	-73.46865	4.26775	16	FED_CUMARAL_BARCELONA
10/01/2012	0.0	32.4	19.8	73.0	534.3	enero	2012	SI	-73.46865	4.26775	16	FED_CUMARAL_BARCELONA
11/01/2012	0.0	32.2	20.2	81.0	488.0	enero	2012	SI	-73.46865	4.26775	16	FED_CUMARAL_BARCELONA
12/01/2012	2.0	32.0	21.4	62.3	472.5	enero	2012	SI	-73.46865	4.26775	16	FED_CUMARAL_BARCELONA
13/01/2012	3.5	32.8	22.0	80.2	494.8	enero	2012	SI	-73.46865	4.26775	16	FED_CUMARAL_BARCELONA
14/01/2012	0.0	33.6	20.8	68.6	550.0	enero	2012	SI	-73.46865	4.26775	16	FED_CUMARAL_BARCELONA
15/01/2012	6.0	33.6	21.0	74.8	515.5	enero	2012	SI	-73.46865	4.26775	16	FED_CUMARAL_BARCELONA
16/01/2012	5.0	33.4	20.0	72.5	521.2	enero	2012	SI	-73.46865	4.26775	16	FED_CUMARAL_BARCELONA
17/01/2012	0.0	33.2	19.0	72.1	510.5	enero	2012	SI	-73.46865	4.26775	16	FED_CUMARAL_BARCELONA
18/01/2012	0.0	32.6	21.0	79.2	519.0	enero	2012	SI	-73.46865	4.26775	16	FED_CUMARAL_BARCELONA
19/01/2012	0.0	32.4	21.4	73.2	482.8	enero	2012	SI	-73.46865	4.26775	16	FED_CUMARAL_BARCELONA
20/01/2012	0.2	29.2	20.4	87.0	386.5	enero	2012	SI	-73.46865	4.26775	16	FED_CUMARAL_BARCELONA
21/01/2012	0.0	32.2	21.0	81.4	542.3	enero	2012	SI	-73.46865	4.26775	16	FED_CUMARAL_BARCELONA
22/01/2012	0.0	33.6	19.2	64.9	543.3	enero	2012	SI	-73.46865	4.26775	16	FED_CUMARAL_BARCELONA
23/01/2012	0.0	34.6	22.1	74.3	521.9	enero	2012	SI	-73.46865	4.26775	16	FED_CUMARAL_BARCELONA
24/01/2012	0.0	34.2	22.4	76.6	563.7	enero	2012	SI	-73.46865	4.26775	16	FED_CUMARAL_BARCELONA
25/01/2012	0.0	32.0	21.1	73.1	455.9	enero	2012	SI	-73.46865	4.26775	16	FED_CUMARAL_BARCELONA
26/01/2012	0.0	31.0	21.0	82.2	457.6	enero	2012	SI	-73.46865	4.26775	16	FED_CUMARAL_BARCELONA
27/01/2012	0.0	33.6	20.8	78.8	508.4	enero	2012	SI	-73.46865	4.26775	16	FED_CUMARAL_BARCELONA
28/01/2012	0.0	34.2	21.2	70.0	510.7	enero	2012	SI	-73.46865	4.26775	16	FED_CUMARAL_BARCELONA
29/01/2012	0.0	33.6	22.9	79.9	517.3	enero	2012	SI	-73.46865	4.26775	16	FED_CUMARAL_BARCELONA
30/01/2012	0.2	32.2	21.9	80.7	538.6	enero	2012	SI	-73.46865	4.26775	16	FED_CUMARAL_BARCELONA
31/01/2012	0.0	35.0	19.6	66.3	567.1	enero	2012	SI	-73.46865	4.26775	16	FED_CUMARAL_BARCELONA
01/02/2012	0.0	32.6	20.4	77.2	505.6	febrero	2012	SI	-73.46865	4.26775	16	FED_CUMARAL_BARCELONA
02/02/2012	15.6	31.0	20.4	55.5	466.9	febrero	2012	SI	-73.46865	4.26775	16	FED_CUMARAL_BARCELONA
03/02/2012	70.0	34.2	19.0	63.4	550.4	febrero	2012	SI	-73.46865	4.26775	16	FED_CUMARAL_BARCELONA
04/02/2012	0.0	35.4	19.8	60.5	570.5	febrero	2012	SI	-73.46865	4.26775	16	FED_CUMARAL_BARCELONA
05/02/2012	10.0	31.2	21.8	78.6	414.0	febrero	2012	SI	-73.46865	4.26775	16	FED_CUMARAL_BARCELONA
06/02/2012	16.0	34.9	21.0	72.2	543.3	febrero	2012	SI	-73.46865	4.26775	16	FED_CUMARAL_BARCELONA
