Date	Rain	TMAX	TMIN	RHUM	ESOL	Mes	ANIO	Modif	X	Y	ESTACION	NOMBRE_ESTACION
01/01/2012	0.00	32.06	21.11	74.50	540.60	enero	2012	NO	-73.5600	3.30278	2	FED_GRANADA_LOS_NARANJOS
02/01/2012	0.00	31.78	19.33	78.38	505.25	enero	2012	NO	-73.5600	3.30278	2	FED_GRANADA_LOS_NARANJOS
03/01/2012	0.00	32.44	20.67	76.83	499.24	enero	2012	NO	-73.5600	3.30278	2	FED_GRANADA_LOS_NARANJOS
04/01/2012	0.00	32.44	22.39	76.58	392.34	enero	2012	NO	-73.5600	3.30278	2	FED_GRANADA_LOS_NARANJOS
05/01/2012	0.00	33.22	21.56	77.38	488.06	enero	2012	NO	-73.5600	3.30278	2	FED_GRANADA_LOS_NARANJOS
06/01/2012	0.00	32.06	21.72	79.08	350.91	enero	2012	NO	-73.5600	3.30278	2	FED_GRANADA_LOS_NARANJOS
07/01/2012	0.00	32.83	22.06	72.83	521.59	enero	2012	NO	-73.5600	3.30278	2	FED_GRANADA_LOS_NARANJOS
08/01/2012	0.00	32.78	22.94	74.58	453.84	enero	2012	NO	-73.5600	3.30278	2	FED_GRANADA_LOS_NARANJOS
09/01/2012	0.00	33.17	22.06	75.79	451.08	enero	2012	NO	-73.5600	3.30278	2	FED_GRANADA_LOS_NARANJOS
10/01/2012	0.00	32.78	21.67	76.29	508.45	enero	2012	NO	-73.5600	3.30278	2	FED_GRANADA_LOS_NARANJOS
11/01/2012	0.00	32.39	22.78	77.46	384.87	enero	2012	NO	-73.5600	3.30278	2	FED_GRANADA_LOS_NARANJOS
12/01/2012	0.00	31.72	23.11	75.25	313.33	enero	2012	NO	-73.5600	3.30278	2	FED_GRANADA_LOS_NARANJOS
13/01/2012	0.00	32.78	23.11	69.58	506.28	enero	2012	NO	-73.5600	3.30278	2	FED_GRANADA_LOS_NARANJOS
14/01/2012	0.00	32.89	20.78	75.00	392.69	enero	2012	NO	-73.5600	3.30278	2	FED_GRANADA_LOS_NARANJOS
15/01/2012	0.00	32.56	21.56	70.96	364.15	enero	2012	NO	-73.5600	3.30278	2	FED_GRANADA_LOS_NARANJOS
16/01/2012	0.00	32.61	21.11	75.17	499.65	enero	2012	NO	-73.5600	3.30278	2	FED_GRANADA_LOS_NARANJOS
17/01/2012	0.00	32.78	19.39	73.88	511.27	enero	2012	NO	-73.5600	3.30278	2	FED_GRANADA_LOS_NARANJOS
18/01/2012	0.00	32.44	21.33	75.17	467.67	enero	2012	NO	-73.5600	3.30278	2	FED_GRANADA_LOS_NARANJOS
19/01/2012	0.00	31.78	21.83	72.96	404.40	enero	2012	NO	-73.5600	3.30278	2	FED_GRANADA_LOS_NARANJOS
20/01/2012	0.00	30.11	21.28	73.58	308.08	enero	2012	NO	-73.5600	3.30278	2	FED_GRANADA_LOS_NARANJOS
21/01/2012	0.00	31.89	19.72	74.67	366.55	enero	2012	NO	-73.5600	3.30278	2	FED_GRANADA_LOS_NARANJOS
22/01/2012	0.00	33.22	19.44	68.88	513.69	enero	2012	NO	-73.5600	3.30278	2	FED_GRANADA_LOS_NARANJOS
23/01/2012	0.00	34.22	19.28	69.38	536.55	enero	2012	NO	-73.5600	3.30278	2	FED_GRANADA_LOS_NARANJOS
24/01/2012	0.00	34.17	18.78	69.62	521.67	enero	2012	NO	-73.5600	3.30278	2	FED_GRANADA_LOS_NARANJOS
25/01/2012	0.00	31.22	21.83	77.00	343.77	enero	2012	NO	-73.5600	3.30278	2	FED_GRANADA_LOS_NARANJOS
26/01/2012	0.20	31.72	21.44	74.42	346.34	enero	2012	NO	-73.5600	3.30278	2	FED_GRANADA_LOS_NARANJOS
27/01/2012	0.00	32.72	22.00	68.96	413.33	enero	2012	NO	-73.5600	3.30278	2	FED_GRANADA_LOS_NARANJOS
28/01/2012	0.00	33.22	21.83	68.96	386.50	enero	2012	NO	-73.5600	3.30278	2	FED_GRANADA_LOS_NARANJOS
29/01/2012	0.00	32.78	22.67	71.75	408.96	enero	2012	NO	-73.5600	3.30278	2	FED_GRANADA_LOS_NARANJOS
30/01/2012	0.00	31.50	20.06	76.46	331.82	enero	2012	NO	-73.5600	3.30278	2	FED_GRANADA_LOS_NARANJOS
31/01/2012	0.00	33.50	21.22	69.83	434.40	enero	2012	NO	-73.5600	3.30278	2	FED_GRANADA_LOS_NARANJOS
01/02/2012	0.00	32.28	23.33	70.21	293.04	febrero	2012	NO	-73.5600	3.30278	2	FED_GRANADA_LOS_NARANJOS
02/02/2012	0.00	32.11	21.33	70.21	358.73	febrero	2012	NO	-73.5600	3.30278	2	FED_GRANADA_LOS_NARANJOS
03/02/2012	0.00	31.17	19.72	72.54	301.38	febrero	2012	NO	-73.5600	3.30278	2	FED_GRANADA_LOS_NARANJOS
