Date	Rain	TMAX	TMIN	RHUM	ESOL	Mes	ANIO	Modif	X	Y	ESTACION	NOMBRE_ESTACION
01/01/2012	0.00	31.78	18.06	73.62	481.43	enero	2012	NO	-75.15944	5.46389	51	FEDEARROZ_NUNCHIA_LA_AGRICOLA
02/01/2012	0.00	26.94	23.11	80.67	375.02	enero	2012	SI	-75.15944	5.46389	51	FEDEARROZ_NUNCHIA_LA_AGRICOLA
03/01/2012	0.00	33.50	21.39	75.76	465.50	enero	2012	SI	-75.15944	5.46389	51	FEDEARROZ_NUNCHIA_LA_AGRICOLA
04/01/2012	0.00	34.82	22.70	69.69	446.46	enero	2012	SI	-75.15944	5.46389	51	FEDEARROZ_NUNCHIA_LA_AGRICOLA
05/01/2012	0.00	35.42	22.59	72.27	440.94	enero	2012	SI	-75.15944	5.46389	51	FEDEARROZ_NUNCHIA_LA_AGRICOLA
06/01/2012	0.00	34.67	23.00	75.36	450.99	enero	2012	SI	-75.15944	5.46389	51	FEDEARROZ_NUNCHIA_LA_AGRICOLA
07/01/2012	0.00	33.80	22.13	76.16	446.80	enero	2012	SI	-75.15944	5.46389	51	FEDEARROZ_NUNCHIA_LA_AGRICOLA
08/01/2012	0.00	34.86	21.92	65.49	481.16	enero	2012	SI	-75.15944	5.46389	51	FEDEARROZ_NUNCHIA_LA_AGRICOLA
09/01/2012	0.00	35.42	22.14	73.33	453.54	enero	2012	SI	-75.15944	5.46389	51	FEDEARROZ_NUNCHIA_LA_AGRICOLA
10/01/2012	0.00	33.59	21.65	69.58	455.22	enero	2012	SI	-75.15944	5.46389	51	FEDEARROZ_NUNCHIA_LA_AGRICOLA
11/01/2012	0.00	34.32	21.99	77.44	475.47	enero	2012	SI	-75.15944	5.46389	51	FEDEARROZ_NUNCHIA_LA_AGRICOLA
12/01/2012	0.00	31.84	22.17	83.62	413.44	enero	2012	SI	-75.15944	5.46389	51	FEDEARROZ_NUNCHIA_LA_AGRICOLA
13/01/2012	0.00	33.11	20.95	77.13	470.19	enero	2012	SI	-75.15944	5.46389	51	FEDEARROZ_NUNCHIA_LA_AGRICOLA
14/01/2012	0.00	33.70	22.03	71.11	448.31	enero	2012	SI	-75.15944	5.46389	51	FEDEARROZ_NUNCHIA_LA_AGRICOLA
15/01/2012	0.00	35.68	22.01	61.95	448.25	enero	2012	SI	-75.15944	5.46389	51	FEDEARROZ_NUNCHIA_LA_AGRICOLA
16/01/2012	4.83	33.98	22.03	69.20	443.97	enero	2012	SI	-75.15944	5.46389	51	FEDEARROZ_NUNCHIA_LA_AGRICOLA
17/01/2012	0.00	34.14	22.69	73.96	458.72	enero	2012	SI	-75.15944	5.46389	51	FEDEARROZ_NUNCHIA_LA_AGRICOLA
18/01/2012	0.00	33.33	22.28	80.32	496.07	enero	2012	SI	-75.15944	5.46389	51	FEDEARROZ_NUNCHIA_LA_AGRICOLA
19/01/2012	0.00	36.26	21.26	60.98	472.62	enero	2012	SI	-75.15944	5.46389	51	FEDEARROZ_NUNCHIA_LA_AGRICOLA
20/01/2012	1.00	33.63	22.07	70.20	431.88	enero	2012	SI	-75.15944	5.46389	51	FEDEARROZ_NUNCHIA_LA_AGRICOLA
21/01/2012	0.20	33.82	21.38	70.30	480.76	enero	2012	SI	-75.15944	5.46389	51	FEDEARROZ_NUNCHIA_LA_AGRICOLA
22/01/2012	0.00	32.42	21.19	76.56	462.81	enero	2012	SI	-75.15944	5.46389	51	FEDEARROZ_NUNCHIA_LA_AGRICOLA
23/01/2012	0.00	33.45	21.90	79.32	507.31	enero	2012	SI	-75.15944	5.46389	51	FEDEARROZ_NUNCHIA_LA_AGRICOLA
24/01/2012	0.00	31.96	22.08	85.29	450.33	enero	2012	SI	-75.15944	5.46389	51	FEDEARROZ_NUNCHIA_LA_AGRICOLA
25/01/2012	0.00	34.52	22.58	70.02	469.24	enero	2012	SI	-75.15944	5.46389	51	FEDEARROZ_NUNCHIA_LA_AGRICOLA
