Date	Rain	TMAX	TMIN	RHUM	ESOL	Mes	ANIO	Modif	X	Y	ESTACION	NOMBRE_ESTACION
01/01/2012	0.00	31.67	21.06	76.58	497.86	enero	2012	NO	-71.73086	5.42028	53	FED_PALENQUE_VILLA_MAR
02/01/2012	0.00	32.00	22.00	78.09	453.53	enero	2012	NO	-71.73086	5.42028	53	FED_PALENQUE_VILLA_MAR
03/01/2012	0.00	32.61	21.67	78.21	475.08	enero	2012	NO	-71.73086	5.42028	53	FED_PALENQUE_VILLA_MAR
04/01/2012	0.00	32.06	22.44	78.04	440.16	enero	2012	NO	-71.73086	5.42028	53	FED_PALENQUE_VILLA_MAR
05/01/2012	0.00	32.50	20.89	77.42	472.06	enero	2012	NO	-71.73086	5.42028	53	FED_PALENQUE_VILLA_MAR
06/01/2012	0.00	32.78	20.50	75.72	343.60	enero	2012	NO	-71.73086	5.42028	53	FED_PALENQUE_VILLA_MAR
07/01/2012	0.00	32.61	20.22	76.46	524.52	enero	2012	NO	-71.73086	5.42028	53	FED_PALENQUE_VILLA_MAR
08/01/2012	0.00	32.22	21.28	76.46	460.20	enero	2012	NO	-71.73086	5.42028	53	FED_PALENQUE_VILLA_MAR
09/01/2012	0.00	32.33	22.11	79.42	285.76	enero	2012	NO	-71.73086	5.42028	53	FED_PALENQUE_VILLA_MAR
10/01/2012	0.00	32.06	22.44	76.32	458.79	enero	2012	NO	-71.73086	5.42028	53	FED_PALENQUE_VILLA_MAR
11/01/2012	0.00	32.06	21.83	68.53	443.91	enero	2012	NO	-71.73086	5.42028	53	FED_PALENQUE_VILLA_MAR
12/01/2012	0.00	32.00	21.28	75.88	459.76	enero	2012	NO	-71.73086	5.42028	53	FED_PALENQUE_VILLA_MAR
13/01/2012	0.00	33.22	21.83	72.38	507.58	enero	2012	NO	-71.73086	5.42028	53	FED_PALENQUE_VILLA_MAR
14/01/2012	0.00	32.06	21.17	74.33	407.66	enero	2012	NO	-71.73086	5.42028	53	FED_PALENQUE_VILLA_MAR
15/01/2012	0.00	32.17	20.89	68.95	499.21	enero	2012	SI	-71.73086	5.42028	53	FED_PALENQUE_VILLA_MAR
16/01/2012	0.00	31.56	22.06	76.60	468.60	enero	2012	NO	-71.73086	5.42028	53	FED_PALENQUE_VILLA_MAR
17/01/2012	0.00	31.28	21.44	67.23	505.49	enero	2012	NO	-71.73086	5.42028	53	FED_PALENQUE_VILLA_MAR
18/01/2012	0.00	33.28	16.83	71.85	627.56	enero	2012	NO	-71.73086	5.42028	53	FED_PALENQUE_VILLA_MAR
19/01/2012	0.00	32.94	17.44	66.62	535.44	enero	2012	NO	-71.73086	5.42028	53	FED_PALENQUE_VILLA_MAR
20/01/2012	0.00	33.89	18.61	69.33	531.39	enero	2012	NO	-71.73086	5.42028	53	FED_PALENQUE_VILLA_MAR
21/01/2012	0.00	33.50	20.00	70.46	490.72	enero	2012	NO	-71.73086	5.42028	53	FED_PALENQUE_VILLA_MAR
22/01/2012	0.00	32.67	21.94	77.25	160.86	enero	2012	NO	-71.73086	5.42028	53	FED_PALENQUE_VILLA_MAR
23/01/2012	0.00	32.17	20.72	69.46	528.30	enero	2012	NO	-71.73086	5.42028	53	FED_PALENQUE_VILLA_MAR
24/01/2012	0.00	30.78	20.17	78.29	460.44	enero	2012	SI	-71.73086	5.42028	53	FED_PALENQUE_VILLA_MAR
25/01/2012	0.00	32.78	21.33	71.29	469.05	enero	2012	NO	-71.73086	5.42028	53	FED_PALENQUE_VILLA_MAR
26/01/2012	0.00	31.78	21.83	72.57	309.55	enero	2012	NO	-71.73086	5.42028	53	FED_PALENQUE_VILLA_MAR
27/01/2012	0.00	32.17	21.72	69.82	401.94	enero	2012	NO	-71.73086	5.42028	53	FED_PALENQUE_VILLA_MAR
28/01/2012	0.00	33.50	22.44	68.96	445.83	enero	2012	NO	-71.73086	5.42028	53	FED_PALENQUE_VILLA_MAR
29/01/2012	0.00	31.50	22.50	69.42	341.54	enero	2012	NO	-71.73086	5.42028	53	FED_PALENQUE_VILLA_MAR
30/01/2012	0.00	32.44	19.44	72.75	308.62	enero	2012	NO	-71.73086	5.42028	53	FED_PALENQUE_VILLA_MAR
31/01/2012	0.00	33.11	22.11	63.79	478.17	enero	2012	NO	-71.73086	5.42028	53	FED_PALENQUE_VILLA_MAR
01/02/2012	0.00	33.56	24.17	72.00	214.62	febrero	2012	NO	-71.73086	5.42028	53	FED_PALENQUE_VILLA_MAR
02/02/2012	0.00	32.07	22.68	82.19	449.07	febrero	2012	SI	-71.73086	5.42028	53	FED_PALENQUE_VILLA_MAR
03/02/2012	0.00	32.18	20.51	78.75	504.15	febrero	2012	SI	-71.73086	5.42028	53	FED_PALENQUE_VILLA_MAR
04/02/2012	0.00	32.61	22.05	83.22	495.83	febrero	2012	SI	-71.73086	5.42028	53	FED_PALENQUE_VILLA_MAR
05/02/2012	22.20	34.31	20.20	65.46	527.39	febrero	2012	SI	-71.73086	5.42028	53	FED_PALENQUE_VILLA_MAR
06/02/2012	2.70	33.69	22.25	78.81	523.28	febrero	2012	SI	-71.73086	5.42028	53	FED_PALENQUE_VILLA_MAR
07/02/2012	0.00	35.13	21.24	67.45	537.63	febrero	2012	SI	-71.73086	5.42028	53	FED_PALENQUE_VILLA_MAR
08/02/2012	63.00	35.24	22.57	68.68	429.69	febrero	2012	SI	-71.73086	5.42028	53	FED_PALENQUE_VILLA_MAR
09/02/2012	0.00	34.22	21.61	70.64	486.30	febrero	2012	SI	-71.73086	5.42028	53	FED_PALENQUE_VILLA_MAR
10/02/2012	0.00	36.98	22.03	59.58	505.14	febrero	2012	SI	-71.73086	5.42028	53	FED_PALENQUE_VILLA_MAR
11/02/2012	0.00	33.11	22.90	49.00	475.62	febrero	2012	SI	-71.73086	5.42028	53	FED_PALENQUE_VILLA_MAR
12/02/2012	0.00	33.61	18.28	70.54	562.27	febrero	2012	NO	-71.73086	5.42028	53	FED_PALENQUE_VILLA_MAR
13/02/2012	0.00	33.56	21.06	69.71	511.87	febrero	2012	NO	-71.73086	5.42028	53	FED_PALENQUE_VILLA_MAR
14/02/2012	0.00	32.67	21.00	72.21	509.89	febrero	2012	NO	-71.73086	5.42028	53	FED_PALENQUE_VILLA_MAR
15/02/2012	0.00	33.72	19.50	67.62	560.28	febrero	2012	NO	-71.73086	5.42028	53	FED_PALENQUE_VILLA_MAR
16/02/2012	0.00	33.94	20.11	65.96	559.77	febrero	2012	NO	-71.73086	5.42028	53	FED_PALENQUE_VILLA_MAR
17/02/2012	0.00	33.94	20.22	64.58	525.88	febrero	2012	NO	-71.73086	5.42028	53	FED_PALENQUE_VILLA_MAR
18/02/2012	0.00	33.44	21.06	65.25	550.92	febrero	2012	NO	-71.73086	5.42028	53	FED_PALENQUE_VILLA_MAR
19/02/2012	0.00	33.33	20.44	67.58	465.79	febrero	2012	NO	-71.73086	5.42028	53	FED_PALENQUE_VILLA_MAR
20/02/2012	0.00	32.39	21.06	71.67	436.90	febrero	2012	NO	-71.73086	5.42028	53	FED_PALENQUE_VILLA_MAR
21/02/2012	0.00	32.56	20.56	67.27	454.67	febrero	2012	NO	-71.73086	5.42028	53	FED_PALENQUE_VILLA_MAR
22/02/2012	0.00	33.94	20.50	66.88	538.02	febrero	2012	NO	-71.73086	5.42028	53	FED_PALENQUE_VILLA_MAR
23/02/2012	0.00	33.44	21.11	65.25	550.40	febrero	2012	NO	-71.73086	5.42028	53	FED_PALENQUE_VILLA_MAR
24/02/2012	0.00	33.44	21.22	64.48	565.63	febrero	2012	NO	-71.73086	5.42028	53	FED_PALENQUE_VILLA_MAR
25/02/2012	0.00	33.94	21.50	63.96	498.23	febrero	2012	NO	-71.73086	5.42028	53	FED_PALENQUE_VILLA_MAR
26/02/2012	0.20	32.50	23.22	70.00	390.63	febrero	2012	NO	-71.73086	5.42028	53	FED_PALENQUE_VILLA_MAR
