Date	Rain	TMAX	TMIN	RHUM	ESOL	Mes	ANIO	Modif	X	Y	ESTACION	NOMBRE_ESTACION
01/01/2012	0.00	32.17	20.11	81.17	485.39	enero	2012	NO	-73.15572	4.06062	17	FED_PTO._LOPEZ_LA_COQUERA
02/01/2012	0.00	32.11	21.61	80.04	459.95	enero	2012	NO	-73.15572	4.06062	17	FED_PTO._LOPEZ_LA_COQUERA
03/01/2012	0.00	32.39	23.06	79.71	487.19	enero	2012	NO	-73.15572	4.06062	17	FED_PTO._LOPEZ_LA_COQUERA
04/01/2012	0.00	32.17	23.28	80.17	448.60	enero	2012	NO	-73.15572	4.06062	17	FED_PTO._LOPEZ_LA_COQUERA
05/01/2012	0.00	32.39	22.50	81.91	432.05	enero	2012	SI	-73.15572	4.06062	17	FED_PTO._LOPEZ_LA_COQUERA
06/01/2012	0.00	32.33	22.56	78.04	519.26	enero	2012	NO	-73.15572	4.06062	17	FED_PTO._LOPEZ_LA_COQUERA
07/01/2012	0.00	32.67	21.33	77.83	537.67	enero	2012	NO	-73.15572	4.06062	17	FED_PTO._LOPEZ_LA_COQUERA
08/01/2012	0.00	32.50	21.17	79.12	520.83	enero	2012	NO	-73.15572	4.06062	17	FED_PTO._LOPEZ_LA_COQUERA
09/01/2012	0.00	32.33	21.50	81.33	426.39	enero	2012	NO	-73.15572	4.06062	17	FED_PTO._LOPEZ_LA_COQUERA
10/01/2012	0.00	31.33	22.33	81.25	309.30	enero	2012	NO	-73.15572	4.06062	17	FED_PTO._LOPEZ_LA_COQUERA
11/01/2012	0.00	32.56	23.78	75.29	416.70	enero	2012	NO	-73.15572	4.06062	17	FED_PTO._LOPEZ_LA_COQUERA
12/01/2012	0.00	32.89	20.83	78.50	423.84	enero	2012	NO	-73.15572	4.06062	17	FED_PTO._LOPEZ_LA_COQUERA
13/01/2012	0.00	33.33	22.56	74.67	498.73	enero	2012	NO	-73.15572	4.06062	17	FED_PTO._LOPEZ_LA_COQUERA
14/01/2012	0.00	32.50	20.72	78.00	529.25	enero	2012	NO	-73.15572	4.06062	17	FED_PTO._LOPEZ_LA_COQUERA
15/01/2012	0.00	32.94	19.83	76.92	545.59	enero	2012	NO	-73.15572	4.06062	17	FED_PTO._LOPEZ_LA_COQUERA
16/01/2012	0.00	32.06	19.83	81.00	334.99	enero	2012	NO	-73.15572	4.06062	17	FED_PTO._LOPEZ_LA_COQUERA
17/01/2012	0.00	33.39	18.67	71.33	554.34	enero	2012	NO	-73.15572	4.06062	17	FED_PTO._LOPEZ_LA_COQUERA
18/01/2012	0.00	34.22	18.94	70.62	545.49	enero	2012	NO	-73.15572	4.06062	17	FED_PTO._LOPEZ_LA_COQUERA
19/01/2012	0.00	34.11	18.83	73.88	517.20	enero	2012	NO	-73.15572	4.06062	17	FED_PTO._LOPEZ_LA_COQUERA
20/01/2012	0.00	32.50	21.61	78.12	429.92	enero	2012	NO	-73.15572	4.06062	17	FED_PTO._LOPEZ_LA_COQUERA
21/01/2012	0.00	33.17	20.94	72.54	409.20	enero	2012	NO	-73.15572	4.06062	17	FED_PTO._LOPEZ_LA_COQUERA
22/01/2012	0.00	33.44	20.33	70.75	487.02	enero	2012	NO	-73.15572	4.06062	17	FED_PTO._LOPEZ_LA_COQUERA
23/01/2012	0.00	33.56	21.22	72.46	505.00	enero	2012	NO	-73.15572	4.06062	17	FED_PTO._LOPEZ_LA_COQUERA
24/01/2012	0.00	32.67	20.61	76.43	406.46	enero	2012	NO	-73.15572	4.06062	17	FED_PTO._LOPEZ_LA_COQUERA
25/01/2012	0.00	32.50	20.61	73.00	364.40	enero	2012	NO	-73.15572	4.06062	17	FED_PTO._LOPEZ_LA_COQUERA
26/01/2012	0.00	33.78	21.94	70.08	486.59	enero	2012	NO	-73.15572	4.06062	17	FED_PTO._LOPEZ_LA_COQUERA
27/01/2012	0.00	31.67	21.89	73.67	398.64	enero	2012	NO	-73.15572	4.06062	17	FED_PTO._LOPEZ_LA_COQUERA
28/01/2012	0.00	31.72	20.72	73.12	359.76	enero	2012	NO	-73.15572	4.06062	17	FED_PTO._LOPEZ_LA_COQUERA
29/01/2012	0.00	32.00	20.56	71.25	323.48	enero	2012	NO	-73.15572	4.06062	17	FED_PTO._LOPEZ_LA_COQUERA
30/01/2012	0.00	34.33	20.83	70.50	449.28	enero	2012	NO	-73.15572	4.06062	17	FED_PTO._LOPEZ_LA_COQUERA
31/01/2012	7.00	30.28	22.06	89.62	200.34	enero	2012	NO	-73.15572	4.06062	17	FED_PTO._LOPEZ_LA_COQUERA
01/02/2012	5.40	26.06	22.00	95.79	192.78	febrero	2012	SI	-73.15572	4.06062	17	FED_PTO._LOPEZ_LA_COQUERA
02/02/2012	0.80	30.89	22.89	90.25	305.77	febrero	2012	NO	-73.15572	4.06062	17	FED_PTO._LOPEZ_LA_COQUERA
03/02/2012	0.60	31.00	20.83	91.77	379.05	febrero	2012	NO	-73.15572	4.06062	17	FED_PTO._LOPEZ_LA_COQUERA
04/02/2012	1.40	32.72	23.33	82.27	494.83	febrero	2012	NO	-73.15572	4.06062	17	FED_PTO._LOPEZ_LA_COQUERA
05/02/2012	0.80	33.50	22.22	79.71	477.22	febrero	2012	NO	-73.15572	4.06062	17	FED_PTO._LOPEZ_LA_COQUERA
06/02/2012	0.00	33.11	21.67	76.54	437.41	febrero	2012	NO	-73.15572	4.06062	17	FED_PTO._LOPEZ_LA_COQUERA
07/02/2012	0.00	33.06	23.44	76.21	474.81	febrero	2012	NO	-73.15572	4.06062	17	FED_PTO._LOPEZ_LA_COQUERA
08/02/2012	0.00	32.50	21.06	76.04	502.67	febrero	2012	NO	-73.15572	4.06062	17	FED_PTO._LOPEZ_LA_COQUERA
09/02/2012	0.00	32.22	19.67	74.58	512.66	febrero	2012	NO	-73.15572	4.06062	17	FED_PTO._LOPEZ_LA_COQUERA
10/02/2012	0.00	32.89	18.11	72.54	574.13	febrero	2012	NO	-73.15572	4.06062	17	FED_PTO._LOPEZ_LA_COQUERA
11/02/2012	0.00	33.78	18.17	72.54	573.35	febrero	2012	NO	-73.15572	4.06062	17	FED_PTO._LOPEZ_LA_COQUERA
12/02/2012	0.00	32.89	21.11	74.50	470.52	febrero	2012	NO	-73.15572	4.06062	17	FED_PTO._LOPEZ_LA_COQUERA
13/02/2012	0.00	32.83	22.11	74.96	449.45	febrero	2012	NO	-73.15572	4.06062	17	FED_PTO._LOPEZ_LA_COQUERA
14/02/2012	0.00	33.78	20.83	70.83	581.60	febrero	2012	NO	-73.15572	4.06062	17	FED_PTO._LOPEZ_LA_COQUERA
15/02/2012	0.00	34.17	21.33	70.75	505.68	febrero	2012	NO	-73.15572	4.06062	17	FED_PTO._LOPEZ_LA_COQUERA
16/02/2012	0.00	32.78	20.22	72.00	405.94	febrero	2012	NO	-73.15572	4.06062	17	FED_PTO._LOPEZ_LA_COQUERA
17/02/2012	0.00	33.56	19.56	71.17	575.60	febrero	2012	NO	-73.15572	4.06062	17	FED_PTO._LOPEZ_LA_COQUERA
18/02/2012	0.00	34.33	20.44	70.12	446.78	febrero	2012	NO	-73.15572	4.06062	17	FED_PTO._LOPEZ_LA_COQUERA
19/02/2012	0.00	33.44	23.94	73.21	405.86	febrero	2012	NO	-73.15572	4.06062	17	FED_PTO._LOPEZ_LA_COQUERA
20/02/2012	0.00	33.78	21.44	68.17	479.20	febrero	2012	NO	-73.15572	4.06062	17	FED_PTO._LOPEZ_LA_COQUERA
21/02/2012	0.00	34.39	18.11	69.96	590.81	febrero	2012	NO	-73.15572	4.06062	17	FED_PTO._LOPEZ_LA_COQUERA
22/02/2012	0.00	34.50	19.67	67.88	568.19	febrero	2012	NO	-73.15572	4.06062	17	FED_PTO._LOPEZ_LA_COQUERA
23/02/2012	0.00	35.00	20.33	66.17	558.74	febrero	2012	NO	-73.15572	4.06062	17	FED_PTO._LOPEZ_LA_COQUERA
24/02/2012	0.00	35.28	20.33	65.67	424.33	febrero	2012	NO	-73.15572	4.06062	17	FED_PTO._LOPEZ_LA_COQUERA
25/02/2012	0.80	32.78	22.89	79.43	281.77	febrero	2012	NO	-73.15572	4.06062	17	FED_PTO._LOPEZ_LA_COQUERA
26/02/2012	1.20	30.39	23.00	92.33	212.39	febrero	2012	NO	-73.15572	4.06062	17	FED_PTO._LOPEZ_LA_COQUERA
27/02/2012	0.00	31.22	22.44	90.50	291.16	febrero	2012	NO	-73.15572	4.06062	17	FED_PTO._LOPEZ_LA_COQUERA
28/02/2012	0.20	32.89	22.06	81.21	541.63	febrero	2012	NO	-73.15572	4.06062	17	FED_PTO._LOPEZ_LA_COQUERA
29/02/2012	0.00	34.06	21.50	75.29	565.69	febrero	2012	NO	-73.15572	4.06062	17	FED_PTO._LOPEZ_LA_COQUERA
01/03/2012	0.00	33.11	20.50	76.09	514.93	marzo	2012	NO	-73.15572	4.06062	17	FED_PTO._LOPEZ_LA_COQUERA
02/03/2012	0.00	33.44	20.78	71.46	470.68	marzo	2012	NO	-73.15572	4.06062	17	FED_PTO._LOPEZ_LA_COQUERA
03/03/2012	0.00	29.39	22.61	85.25	162.35	marzo	2012	NO	-73.15572	4.06062	17	FED_PTO._LOPEZ_LA_COQUERA
04/03/2012	0.00	25.06	22.39	93.79	183.42	marzo	2012	SI	-73.15572	4.06062	17	FED_PTO._LOPEZ_LA_COQUERA
05/03/2012	0.00	32.00	22.22	83.67	378.43	marzo	2012	NO	-73.15572	4.06062	17	FED_PTO._LOPEZ_LA_COQUERA
06/03/2012	0.00	26.83	22.78	93.78	195.81	marzo	2012	SI	-73.15572	4.06062	17	FED_PTO._LOPEZ_LA_COQUERA
07/03/2012	0.00	31.56	23.06	85.71	382.38	marzo	2012	NO	-73.15572	4.06062	17	FED_PTO._LOPEZ_LA_COQUERA
08/03/2012	0.00	31.22	23.50	82.96	272.49	marzo	2012	NO	-73.15572	4.06062	17	FED_PTO._LOPEZ_LA_COQUERA
09/03/2012	0.00	34.00	23.67	77.12	447.73	marzo	2012	NO	-73.15572	4.06062	17	FED_PTO._LOPEZ_LA_COQUERA
10/03/2012	0.00	31.83	21.78	83.70	217.76	marzo	2012	NO	-73.15572	4.06062	17	FED_PTO._LOPEZ_LA_COQUERA
11/03/2012	0.00	35.22	21.56	77.21	543.18	marzo	2012	NO	-73.15572	4.06062	17	FED_PTO._LOPEZ_LA_COQUERA
12/03/2012	0.00	29.56	23.11	90.96	229.50	marzo	2012	NO	-73.15572	4.06062	17	FED_PTO._LOPEZ_LA_COQUERA
13/03/2012	0.00	30.17	22.89	88.12	268.52	marzo	2012	NO	-73.15572	4.06062	17	FED_PTO._LOPEZ_LA_COQUERA
14/03/2012	0.00	32.11	22.78	85.75	355.55	marzo	2012	NO	-73.15572	4.06062	17	FED_PTO._LOPEZ_LA_COQUERA
15/03/2012	0.00	32.17	22.83	87.39	462.01	marzo	2012	NO	-73.15572	4.06062	17	FED_PTO._LOPEZ_LA_COQUERA
16/03/2012	0.00	30.06	22.89	90.95	182.45	marzo	2012	NO	-73.15572	4.06062	17	FED_PTO._LOPEZ_LA_COQUERA
17/03/2012	0.20	28.78	22.50	92.83	285.59	marzo	2012	NO	-73.15572	4.06062	17	FED_PTO._LOPEZ_LA_COQUERA
18/03/2012	0.00	27.44	22.50	94.71	197.33	marzo	2012	NO	-73.15572	4.06062	17	FED_PTO._LOPEZ_LA_COQUERA
19/03/2012	0.20	30.28	22.33	89.92	331.90	marzo	2012	NO	-73.15572	4.06062	17	FED_PTO._LOPEZ_LA_COQUERA
20/03/2012	0.00	27.83	22.17	95.32	200.28	marzo	2012	NO	-73.15572	4.06062	17	FED_PTO._LOPEZ_LA_COQUERA
21/03/2012	0.00	30.78	22.06	88.86	494.89	marzo	2012	NO	-73.15572	4.06062	17	FED_PTO._LOPEZ_LA_COQUERA
22/03/2012	0.00	32.11	22.61	91.17	451.59	marzo	2012	NO	-73.15572	4.06062	17	FED_PTO._LOPEZ_LA_COQUERA
