Date	Rain	TMAX	TMIN	RHUM	ESOL	Mes	ANIO	Modif	X	Y	ESTACION	NOMBRE_ESTACION
01/01/2012	0	34.21900422	22.32900422	75.38067071	492.726308	enero	2012	SI	-72.8243	4.4789	20	FEDEARROZ_VILLANUEVA_TROMPILLOS
02/01/2012	0	33.80095678	22.52095678	77.83486476	491.5557155	enero	2012	SI	-72.8243	4.4789	20	FEDEARROZ_VILLANUEVA_TROMPILLOS
03/01/2012	1.8	32.11955569	21.33955569	76.23567833	467.7201455	enero	2012	SI	-72.8243	4.4789	20	FEDEARROZ_VILLANUEVA_TROMPILLOS
04/01/2012	0	34.13823349	21.68823349	70.72279993	502.7042706	enero	2012	SI	-72.8243	4.4789	20	FEDEARROZ_VILLANUEVA_TROMPILLOS
05/01/2012	0	33.3189264	21.5389264	74.99196461	467.42631	enero	2012	SI	-72.8243	4.4789	20	FEDEARROZ_VILLANUEVA_TROMPILLOS
06/01/2012	0	33.55215607	22.78215607	81.2844398	491.412922	enero	2012	SI	-72.8243	4.4789	20	FEDEARROZ_VILLANUEVA_TROMPILLOS
07/01/2012	0	34.09802787	22.76802787	76.91387407	484.118849	enero	2012	SI	-72.8243	4.4789	20	FEDEARROZ_VILLANUEVA_TROMPILLOS
08/01/2012	0	33.92745055	21.70745055	68.36572714	488.4974699	enero	2012	SI	-72.8243	4.4789	20	FEDEARROZ_VILLANUEVA_TROMPILLOS
09/01/2012	0	33.96441434	22.57441434	74.09159348	485.7004104	enero	2012	SI	-72.8243	4.4789	20	FEDEARROZ_VILLANUEVA_TROMPILLOS
10/01/2012	0	32.16404266	22.16404266	84.07394693	480.3309243	enero	2012	SI	-72.8243	4.4789	20	FEDEARROZ_VILLANUEVA_TROMPILLOS
11/01/2012	0	33.56135046	22.12135046	77.76996455	505.608328	enero	2012	SI	-72.8243	4.4789	20	FEDEARROZ_VILLANUEVA_TROMPILLOS
12/01/2012	0	33.10924242	21.21924242	79.37887789	499.3897092	enero	2012	SI	-72.8243	4.4789	20	FEDEARROZ_VILLANUEVA_TROMPILLOS
13/01/2012	0	34.84898523	23.06898523	69.72807113	465.2205269	enero	2012	SI	-72.8243	4.4789	20	FEDEARROZ_VILLANUEVA_TROMPILLOS
14/01/2012	0	33.71959627	21.94959627	76.76489969	482.2932576	enero	2012	SI	-72.8243	4.4789	20	FEDEARROZ_VILLANUEVA_TROMPILLOS
15/01/2012	0	32.85832599	21.07832599	73.94198528	503.2734937	enero	2012	SI	-72.8243	4.4789	20	FEDEARROZ_VILLANUEVA_TROMPILLOS
16/01/2012	0	29.83183258	23.89183258	83.50674578	324.7321168	enero	2012	SI	-72.8243	4.4789	20	FEDEARROZ_VILLANUEVA_TROMPILLOS
17/01/2012	0	32.94152512	22.94152512	81.44910323	480.3558909	enero	2012	SI	-72.8243	4.4789	20	FEDEARROZ_VILLANUEVA_TROMPILLOS
18/01/2012	0	32.75116858	22.52116858	79.34128764	491.2588949	enero	2012	SI	-72.8243	4.4789	20	FEDEARROZ_VILLANUEVA_TROMPILLOS
19/01/2012	0	36.18961769	21.79961769	66.53628634	504.5986216	enero	2012	SI	-72.8243	4.4789	20	FEDEARROZ_VILLANUEVA_TROMPILLOS
20/01/2012	0	33.14153405	23.03153405	81.56037728	474.3657937	enero	2012	SI	-72.8243	4.4789	20	FEDEARROZ_VILLANUEVA_TROMPILLOS
21/01/2012	0	30.52942453	23.35942453	85.95856654	394.2430257	enero	2012	SI	-72.8243	4.4789	20	FEDEARROZ_VILLANUEVA_TROMPILLOS
22/01/2012	0	33.06882762	21.61882762	78.30028614	497.5495668	enero	2012	SI	-72.8243	4.4789	20	FEDEARROZ_VILLANUEVA_TROMPILLOS
23/01/2012	0	31.53348763	22.69348763	76.80646105	441.257847	enero	2012	SI	-72.8243	4.4789	20	FEDEARROZ_VILLANUEVA_TROMPILLOS
24/01/2012	0	34.17	25.06	60.67	422.019288	enero	2012	NO	-72.8243	4.4789	20	FEDEARROZ_VILLANUEVA_TROMPILLOS
25/01/2012	0	32.17	21.89	73.54	450.9931306	enero	2012	NO	-72.8243	4.4789	20	FEDEARROZ_VILLANUEVA_TROMPILLOS
26/01/2012	0	32.67	21.67	68.21	457.8857683	enero	2012	NO	-72.8243	4.4789	20	FEDEARROZ_VILLANUEVA_TROMPILLOS
27/01/2012	0	33.39	21.89	64.96	530.4441946	enero	2012	NO	-72.8243	4.4789	20	FEDEARROZ_VILLANUEVA_TROMPILLOS
28/01/2012	0	33.5	20.72	66.04	505.2468571	enero	2012	NO	-72.8243	4.4789	20	FEDEARROZ_VILLANUEVA_TROMPILLOS
29/01/2012	0	32.67	21	70.67	503.7816557	enero	2012	NO	-72.8243	4.4789	20	FEDEARROZ_VILLANUEVA_TROMPILLOS
30/01/2012	0	32	21.28	69.5	391.6627906	enero	2012	NO	-72.8243	4.4789	20	FEDEARROZ_VILLANUEVA_TROMPILLOS
31/01/2012	0	33.78	21.61	65.54	543.5278243	enero	2012	NO	-72.8243	4.4789	20	FEDEARROZ_VILLANUEVA_TROMPILLOS
01/02/2012	0	32.17	22.89	66.75	452.2932389	febrero	2012	NO	-72.8243	4.4789	20	FEDEARROZ_VILLANUEVA_TROMPILLOS
02/02/2012	0	31.44	22.17	66.29	408.3578323	febrero	2012	NO	-72.8243	4.4789	20	FEDEARROZ_VILLANUEVA_TROMPILLOS
03/02/2012	0	33.17	20.94	65.38	444.5544989	febrero	2012	NO	-72.8243	4.4789	20	FEDEARROZ_VILLANUEVA_TROMPILLOS
04/02/2012	0	34.06	20.94	65.21	428.8912891	febrero	2012	NO	-72.8243	4.4789	20	FEDEARROZ_VILLANUEVA_TROMPILLOS
05/02/2012	2.6	29.33	22.39	82.83	190.0221811	febrero	2012	NO	-72.8243	4.4789	20	FEDEARROZ_VILLANUEVA_TROMPILLOS
06/02/2012	38.6	33.27345661	22.17	93.5	277.9993725	febrero	2012	SI	-72.8243	4.4789	20	FEDEARROZ_VILLANUEVA_TROMPILLOS
07/02/2012	2.2	31.06	22.5	88.62	314.2753906	febrero	2012	NO	-72.8243	4.4789	20	FEDEARROZ_VILLANUEVA_TROMPILLOS
08/02/2012	3.2	29.83	22.28	88.88	388.6498411	febrero	2012	NO	-72.8243	4.4789	20	FEDEARROZ_VILLANUEVA_TROMPILLOS
09/02/2012	0.2	31.72	21.67	85.96	363.2874106	febrero	2012	NO	-72.8243	4.4789	20	FEDEARROZ_VILLANUEVA_TROMPILLOS
10/02/2012	0	32.5	23.28	77.67	378.0838814	febrero	2012	NO	-72.8243	4.4789	20	FEDEARROZ_VILLANUEVA_TROMPILLOS
11/02/2012	0	33.5	22	72.08	555.3732557	febrero	2012	NO	-72.8243	4.4789	20	FEDEARROZ_VILLANUEVA_TROMPILLOS
12/02/2012	0	33.28	22.56	72.17	462.6115589	febrero	2012	NO	-72.8243	4.4789	20	FEDEARROZ_VILLANUEVA_TROMPILLOS
13/02/2012	0	33.44	23.28	70.08	500.6036131	febrero	2012	NO	-72.8243	4.4789	20	FEDEARROZ_VILLANUEVA_TROMPILLOS
14/02/2012	0	33.06	21.89	69.46	564.92802	febrero	2012	NO	-72.8243	4.4789	20	FEDEARROZ_VILLANUEVA_TROMPILLOS
15/02/2012	0	33.06	20.11	68.33	573.0175829	febrero	2012	NO	-72.8243	4.4789	20	FEDEARROZ_VILLANUEVA_TROMPILLOS
16/02/2012	0	33.17	19.28	68.71	539.648136	febrero	2012	NO	-72.8243	4.4789	20	FEDEARROZ_VILLANUEVA_TROMPILLOS
17/02/2012	0	34	19.67	66.33	562.1008003	febrero	2012	NO	-72.8243	4.4789	20	FEDEARROZ_VILLANUEVA_TROMPILLOS
18/02/2012	0	33.22	21.78	69.04	527.1836054	febrero	2012	NO	-72.8243	4.4789	20	FEDEARROZ_VILLANUEVA_TROMPILLOS
19/02/2012	0	33.39	21.89	70.29	458.0508614	febrero	2012	NO	-72.8243	4.4789	20	FEDEARROZ_VILLANUEVA_TROMPILLOS
20/02/2012	0	34.22	21.11	65.54	519.0940426	febrero	2012	NO	-72.8243	4.4789	20	FEDEARROZ_VILLANUEVA_TROMPILLOS
21/02/2012	0	34.5	22.11	63.25	548.8520774	febrero	2012	NO	-72.8243	4.4789	20	FEDEARROZ_VILLANUEVA_TROMPILLOS
22/02/2012	0	33.44	20.89	66.25	445.5037843	febrero	2012	NO	-72.8243	4.4789	20	FEDEARROZ_VILLANUEVA_TROMPILLOS
23/02/2012	0	33.5	20	66.62	565.2788429	febrero	2012	NO	-72.8243	4.4789	20	FEDEARROZ_VILLANUEVA_TROMPILLOS
24/02/2012	0	34.06	21.61	65.67	487.1072506	febrero	2012	NO	-72.8243	4.4789	20	FEDEARROZ_VILLANUEVA_TROMPILLOS
25/02/2012	0.2	32.56	23.5	72	393.2105386	febrero	2012	NO	-72.8243	4.4789	20	FEDEARROZ_VILLANUEVA_TROMPILLOS
26/02/2012	0	33	21.39	67.75	492.183864	febrero	2012	NO	-72.8243	4.4789	20	FEDEARROZ_VILLANUEVA_TROMPILLOS
27/02/2012	0	33.5	19.78	67.12	583.6660891	febrero	2012	NO	-72.8243	4.4789	20	FEDEARROZ_VILLANUEVA_TROMPILLOS
28/02/2012	0	33	20.61	67.33	504.7309411	febrero	2012	NO	-72.8243	4.4789	20	FEDEARROZ_VILLANUEVA_TROMPILLOS
29/02/2012	0	33.72	20.44	65.54	542.3928091	febrero	2012	NO	-72.8243	4.4789	20	FEDEARROZ_VILLANUEVA_TROMPILLOS
01/03/2012	0	34.44	21.28	62.75	543.3420946	marzo	2012	NO	-72.8243	4.4789	20	FEDEARROZ_VILLANUEVA_TROMPILLOS
02/03/2012	5.4	30.67	23.11	81.29	205.850484	marzo	2012	NO	-72.8243	4.4789	20	FEDEARROZ_VILLANUEVA_TROMPILLOS
03/03/2012	0.2	30.89	23.22	86.17	259.1549251	marzo	2012	NO	-72.8243	4.4789	20	FEDEARROZ_VILLANUEVA_TROMPILLOS
04/03/2012	5.8	31.67	22.61	83.58	295.2690451	marzo	2012	NO	-72.8243	4.4789	20	FEDEARROZ_VILLANUEVA_TROMPILLOS
05/03/2012	0.6	34.11	22.89	72.12	534.6540691	marzo	2012	NO	-72.8243	4.4789	20	FEDEARROZ_VILLANUEVA_TROMPILLOS
06/03/2012	0	34.06	21.61	70.08	542.3928091	marzo	2012	NO	-72.8243	4.4789	20	FEDEARROZ_VILLANUEVA_TROMPILLOS
