Date	Rain	TMAX	TMIN	RHUM	ESOL	Mes	ANIO	Modif	X	Y	ESTACION	NOMBRE_ESTACION
01/01/2018	0	31.52	22.41	97	348.69	enero	2018	SI	-73.01383	4.01303	18	FED_VILLAVICENCIO_LA_CECI
02/01/2018	0	31	23.53	97	368.23	enero	2018	SI	-73.01383	4.01303	18	FED_VILLAVICENCIO_LA_CECI
03/01/2018	0	31.44	24.44	90.42	399.46	enero	2018	SI	-73.01383	4.01303	18	FED_VILLAVICENCIO_LA_CECI
04/01/2018	0	32.17	21.94	83.04	526.67	enero	2018	NO	-73.01383	4.01303	18	FED_VILLAVICENCIO_LA_CECI
05/01/2018	0	31.56	21.89	82.58	532.26	enero	2018	NO	-73.01383	4.01303	18	FED_VILLAVICENCIO_LA_CECI
06/01/2018	0	31.06	22.78	84.41	191.18	enero	2018	NO	-73.01383	4.01303	18	FED_VILLAVICENCIO_LA_CECI
07/01/2018	0	31.22	21.28	84.92	404.64	enero	2018	NO	-73.01383	4.01303	18	FED_VILLAVICENCIO_LA_CECI
08/01/2018	0	31.5	22.22	82.5	514.88	enero	2018	NO	-73.01383	4.01303	18	FED_VILLAVICENCIO_LA_CECI
09/01/2018	0	31.44	22.5	83.83	487.19	enero	2018	NO	-73.01383	4.01303	18	FED_VILLAVICENCIO_LA_CECI
10/01/2018	0	31.94	22.72	83.04	486.51	enero	2018	NO	-73.01383	4.01303	18	FED_VILLAVICENCIO_LA_CECI
11/01/2018	10.8	31.56	23.33	82.38	514.72	enero	2018	NO	-73.01383	4.01303	18	FED_VILLAVICENCIO_LA_CECI
12/01/2018	0.2	27.06	22.22	89.75	392.18	enero	2018	NO	-73.01383	4.01303	18	FED_VILLAVICENCIO_LA_CECI
13/01/2018	0	31.17	22.22	83.75	601.12	enero	2018	NO	-73.01383	4.01303	18	FED_VILLAVICENCIO_LA_CECI
14/01/2018	0	31.72	21.44	82.08	553.23	enero	2018	NO	-73.01383	4.01303	18	FED_VILLAVICENCIO_LA_CECI
15/01/2018	0	33.1	22.5	95.12	364.76	enero	2018	SI	-73.01383	4.01303	18	FED_VILLAVICENCIO_LA_CECI
16/01/2018	0	30.61	23.94	88.71	275.15	enero	2018	NO	-73.01383	4.01303	18	FED_VILLAVICENCIO_LA_CECI
17/01/2018	0.8	29.83	22.83	88.96	324.08	enero	2018	NO	-73.01383	4.01303	18	FED_VILLAVICENCIO_LA_CECI
18/01/2018	11.2	29.11	22.83	92.83	295.54	enero	2018	NO	-73.01383	4.01303	18	FED_VILLAVICENCIO_LA_CECI
19/01/2018	0.2	30.89	23	88.62	438.1	enero	2018	NO	-73.01383	4.01303	18	FED_VILLAVICENCIO_LA_CECI
20/01/2018	0	31.5	23.28	84.67	532.67	enero	2018	NO	-73.01383	4.01303	18	FED_VILLAVICENCIO_LA_CECI
21/01/2018	0	31.94	22.33	82.42	562.95	enero	2018	NO	-73.01383	4.01303	18	FED_VILLAVICENCIO_LA_CECI
22/01/2018	0	29.83	22.67	77.29	360.49	enero	2018	SI	-73.01383	4.01303	18	FED_VILLAVICENCIO_LA_CECI
23/01/2018	0	30.83	22.22	72.14	427.13	enero	2018	SI	-73.01383	4.01303	18	FED_VILLAVICENCIO_LA_CECI
24/01/2018	0	32	19.78	82.46	554.09	enero	2018	NO	-73.01383	4.01303	18	FED_VILLAVICENCIO_LA_CECI
25/01/2018	0	32.28	20.72	82.62	499.32	enero	2018	NO	-73.01383	4.01303	18	FED_VILLAVICENCIO_LA_CECI
26/01/2018	0	32.17	22.44	81.38	448.85	enero	2018	NO	-73.01383	4.01303	18	FED_VILLAVICENCIO_LA_CECI
27/01/2018	0	31.33	21.78	80.92	513.25	enero	2018	NO	-73.01383	4.01303	18	FED_VILLAVICENCIO_LA_CECI
28/01/2018	0	30.94	22.17	79.62	468.97	enero	2018	NO	-73.01383	4.01303	18	FED_VILLAVICENCIO_LA_CECI
29/01/2018	0	31.56	19.83	78.58	524.52	enero	2018	NO	-73.01383	4.01303	18	FED_VILLAVICENCIO_LA_CECI
30/01/2018	0	32.89	20.22	78.75	562.35	enero	2018	NO	-73.01383	4.01303	18	FED_VILLAVICENCIO_LA_CECI
31/01/2018	0	32.28	21.11	80.38	521.32	enero	2018	NO	-73.01383	4.01303	18	FED_VILLAVICENCIO_LA_CECI
01/02/2018	0	31.61	21.17	79.38	536.8	febrero	2018	NO	-73.01383	4.01303	18	FED_VILLAVICENCIO_LA_CECI
02/02/2018	0	32.11	21.89	79.75	481	febrero	2018	NO	-73.01383	4.01303	18	FED_VILLAVICENCIO_LA_CECI
03/02/2018	0	32.11	22.94	80.25	417.21	febrero	2018	NO	-73.01383	4.01303	18	FED_VILLAVICENCIO_LA_CECI
04/02/2018	0	31.5	23.78	78.83	421.07	febrero	2018	NO	-73.01383	4.01303	18	FED_VILLAVICENCIO_LA_CECI
05/02/2018	0	30.67	22.5	80.17	350.39	febrero	2018	NO	-73.01383	4.01303	18	FED_VILLAVICENCIO_LA_CECI
06/02/2018	0	32.22	21.28	72.58	526.92	febrero	2018	NO	-73.01383	4.01303	18	FED_VILLAVICENCIO_LA_CECI
07/02/2018	0	30.83	21	75.79	536.55	febrero	2018	NO	-73.01383	4.01303	18	FED_VILLAVICENCIO_LA_CECI
08/02/2018	0	32.56	19.89	73.12	540.68	febrero	2018	NO	-73.01383	4.01303	18	FED_VILLAVICENCIO_LA_CECI
09/02/2018	0	32.17	21.17	73.22	601.06	febrero	2018	NO	-73.01383	4.01303	18	FED_VILLAVICENCIO_LA_CECI
10/02/2018	0	32.83	19.44	74.17	584.37	febrero	2018	NO	-73.01383	4.01303	18	FED_VILLAVICENCIO_LA_CECI
11/02/2018	0	33.17	19.5	74.08	573.62	febrero	2018	NO	-73.01383	4.01303	18	FED_VILLAVICENCIO_LA_CECI
12/02/2018	0	31.61	20.22	77.12	530.96	febrero	2018	NO	-73.01383	4.01303	18	FED_VILLAVICENCIO_LA_CECI
13/02/2018	0	30.78	19.72	74.54	490.9	febrero	2018	NO	-73.01383	4.01303	18	FED_VILLAVICENCIO_LA_CECI
14/02/2018	0	32.17	22.39	70.71	486.43	febrero	2018	NO	-73.01383	4.01303	18	FED_VILLAVICENCIO_LA_CECI
15/02/2018	0	31.94	21.67	72.71	360.19	febrero	2018	NO	-73.01383	4.01303	18	FED_VILLAVICENCIO_LA_CECI
16/02/2018	0	32.06	22.78	73.79	497.94	febrero	2018	NO	-73.01383	4.01303	18	FED_VILLAVICENCIO_LA_CECI
17/02/2018	0	33.22	22.61	71.83	541.63	febrero	2018	NO	-73.01383	4.01303	18	FED_VILLAVICENCIO_LA_CECI
18/02/2018	0	31.44	21.67	70.04	405.68	febrero	2018	NO	-73.01383	4.01303	18	FED_VILLAVICENCIO_LA_CECI
19/02/2018	0	32.11	21.44	66.54	523.65	febrero	2018	NO	-73.01383	4.01303	18	FED_VILLAVICENCIO_LA_CECI
20/02/2018	0	33.44	17.83	65.96	562.35	febrero	2018	NO	-73.01383	4.01303	18	FED_VILLAVICENCIO_LA_CECI
21/02/2018	0	33.56	16.94	66.5	555.56	febrero	2018	NO	-73.01383	4.01303	18	FED_VILLAVICENCIO_LA_CECI
22/02/2018	0	33.44	22	66.54	444.47	febrero	2018	NO	-73.01383	4.01303	18	FED_VILLAVICENCIO_LA_CECI
