Date	Rain	TMAX	TMIN	RHUM	ESOL	Mes	A?	Modif	X	Y	ESTACION	NOMBRE_ESTACION
01/01/2012	0.00	31.44	18.33	76.29	576.88	enero	2012	NO	-72.21025	5.15669	50	FED_YOPAL_EL_RECREO
02/01/2012	0.00	31.39	19.11	77.21	565.28	enero	2012	NO	-72.21025	5.15669	50	FED_YOPAL_EL_RECREO
03/01/2012	0.00	32.17	20.06	77.67	552.28	enero	2012	NO	-72.21025	5.15669	50	FED_YOPAL_EL_RECREO
04/01/2012	0.00	32.61	20.06	77.17	549.80	enero	2012	NO	-72.21025	5.15669	50	FED_YOPAL_EL_RECREO
05/01/2012	0.00	31.83	21.50	76.50	459.60	enero	2012	NO	-72.21025	5.15669	50	FED_YOPAL_EL_RECREO
06/01/2012	0.00	31.89	20.00	78.08	546.36	enero	2012	NO	-72.21025	5.15669	50	FED_YOPAL_EL_RECREO
07/01/2012	0.00	32.56	20.17	74.21	559.17	enero	2012	NO	-72.21025	5.15669	50	FED_YOPAL_EL_RECREO
08/01/2012	0.00	31.94	19.28	77.25	567.59	enero	2012	NO	-72.21025	5.15669	50	FED_YOPAL_EL_RECREO
09/01/2012	0.00	32.44	19.67	76.38	576.01	enero	2012	NO	-72.21025	5.15669	50	FED_YOPAL_EL_RECREO
10/01/2012	0.00	31.83	21.00	80.19	465.71	enero	2012	NO	-72.21025	5.15669	50	FED_YOPAL_EL_RECREO
11/01/2012	0.00	32.50	21.11	76.62	563.73	enero	2012	NO	-72.21025	5.15669	50	FED_YOPAL_EL_RECREO
12/01/2012	0.00	32.50	23.17	72.55	513.01	enero	2012	NO	-72.21025	5.15669	50	FED_YOPAL_EL_RECREO
13/01/2012	0.00	32.06	19.94	70.21	480.83	enero	2012	NO	-72.21025	5.15669	50	FED_YOPAL_EL_RECREO
14/01/2012	0.00	32.17	21.33	72.12	570.60	enero	2012	NO	-72.21025	5.15669	50	FED_YOPAL_EL_RECREO
15/01/2012	0.00	33.33	21.44	71.88	524.01	enero	2012	NO	-72.21025	5.15669	50	FED_YOPAL_EL_RECREO
16/01/2012	0.00	31.94	20.44	73.75	582.12	enero	2012	NO	-72.21025	5.15669	50	FED_YOPAL_EL_RECREO
17/01/2012	0.00	31.78	19.67	72.75	544.21	enero	2012	NO	-72.21025	5.15669	50	FED_YOPAL_EL_RECREO
18/01/2012	0.00	31.28	22.17	70.92	466.22	enero	2012	NO	-72.21025	5.15669	50	FED_YOPAL_EL_RECREO
19/01/2012	0.00	30.78	20.72	69.54	493.46	enero	2012	NO	-72.21025	5.15669	50	FED_YOPAL_EL_RECREO
20/01/2012	0.00	31.56	16.39	66.91	505.06	enero	2012	NO	-72.21025	5.15669	50	FED_YOPAL_EL_RECREO
21/01/2012	0.00	33.00	17.89	66.79	619.35	enero	2012	NO	-72.21025	5.15669	50	FED_YOPAL_EL_RECREO
22/01/2012	0.00	32.72	17.06	68.75	582.90	enero	2012	NO	-72.21025	5.15669	50	FED_YOPAL_EL_RECREO
23/01/2012	0.00	33.89	19.28	68.54	617.82	enero	2012	NO	-72.21025	5.15669	50	FED_YOPAL_EL_RECREO
24/01/2012	0.00	33.39	21.78	71.70	544.72	enero	2012	NO	-72.21025	5.15669	50	FED_YOPAL_EL_RECREO
25/01/2012	0.00	31.94	20.17	70.82	547.65	enero	2012	SI	-72.21025	5.15669	50	FED_YOPAL_EL_RECREO
26/01/2012	0.00	32.06	20.00	70.70	320.80	enero	2012	NO	-72.21025	5.15669	50	FED_YOPAL_EL_RECREO
27/01/2012	0.00	31.44	22.67	71.38	402.41	enero	2012	NO	-72.21025	5.15669	50	FED_YOPAL_EL_RECREO
