Date	Rain	TMAX	TMIN	RHUM	ESOL	Mes	ANIO	Modif	X	Y	ESTACION	NOMBRE_ESTACION
01/01/2017	0.000	32.537	20.037	78.248	510.466	enero	2017	SI	-72.27545	4.86201	48	FED_MANI
02/01/2017	0.000	33.750	20.250	76.791	517.734	enero	2017	SI	-72.27545	4.86201	48	FED_MANI
03/01/2017	0.000	34.268	20.378	70.042	454.552	enero	2017	SI	-72.27545	4.86201	48	FED_MANI
04/01/2017	0.000	34.346	21.236	75.453	506.793	enero	2017	SI	-72.27545	4.86201	48	FED_MANI
05/01/2017	0.000	33.167	20.947	80.760	511.648	enero	2017	SI	-72.27545	4.86201	48	FED_MANI
06/01/2017	0.250	32.072	19.852	76.764	503.335	enero	2017	SI	-72.27545	4.86201	48	FED_MANI
07/01/2017	0.000	33.881	21.711	75.230	483.301	enero	2017	SI	-72.27545	4.86201	48	FED_MANI
08/01/2017	0.000	34.031	21.751	70.342	482.764	enero	2017	SI	-72.27545	4.86201	48	FED_MANI
09/01/2017	0.000	29.715	22.655	91.371	361.462	enero	2017	SI	-72.27545	4.86201	48	FED_MANI
10/01/2017	0.000	33.215	20.055	79.197	512.064	enero	2017	SI	-72.27545	4.86201	48	FED_MANI
11/01/2017	0.000	35.739	21.179	66.804	481.844	enero	2017	SI	-72.27545	4.86201	48	FED_MANI
12/01/2017	1.000	31.875	20.595	79.756	495.522	enero	2017	SI	-72.27545	4.86201	48	FED_MANI
13/01/2017	0.000	33.303	20.133	78.120	518.448	enero	2017	SI	-72.27545	4.86201	48	FED_MANI
14/01/2017	0.000	31.690	21.410	85.576	474.237	enero	2017	SI	-72.27545	4.86201	48	FED_MANI
15/01/2017	0.000	31.619	20.499	80.203	466.782	enero	2017	SI	-72.27545	4.86201	48	FED_MANI
16/01/2017	0.000	34.072	21.902	73.825	481.275	enero	2017	SI	-72.27545	4.86201	48	FED_MANI
17/01/2017	0.000	29.699	21.479	93.846	295.647	enero	2017	SI	-72.27545	4.86201	48	FED_MANI
18/01/2017	0.000	31.689	20.809	85.305	474.517	enero	2017	SI	-72.27545	4.86201	48	FED_MANI
19/01/2017	0.000	31.470	20.590	81.492	437.920	enero	2017	SI	-72.27545	4.86201	48	FED_MANI
20/01/2017	0.000	32.915	19.745	77.450	515.326	enero	2017	SI	-72.27545	4.86201	48	FED_MANI
21/01/2017	0.000	31.954	21.124	86.003	500.510	enero	2017	SI	-72.27545	4.86201	48	FED_MANI
22/01/2017	0.000	33.386	21.606	81.145	507.570	enero	2017	SI	-72.27545	4.86201	48	FED_MANI
23/01/2017	2.200	31.408	21.348	90.146	440.566	enero	2017	SI	-72.27545	4.86201	48	FED_MANI
24/01/2017	0.000	29.724	21.394	93.683	294.953	enero	2017	SI	-72.27545	4.86201	48	FED_MANI
25/01/2017	0.000	32.742	20.302	78.692	506.884	enero	2017	SI	-72.27545	4.86201	48	FED_MANI
