estacion,date,tmax,tmin,rhum,esol,x,y,modif
35025110-LA LIBERTAD_AUT,2012-01-01,32.2,20.1,80.0,485.39,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-02-01,31.8,20.4,81.08,459.95,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-03-01,32.6,20.4,77.06,487.19,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-04-01,33.0,22.8,74.58,448.6,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-05-01,32.6,23.0,78.74,466.33,-73.467917,4.057361,SI
35025110-LA LIBERTAD_AUT,2012-06-01,31.8,23.0,81.36,519.26,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-07-01,33.1,22.3,80.12,537.67,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-08-01,32.8,22.3,77.29,520.83,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-09-01,33.2,22.4,74.64,426.39,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-10-01,33.4,22.6,71.65,309.3,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-11-01,32.4,23.2,79.49,416.7,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-12-01,32.2,23.2,77.42,423.84,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-01-13,32.6,24.0,74.83,498.73,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-01-14,33.4,22.4,75.04,529.25,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-01-15,33.6,22.8,69.38,545.59,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-01-16,32.4,22.2,77.54,334.99,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-01-17,32.8,20.4,75.26,554.34,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-01-18,32.0,19.0,79.25,545.49,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-01-19,31.2,21.6,85.8,517.2,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-01-20,30.2,22.8,87.45,429.92,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-01-21,31.6,21.8,80.73,409.2,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-01-22,33.6,21.4,77.21,487.02,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-01-23,34.8,22.0,71.5,505.0,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-01-24,34.5,21.4,77.7,406.46,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-01-25,32.6,23.2,76.99,364.4,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-01-26,33.0,21.8,77.65,486.59,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-01-27,33.6,21.2,78.77,398.64,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-01-28,33.8,22.8,67.05,359.76,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-01-29,34.0,21.2,79.21,323.48,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-01-30,32.2,21.8,79.25,449.28,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-01-31,34.8,21.2,75.12,200.34,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-01-02,36.38,23.6,56.22,400.04,-73.467917,4.057361,SI
35025110-LA LIBERTAD_AUT,2012-02-02,32.2,22.6,81.77,305.77,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-03-02,33.6,21.2,78.77,379.05,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-04-02,35.4,22.2,70.01,494.83,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-05-02,30.2,23.8,81.53,477.22,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-06-02,34.77,21.8,60.98,437.41,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-07-02,31.4,20.8,82.18,474.81,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-08-02,26.2,22.0,95.33,502.67,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-09-02,31.8,20.8,84.2,512.66,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-10-02,31.8,21.4,83.02,574.13,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-11-02,34.2,23.0,68.86,573.35,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-12-02,32.4,24.6,69.04,470.52,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-02-13,33.6,24.2,70.95,449.45,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-02-14,33.4,23.8,66.06,581.6,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-02-15,33.0,22.0,75.34,505.68,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-02-16,33.6,21.2,78.77,405.94,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-02-17,34.3,21.2,79.76,575.6,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-02-18,33.0,22.4,73.5,446.78,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-02-19,33.0,22.8,74.58,405.86,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-02-20,34.3,22.4,75.48,479.2,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-02-21,34.4,20.8,76.58,590.81,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-02-22,33.6,22.0,70.28,568.19,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-02-23,33.8,20.8,75.69,558.74,-73.467917,4.057361,NO
