Date	Rain	rain_days	tmax	tmin	tmean	t_dew_point	vapor_pressure_deficit	rhum	esol	month	year	Modif	x	y	station
01/01/2015	2.78	1	34.35	21.07	27.71	23.36	1.09	76.96	473.34	enero	2015	SI	-72.9667	4.5667	35105020_barranca_de_upia_joint adj
02/01/2015	0.00	0	35.27	22.71	28.99	23.13	1.40	70.59	437.80	enero	2015	SI	-72.9667	4.5667	35105020_barranca_de_upia_joint adj
03/01/2015	0.00	0	32.85	22.24	27.54	24.89	0.69	85.05	440.83	enero	2015	SI	-72.9667	4.5667	35105020_barranca_de_upia_joint adj
04/01/2015	0.00	0	33.01	20.62	26.81	23.20	0.89	80.27	487.38	enero	2015	SI	-72.9667	4.5667	35105020_barranca_de_upia_joint adj
05/01/2015	0.00	0	33.04	21.48	27.26	23.52	0.90	79.73	488.65	enero	2015	SI	-72.9667	4.5667	35105020_barranca_de_upia_joint adj
06/01/2015	0.00	0	33.27	21.27	27.27	23.73	0.88	80.67	485.27	enero	2015	SI	-72.9667	4.5667	35105020_barranca_de_upia_joint adj
07/01/2015	0.00	0	34.27	22.27	28.27	24.13	1.04	78.00	457.79	enero	2015	SI	-72.9667	4.5667	35105020_barranca_de_upia_joint adj
08/01/2015	0.00	0	32.81	22.20	27.51	24.86	0.69	85.07	444.71	enero	2015	SI	-72.9667	4.5667	35105020_barranca_de_upia_joint adj
09/01/2015	0.00	0	30.74	21.91	26.33	24.82	0.39	91.04	379.15	enero	2015	SI	-72.9667	4.5667	35105020_barranca_de_upia_joint adj
10/01/2015	0.00	0	33.22	21.83	27.52	23.98	0.87	80.68	490.19	enero	2015	SI	-72.9667	4.5667	35105020_barranca_de_upia_joint adj
11/01/2015	0.00	0	34.47	21.91	28.19	23.93	1.07	77.46	466.93	enero	2015	SI	-72.9667	4.5667	35105020_barranca_de_upia_joint adj
12/01/2015	0.00	0	34.97	23.19	29.08	24.02	1.24	74.03	443.13	enero	2015	SI	-72.9667	4.5667	35105020_barranca_de_upia_joint adj
13/01/2015	0.00	0	34.22	22.17	28.19	23.91	1.06	77.33	446.35	enero	2015	SI	-72.9667	4.5667	35105020_barranca_de_upia_joint adj
14/01/2015	0.20	1	32.69	21.91	27.30	23.83	0.83	81.06	453.44	enero	2015	SI	-72.9667	4.5667	35105020_barranca_de_upia_joint adj
15/01/2015	0.00	0	32.84	22.68	27.76	25.29	0.65	86.02	442.53	enero	2015	SI	-72.9667	4.5667	35105020_barranca_de_upia_joint adj
16/01/2015	0.00	0	34.31	22.54	28.43	24.78	0.95	80.31	495.84	enero	2015	SI	-72.9667	4.5667	35105020_barranca_de_upia_joint adj
17/01/2015	0.00	0	31.84	23.12	27.48	25.32	0.54	87.58	458.00	enero	2015	SI	-72.9667	4.5667	35105020_barranca_de_upia_joint adj
18/01/2015	0.00	0	31.90	22.90	27.40	25.63	0.47	89.65	387.47	enero	2015	SI	-72.9667	4.5667	35105020_barranca_de_upia_joint adj
19/01/2015	0.00	0	35.09	23.82	29.45	23.88	1.34	71.86	414.88	enero	2015	SI	-72.9667	4.5667	35105020_barranca_de_upia_joint adj
20/01/2015	0.00	0	34.27	21.72	28.00	23.82	1.05	77.80	478.21	enero	2015	SI	-72.9667	4.5667	35105020_barranca_de_upia_joint adj
21/01/2015	0.00	0	36.28	20.11	28.20	21.75	1.59	68.04	501.24	enero	2015	SI	-72.9667	4.5667	35105020_barranca_de_upia_joint adj
22/01/2015	0.00	0	33.87	22.31	28.09	23.93	1.02	77.89	486.83	enero	2015	SI	-72.9667	4.5667	35105020_barranca_de_upia_joint adj
23/01/2015	0.00	0	35.07	22.52	28.80	24.34	1.14	76.63	496.67	enero	2015	SI	-72.9667	4.5667	35105020_barranca_de_upia_joint adj
24/01/2015	0.00	0	35.02	21.74	28.38	22.59	1.38	70.75	429.91	enero	2015	SI	-72.9667	4.5667	35105020_barranca_de_upia_joint adj
