Date	Rain	rain_days	tmax	tmin	tmean	t_dew_point	vapor_pressure_deficit	rhum	esol	month	year	Modif	x	y	station
01/01/2012	0.20	1	33.06	24.56	28.81	26.61	0.58	87.52	489.56	enero	2012	NO	-74.556	8.5717	fedearroz_achi_la_mano_de_dios
02/01/2012	0.00	0	31.89	23.94	27.92	24.88	0.70	83.21	446.43	enero	2012	NO	-74.556	8.5717	fedearroz_achi_la_mano_de_dios
03/01/2012	0.80	1	30.67	24.61	27.64	26.21	0.35	91.54	219.00	enero	2012	NO	-74.556	8.5717	fedearroz_achi_la_mano_de_dios
04/01/2012	1.00	1	31.06	24.44	27.75	26.28	0.37	91.29	246.13	enero	2012	NO	-74.556	8.5717	fedearroz_achi_la_mano_de_dios
05/01/2012	0.20	1	32.61	23.50	28.06	25.29	0.69	84.54	470.68	enero	2012	NO	-74.556	8.5717	fedearroz_achi_la_mano_de_dios
06/01/2012	24.40	1	32.22	22.22	27.22	25.04	0.57	87.48	472.83	enero	2012	NO	-74.556	8.5717	fedearroz_achi_la_mano_de_dios
07/01/2012	0.00	0	32.39	24.28	28.34	25.90	0.61	86.23	419.79	enero	2012	NO	-74.556	8.5717	fedearroz_achi_la_mano_de_dios
08/01/2012	0.00	0	32.61	24.50	28.56	26.16	0.60	86.46	456.42	enero	2012	NO	-74.556	8.5717	fedearroz_achi_la_mano_de_dios
09/01/2012	11.40	1	32.78	24.11	28.45	26.28	0.57	87.65	426.02	enero	2012	NO	-74.556	8.5717	fedearroz_achi_la_mano_de_dios
10/01/2012	0.00	0	31.44	24.44	27.94	26.04	0.47	89.00	399.11	enero	2012	NO	-74.556	8.5717	fedearroz_achi_la_mano_de_dios
11/01/2012	0.00	0	33.28	24.44	28.86	26.54	0.62	86.88	412.18	enero	2012	NO	-74.556	8.5717	fedearroz_achi_la_mano_de_dios
12/01/2012	0.00	0	31.44	24.61	28.03	26.18	0.45	89.31	351.55	enero	2012	NO	-74.556	8.5717	fedearroz_achi_la_mano_de_dios
13/01/2012	0.00	0	31.78	24.06	27.92	26.61	0.36	92.23	285.38	enero	2012	NO	-74.556	8.5717	fedearroz_achi_la_mano_de_dios
14/01/2012	0.20	1	32.50	24.00	28.25	26.33	0.51	88.90	370.39	enero	2012	NO	-74.556	8.5717	fedearroz_achi_la_mano_de_dios
15/01/2012	0.00	0	33.00	24.67	28.84	26.25	0.66	85.52	449.75	enero	2012	NO	-74.556	8.5717	fedearroz_achi_la_mano_de_dios
16/01/2012	0.20	1	32.11	23.17	27.64	24.54	0.73	82.85	499.61	enero	2012	NO	-74.556	8.5717	fedearroz_achi_la_mano_de_dios
17/01/2012	0.00	0	32.22	22.50	27.36	24.11	0.77	82.10	492.23	enero	2012	NO	-74.556	8.5717	fedearroz_achi_la_mano_de_dios
18/01/2012	0.00	0	32.17	22.94	27.56	24.81	0.67	84.60	477.02	enero	2012	NO	-74.556	8.5717	fedearroz_achi_la_mano_de_dios
19/01/2012	0.00	0	32.67	23.33	28.00	25.21	0.69	84.42	460.32	enero	2012	NO	-74.556	8.5717	fedearroz_achi_la_mano_de_dios
20/01/2012	0.00	0	32.06	23.06	27.56	24.20	0.78	81.58	474.68	enero	2012	NO	-74.556	8.5717	fedearroz_achi_la_mano_de_dios
21/01/2012	0.00	0	33.06	21.06	27.06	23.34	0.90	79.81	503.58	enero	2012	NO	-74.556	8.5717	fedearroz_achi_la_mano_de_dios
22/01/2012	0.00	0	33.17	22.33	27.75	24.41	0.83	81.71	481.39	enero	2012	NO	-74.556	8.5717	fedearroz_achi_la_mano_de_dios
23/01/2012	0.00	0	33.00	23.78	28.39	25.72	0.68	85.06	463.97	enero	2012	NO	-74.556	8.5717	fedearroz_achi_la_mano_de_dios
24/01/2012	0.20	1	32.44	23.89	28.17	25.27	0.70	83.92	444.88	enero	2012	NO	-74.556	8.5717	fedearroz_achi_la_mano_de_dios
25/01/2012	1.60	1	32.67	24.17	28.42	25.53	0.71	83.98	434.19	enero	2012	NO	-74.556	8.5717	fedearroz_achi_la_mano_de_dios
26/01/2012	9.60	1	32.39	23.00	27.70	24.54	0.75	82.60	504.81	enero	2012	NO	-74.556	8.5717	fedearroz_achi_la_mano_de_dios
27/01/2012	0.00	0	32.56	23.89	28.23	25.39	0.69	84.21	474.77	enero	2012	NO	-74.556	8.5717	fedearroz_achi_la_mano_de_dios
28/01/2012	2.40	1	32.61	23.22	27.92	25.10	0.70	84.31	513.42	enero	2012	NO	-74.556	8.5717	fedearroz_achi_la_mano_de_dios
29/01/2012	0.00	0	32.83	23.83	28.33	25.41	0.72	83.83	499.53	enero	2012	NO	-74.556	8.5717	fedearroz_achi_la_mano_de_dios
30/01/2012	0.00	0	33.00	24.61	28.81	26.00	0.70	84.42	454.73	enero	2012	NO	-74.556	8.5717	fedearroz_achi_la_mano_de_dios
31/01/2012	0.00	0	32.72	24.11	28.42	25.09	0.79	81.85	501.31	enero	2012	NO	-74.556	8.5717	fedearroz_achi_la_mano_de_dios
01/02/2012	0.00	0	34.06	22.50	28.28	24.82	0.90	81.19	516.16	febrero	2012	NO	-74.556	8.5717	fedearroz_achi_la_mano_de_dios
02/02/2012	0.00	0	32.94	22.94	27.94	24.81	0.77	82.75	464.20	febrero	2012	NO	-74.556	8.5717	fedearroz_achi_la_mano_de_dios
03/02/2012	0.00	0	33.33	24.00	28.67	25.77	0.74	83.96	455.86	febrero	2012	NO	-74.556	8.5717	fedearroz_achi_la_mano_de_dios
