Date	Rain	rain_days	tmax	tmin	tmean	t_dew_point	vapor_pressure_deficit	rhum	esol	month	year	Modif	x	y	station
01/01/2012	0.00	0	32.45	21.83	27.14	23.70	0.82	81.16	476.42	enero	2012	SI	-74.556	8.5717	fedearroz_achi_la_mano_de_dios
02/01/2012	0.00	0	34.03	21.80	27.91	23.75	1.03	77.83	521.22	enero	2012	SI	-74.556	8.5717	fedearroz_achi_la_mano_de_dios
03/01/2012	0.00	0	32.99	19.49	26.24	21.15	1.14	73.47	496.60	enero	2012	SI	-74.556	8.5717	fedearroz_achi_la_mano_de_dios
04/01/2012	0.00	0	33.34	21.96	27.65	23.99	0.90	80.11	523.75	enero	2012	SI	-74.556	8.5717	fedearroz_achi_la_mano_de_dios
05/01/2012	0.00	0	33.86	20.64	27.25	23.16	1.02	78.12	507.84	enero	2012	SI	-74.556	8.5717	fedearroz_achi_la_mano_de_dios
06/01/2012	0.00	0	32.24	22.74	27.49	25.12	0.60	86.49	467.17	enero	2012	SI	-74.556	8.5717	fedearroz_achi_la_mano_de_dios
07/01/2012	0.20	1	33.46	21.96	27.71	24.33	0.86	81.49	527.96	enero	2012	SI	-74.556	8.5717	fedearroz_achi_la_mano_de_dios
08/01/2012	0.00	0	34.47	20.97	27.72	23.00	1.16	75.29	499.45	enero	2012	SI	-74.556	8.5717	fedearroz_achi_la_mano_de_dios
09/01/2012	0.00	0	34.63	21.46	28.05	23.93	1.06	78.10	509.24	enero	2012	SI	-74.556	8.5717	fedearroz_achi_la_mano_de_dios
10/01/2012	0.00	0	31.21	22.05	26.63	24.56	0.51	88.03	425.01	enero	2012	SI	-74.556	8.5717	fedearroz_achi_la_mano_de_dios
11/01/2012	0.00	0	33.08	22.69	27.88	25.10	0.72	84.45	480.97	enero	2012	SI	-74.556	8.5717	fedearroz_achi_la_mano_de_dios
12/01/2012	0.00	0	30.82	22.04	26.43	23.69	0.62	84.55	425.74	enero	2012	SI	-74.556	8.5717	fedearroz_achi_la_mano_de_dios
13/01/2012	0.00	0	31.33	22.50	26.91	24.75	0.53	87.51	420.78	enero	2012	SI	-74.556	8.5717	fedearroz_achi_la_mano_de_dios
14/01/2012	0.00	0	30.93	23.15	27.04	25.42	0.41	90.42	405.59	enero	2012	SI	-74.556	8.5717	fedearroz_achi_la_mano_de_dios
15/01/2012	0.00	0	32.47	21.92	27.20	23.33	0.89	79.10	472.79	enero	2012	SI	-74.556	8.5717	fedearroz_achi_la_mano_de_dios
16/01/2012	0.00	0	31.20	22.20	26.70	25.41	0.37	92.23	394.54	enero	2012	SI	-74.556	8.5717	fedearroz_achi_la_mano_de_dios
17/01/2012	0.00	0	31.94	23.10	27.52	25.80	0.46	89.89	471.32	enero	2012	SI	-74.556	8.5717	fedearroz_achi_la_mano_de_dios
18/01/2012	0.00	0	31.42	22.75	27.08	25.11	0.49	88.56	433.37	enero	2012	SI	-74.556	8.5717	fedearroz_achi_la_mano_de_dios
19/01/2012	0.00	0	34.74	21.40	28.07	23.21	1.20	74.73	521.09	enero	2012	SI	-74.556	8.5717	fedearroz_achi_la_mano_de_dios
20/01/2012	0.00	0	31.94	23.60	27.77	25.80	0.50	88.59	443.24	enero	2012	SI	-74.556	8.5717	fedearroz_achi_la_mano_de_dios
21/01/2012	0.25	1	30.33	22.83	26.58	25.40	0.31	92.87	371.82	enero	2012	SI	-74.556	8.5717	fedearroz_achi_la_mano_de_dios
22/01/2012	0.00	0	31.20	22.20	26.70	25.40	0.36	92.23	394.54	enero	2012	SI	-74.556	8.5717	fedearroz_achi_la_mano_de_dios
23/01/2012	0.00	0	31.49	22.55	27.02	24.86	0.53	87.57	433.99	enero	2012	SI	-74.556	8.5717	fedearroz_achi_la_mano_de_dios
24/01/2012	0.00	0	31.10	22.15	26.62	24.91	0.44	89.94	448.85	enero	2012	SI	-74.556	8.5717	fedearroz_achi_la_mano_de_dios
25/01/2012	0.00	0	33.21	23.94	28.57	24.19	1.01	76.92	455.55	enero	2012	SI	-74.556	8.5717	fedearroz_achi_la_mano_de_dios
26/01/2012	0.20	1	30.84	23.84	27.34	25.07	0.52	86.99	406.94	enero	2012	SI	-74.556	8.5717	fedearroz_achi_la_mano_de_dios
27/01/2012	0.00	0	33.91	21.29	27.60	22.93	1.11	75.51	506.88	enero	2012	SI	-74.556	8.5717	fedearroz_achi_la_mano_de_dios
28/01/2012	0.00	0	31.88	22.43	27.16	24.87	0.57	86.91	472.87	enero	2012	SI	-74.556	8.5717	fedearroz_achi_la_mano_de_dios
29/01/2012	0.00	0	31.67	23.28	27.47	25.54	0.49	88.78	437.81	enero	2012	SI	-74.556	8.5717	fedearroz_achi_la_mano_de_dios
30/01/2012	0.00	0	33.78	23.33	28.56	24.82	0.93	79.89	465.58	enero	2012	SI	-74.556	8.5717	fedearroz_achi_la_mano_de_dios
31/01/2012	0.00	0	31.38	22.38	26.88	24.96	0.49	88.78	451.25	enero	2012	SI	-74.556	8.5717	fedearroz_achi_la_mano_de_dios
01/02/2012	0.00	0	30.87	22.37	26.62	24.79	0.45	89.25	434.25	febrero	2012	SI	-74.556	8.5717	fedearroz_achi_la_mano_de_dios
02/02/2012	0.00	0	31.76	21.70	26.73	23.98	0.66	84.53	496.45	febrero	2012	SI	-74.556	8.5717	fedearroz_achi_la_mano_de_dios
03/02/2012	0.00	0	32.42	20.42	26.42	22.91	0.84	80.70	498.12	febrero	2012	SI	-74.556	8.5717	fedearroz_achi_la_mano_de_dios
04/02/2012	0.00	0	33.77	21.77	27.77	23.84	0.97	78.90	516.98	febrero	2012	SI	-74.556	8.5717	fedearroz_achi_la_mano_de_dios
05/02/2012	0.00	0	33.15	21.88	27.51	23.35	0.98	77.82	507.10	febrero	2012	SI	-74.556	8.5717	fedearroz_achi_la_mano_de_dios
06/02/2012	0.00	0	32.62	22.62	27.62	25.18	0.63	86.19	491.53	febrero	2012	SI	-74.556	8.5717	fedearroz_achi_la_mano_de_dios
07/02/2012	0.00	0	34.85	23.91	29.38	25.44	1.02	79.08	440.28	febrero	2012	SI	-74.556	8.5717	fedearroz_achi_la_mano_de_dios
08/02/2012	0.00	0	35.07	23.23	29.15	23.93	1.28	73.32	473.64	febrero	2012	SI	-74.556	8.5717	fedearroz_achi_la_mano_de_dios
09/02/2012	0.00	0	32.46	22.40	27.43	25.44	0.54	88.47	444.31	febrero	2012	SI	-74.556	8.5717	fedearroz_achi_la_mano_de_dios
10/02/2012	0.00	0	36.58	22.42	29.50	21.60	1.84	62.53	474.60	febrero	2012	SI	-74.556	8.5717	fedearroz_achi_la_mano_de_dios
11/02/2012	0.00	0	32.75	22.03	27.39	24.19	0.79	82.36	482.59	febrero	2012	SI	-74.556	8.5717	fedearroz_achi_la_mano_de_dios
12/02/2012	0.00	0	32.44	23.05	27.75	25.40	0.60	86.61	492.89	febrero	2012	SI	-74.556	8.5717	fedearroz_achi_la_mano_de_dios
13/02/2012	0.00	0	31.77	21.72	26.75	24.01	0.66	84.53	499.28	febrero	2012	SI	-74.556	8.5717	fedearroz_achi_la_mano_de_dios
14/02/2012	0.00	0	32.90	22.52	27.71	24.51	0.79	82.35	489.59	febrero	2012	SI	-74.556	8.5717	fedearroz_achi_la_mano_de_dios
15/02/2012	0.00	0	31.49	21.83	26.66	24.77	0.49	88.98	447.94	febrero	2012	SI	-74.556	8.5717	fedearroz_achi_la_mano_de_dios
16/02/2012	0.00	0	32.66	22.11	27.39	24.42	0.74	83.50	481.28	febrero	2012	SI	-74.556	8.5717	fedearroz_achi_la_mano_de_dios
17/02/2012	0.00	0	33.70	22.43	28.07	24.93	0.82	82.70	516.06	febrero	2012	SI	-74.556	8.5717	fedearroz_achi_la_mano_de_dios
18/02/2012	0.00	0	33.82	22.76	28.29	24.54	0.94	79.83	502.18	febrero	2012	SI	-74.556	8.5717	fedearroz_achi_la_mano_de_dios
19/02/2012	0.00	0	32.66	21.94	27.30	23.53	0.88	79.61	469.03	febrero	2012	SI	-74.556	8.5717	fedearroz_achi_la_mano_de_dios
20/02/2012	0.00	0	35.95	23.95	29.95	22.64	1.70	64.89	409.55	febrero	2012	SI	-74.556	8.5717	fedearroz_achi_la_mano_de_dios
21/02/2012	0.00	0	34.61	24.72	29.67	24.48	1.24	73.57	441.08	febrero	2012	SI	-74.556	8.5717	fedearroz_achi_la_mano_de_dios
22/02/2012	0.00	0	33.73	23.46	28.60	25.63	0.78	83.59	475.71	febrero	2012	SI	-74.556	8.5717	fedearroz_achi_la_mano_de_dios
23/02/2012	0.00	0	35.71	22.94	29.32	23.27	1.47	69.84	480.53	febrero	2012	SI	-74.556	8.5717	fedearroz_achi_la_mano_de_dios
24/02/2012	0.00	0	33.83	22.11	27.97	25.34	0.73	85.20	540.51	febrero	2012	SI	-74.556	8.5717	fedearroz_achi_la_mano_de_dios
25/02/2012	0.00	0	33.30	20.80	27.05	23.13	0.96	78.84	513.08	febrero	2012	SI	-74.556	8.5717	fedearroz_achi_la_mano_de_dios
26/02/2012	0.00	0	32.83	21.89	27.36	23.15	0.97	77.53	492.59	febrero	2012	SI	-74.556	8.5717	fedearroz_achi_la_mano_de_dios
27/02/2012	0.00	0	29.74	18.85	24.29	17.29	1.20	65.07	461.01	febrero	2012	SI	-74.556	8.5717	fedearroz_achi_la_mano_de_dios
28/02/2012	0.25	1	30.54	22.77	26.65	24.85	0.43	89.39	413.54	febrero	2012	SI	-74.556	8.5717	fedearroz_achi_la_mano_de_dios
29/02/2012	0.00	0	34.84	20.78	27.81	21.80	1.40	69.74	518.53	febrero	2012	SI	-74.556	8.5717	fedearroz_achi_la_mano_de_dios
01/03/2012	0.00	0	30.37	22.82	26.59	24.65	0.45	88.63	402.87	marzo	2012	SI	-74.556	8.5717	fedearroz_achi_la_mano_de_dios
02/03/2012	0.00	0	31.09	22.20	26.64	24.64	0.49	88.36	424.74	marzo	2012	SI	-74.556	8.5717	fedearroz_achi_la_mano_de_dios
03/03/2012	0.00	0	35.91	23.85	29.88	22.69	1.68	65.34	400.89	marzo	2012	SI	-74.556	8.5717	fedearroz_achi_la_mano_de_dios
04/03/2012	0.00	0	35.47	23.58	29.53	22.88	1.55	67.45	472.77	marzo	2012	SI	-74.556	8.5717	fedearroz_achi_la_mano_de_dios
05/03/2012	0.00	0	37.57	24.46	31.02	23.59	1.86	64.64	472.61	marzo	2012	SI	-74.556	8.5717	fedearroz_achi_la_mano_de_dios
06/03/2012	0.00	0	32.19	23.30	27.75	25.24	0.62	85.85	445.39	marzo	2012	SI	-74.556	8.5717	fedearroz_achi_la_mano_de_dios
07/03/2012	7.61	1	30.97	23.80	27.39	25.70	0.41	90.12	363.33	marzo	2012	SI	-74.556	8.5717	fedearroz_achi_la_mano_de_dios
08/03/2012	0.00	0	33.27	23.38	28.32	25.02	0.82	81.97	479.38	marzo	2012	SI	-74.556	8.5717	fedearroz_achi_la_mano_de_dios
09/03/2012	0.20	1	32.83	24.61	28.72	26.07	0.66	85.17	469.82	marzo	2012	SI	-74.556	8.5717	fedearroz_achi_la_mano_de_dios
10/03/2012	0.00	0	33.58	24.58	29.08	24.75	1.02	77.24	399.01	marzo	2012	SI	-74.556	8.5717	fedearroz_achi_la_mano_de_dios
11/03/2012	0.40	1	29.47	23.24	26.35	24.95	0.32	91.60	335.47	marzo	2012	SI	-74.556	8.5717	fedearroz_achi_la_mano_de_dios
12/03/2012	0.00	0	34.30	23.85	29.07	25.95	0.83	82.93	475.58	marzo	2012	SI	-74.556	8.5717	fedearroz_achi_la_mano_de_dios
13/03/2012	0.00	0	34.71	22.87	28.79	24.21	1.14	76.10	537.70	marzo	2012	SI	-74.556	8.5717	fedearroz_achi_la_mano_de_dios
14/03/2012	21.20	1	27.81	23.70	25.76	24.71	0.22	93.58	220.70	marzo	2012	SI	-74.556	8.5717	fedearroz_achi_la_mano_de_dios
15/03/2012	0.00	0	32.13	25.24	28.69	26.13	0.61	85.67	384.91	marzo	2012	SI	-74.556	8.5717	fedearroz_achi_la_mano_de_dios
