Date	Rain	rain_days	tmax	tmin	tmean	t_dew_point	vapor_pressure_deficit	rhum	esol	month	year	Modif	x	y	station
01/01/2012	0.00	0	31.33	18.00	24.67	20.85	0.86	79.00	503.70	enero	2012	NO	-72.5013	5.1399	fedearroz_aguazul_el_palmar
02/01/2012	0.00	0	31.17	20.11	25.64	21.98	0.80	79.92	479.37	enero	2012	NO	-72.5013	5.1399	fedearroz_aguazul_el_palmar
03/01/2012	0.00	0	32.06	20.33	26.20	22.50	0.85	79.79	480.05	enero	2012	NO	-72.5013	5.1399	fedearroz_aguazul_el_palmar
04/01/2012	0.00	0	32.33	22.00	27.17	23.55	0.84	80.30	411.47	enero	2012	NO	-72.5013	5.1399	fedearroz_aguazul_el_palmar
05/01/2012	0.00	0	31.83	23.44	27.64	22.94	1.00	75.40	300.88	enero	2012	NO	-72.5013	5.1399	fedearroz_aguazul_el_palmar
06/01/2012	0.00	0	31.33	22.11	26.72	22.73	0.86	78.50	472.66	enero	2012	NO	-72.5013	5.1399	fedearroz_aguazul_el_palmar
07/01/2012	0.00	0	32.39	20.39	26.39	22.11	0.97	77.08	465.27	enero	2012	NO	-72.5013	5.1399	fedearroz_aguazul_el_palmar
08/01/2012	0.00	0	31.61	20.89	26.25	22.19	0.89	78.12	472.06	enero	2012	NO	-72.5013	5.1399	fedearroz_aguazul_el_palmar
09/01/2012	0.00	0	32.11	19.61	25.86	21.84	0.91	78.25	508.94	enero	2012	NO	-72.5013	5.1399	fedearroz_aguazul_el_palmar
10/01/2012	0.00	0	32.06	20.17	26.12	22.24	0.88	78.92	504.65	enero	2012	NO	-72.5013	5.1399	fedearroz_aguazul_el_palmar
11/01/2012	0.00	0	32.11	20.94	26.53	22.78	0.86	79.58	482.30	enero	2012	NO	-72.5013	5.1399	fedearroz_aguazul_el_palmar
12/01/2012	0.00	0	32.06	20.50	26.28	22.38	0.89	78.83	422.10	enero	2012	NO	-72.5013	5.1399	fedearroz_aguazul_el_palmar
13/01/2012	0.00	0	30.33	23.28	26.81	21.87	0.97	74.21	317.02	enero	2012	NO	-72.5013	5.1399	fedearroz_aguazul_el_palmar
14/01/2012	0.00	0	31.94	20.56	26.25	21.70	0.98	75.83	509.97	enero	2012	NO	-72.5013	5.1399	fedearroz_aguazul_el_palmar
15/01/2012	0.00	0	32.94	20.72	26.83	22.02	1.08	74.75	480.67	enero	2012	NO	-72.5013	5.1399	fedearroz_aguazul_el_palmar
16/01/2012	0.00	0	31.50	20.44	25.97	21.74	0.91	77.25	482.30	enero	2012	NO	-72.5013	5.1399	fedearroz_aguazul_el_palmar
17/01/2012	0.00	0	31.44	19.11	25.28	20.89	0.94	76.42	509.89	enero	2012	NO	-72.5013	5.1399	fedearroz_aguazul_el_palmar
18/01/2012	0.00	0	30.89	20.00	25.45	21.18	0.89	77.00	438.53	enero	2012	NO	-72.5013	5.1399	fedearroz_aguazul_el_palmar
19/01/2012	0.00	0	30.17	22.11	26.14	21.45	0.92	75.21	393.38	enero	2012	NO	-72.5013	5.1399	fedearroz_aguazul_el_palmar
20/01/2012	0.00	0	30.44	21.83	26.14	20.47	1.08	70.92	265.43	enero	2012	NO	-72.5013	5.1399	fedearroz_aguazul_el_palmar
21/01/2012	0.00	0	32.44	16.94	24.69	18.81	1.23	69.79	521.86	enero	2012	NO	-72.5013	5.1399	fedearroz_aguazul_el_palmar
22/01/2012	0.00	0	32.44	18.22	25.33	19.81	1.17	71.42	512.04	enero	2012	NO	-72.5013	5.1399	fedearroz_aguazul_el_palmar
23/01/2012	0.00	0	33.67	17.83	25.75	19.76	1.33	69.50	517.98	enero	2012	NO	-72.5013	5.1399	fedearroz_aguazul_el_palmar
24/01/2012	0.00	0	32.94	19.72	26.33	21.30	1.12	73.71	499.16	enero	2012	NO	-72.5013	5.1399	fedearroz_aguazul_el_palmar
25/01/2012	0.00	0	30.72	21.89	26.31	22.17	0.85	77.75	422.54	enero	2012	NO	-72.5013	5.1399	fedearroz_aguazul_el_palmar
26/01/2012	0.00	0	31.33	21.33	26.33	21.14	1.05	73.04	483.25	enero	2012	NO	-72.5013	5.1399	fedearroz_aguazul_el_palmar
27/01/2012	0.00	0	32.61	20.22	26.42	20.96	1.16	71.88	465.01	enero	2012	NO	-72.5013	5.1399	fedearroz_aguazul_el_palmar
28/01/2012	0.00	0	32.56	19.56	26.06	20.80	1.13	72.67	499.84	enero	2012	NO	-72.5013	5.1399	fedearroz_aguazul_el_palmar
29/01/2012	0.00	0	31.50	20.83	26.17	21.74	0.94	76.38	472.93	enero	2012	NO	-72.5013	5.1399	fedearroz_aguazul_el_palmar
30/01/2012	0.00	0	31.44	21.00	26.22	21.13	1.04	73.42	473.01	enero	2012	NO	-72.5013	5.1399	fedearroz_aguazul_el_palmar
31/01/2012	0.00	0	33.17	19.94	26.56	20.95	1.22	71.25	520.39	enero	2012	NO	-72.5013	5.1399	fedearroz_aguazul_el_palmar
01/02/2012	0.00	0	31.39	21.33	26.36	21.03	1.07	72.42	462.69	febrero	2012	NO	-72.5013	5.1399	fedearroz_aguazul_el_palmar
02/02/2012	0.00	0	30.78	21.17	25.98	20.61	1.05	72.17	475.16	febrero	2012	NO	-72.5013	5.1399	fedearroz_aguazul_el_palmar
03/02/2012	0.00	0	32.50	19.06	25.78	20.27	1.17	71.54	424.60	febrero	2012	NO	-72.5013	5.1399	fedearroz_aguazul_el_palmar
04/02/2012	0.00	0	33.44	20.44	26.94	20.92	1.30	69.58	463.04	febrero	2012	NO	-72.5013	5.1399	fedearroz_aguazul_el_palmar
05/02/2012	0.00	0	28.78	23.00	25.89	23.33	0.52	85.38	227.68	febrero	2012	NO	-72.5013	5.1399	fedearroz_aguazul_el_palmar
06/02/2012	13.20	1	25.28	22.28	23.78	23.11	0.13	95.75	197.20	febrero	2012	SI	-72.5013	5.1399	fedearroz_aguazul_el_palmar
07/02/2012	0.25	1	31.33	22.11	26.72	23.87	0.66	84.00	475.24	febrero	2012	NO	-72.5013	5.1399	fedearroz_aguazul_el_palmar
08/02/2012	20.06	1	29.72	22.61	26.17	24.69	0.35	91.17	248.84	febrero	2012	NO	-72.5013	5.1399	fedearroz_aguazul_el_palmar
09/02/2012	0.25	1	32.67	21.89	27.28	24.45	0.72	84.17	492.35	febrero	2012	NO	-72.5013	5.1399	fedearroz_aguazul_el_palmar
10/02/2012	0.00	0	32.39	23.33	27.86	24.14	0.85	79.88	389.08	febrero	2012	NO	-72.5013	5.1399	fedearroz_aguazul_el_palmar
11/02/2012	0.00	0	33.00	20.67	26.84	22.17	1.06	75.38	548.07	febrero	2012	NO	-72.5013	5.1399	fedearroz_aguazul_el_palmar
12/02/2012	0.00	0	32.56	22.06	27.31	22.25	1.10	73.75	332.60	febrero	2012	NO	-72.5013	5.1399	fedearroz_aguazul_el_palmar
13/02/2012	0.00	0	32.94	21.44	27.19	21.99	1.14	73.12	464.32	febrero	2012	NO	-72.5013	5.1399	fedearroz_aguazul_el_palmar
14/02/2012	0.00	0	32.28	20.67	26.48	21.27	1.11	72.96	541.20	febrero	2012	NO	-72.5013	5.1399	fedearroz_aguazul_el_palmar
15/02/2012	0.00	0	32.33	20.11	26.22	20.50	1.19	70.71	554.01	febrero	2012	NO	-72.5013	5.1399	fedearroz_aguazul_el_palmar
16/02/2012	0.00	0	33.11	19.00	26.06	20.06	1.28	69.50	539.05	febrero	2012	NO	-72.5013	5.1399	fedearroz_aguazul_el_palmar
