Date	Rain	rain_days	tmax	tmin	tmean	t_dew_point	vapor_pressure_deficit	rhum	esol	month	year	Modif	x	y	station
28/04/2021	0.00	0	30.44	23.94	27.19	23.55	0.76	80.17	466.22	abril	2021	NO	-72.447	4.8966	fedearroz_aguazul_primavera
29/04/2021	66.03	1	25.67	22.72	24.20	23.20	0.19	93.83	107.56	abril	2021	NO	-72.447	4.8966	fedearroz_aguazul_primavera
30/04/2021	15.24	1	25.11	22.28	23.70	22.73	0.18	93.96	160.18	abril	2021	NO	-72.447	4.8966	fedearroz_aguazul_primavera
1/05/2021	1.01	1	30.72	22.00	26.36	23.91	0.57	85.96	403.88	mayo	2021	NO	-72.447	4.8966	fedearroz_aguazul_primavera
2/05/2021	13.96	1	30.33	22.61	26.47	24.64	0.43	89.25	356.50	mayo	2021	NO	-72.447	4.8966	fedearroz_aguazul_primavera
3/05/2021	30.73	1	29.44	22.94	26.19	24.85	0.31	91.96	299.07	mayo	2021	NO	-72.447	4.8966	fedearroz_aguazul_primavera
4/05/2021	0.00	0	30.78	22.61	26.70	24.33	0.55	86.46	475.08	mayo	2021	NO	-72.447	4.8966	fedearroz_aguazul_primavera
5/05/2021	0.25	1	30.33	23.44	26.89	24.53	0.52	86.54	455.12	mayo	2021	NO	-72.447	4.8966	fedearroz_aguazul_primavera
6/05/2021	0.25	1	32.06	23.78	27.92	25.18	0.66	84.67	467.07	mayo	2021	NO	-72.447	4.8966	fedearroz_aguazul_primavera
7/05/2021	40.39	1	31.50	22.83	27.17	24.95	0.54	87.25	468.45	mayo	2021	NO	-72.447	4.8966	fedearroz_aguazul_primavera
8/05/2021	5.08	1	29.61	22.89	26.25	24.73	0.35	90.92	324.86	mayo	2021	NO	-72.447	4.8966	fedearroz_aguazul_primavera
9/05/2021	3.56	1	30.22	22.44	26.33	24.49	0.43	89.17	385.04	mayo	2021	NO	-72.447	4.8966	fedearroz_aguazul_primavera
10/05/2021	66.04	1	28.22	22.11	25.17	23.97	0.27	92.71	268.11	mayo	2021	NO	-72.447	4.8966	fedearroz_aguazul_primavera
11/05/2021	24.64	1	28.06	22.72	25.39	24.34	0.23	93.54	253.58	mayo	2021	NO	-72.447	4.8966	fedearroz_aguazul_primavera
12/05/2021	1.27	1	30.28	22.17	26.23	24.52	0.41	89.92	403.28	mayo	2021	NO	-72.447	4.8966	fedearroz_aguazul_primavera
13/05/2021	0.00	0	31.39	23.83	27.61	24.51	0.70	82.83	459.08	mayo	2021	NO	-72.447	4.8966	fedearroz_aguazul_primavera
14/05/2021	0.00	0	32.11	24.17	28.14	25.05	0.72	82.96	456.15	mayo	2021	NO	-72.447	4.8966	fedearroz_aguazul_primavera
15/05/2021	0.00	0	32.89	24.44	28.67	24.94	0.87	80.00	526.32	mayo	2021	NO	-72.447	4.8966	fedearroz_aguazul_primavera
16/05/2021	53.33	1	26.06	22.72	24.39	23.63	0.15	95.25	91.23	mayo	2021	SI	-72.447	4.8966	fedearroz_aguazul_primavera
17/05/2021	67.56	1	24.50	22.11	23.31	22.84	0.09	97.00	91.32	mayo	2021	NO	-72.447	4.8966	fedearroz_aguazul_primavera
18/05/2021	0.00	0	30.17	21.83	26.00	24.00	0.47	88.33	428.64	mayo	2021	NO	-72.447	4.8966	fedearroz_aguazul_primavera
19/05/2021	22.60	1	27.94	23.17	25.56	24.33	0.26	92.54	274.12	mayo	2021	NO	-72.447	4.8966	fedearroz_aguazul_primavera
20/05/2021	0.00	0	31.28	22.06	26.67	24.26	0.58	86.21	500.95	mayo	2021	NO	-72.447	4.8966	fedearroz_aguazul_primavera
21/05/2021	0.00	0	32.33	22.83	27.58	25.05	0.63	85.71	460.36	mayo	2021	NO	-72.447	4.8966	fedearroz_aguazul_primavera
22/05/2021	1.02	1	31.56	23.44	27.50	25.12	0.57	86.46	403.61	mayo	2021	NO	-72.447	4.8966	fedearroz_aguazul_primavera
23/05/2021	0.00	0	32.44	23.83	28.14	25.17	0.71	83.58	445.24	mayo	2021	NO	-72.447	4.8966	fedearroz_aguazul_primavera
24/05/2021	6.86	1	29.72	23.39	26.56	24.45	0.46	87.79	295.78	mayo	2021	NO	-72.447	4.8966	fedearroz_aguazul_primavera
25/05/2021	35.30	1	28.83	21.78	25.31	24.51	0.21	95.04	156.59	mayo	2021	NO	-72.447	4.8966	fedearroz_aguazul_primavera
26/05/2021	2.79	1	29.83	22.17	26.00	24.14	0.43	89.04	369.31	mayo	2021	NO	-72.447	4.8966	fedearroz_aguazul_primavera
27/05/2021	62.75	1	25.72	22.50	24.11	23.27	0.16	94.75	137.58	mayo	2021	SI	-72.447	4.8966	fedearroz_aguazul_primavera
28/05/2021	0.00	0	30.83	21.83	26.33	24.56	0.45	89.58	377.90	mayo	2021	NO	-72.447	4.8966	fedearroz_aguazul_primavera
29/05/2021	0.00	0	31.56	23.44	27.50	25.06	0.58	86.12	531.15	mayo	2021	NO	-72.447	4.8966	fedearroz_aguazul_primavera
30/05/2021	0.00	0	30.39	23.56	26.98	25.69	0.32	92.29	285.30	mayo	2021	NO	-72.447	4.8966	fedearroz_aguazul_primavera
31/05/2021	0.25	1	31.72	23.44	27.58	25.08	0.60	85.83	449.96	mayo	2021	NO	-72.447	4.8966	fedearroz_aguazul_primavera
1/06/2021	71.87	1	29.33	22.28	25.81	24.89	0.24	94.38	283.40	junio	2021	NO	-72.447	4.8966	fedearroz_aguazul_primavera
2/06/2021	5.33	1	29.94	22.44	26.19	24.92	0.32	92.33	296.82	junio	2021	NO	-72.447	4.8966	fedearroz_aguazul_primavera
3/06/2021	0.51	1	30.22	23.78	27.00	25.46	0.37	90.88	370.26	junio	2021	NO	-72.447	4.8966	fedearroz_aguazul_primavera
4/06/2021	1.27	1	29.00	22.94	25.97	24.49	0.33	91.17	252.37	junio	2021	NO	-72.447	4.8966	fedearroz_aguazul_primavera
5/06/2021	0.25	1	31.44	22.50	26.97	25.03	0.49	88.71	430.52	junio	2021	NO	-72.447	4.8966	fedearroz_aguazul_primavera
6/06/2021	0.51	1	29.33	23.72	26.53	24.68	0.40	89.17	396.47	junio	2021	NO	-72.447	4.8966	fedearroz_aguazul_primavera
7/06/2021	0.25	1	31.44	22.56	27.00	24.62	0.57	86.42	363.12	junio	2021	NO	-72.447	4.8966	fedearroz_aguazul_primavera
8/06/2021	0.00	0	30.72	24.17	27.45	26.35	0.29	93.42	235.61	junio	2021	NO	-72.447	4.8966	fedearroz_aguazul_primavera
9/06/2021	0.25	1	31.72	23.11	27.42	25.52	0.49	88.96	396.47	junio	2021	NO	-72.447	4.8966	fedearroz_aguazul_primavera
10/06/2021	24.40	1	27.78	22.06	24.92	23.91	0.22	93.79	157.19	junio	2021	NO	-72.447	4.8966	fedearroz_aguazul_primavera
11/06/2021	0.00	0	30.33	22.44	26.39	24.23	0.49	87.54	489.69	junio	2021	NO	-72.447	4.8966	fedearroz_aguazul_primavera
