Date	Rain	rain_days	tmax	tmin	tmean	t_dew_point	vapor_pressure_deficit	rhum	esol	month	year	Modif	x	y	station
01/01/2012	0.00	0	35.72	22.78	29.25	23.34	1.44	70.42	545.76	enero	2012	NO	-75.2398	3.2461	fedearroz_aipe_piedrapintada
02/01/2012	0.00	0	32.94	21.83	27.39	22.80	1.04	75.88	430.95	enero	2012	NO	-75.2398	3.2461	fedearroz_aipe_piedrapintada
03/01/2012	0.00	0	32.22	24.06	28.14	24.16	0.89	78.71	423.22	enero	2012	NO	-75.2398	3.2461	fedearroz_aipe_piedrapintada
04/01/2012	0.00	0	31.44	23.00	27.22	23.53	0.81	79.96	406.71	enero	2012	NO	-75.2398	3.2461	fedearroz_aipe_piedrapintada
05/01/2012	0.00	0	32.89	23.94	28.42	24.59	0.89	79.50	422.18	enero	2012	NO	-75.2398	3.2461	fedearroz_aipe_piedrapintada
06/01/2012	0.60	1	31.28	23.72	27.50	24.49	0.68	83.29	410.67	enero	2012	NO	-75.2398	3.2461	fedearroz_aipe_piedrapintada
07/01/2012	0.00	0	32.00	23.67	27.84	24.48	0.77	81.62	491.94	enero	2012	NO	-75.2398	3.2461	fedearroz_aipe_piedrapintada
08/01/2012	3.00	1	29.78	23.67	26.73	24.49	0.49	87.12	335.43	enero	2012	NO	-75.2398	3.2461	fedearroz_aipe_piedrapintada
09/01/2012	0.00	0	31.89	23.89	27.89	24.66	0.74	82.25	470.60	enero	2012	NO	-75.2398	3.2461	fedearroz_aipe_piedrapintada
10/01/2012	0.00	0	33.50	24.06	28.78	25.20	0.88	80.67	442.41	enero	2012	NO	-75.2398	3.2461	fedearroz_aipe_piedrapintada
11/01/2012	0.00	0	33.22	24.56	28.89	24.64	0.99	77.58	508.09	enero	2012	NO	-75.2398	3.2461	fedearroz_aipe_piedrapintada
12/01/2012	0.00	0	34.33	23.89	29.11	24.69	1.08	76.83	533.11	enero	2012	NO	-75.2398	3.2461	fedearroz_aipe_piedrapintada
13/01/2012	0.00	0	34.61	25.11	29.86	25.60	1.06	77.67	440.34	enero	2012	NO	-75.2398	3.2461	fedearroz_aipe_piedrapintada
14/01/2012	0.00	0	32.61	22.78	27.70	23.22	1.00	76.42	441.79	enero	2012	NO	-75.2398	3.2461	fedearroz_aipe_piedrapintada
15/01/2012	0.00	0	34.33	22.78	28.56	23.67	1.17	74.71	436.11	enero	2012	NO	-75.2398	3.2461	fedearroz_aipe_piedrapintada
16/01/2012	0.00	0	33.89	23.00	28.45	23.15	1.21	72.88	561.32	enero	2012	NO	-75.2398	3.2461	fedearroz_aipe_piedrapintada
17/01/2012	26.20	1	33.06	22.11	27.59	22.80	1.08	75.00	524.69	enero	2012	NO	-75.2398	3.2461	fedearroz_aipe_piedrapintada
18/01/2012	34.00	1	29.28	20.94	25.11	23.08	0.45	88.08	412.22	enero	2012	NO	-75.2398	3.2461	fedearroz_aipe_piedrapintada
19/01/2012	7.60	1	29.00	20.94	24.97	23.01	0.43	88.46	467.85	enero	2012	NO	-75.2398	3.2461	fedearroz_aipe_piedrapintada
20/01/2012	0.00	0	30.06	22.83	26.45	24.32	0.48	87.67	415.91	enero	2012	NO	-75.2398	3.2461	fedearroz_aipe_piedrapintada
21/01/2012	1.40	1	30.28	23.22	26.75	24.82	0.45	88.75	297.68	enero	2012	NO	-75.2398	3.2461	fedearroz_aipe_piedrapintada
22/01/2012	0.20	1	28.39	23.11	25.75	23.07	0.53	84.75	516.78	enero	2012	NO	-75.2398	3.2461	fedearroz_aipe_piedrapintada
23/01/2012	0.00	0	29.83	22.83	26.33	24.01	0.50	86.67	385.47	enero	2012	NO	-75.2398	3.2461	fedearroz_aipe_piedrapintada
24/01/2012	0.00	0	29.28	23.00	26.14	23.41	0.56	84.54	520.29	enero	2012	NO	-75.2398	3.2461	fedearroz_aipe_piedrapintada
25/01/2012	0.00	0	31.61	22.28	26.95	22.71	0.91	77.38	554.44	enero	2012	NO	-75.2398	3.2461	fedearroz_aipe_piedrapintada
26/01/2012	0.20	1	32.11	22.44	27.28	23.58	0.84	79.96	511.95	enero	2012	NO	-75.2398	3.2461	fedearroz_aipe_piedrapintada
27/01/2012	0.20	1	31.17	23.28	27.23	23.58	0.79	80.17	545.24	enero	2012	NO	-75.2398	3.2461	fedearroz_aipe_piedrapintada
28/01/2012	0.00	0	33.89	23.78	28.84	23.94	1.14	74.71	548.69	enero	2012	NO	-75.2398	3.2461	fedearroz_aipe_piedrapintada
29/01/2012	0.00	0	34.61	23.22	28.92	24.05	1.18	74.83	533.21	enero	2012	NO	-75.2398	3.2461	fedearroz_aipe_piedrapintada
30/01/2012	0.00	0	32.50	23.44	27.97	23.94	0.92	78.46	511.54	enero	2012	NO	-75.2398	3.2461	fedearroz_aipe_piedrapintada
31/01/2012	4.80	1	31.72	23.61	27.67	24.38	0.74	81.96	522.35	enero	2012	NO	-75.2398	3.2461	fedearroz_aipe_piedrapintada
01/02/2012	0.80	1	31.83	22.61	27.22	23.80	0.78	81.25	375.75	febrero	2012	NO	-75.2398	3.2461	fedearroz_aipe_piedrapintada
02/02/2012	0.00	0	32.67	23.17	27.92	24.54	0.81	81.54	487.54	febrero	2012	NO	-75.2398	3.2461	fedearroz_aipe_piedrapintada
03/02/2012	0.00	0	33.44	23.22	28.33	23.37	1.13	74.33	473.09	febrero	2012	NO	-75.2398	3.2461	fedearroz_aipe_piedrapintada
04/02/2012	0.00	0	35.00	23.00	29.00	23.01	1.41	70.04	552.38	febrero	2012	NO	-75.2398	3.2461	fedearroz_aipe_piedrapintada
05/02/2012	0.60	1	30.22	23.44	26.83	24.29	0.56	85.54	299.31	febrero	2012	NO	-75.2398	3.2461	fedearroz_aipe_piedrapintada
06/02/2012	1.20	1	28.44	22.44	25.44	23.67	0.37	89.50	259.59	febrero	2012	NO	-75.2398	3.2461	fedearroz_aipe_piedrapintada
07/02/2012	0.00	0	34.11	22.44	28.28	24.11	1.03	77.88	570.77	febrero	2012	NO	-75.2398	3.2461	fedearroz_aipe_piedrapintada
08/02/2012	0.40	1	29.00	22.56	25.78	23.66	0.45	87.67	281.94	febrero	2012	NO	-75.2398	3.2461	fedearroz_aipe_piedrapintada
09/02/2012	0.00	0	33.22	22.72	27.97	24.06	0.93	79.04	453.76	febrero	2012	NO	-75.2398	3.2461	fedearroz_aipe_piedrapintada
10/02/2012	0.20	1	31.11	23.56	27.34	23.96	0.74	81.46	525.64	febrero	2012	NO	-75.2398	3.2461	fedearroz_aipe_piedrapintada
11/02/2012	0.20	1	32.78	23.61	28.20	23.86	0.98	77.12	474.73	febrero	2012	NO	-75.2398	3.2461	fedearroz_aipe_piedrapintada
12/02/2012	0.00	0	33.44	23.39	28.42	23.61	1.10	75.04	503.10	febrero	2012	NO	-75.2398	3.2461	fedearroz_aipe_piedrapintada
13/02/2012	0.00	0	33.17	25.33	29.25	22.66	1.40	67.62	425.96	febrero	2012	SI	-75.2398	3.2461	fedearroz_aipe_piedrapintada
14/02/2012	0.00	0	33.33	24.67	29.00	22.94	1.32	69.75	547.22	febrero	2012	NO	-75.2398	3.2461	fedearroz_aipe_piedrapintada
15/02/2012	0.00	0	33.06	23.89	28.48	21.91	1.38	67.61	542.93	febrero	2012	NO	-75.2398	3.2461	fedearroz_aipe_piedrapintada
16/02/2012	0.00	0	33.11	23.94	28.53	21.93	1.38	67.50	549.29	febrero	2012	NO	-75.2398	3.2461	fedearroz_aipe_piedrapintada
17/02/2012	0.00	0	33.39	23.22	28.31	22.05	1.34	68.83	574.73	febrero	2012	NO	-75.2398	3.2461	fedearroz_aipe_piedrapintada
