Date	Rain	rain_days	tmax	tmin	tmean	t_dew_point	vapor_pressure_deficit	rhum	esol	month	year	Modif	x	y	station
19/12/2015	0.20	1	31.11	23.39	27.25	20.87	1.23	68.15	628.30	diciembre	2015	NO	-74.9575	4.5672	fedearroz_alvarado_calicanto
20/12/2015	0.00	0	32.28	21.44	26.86	20.59	1.27	68.50	490.37	diciembre	2015	NO	-74.9575	4.5672	fedearroz_alvarado_calicanto
21/12/2015	0.00	0	33.00	19.94	26.47	18.30	1.58	60.92	539.48	diciembre	2015	NO	-74.9575	4.5672	fedearroz_alvarado_calicanto
22/12/2015	0.00	0	33.28	20.72	27.00	18.44	1.66	59.54	545.24	diciembre	2015	NO	-74.9575	4.5672	fedearroz_alvarado_calicanto
23/12/2015	0.00	0	33.56	21.39	27.48	20.95	1.39	67.58	521.51	diciembre	2015	NO	-74.9575	4.5672	fedearroz_alvarado_calicanto
24/12/2015	0.00	0	33.33	21.06	27.20	19.40	1.56	62.50	520.83	diciembre	2015	NO	-74.9575	4.5672	fedearroz_alvarado_calicanto
25/12/2015	0.00	0	33.00	20.22	26.61	17.96	1.64	59.13	504.61	diciembre	2015	NO	-74.9575	4.5672	fedearroz_alvarado_calicanto
26/12/2015	0.00	0	33.39	21.56	27.48	18.18	1.77	56.92	497.51	diciembre	2015	NO	-74.9575	4.5672	fedearroz_alvarado_calicanto
27/12/2015	0.00	0	33.50	22.11	27.81	19.78	1.61	61.71	545.41	diciembre	2015	NO	-74.9575	4.5672	fedearroz_alvarado_calicanto
28/12/2015	0.00	0	33.06	20.78	26.92	18.63	1.60	60.54	492.02	diciembre	2015	NO	-74.9575	4.5672	fedearroz_alvarado_calicanto
29/12/2015	0.00	0	33.89	20.00	26.95	18.57	1.67	60.21	560.28	diciembre	2015	NO	-74.9575	4.5672	fedearroz_alvarado_calicanto
30/12/2015	0.00	0	33.94	21.78	27.86	19.69	1.66	61.17	493.65	diciembre	2015	NO	-74.9575	4.5672	fedearroz_alvarado_calicanto
31/12/2015	0.00	0	34.67	25.89	30.28	19.21	2.20	51.25	554.96	diciembre	2015	NO	-74.9575	4.5672	fedearroz_alvarado_calicanto
1/01/2016	0.00	0	34.72	22.89	28.81	18.50	2.03	53.58	520.48	enero	2016	NO	-74.9575	4.5672	fedearroz_alvarado_calicanto
2/01/2016	0.00	0	31.00	21.67	26.34	21.52	0.97	74.67	366.90	enero	2016	NO	-74.9575	4.5672	fedearroz_alvarado_calicanto
3/01/2016	0.00	0	33.61	19.67	26.64	20.76	1.30	70.09	448.27	enero	2016	NO	-74.9575	4.5672	fedearroz_alvarado_calicanto
4/01/2016	2.00	1	31.28	23.56	27.42	23.15	0.90	77.29	323.75	enero	2016	NO	-74.9575	4.5672	fedearroz_alvarado_calicanto
5/01/2016	6.00	1	32.83	20.89	26.86	22.50	1.00	76.79	526.67	enero	2016	NO	-74.9575	4.5672	fedearroz_alvarado_calicanto
6/01/2016	2.20	1	28.83	23.06	25.95	23.04	0.58	83.62	241.45	enero	2016	NO	-74.9575	4.5672	fedearroz_alvarado_calicanto
7/01/2016	0.00	0	32.67	22.39	27.53	23.46	0.93	78.21	394.68	enero	2016	NO	-74.9575	4.5672	fedearroz_alvarado_calicanto
8/01/2016	0.00	0	31.67	23.22	27.45	23.63	0.84	79.38	407.14	enero	2016	NO	-74.9575	4.5672	fedearroz_alvarado_calicanto
9/01/2016	0.00	0	33.56	22.06	27.81	23.10	1.09	75.38	530.88	enero	2016	NO	-74.9575	4.5672	fedearroz_alvarado_calicanto
10/01/2016	0.00	0	32.56	23.22	27.89	23.26	1.02	75.75	394.41	enero	2016	NO	-74.9575	4.5672	fedearroz_alvarado_calicanto
11/01/2016	0.00	0	29.72	23.61	26.67	22.04	0.89	75.58	363.45	enero	2016	NO	-74.9575	4.5672	fedearroz_alvarado_calicanto
12/01/2016	0.00	0	32.06	20.56	26.31	20.94	1.12	72.25	443.17	enero	2016	NO	-74.9575	4.5672	fedearroz_alvarado_calicanto
13/01/2016	0.00	0	33.28	21.61	27.45	22.05	1.19	72.29	521.59	enero	2016	NO	-74.9575	4.5672	fedearroz_alvarado_calicanto
14/01/2016	0.00	0	33.44	21.83	27.64	21.66	1.30	69.88	499.92	enero	2016	NO	-74.9575	4.5672	fedearroz_alvarado_calicanto
15/01/2016	0.00	0	34.94	21.11	28.03	21.23	1.53	66.58	523.57	enero	2016	NO	-74.9575	4.5672	fedearroz_alvarado_calicanto
16/01/2016	0.00	0	35.22	22.56	28.89	22.27	1.53	67.46	491.67	enero	2016	NO	-74.9575	4.5672	fedearroz_alvarado_calicanto
17/01/2016	0.00	0	35.33	23.28	29.31	22.43	1.58	66.50	523.14	enero	2016	NO	-74.9575	4.5672	fedearroz_alvarado_calicanto
18/01/2016	0.00	0	34.00	21.33	27.67	21.61	1.35	69.54	528.05	enero	2016	NO	-74.9575	4.5672	fedearroz_alvarado_calicanto
19/01/2016	0.00	0	33.44	22.17	27.81	21.35	1.37	67.92	530.01	enero	2016	NO	-74.9575	4.5672	fedearroz_alvarado_calicanto
20/01/2016	0.00	0	34.72	21.50	28.11	20.54	1.63	63.54	507.15	enero	2016	NO	-74.9575	4.5672	fedearroz_alvarado_calicanto
21/01/2016	0.00	0	33.67	23.50	28.59	21.18	1.54	64.25	405.34	enero	2016	NO	-74.9575	4.5672	fedearroz_alvarado_calicanto
22/01/2016	0.00	0	35.22	23.50	29.36	22.07	1.64	64.88	496.15	enero	2016	NO	-74.9575	4.5672	fedearroz_alvarado_calicanto
23/01/2016	0.00	0	34.78	23.33	29.06	22.47	1.49	67.62	446.00	enero	2016	NO	-74.9575	4.5672	fedearroz_alvarado_calicanto
24/01/2016	0.00	0	33.44	24.22	28.83	22.86	1.30	70.12	493.05	enero	2016	NO	-74.9575	4.5672	fedearroz_alvarado_calicanto
25/01/2016	0.00	0	33.50	22.56	28.03	20.99	1.47	65.62	444.37	enero	2016	NO	-74.9575	4.5672	fedearroz_alvarado_calicanto
26/01/2016	0.00	0	35.11	22.72	28.92	22.00	1.57	66.25	496.31	enero	2016	NO	-74.9575	4.5672	fedearroz_alvarado_calicanto
27/01/2016	0.20	1	35.39	24.00	29.70	21.85	1.74	62.79	469.13	enero	2016	NO	-74.9575	4.5672	fedearroz_alvarado_calicanto
28/01/2016	0.00	0	35.17	23.17	29.17	21.43	1.70	63.08	499.24	enero	2016	NO	-74.9575	4.5672	fedearroz_alvarado_calicanto
29/01/2016	0.00	0	34.28	24.28	29.28	22.31	1.52	66.12	497.18	enero	2016	NO	-74.9575	4.5672	fedearroz_alvarado_calicanto
30/01/2016	0.00	0	33.61	22.28	27.95	20.98	1.46	65.88	519.53	enero	2016	NO	-74.9575	4.5672	fedearroz_alvarado_calicanto
31/01/2016	0.00	0	34.67	21.78	28.23	20.66	1.63	63.58	519.61	enero	2016	NO	-74.9575	4.5672	fedearroz_alvarado_calicanto
1/02/2016	0.00	0	35.78	23.44	29.61	21.33	1.84	61.12	510.32	febrero	2016	NO	-74.9575	4.5672	fedearroz_alvarado_calicanto
2/02/2016	0.00	0	35.72	22.28	29.00	20.20	1.90	59.04	521.32	febrero	2016	NO	-74.9575	4.5672	fedearroz_alvarado_calicanto
