Date	Rain	rain_days	tmax	tmin	tmean	t_dew_point	vapor_pressure_deficit	rhum	esol	month	year	Modif	x	y	station
01/01/2012	0.00	0	32.82	22.21	27.51	23.59	0.92	78.90	461.72	enero	2012	SI	-74.7639	4.7813	fedearroz_ambalema_gamba
02/01/2012	0.00	0	32.30	23.80	28.05	24.27	0.86	79.65	390.55	enero	2012	SI	-74.7639	4.7813	fedearroz_ambalema_gamba
03/01/2012	0.00	0	31.50	25.00	28.25	24.48	0.82	79.71	430.43	enero	2012	SI	-74.7639	4.7813	fedearroz_ambalema_gamba
04/01/2012	0.00	0	32.10	23.40	27.75	23.77	0.89	78.69	423.08	enero	2012	SI	-74.7639	4.7813	fedearroz_ambalema_gamba
05/01/2012	10.40	1	34.70	24.20	29.45	23.44	1.39	70.02	406.48	enero	2012	SI	-74.7639	4.7813	fedearroz_ambalema_gamba
06/01/2012	0.00	0	34.30	24.00	29.15	24.75	1.08	76.93	458.31	enero	2012	SI	-74.7639	4.7813	fedearroz_ambalema_gamba
07/01/2012	0.00	0	34.70	23.00	28.85	22.17	1.50	67.19	407.50	enero	2012	SI	-74.7639	4.7813	fedearroz_ambalema_gamba
08/01/2012	0.00	0	33.30	24.20	28.75	24.37	1.02	76.97	424.26	enero	2012	SI	-74.7639	4.7813	fedearroz_ambalema_gamba
09/01/2012	0.00	0	35.70	22.40	29.05	22.23	1.60	66.66	525.78	enero	2012	SI	-74.7639	4.7813	fedearroz_ambalema_gamba
10/01/2012	0.00	0	34.70	24.60	29.65	24.39	1.26	73.24	416.92	enero	2012	SI	-74.7639	4.7813	fedearroz_ambalema_gamba
11/01/2012	0.00	0	34.30	24.20	29.25	25.10	1.03	78.09	447.88	enero	2012	SI	-74.7639	4.7813	fedearroz_ambalema_gamba
12/01/2012	0.00	0	35.30	24.60	29.95	24.36	1.36	71.88	412.55	enero	2012	SI	-74.7639	4.7813	fedearroz_ambalema_gamba
13/01/2012	0.00	0	36.10	24.00	30.05	23.66	1.56	68.57	485.29	enero	2012	SI	-74.7639	4.7813	fedearroz_ambalema_gamba
14/01/2012	0.00	0	36.70	23.40	30.05	23.11	1.70	66.37	481.43	enero	2012	SI	-74.7639	4.7813	fedearroz_ambalema_gamba
15/01/2012	0.00	0	34.30	22.40	28.35	23.64	1.14	75.44	500.78	enero	2012	SI	-74.7639	4.7813	fedearroz_ambalema_gamba
