Date	Rain	rain_days	tmax	tmin	tmean	t_dew_point	vapor_pressure_deficit	rhum	esol	month	year	Modif	x	y	station
01/01/2012	0.00	0	34.78	23.22	29.00	24.95	1.04	78.50	484.09	enero	2012	NO	-74.8997	4.972	fedearroz_armero_el_puente
02/01/2012	0.00	0	31.22	22.78	27.00	24.17	0.65	84.12	340.34	enero	2012	NO	-74.8997	4.972	fedearroz_armero_el_puente
03/01/2012	2.00	1	29.06	23.39	26.23	24.13	0.44	87.83	300.35	enero	2012	NO	-74.8997	4.972	fedearroz_armero_el_puente
04/01/2012	1.80	1	31.78	22.28	27.03	25.10	0.51	88.75	306.45	enero	2012	NO	-74.8997	4.972	fedearroz_armero_el_puente
05/01/2012	0.00	0	31.44	23.00	27.22	24.07	0.71	82.58	449.63	enero	2012	NO	-74.8997	4.972	fedearroz_armero_el_puente
06/01/2012	7.40	1	31.67	22.72	27.20	24.89	0.57	86.79	390.90	enero	2012	NO	-74.8997	4.972	fedearroz_armero_el_puente
07/01/2012	0.00	0	31.72	21.89	26.81	23.89	0.69	83.67	477.99	enero	2012	NO	-74.8997	4.972	fedearroz_armero_el_puente
08/01/2012	0.00	0	30.50	23.44	26.97	24.28	0.59	84.83	399.40	enero	2012	NO	-74.8997	4.972	fedearroz_armero_el_puente
09/01/2012	0.00	0	34.28	22.17	28.23	24.61	0.94	80.42	485.13	enero	2012	NO	-74.8997	4.972	fedearroz_armero_el_puente
10/01/2012	0.00	0	32.28	23.44	27.86	24.27	0.83	80.50	463.89	enero	2012	NO	-74.8997	4.972	fedearroz_armero_el_puente
11/01/2012	0.00	0	32.22	23.44	27.83	23.88	0.89	78.83	475.84	enero	2012	NO	-74.8997	4.972	fedearroz_armero_el_puente
12/01/2012	0.00	0	33.83	23.78	28.81	24.46	1.04	77.12	433.53	enero	2012	NO	-74.8997	4.972	fedearroz_armero_el_puente
13/01/2012	0.00	0	31.00	22.61	26.81	24.84	0.48	88.54	170.50	enero	2012	NO	-74.8997	4.972	fedearroz_armero_el_puente
14/01/2012	3.40	1	34.61	21.44	28.03	25.73	0.72	86.92	434.40	enero	2012	NO	-74.8997	4.972	fedearroz_armero_el_puente
15/01/2012	0.00	0	31.78	21.28	26.53	23.61	0.70	83.62	460.28	enero	2012	NO	-74.8997	4.972	fedearroz_armero_el_puente
16/01/2012	0.00	0	34.89	24.06	29.48	23.11	1.46	68.60	466.00	enero	2012	SI	-74.8997	4.972	fedearroz_armero_el_puente
