Date	Rain	rain_days	tmax	tmin	tmean	t_dew_point	vapor_pressure_deficit	rhum	esol	month	year	Modif	x	y	station
01/01/2012	0.00	0	34.22	19.94	27.08	22.20	1.18	74.50	513.07	enero	2012	NO	-75.2982	2.6981	fedearroz_campoalegre_altagracia
02/01/2012	0.00	0	33.44	20.00	26.72	21.81	1.13	74.33	481.08	enero	2012	NO	-75.2982	2.6981	fedearroz_campoalegre_altagracia
03/01/2012	3.20	1	32.50	22.67	27.59	23.96	0.84	80.33	471.38	enero	2012	NO	-75.2982	2.6981	fedearroz_campoalegre_altagracia
04/01/2012	37.60	1	29.89	21.28	25.59	23.31	0.51	86.83	360.89	enero	2012	NO	-75.2982	2.6981	fedearroz_campoalegre_altagracia
05/01/2012	0.00	0	31.00	21.78	26.39	23.20	0.71	82.29	493.81	enero	2012	NO	-75.2982	2.6981	fedearroz_campoalegre_altagracia
06/01/2012	48.60	1	29.83	19.94	24.89	22.77	0.50	87.58	385.82	enero	2012	NO	-75.2982	2.6981	fedearroz_campoalegre_altagracia
07/01/2012	1.60	1	30.39	22.17	26.28	23.96	0.53	86.67	428.21	enero	2012	NO	-75.2982	2.6981	fedearroz_campoalegre_altagracia
08/01/2012	80.80	1	25.44	21.72	23.58	22.90	0.13	95.67	202.46	enero	2012	SI	-75.2982	2.6981	fedearroz_campoalegre_altagracia
09/01/2012	0.00	0	30.78	22.44	26.61	24.20	0.56	86.21	371.29	enero	2012	NO	-75.2982	2.6981	fedearroz_campoalegre_altagracia
10/01/2012	0.00	0	32.00	21.44	26.72	23.37	0.78	81.54	487.19	enero	2012	NO	-75.2982	2.6981	fedearroz_campoalegre_altagracia
11/01/2012	5.00	1	31.11	21.56	26.34	23.93	0.58	86.21	428.13	enero	2012	NO	-75.2982	2.6981	fedearroz_campoalegre_altagracia
12/01/2012	0.00	0	32.17	23.06	27.62	24.52	0.73	82.88	357.36	enero	2012	NO	-75.2982	2.6981	fedearroz_campoalegre_altagracia
13/01/2012	0.00	0	31.83	22.72	27.28	23.65	0.81	80.29	335.70	enero	2012	NO	-75.2982	2.6981	fedearroz_campoalegre_altagracia
14/01/2012	0.00	0	30.50	20.50	25.50	21.89	0.76	80.12	325.71	enero	2012	NO	-75.2982	2.6981	fedearroz_campoalegre_altagracia
15/01/2012	0.40	1	32.39	20.39	26.39	22.08	0.97	76.96	468.02	enero	2012	NO	-75.2982	2.6981	fedearroz_campoalegre_altagracia
16/01/2012	4.60	1	31.06	21.67	26.37	23.23	0.70	82.54	416.86	enero	2012	NO	-75.2982	2.6981	fedearroz_campoalegre_altagracia
17/01/2012	0.00	0	32.22	20.17	26.20	21.84	0.97	76.75	497.43	enero	2012	NO	-75.2982	2.6981	fedearroz_campoalegre_altagracia
18/01/2012	28.40	1	29.33	20.89	25.11	22.78	0.51	86.46	471.55	enero	2012	NO	-75.2982	2.6981	fedearroz_campoalegre_altagracia
19/01/2012	42.60	1	29.39	20.56	24.98	22.94	0.46	88.04	475.16	enero	2012	NO	-75.2982	2.6981	fedearroz_campoalegre_altagracia
20/01/2012	13.60	1	29.11	21.17	25.14	23.43	0.39	89.79	317.29	enero	2012	NO	-75.2982	2.6981	fedearroz_campoalegre_altagracia
21/01/2012	0.00	0	31.06	22.11	26.59	23.78	0.64	84.21	426.58	enero	2012	NO	-75.2982	2.6981	fedearroz_campoalegre_altagracia
22/01/2012	0.00	0	31.11	21.72	26.42	22.62	0.81	79.38	449.36	enero	2012	NO	-75.2982	2.6981	fedearroz_campoalegre_altagracia
23/01/2012	0.40	1	31.11	21.50	26.31	22.95	0.74	81.46	462.78	enero	2012	NO	-75.2982	2.6981	fedearroz_campoalegre_altagracia
24/01/2012	0.00	0	31.11	22.00	26.56	23.16	0.75	81.29	523.39	enero	2012	NO	-75.2982	2.6981	fedearroz_campoalegre_altagracia
25/01/2012	3.60	1	31.61	21.61	26.61	23.12	0.79	80.83	509.04	enero	2012	NO	-75.2982	2.6981	fedearroz_campoalegre_altagracia
26/01/2012	0.00	0	30.50	21.22	25.86	22.73	0.68	82.50	390.12	enero	2012	NO	-75.2982	2.6981	fedearroz_campoalegre_altagracia
27/01/2012	0.00	0	32.17	21.44	26.81	22.93	0.88	79.04	499.24	enero	2012	NO	-75.2982	2.6981	fedearroz_campoalegre_altagracia
28/01/2012	6.00	1	31.50	22.39	26.95	23.48	0.77	81.00	461.83	enero	2012	NO	-75.2982	2.6981	fedearroz_campoalegre_altagracia
29/01/2012	0.00	0	32.89	21.78	27.34	22.70	1.05	75.62	472.15	enero	2012	NO	-75.2982	2.6981	fedearroz_campoalegre_altagracia
30/01/2012	0.00	0	31.28	21.61	26.45	23.07	0.75	81.38	427.53	enero	2012	NO	-75.2982	2.6981	fedearroz_campoalegre_altagracia
31/01/2012	0.00	0	31.06	22.44	26.75	23.42	0.73	81.62	342.65	enero	2012	NO	-75.2982	2.6981	fedearroz_campoalegre_altagracia
