Date	Rain	rain_days	tmax	tmin	tmean	t_dew_point	vapor_pressure_deficit	rhum	esol	month	year	Modif	x	y	station
01/01/2012	0.00	0	31.44	18.33	24.89	20.47	0.95	76.29	576.88	enero	2012	NO	-73.6855	3.8289	fedearroz_castilla_la_nueva_capachos
02/01/2012	0.00	0	31.39	19.11	25.25	21.03	0.91	77.21	565.28	enero	2012	NO	-73.6855	3.8289	fedearroz_castilla_la_nueva_capachos
03/01/2012	0.00	0	32.17	20.06	26.12	21.97	0.94	77.67	552.28	enero	2012	NO	-73.6855	3.8289	fedearroz_castilla_la_nueva_capachos
04/01/2012	0.00	0	32.61	20.06	26.34	22.07	0.98	77.17	549.80	enero	2012	NO	-73.6855	3.8289	fedearroz_castilla_la_nueva_capachos
05/01/2012	0.00	0	31.83	21.50	26.67	22.24	0.95	76.50	459.60	enero	2012	NO	-73.6855	3.8289	fedearroz_castilla_la_nueva_capachos
06/01/2012	0.00	0	31.89	20.00	25.95	21.89	0.91	78.08	546.36	enero	2012	NO	-73.6855	3.8289	fedearroz_castilla_la_nueva_capachos
07/01/2012	0.00	0	32.56	20.17	26.37	21.44	1.08	74.21	559.17	enero	2012	NO	-73.6855	3.8289	fedearroz_castilla_la_nueva_capachos
08/01/2012	0.00	0	31.94	19.28	25.61	21.39	0.94	77.25	567.59	enero	2012	NO	-73.6855	3.8289	fedearroz_castilla_la_nueva_capachos
09/01/2012	0.00	0	32.44	19.67	26.06	21.63	1.00	76.38	576.01	enero	2012	NO	-73.6855	3.8289	fedearroz_castilla_la_nueva_capachos
10/01/2012	0.00	0	31.83	21.00	26.42	22.79	0.82	80.19	465.71	enero	2012	NO	-73.6855	3.8289	fedearroz_castilla_la_nueva_capachos
11/01/2012	0.00	0	32.50	21.11	26.81	22.41	0.99	76.62	563.73	enero	2012	NO	-73.6855	3.8289	fedearroz_castilla_la_nueva_capachos
12/01/2012	0.00	0	32.50	23.17	27.84	22.48	1.14	72.55	513.01	enero	2012	NO	-73.6855	3.8289	fedearroz_castilla_la_nueva_capachos
13/01/2012	0.00	0	32.06	19.94	26.00	20.17	1.19	70.21	480.83	enero	2012	NO	-73.6855	3.8289	fedearroz_castilla_la_nueva_capachos
14/01/2012	0.00	0	32.17	21.33	26.75	21.34	1.13	72.12	570.60	enero	2012	NO	-73.6855	3.8289	fedearroz_castilla_la_nueva_capachos
15/01/2012	0.00	0	33.33	21.44	27.39	21.89	1.21	71.88	524.01	enero	2012	NO	-73.6855	3.8289	fedearroz_castilla_la_nueva_capachos
16/01/2012	0.00	0	31.94	20.44	26.19	21.17	1.06	73.75	582.12	enero	2012	NO	-73.6855	3.8289	fedearroz_castilla_la_nueva_capachos
17/01/2012	0.00	0	31.78	19.67	25.73	20.49	1.08	72.75	544.21	enero	2012	NO	-73.6855	3.8289	fedearroz_castilla_la_nueva_capachos
18/01/2012	0.00	0	31.28	22.17	26.73	21.03	1.13	70.92	466.22	enero	2012	NO	-73.6855	3.8289	fedearroz_castilla_la_nueva_capachos
19/01/2012	0.00	0	30.78	20.72	25.75	19.77	1.14	69.54	493.46	enero	2012	NO	-73.6855	3.8289	fedearroz_castilla_la_nueva_capachos
20/01/2012	0.00	0	31.56	16.39	23.98	17.44	1.26	66.91	505.06	enero	2012	NO	-73.6855	3.8289	fedearroz_castilla_la_nueva_capachos
21/01/2012	0.00	0	33.00	17.89	25.45	18.82	1.37	66.79	619.35	enero	2012	NO	-73.6855	3.8289	fedearroz_castilla_la_nueva_capachos
22/01/2012	0.00	0	32.72	17.06	24.89	18.76	1.28	68.75	582.90	enero	2012	NO	-73.6855	3.8289	fedearroz_castilla_la_nueva_capachos
23/01/2012	0.00	0	33.89	19.28	26.59	20.33	1.37	68.54	617.82	enero	2012	NO	-73.6855	3.8289	fedearroz_castilla_la_nueva_capachos
24/01/2012	0.00	0	33.00	19.17	26.09	19.18	1.40	65.78	514.28	enero	2012	SI	-73.6855	3.8289	fedearroz_castilla_la_nueva_capachos
25/01/2012	0.00	0	30.72	22.33	26.53	21.84	0.94	75.29	328.29	enero	2012	NO	-73.6855	3.8289	fedearroz_castilla_la_nueva_capachos
26/01/2012	0.00	0	31.28	21.28	26.28	21.96	0.91	76.92	304.14	enero	2012	NO	-73.6855	3.8289	fedearroz_castilla_la_nueva_capachos
27/01/2012	0.00	0	32.00	21.39	26.70	20.80	1.19	70.04	420.12	enero	2012	NO	-73.6855	3.8289	fedearroz_castilla_la_nueva_capachos
28/01/2012	0.00	0	32.28	20.61	26.45	20.21	1.26	68.58	451.86	enero	2012	NO	-73.6855	3.8289	fedearroz_castilla_la_nueva_capachos
29/01/2012	0.00	0	31.83	20.56	26.20	20.76	1.11	71.92	473.45	enero	2012	NO	-73.6855	3.8289	fedearroz_castilla_la_nueva_capachos
30/01/2012	0.00	0	30.83	20.44	25.64	20.58	1.00	73.50	422.70	enero	2012	NO	-73.6855	3.8289	fedearroz_castilla_la_nueva_capachos
31/01/2012	0.00	0	32.61	21.61	27.11	20.82	1.29	68.46	440.16	enero	2012	NO	-73.6855	3.8289	fedearroz_castilla_la_nueva_capachos
01/02/2012	0.00	0	30.94	23.06	27.00	20.76	1.20	68.67	322.18	febrero	2012	NO	-73.6855	3.8289	fedearroz_castilla_la_nueva_capachos
02/02/2012	0.00	0	31.11	21.44	26.28	20.46	1.13	70.33	371.62	febrero	2012	NO	-73.6855	3.8289	fedearroz_castilla_la_nueva_capachos
03/02/2012	0.00	0	31.56	20.33	25.95	20.07	1.16	70.00	297.68	febrero	2012	NO	-73.6855	3.8289	fedearroz_castilla_la_nueva_capachos
04/02/2012	0.00	0	33.56	21.11	27.34	20.41	1.45	65.92	524.17	febrero	2012	NO	-73.6855	3.8289	fedearroz_castilla_la_nueva_capachos
05/02/2012	0.40	1	29.50	21.89	25.70	22.66	0.62	82.96	216.93	febrero	2012	NO	-73.6855	3.8289	fedearroz_castilla_la_nueva_capachos
06/02/2012	11.00	1	33.45	21.33	27.39	26.55	0.38	94.83	184.02	febrero	2012	NO	-73.6855	3.8289	fedearroz_castilla_la_nueva_capachos
07/02/2012	0.80	1	30.61	21.17	25.89	23.08	0.63	84.08	391.93	febrero	2012	NO	-73.6855	3.8289	fedearroz_castilla_la_nueva_capachos
08/02/2012	4.60	1	33.09	21.22	27.15	26.30	0.37	94.79	294.31	febrero	2012	SI	-73.6855	3.8289	fedearroz_castilla_la_nueva_capachos
09/02/2012	0.20	1	30.67	19.94	25.31	22.81	0.59	85.67	264.75	febrero	2012	NO	-73.6855	3.8289	fedearroz_castilla_la_nueva_capachos
10/02/2012	16.40	1	30.89	22.00	26.45	24.68	0.45	89.62	281.53	febrero	2012	NO	-73.6855	3.8289	fedearroz_castilla_la_nueva_capachos
11/02/2012	0.00	0	32.11	22.11	27.11	25.32	0.50	89.50	361.31	febrero	2012	NO	-73.6855	3.8289	fedearroz_castilla_la_nueva_capachos
12/02/2012	0.00	0	33.18	21.01	27.09	22.99	0.98	78.03	542.62	febrero	2012	SI	-73.6855	3.8289	fedearroz_castilla_la_nueva_capachos
13/02/2012	0.00	0	32.17	21.88	27.03	17.78	1.68	57.00	376.08	febrero	2012	SI	-73.6855	3.8289	fedearroz_castilla_la_nueva_capachos
14/02/2012	0.00	0	31.44	21.36	26.40	16.64	1.68	55.00	382.02	febrero	2012	SI	-73.6855	3.8289	fedearroz_castilla_la_nueva_capachos
15/02/2012	0.00	0	28.22	19.56	23.89	21.45	0.50	85.78	345.95	febrero	2012	NO	-73.6855	3.8289	fedearroz_castilla_la_nueva_capachos
16/02/2012	0.00	0	28.33	21.07	24.70	23.06	0.36	90.19	294.66	febrero	2012	SI	-73.6855	3.8289	fedearroz_castilla_la_nueva_capachos
17/02/2012	0.00	0	33.36	21.81	27.59	21.89	1.25	71.04	523.44	febrero	2012	SI	-73.6855	3.8289	fedearroz_castilla_la_nueva_capachos
18/02/2012	0.00	0	30.94	21.53	26.23	24.33	0.48	88.82	430.37	febrero	2012	SI	-73.6855	3.8289	fedearroz_castilla_la_nueva_capachos
19/02/2012	0.00	0	25.22	24.39	24.81	22.38	0.43	85.95	269.14	febrero	2012	SI	-73.6855	3.8289	fedearroz_castilla_la_nueva_capachos
20/02/2012	0.00	0	33.06	25.39	29.23	22.39	1.44	66.65	340.31	febrero	2012	SI	-73.6855	3.8289	fedearroz_castilla_la_nueva_capachos
21/02/2012	0.00	0	32.94	23.78	28.36	18.89	1.80	56.47	327.25	febrero	2012	SI	-73.6855	3.8289	fedearroz_castilla_la_nueva_capachos
22/02/2012	0.00	0	31.89	19.94	25.92	20.36	1.14	71.38	501.31	febrero	2012	NO	-73.6855	3.8289	fedearroz_castilla_la_nueva_capachos
23/02/2012	0.00	0	32.78	20.22	26.50	20.31	1.29	68.79	592.19	febrero	2012	NO	-73.6855	3.8289	fedearroz_castilla_la_nueva_capachos
24/02/2012	0.20	1	32.83	20.94	26.89	20.13	1.37	66.54	455.39	febrero	2012	NO	-73.6855	3.8289	fedearroz_castilla_la_nueva_capachos
25/02/2012	2.40	1	30.78	22.28	26.53	22.83	0.78	79.83	308.17	febrero	2012	NO	-73.6855	3.8289	fedearroz_castilla_la_nueva_capachos
26/02/2012	0.00	0	30.33	20.94	25.64	20.25	1.03	72.04	301.13	febrero	2012	NO	-73.6855	3.8289	fedearroz_castilla_la_nueva_capachos
27/02/2012	0.00	0	32.50	19.17	25.84	19.51	1.29	68.12	592.02	febrero	2012	NO	-73.6855	3.8289	fedearroz_castilla_la_nueva_capachos
28/02/2012	0.00	0	33.11	19.44	26.28	19.81	1.35	67.62	582.04	febrero	2012	NO	-73.6855	3.8289	fedearroz_castilla_la_nueva_capachos
29/02/2012	0.00	0	32.61	20.17	26.39	19.49	1.38	65.88	526.15	febrero	2012	NO	-73.6855	3.8289	fedearroz_castilla_la_nueva_capachos
01/03/2012	0.00	0	32.89	22.78	27.84	21.22	1.36	67.29	411.19	marzo	2012	NO	-73.6855	3.8289	fedearroz_castilla_la_nueva_capachos
02/03/2012	0.00	0	30.67	22.67	26.67	22.43	0.87	77.31	322.57	marzo	2012	NO	-73.6855	3.8289	fedearroz_castilla_la_nueva_capachos
03/03/2012	0.00	0	31.30	24.76	28.03	23.61	0.93	76.69	324.03	marzo	2012	SI	-73.6855	3.8289	fedearroz_castilla_la_nueva_capachos
04/03/2012	0.00	0	31.00	27.24	29.12	24.10	1.05	74.19	289.06	marzo	2012	SI	-73.6855	3.8289	fedearroz_castilla_la_nueva_capachos
05/03/2012	0.00	0	33.20	27.62	30.41	22.60	1.65	63.07	324.39	marzo	2012	SI	-73.6855	3.8289	fedearroz_castilla_la_nueva_capachos
06/03/2012	0.00	0	34.20	25.43	29.82	20.08	1.96	55.82	311.09	marzo	2012	SI	-73.6855	3.8289	fedearroz_castilla_la_nueva_capachos
07/03/2012	0.00	0	34.00	22.20	28.10	23.12	1.17	74.19	479.17	marzo	2012	SI	-73.6855	3.8289	fedearroz_castilla_la_nueva_capachos
08/03/2012	2.00	1	32.40	21.00	26.70	22.39	0.97	76.99	483.11	marzo	2012	SI	-73.6855	3.8289	fedearroz_castilla_la_nueva_capachos
