Date	Rain	rain_days	tmax	tmin	tmean	t_dew_point	vapor_pressure_deficit	rhum	esol	month	year	Modif	x	y	station
8/07/2021	9.91	1	32.67	23.78	28.23	25.81	0.62	86.36	325.87	julio	2021	NO	-72.4267	8.2815	fedearroz_cucuta_la_javilla
9/07/2021	45.72	1	32.28	23.50	27.89	25.77	0.55	87.83	408.77	julio	2021	NO	-72.4267	8.2815	fedearroz_cucuta_la_javilla
10/07/2021	38.10	1	31.89	22.83	27.36	25.34	0.52	88.33	370.18	julio	2021	NO	-72.4267	8.2815	fedearroz_cucuta_la_javilla
11/07/2021	1.26	1	29.94	23.00	26.47	24.86	0.38	90.46	281.01	julio	2021	NO	-72.4267	8.2815	fedearroz_cucuta_la_javilla
12/07/2021	0.00	0	32.89	24.11	28.50	25.38	0.76	82.83	434.48	julio	2021	NO	-72.4267	8.2815	fedearroz_cucuta_la_javilla
13/07/2021	2.79	1	32.44	24.28	28.36	24.84	0.82	80.92	414.55	julio	2021	NO	-72.4267	8.2815	fedearroz_cucuta_la_javilla
14/07/2021	0.00	0	34.44	23.11	28.78	24.65	1.04	78.12	488.30	julio	2021	NO	-72.4267	8.2815	fedearroz_cucuta_la_javilla
15/07/2021	0.00	0	32.94	23.78	28.36	24.43	0.92	79.00	495.88	julio	2021	NO	-72.4267	8.2815	fedearroz_cucuta_la_javilla
16/07/2021	0.51	1	33.11	24.22	28.67	24.97	0.88	80.12	501.64	julio	2021	NO	-72.4267	8.2815	fedearroz_cucuta_la_javilla
17/07/2021	0.00	0	33.39	23.17	28.28	25.07	0.81	82.38	417.73	julio	2021	NO	-72.4267	8.2815	fedearroz_cucuta_la_javilla
18/07/2021	0.00	0	33.00	23.11	28.06	24.17	0.91	79.17	489.34	julio	2021	NO	-72.4267	8.2815	fedearroz_cucuta_la_javilla
19/07/2021	0.00	0	34.44	23.00	28.72	24.47	1.06	77.58	483.25	julio	2021	NO	-72.4267	8.2815	fedearroz_cucuta_la_javilla
20/07/2021	0.00	0	33.11	23.44	28.28	23.89	1.01	76.88	465.79	julio	2021	NO	-72.4267	8.2815	fedearroz_cucuta_la_javilla
21/07/2021	0.00	0	32.11	23.94	28.03	25.11	0.69	83.79	349.28	julio	2021	NO	-72.4267	8.2815	fedearroz_cucuta_la_javilla
22/07/2021	1.78	1	33.00	23.33	28.17	25.07	0.77	82.92	360.79	julio	2021	NO	-72.4267	8.2815	fedearroz_cucuta_la_javilla
23/07/2021	0.00	0	33.89	23.33	28.61	24.66	0.97	78.92	473.36	julio	2021	NO	-72.4267	8.2815	fedearroz_cucuta_la_javilla
24/07/2021	0.00	0	31.33	24.39	27.86	25.02	0.64	84.17	311.53	julio	2021	NO	-72.4267	8.2815	fedearroz_cucuta_la_javilla
25/07/2021	1.77	1	27.50	23.39	25.45	23.69	0.35	89.58	190.02	julio	2021	NO	-72.4267	8.2815	fedearroz_cucuta_la_javilla
26/07/2021	0.76	1	33.94	24.06	29.00	25.84	0.82	82.71	438.61	julio	2021	NO	-72.4267	8.2815	fedearroz_cucuta_la_javilla
27/07/2021	44.45	1	31.94	23.06	27.50	25.09	0.59	86.29	451.86	julio	2021	NO	-72.4267	8.2815	fedearroz_cucuta_la_javilla
28/07/2021	7.36	1	29.67	22.72	26.20	24.51	0.39	90.04	323.48	julio	2021	NO	-72.4267	8.2815	fedearroz_cucuta_la_javilla
29/07/2021	0.00	0	33.83	23.89	28.86	24.86	0.98	78.71	515.05	julio	2021	NO	-72.4267	8.2815	fedearroz_cucuta_la_javilla
30/07/2021	33.78	1	34.67	23.00	28.84	24.72	1.05	78.17	507.74	julio	2021	NO	-72.4267	8.2815	fedearroz_cucuta_la_javilla
31/07/2021	0.00	0	33.61	22.94	28.28	25.04	0.83	82.25	454.09	julio	2021	NO	-72.4267	8.2815	fedearroz_cucuta_la_javilla
1/08/2021	32.26	1	34.56	22.94	28.75	24.66	1.04	78.29	488.74	agosto	2021	NO	-72.4267	8.2815	fedearroz_cucuta_la_javilla
2/08/2021	0.00	0	32.06	23.00	27.53	24.82	0.66	84.75	425.90	agosto	2021	NO	-72.4267	8.2815	fedearroz_cucuta_la_javilla
3/08/2021	0.00	0	34.17	23.83	29.00	24.73	1.04	77.50	474.64	agosto	2021	NO	-72.4267	8.2815	fedearroz_cucuta_la_javilla
4/08/2021	0.00	0	32.72	24.06	28.39	24.74	0.85	80.29	477.14	agosto	2021	NO	-72.4267	8.2815	fedearroz_cucuta_la_javilla
5/08/2021	0.25	1	34.06	24.39	29.23	24.98	1.03	77.67	510.76	agosto	2021	NO	-72.4267	8.2815	fedearroz_cucuta_la_javilla
6/08/2021	32.51	1	33.67	23.39	28.53	24.49	0.98	78.50	489.01	agosto	2021	NO	-72.4267	8.2815	fedearroz_cucuta_la_javilla
7/08/2021	1.26	1	33.78	23.11	28.45	25.44	0.79	83.42	472.06	agosto	2021	NO	-72.4267	8.2815	fedearroz_cucuta_la_javilla
8/08/2021	37.09	1	31.44	22.67	27.06	24.89	0.53	87.50	387.37	agosto	2021	NO	-72.4267	8.2815	fedearroz_cucuta_la_javilla
9/08/2021	0.00	0	32.83	24.22	28.53	25.34	0.77	82.54	473.36	agosto	2021	NO	-72.4267	8.2815	fedearroz_cucuta_la_javilla
10/08/2021	84.07	1	33.06	22.78	27.92	24.66	0.81	82.08	451.78	agosto	2021	SI	-72.4267	8.2815	fedearroz_cucuta_la_javilla
11/08/2021	9.39	1	32.56	22.94	27.75	25.50	0.59	87.12	459.85	agosto	2021	NO	-72.4267	8.2815	fedearroz_cucuta_la_javilla
