Date	Rain	rain_days	tmax	tmin	tmean	t_dew_point	vapor_pressure_deficit	rhum	esol	month	year	Modif	x	y	station
01/01/2012	0.00	0	30.56	23.22	26.89	24.88	0.47	88.33	446.18	enero	2012	NO	-72.5039	7.8942	fedearroz_cucuta_san_roque
02/01/2012	0.00	0	29.94	22.83	26.39	24.84	0.37	90.83	404.73	enero	2012	NO	-72.5039	7.8942	fedearroz_cucuta_san_roque
03/01/2012	0.00	0	30.39	23.83	27.11	25.35	0.41	89.71	355.30	enero	2012	NO	-72.5039	7.8942	fedearroz_cucuta_san_roque
04/01/2012	7.60	1	29.72	23.06	26.39	25.26	0.28	93.17	232.95	enero	2012	NO	-72.5039	7.8942	fedearroz_cucuta_san_roque
05/01/2012	0.40	1	27.72	22.61	25.17	24.01	0.25	92.92	249.87	enero	2012	NO	-72.5039	7.8942	fedearroz_cucuta_san_roque
06/01/2012	6.80	1	29.78	23.06	26.42	25.29	0.28	93.17	347.13	enero	2012	NO	-72.5039	7.8942	fedearroz_cucuta_san_roque
07/01/2012	0.40	1	28.33	23.61	25.97	24.99	0.22	93.96	252.96	enero	2012	NO	-72.5039	7.8942	fedearroz_cucuta_san_roque
08/01/2012	33.20	1	29.61	22.89	26.25	25.05	0.29	92.71	313.84	enero	2012	NO	-72.5039	7.8942	fedearroz_cucuta_san_roque
09/01/2012	24.80	1	30.11	23.06	26.59	24.96	0.38	90.38	326.93	enero	2012	NO	-72.5039	7.8942	fedearroz_cucuta_san_roque
10/01/2012	0.00	0	29.11	23.17	26.14	24.84	0.30	92.17	358.56	enero	2012	NO	-72.5039	7.8942	fedearroz_cucuta_san_roque
11/01/2012	1.20	1	30.22	23.83	27.03	25.32	0.40	89.96	362.42	enero	2012	NO	-72.5039	7.8942	fedearroz_cucuta_san_roque
12/01/2012	0.00	0	28.72	23.61	26.17	25.08	0.25	93.38	203.02	enero	2012	NO	-72.5039	7.8942	fedearroz_cucuta_san_roque
13/01/2012	30.80	1	29.06	22.78	25.92	24.80	0.27	93.17	297.95	enero	2012	NO	-72.5039	7.8942	fedearroz_cucuta_san_roque
14/01/2012	0.00	0	29.83	21.94	25.89	24.51	0.34	91.71	209.81	enero	2012	NO	-72.5039	7.8942	fedearroz_cucuta_san_roque
15/01/2012	53.80	1	30.94	22.17	26.56	25.49	0.31	93.50	429.92	enero	2012	NO	-72.5039	7.8942	fedearroz_cucuta_san_roque
16/01/2012	19.20	1	25.83	21.78	23.81	23.14	0.13	95.79	158.65	enero	2012	NO	-72.5039	7.8942	fedearroz_cucuta_san_roque
17/01/2012	0.40	1	26.44	22.50	24.47	23.57	0.18	94.38	162.08	enero	2012	NO	-72.5039	7.8942	fedearroz_cucuta_san_roque
18/01/2012	3.00	1	28.61	22.11	25.36	24.00	0.30	91.79	237.75	enero	2012	NO	-72.5039	7.8942	fedearroz_cucuta_san_roque
19/01/2012	0.00	0	28.56	22.78	25.67	23.95	0.36	89.79	352.80	enero	2012	NO	-72.5039	7.8942	fedearroz_cucuta_san_roque
20/01/2012	0.60	1	27.44	21.50	24.47	23.51	0.21	94.04	261.49	enero	2012	NO	-72.5039	7.8942	fedearroz_cucuta_san_roque
21/01/2012	0.00	0	30.17	22.83	26.50	23.99	0.55	85.67	490.37	enero	2012	NO	-72.5039	7.8942	fedearroz_cucuta_san_roque
22/01/2012	0.00	0	29.56	23.22	26.39	24.57	0.40	89.33	392.10	enero	2012	NO	-72.5039	7.8942	fedearroz_cucuta_san_roque
23/01/2012	31.40	1	29.89	22.00	25.95	24.31	0.39	90.29	370.51	enero	2012	NO	-72.5039	7.8942	fedearroz_cucuta_san_roque
24/01/2012	36.60	1	29.33	21.83	25.58	24.37	0.30	92.62	345.23	enero	2012	NO	-72.5039	7.8942	fedearroz_cucuta_san_roque
25/01/2012	18.80	1	26.06	22.11	24.09	23.30	0.16	95.04	196.13	enero	2012	NO	-72.5039	7.8942	fedearroz_cucuta_san_roque
26/01/2012	12.00	1	31.56	21.72	26.64	25.90	0.28	95.42	401.78	enero	2012	SI	-72.5039	7.8942	fedearroz_cucuta_san_roque
27/01/2012	0.00	0	28.83	22.83	25.83	24.07	0.38	89.58	361.93	enero	2012	NO	-72.5039	7.8942	fedearroz_cucuta_san_roque
28/01/2012	3.20	1	29.44	22.89	26.17	24.60	0.36	90.67	349.54	enero	2012	NO	-72.5039	7.8942	fedearroz_cucuta_san_roque
29/01/2012	0.20	1	27.67	23.11	25.39	24.27	0.24	93.12	197.25	enero	2012	NO	-72.5039	7.8942	fedearroz_cucuta_san_roque
30/01/2012	0.00	0	25.56	22.33	23.95	22.78	0.21	92.83	152.63	enero	2012	NO	-72.5039	7.8942	fedearroz_cucuta_san_roque
31/01/2012	0.00	0	28.67	22.33	25.50	24.08	0.32	91.42	339.56	enero	2012	NO	-72.5039	7.8942	fedearroz_cucuta_san_roque
01/02/2012	0.00	0	28.61	21.78	25.20	23.41	0.38	89.42	261.73	febrero	2012	NO	-72.5039	7.8942	fedearroz_cucuta_san_roque
