Date	Rain	rain_days	tmax	tmin	tmean	t_dew_point	vapor_pressure_deficit	rhum	esol	month	year	Modif	x	y	station
01/01/2012	0.00	0.00	32.54	22.04	27.30	24.17	0.76	82.67	509.83	enero	2012	SI	-73.4687	4.2678	fedearroz_cumaral_barcelona
02/01/2012	0.00	0.00	32.20	22.85	27.50	24.47	0.73	83.20	484.86	enero	2012	SI	-73.4687	4.2678	fedearroz_cumaral_barcelona
03/01/2012	0.00	0.00	32.40	20.78	26.60	22.10	1.00	76.11	513.20	enero	2012	SI	-73.4687	4.2678	fedearroz_cumaral_barcelona
04/01/2012	1.50	1.00	33.40	20.79	27.10	20.59	1.38	67.56	514.41	enero	2012	SI	-73.4687	4.2678	fedearroz_cumaral_barcelona
05/01/2012	0.00	0.00	33.00	21.00	27.00	22.74	0.99	77.30	485.09	enero	2012	SI	-73.4687	4.2678	fedearroz_cumaral_barcelona
06/01/2012	0.00	0.00	32.40	21.40	26.90	21.74	1.10	73.24	482.79	enero	2012	SI	-73.4687	4.2678	fedearroz_cumaral_barcelona
07/01/2012	0.00	0.00	33.80	21.00	27.40	21.36	1.33	69.56	543.76	enero	2012	SI	-73.4687	4.2678	fedearroz_cumaral_barcelona
08/01/2012	14.30	1.00	33.20	21.40	27.30	23.78	0.87	80.80	501.44	enero	2012	SI	-73.4687	4.2678	fedearroz_cumaral_barcelona
09/01/2012	0.00	0.00	33.20	20.00	26.60	21.80	1.10	74.80	522.12	enero	2012	SI	-73.4687	4.2678	fedearroz_cumaral_barcelona
10/01/2012	0.00	0.00	32.40	19.80	26.10	20.92	1.11	73.05	534.27	enero	2012	SI	-73.4687	4.2678	fedearroz_cumaral_barcelona
11/01/2012	0.00	0.00	32.20	20.20	26.20	22.76	0.82	81.05	487.95	enero	2012	SI	-73.4687	4.2678	fedearroz_cumaral_barcelona
12/01/2012	2.00	1.00	32.00	21.40	26.70	18.87	1.47	62.27	472.48	enero	2012	SI	-73.4687	4.2678	fedearroz_cumaral_barcelona
13/01/2012	3.50	1.00	32.80	22.00	27.40	23.76	0.87	80.24	494.76	enero	2012	SI	-73.4687	4.2678	fedearroz_cumaral_barcelona
14/01/2012	0.00	0.00	33.60	20.80	27.20	20.92	1.35	68.55	550.03	enero	2012	SI	-73.4687	4.2678	fedearroz_cumaral_barcelona
