Date	Rain	rain_days	tmax	tmin	tmean	t_dew_point	vapor_pressure_deficit	rhum	esol	month	year	Modif	x	y	station
01/01/2012	0.00	0.00	33.39	22.28	27.84	24.86	0.77	83.48	482.65	enero	2012	NO	-74.2631	10.6216	fedearroz_el_reten_el_volga
02/01/2012	0.00	0.00	33.61	21.89	27.75	23.36	1.04	76.79	482.16	enero	2012	SI	-74.2631	10.6216	fedearroz_el_reten_el_volga
03/01/2012	0.00	0.00	32.33	21.94	27.14	24.27	0.71	83.96	379.47	enero	2012	NO	-74.2631	10.6216	fedearroz_el_reten_el_volga
04/01/2012	0.00	0.00	32.50	22.50	27.50	24.18	0.79	81.77	464.88	enero	2012	NO	-74.2631	10.6216	fedearroz_el_reten_el_volga
05/01/2012	0.00	0.00	32.22	22.06	27.14	24.02	0.75	82.69	482.90	enero	2012	NO	-74.2631	10.6216	fedearroz_el_reten_el_volga
06/01/2012	0.20	1.00	32.17	20.94	26.56	23.55	0.73	83.21	484.09	enero	2012	NO	-74.2631	10.6216	fedearroz_el_reten_el_volga
07/01/2012	0.00	0.00	32.50	21.33	26.92	23.82	0.76	82.77	476.36	enero	2012	NO	-74.2631	10.6216	fedearroz_el_reten_el_volga
08/01/2012	0.00	0.00	32.44	20.67	26.56	23.41	0.78	82.50	496.95	enero	2012	NO	-74.2631	10.6216	fedearroz_el_reten_el_volga
09/01/2012	0.00	0.00	33.06	21.17	27.12	23.86	0.82	82.02	466.86	enero	2012	NO	-74.2631	10.6216	fedearroz_el_reten_el_volga
10/01/2012	0.00	0.00	33.06	21.50	27.28	24.52	0.73	84.52	464.63	enero	2012	NO	-74.2631	10.6216	fedearroz_el_reten_el_volga
11/01/2012	0.00	0.00	32.72	21.61	27.17	24.29	0.73	83.92	419.36	enero	2012	NO	-74.2631	10.6216	fedearroz_el_reten_el_volga
12/01/2012	0.20	1.00	32.33	20.72	26.53	23.77	0.70	84.46	420.20	enero	2012	NO	-74.2631	10.6216	fedearroz_el_reten_el_volga
13/01/2012	0.00	0.00	34.50	21.39	27.95	24.72	0.89	82.29	466.22	enero	2012	NO	-74.2631	10.6216	fedearroz_el_reten_el_volga
14/01/2012	0.00	0.00	31.50	22.83	27.17	24.82	0.57	86.60	253.01	enero	2012	NO	-74.2631	10.6216	fedearroz_el_reten_el_volga
15/01/2012	0.20	1.00	32.89	21.44	27.17	24.42	0.72	84.58	468.20	enero	2012	NO	-74.2631	10.6216	fedearroz_el_reten_el_volga
16/01/2012	0.00	0.00	33.89	21.28	27.59	23.44	1.02	77.90	496.35	enero	2012	NO	-74.2631	10.6216	fedearroz_el_reten_el_volga
17/01/2012	0.00	0.00	32.94	21.39	27.17	23.84	0.83	81.69	485.95	enero	2012	NO	-74.2631	10.6216	fedearroz_el_reten_el_volga
18/01/2012	0.00	0.00	32.56	20.44	26.50	23.21	0.81	81.79	498.77	enero	2012	NO	-74.2631	10.6216	fedearroz_el_reten_el_volga
19/01/2012	0.00	0.00	32.83	20.39	26.61	23.11	0.86	80.79	478.98	enero	2012	NO	-74.2631	10.6216	fedearroz_el_reten_el_volga
20/01/2012	0.00	0.00	32.11	18.89	25.50	22.01	0.84	80.69	499.84	enero	2012	NO	-74.2631	10.6216	fedearroz_el_reten_el_volga
21/01/2012	0.20	1.00	32.50	18.61	25.56	21.71	0.92	79.00	497.43	enero	2012	NO	-74.2631	10.6216	fedearroz_el_reten_el_volga
22/01/2012	0.00	0.00	33.00	21.06	27.03	23.20	0.92	79.27	492.39	enero	2012	NO	-74.2631	10.6216	fedearroz_el_reten_el_volga
23/01/2012	0.00	0.00	32.06	21.50	26.78	23.72	0.73	82.96	463.54	enero	2012	NO	-74.2631	10.6216	fedearroz_el_reten_el_volga
24/01/2012	0.00	0.00	31.72	22.94	27.33	24.15	0.73	82.42	422.02	enero	2012	NO	-74.2631	10.6216	fedearroz_el_reten_el_volga
25/01/2012	0.00	0.00	33.11	21.06	27.09	23.56	0.87	80.71	468.14	enero	2012	NO	-74.2631	10.6216	fedearroz_el_reten_el_volga
26/01/2012	0.00	0.00	32.72	20.50	26.61	23.01	0.87	80.33	477.35	enero	2012	NO	-74.2631	10.6216	fedearroz_el_reten_el_volga
27/01/2012	0.20	1.00	33.06	20.83	26.95	23.43	0.87	80.77	412.73	enero	2012	NO	-74.2631	10.6216	fedearroz_el_reten_el_volga
28/01/2012	0.00	0.00	33.72	20.94	27.33	23.50	0.96	79.33	472.62	enero	2012	NO	-74.2631	10.6216	fedearroz_el_reten_el_volga
29/01/2012	0.00	0.00	33.44	21.06	27.25	23.71	0.89	80.67	473.61	enero	2012	NO	-74.2631	10.6216	fedearroz_el_reten_el_volga
30/01/2012	0.00	0.00	34.11	21.56	27.84	23.92	0.99	79.00	467.58	enero	2012	NO	-74.2631	10.6216	fedearroz_el_reten_el_volga
31/01/2012	0.00	0.00	30.06	21.72	25.89	20.16	1.07	70.60	616.48	enero	2012	NO	-74.2631	10.6216	fedearroz_el_reten_el_volga
01/02/2012	0.00	0.00	30.94	22.28	26.61	19.70	1.29	65.87	432.03	febrero	2012	NO	-74.2631	10.6216	fedearroz_el_reten_el_volga
02/02/2012	0.00	0.00	31.61	20.89	26.25	19.59	1.28	66.83	531.23	febrero	2012	NO	-74.2631	10.6216	fedearroz_el_reten_el_volga
03/02/2012	0.00	0.00	31.89	22.11	27.00	19.72	1.40	64.46	525.12	febrero	2012	NO	-74.2631	10.6216	fedearroz_el_reten_el_volga
04/02/2012	0.00	0.00	31.83	21.72	26.78	21.12	1.15	71.08	526.07	febrero	2012	NO	-74.2631	10.6216	fedearroz_el_reten_el_volga
05/02/2012	0.00	0.00	34.89	21.67	28.28	23.09	1.26	73.33	443.17	febrero	2012	NO	-74.2631	10.6216	fedearroz_el_reten_el_volga
06/02/2012	0.00	0.00	34.33	22.39	28.36	24.02	1.08	77.08	479.12	febrero	2012	NO	-74.2631	10.6216	fedearroz_el_reten_el_volga
07/02/2012	0.00	0.00	32.11	23.11	27.61	23.29	0.95	77.08	502.85	febrero	2012	NO	-74.2631	10.6216	fedearroz_el_reten_el_volga
08/02/2012	0.00	0.00	31.78	23.06	27.42	22.60	1.02	74.83	509.21	febrero	2012	NO	-74.2631	10.6216	fedearroz_el_reten_el_volga
09/02/2012	0.00	0.00	32.56	23.39	27.98	23.02	1.08	74.29	512.04	febrero	2012	NO	-74.2631	10.6216	fedearroz_el_reten_el_volga
10/02/2012	0.00	0.00	35.17	21.22	28.20	23.33	1.23	74.75	523.30	febrero	2012	NO	-74.2631	10.6216	fedearroz_el_reten_el_volga
11/02/2012	0.00	0.00	35.56	21.11	28.34	22.20	1.48	69.33	508.45	febrero	2012	NO	-74.2631	10.6216	fedearroz_el_reten_el_volga
12/02/2012	0.00	0.00	32.61	22.39	27.50	21.63	1.23	70.29	534.92	febrero	2012	NO	-74.2631	10.6216	fedearroz_el_reten_el_volga
13/02/2012	0.00	0.00	32.33	21.50	26.92	20.55	1.29	68.12	548.69	febrero	2012	NO	-74.2631	10.6216	fedearroz_el_reten_el_volga
14/02/2012	0.00	0.00	32.33	20.78	26.56	20.77	1.20	70.48	548.85	febrero	2012	NO	-74.2631	10.6216	fedearroz_el_reten_el_volga
15/02/2012	0.00	0.00	32.56	21.72	27.14	21.11	1.25	69.58	557.23	febrero	2012	NO	-74.2631	10.6216	fedearroz_el_reten_el_volga
16/02/2012	0.00	0.00	32.56	20.22	26.39	20.43	1.24	69.75	518.54	febrero	2012	NO	-74.2631	10.6216	fedearroz_el_reten_el_volga
17/02/2012	0.00	0.00	32.72	19.67	26.20	22.28	0.93	78.77	497.90	febrero	2012	NO	-74.2631	10.6216	fedearroz_el_reten_el_volga
18/02/2012	0.20	1.00	32.50	20.06	26.28	22.74	0.85	80.54	497.14	febrero	2012	NO	-74.2631	10.6216	fedearroz_el_reten_el_volga
19/02/2012	0.20	1.00	32.72	21.17	26.95	23.32	0.87	80.21	485.48	febrero	2012	NO	-74.2631	10.6216	fedearroz_el_reten_el_volga
20/02/2012	0.00	0.00	33.00	21.61	27.31	23.39	0.93	78.92	470.68	febrero	2012	NO	-74.2631	10.6216	fedearroz_el_reten_el_volga
21/02/2012	0.00	0.00	32.89	22.06	27.48	23.61	0.91	79.19	482.98	febrero	2012	NO	-74.2631	10.6216	fedearroz_el_reten_el_volga
22/02/2012	0.00	0.00	33.11	20.50	26.81	23.09	0.91	79.81	491.59	febrero	2012	NO	-74.2631	10.6216	fedearroz_el_reten_el_volga
23/02/2012	0.20	1.00	33.50	19.67	26.59	22.83	0.95	79.56	447.46	febrero	2012	NO	-74.2631	10.6216	fedearroz_el_reten_el_volga
24/02/2012	0.00	0.00	33.50	20.00	26.75	22.74	0.99	78.42	466.14	febrero	2012	NO	-74.2631	10.6216	fedearroz_el_reten_el_volga
25/02/2012	0.00	0.00	33.11	21.00	27.06	23.62	0.86	81.15	474.44	febrero	2012	NO	-74.2631	10.6216	fedearroz_el_reten_el_volga
26/02/2012	0.00	0.00	33.78	21.33	27.56	23.40	1.02	77.85	478.56	febrero	2012	NO	-74.2631	10.6216	fedearroz_el_reten_el_volga
