Date	Rain	rain_days	tmax	tmin	tmean	t_dew_point	vapor_pressure_deficit	rhum	esol	month	year	Modif	x	y	station
2/06/2015	4.80	1	38.72	25.72	32.22	25.86	1.76	69.09	621.51	junio	2015	NO	-72.853	10.8741	fedearroz_fonseca_granja
3/06/2015	16.00	1	37.17	23.61	30.39	26.47	1.17	79.29	457.62	junio	2015	NO	-72.853	10.8741	fedearroz_fonseca_granja
4/06/2015	14.20	1	37.17	24.00	30.59	26.74	1.15	79.65	537.34	junio	2015	NO	-72.853	10.8741	fedearroz_fonseca_granja
5/06/2015	25.20	1	38.00	23.22	30.61	26.64	1.25	79.08	559.42	junio	2015	NO	-72.853	10.8741	fedearroz_fonseca_granja
6/06/2015	19.60	1	35.56	22.83	29.20	26.71	0.78	86.09	508.09	junio	2015	NO	-72.853	10.8741	fedearroz_fonseca_granja
7/06/2015	7.00	1	36.83	24.17	30.50	26.55	1.14	79.17	516.60	junio	2015	NO	-72.853	10.8741	fedearroz_fonseca_granja
8/06/2015	0.20	1	35.67	23.39	29.53	25.20	1.15	77.29	525.45	junio	2015	NO	-72.853	10.8741	fedearroz_fonseca_granja
9/06/2015	0.00	0	36.22	25.28	30.75	23.18	1.78	64.04	589.69	junio	2015	NO	-72.853	10.8741	fedearroz_fonseca_granja
10/06/2015	0.00	0	34.61	25.17	29.89	22.69	1.59	65.33	515.92	junio	2015	NO	-72.853	10.8741	fedearroz_fonseca_granja
11/06/2015	0.00	0	34.28	25.00	29.64	22.93	1.49	67.21	565.88	junio	2015	NO	-72.853	10.8741	fedearroz_fonseca_granja
12/06/2015	0.20	1	37.00	26.17	31.59	24.66	1.73	66.71	592.19	junio	2015	NO	-72.853	10.8741	fedearroz_fonseca_granja
13/06/2015	0.00	0	36.06	26.22	31.14	24.07	1.69	66.04	608.18	junio	2015	NO	-72.853	10.8741	fedearroz_fonseca_granja
14/06/2015	0.00	0	35.50	26.06	30.78	23.35	1.71	64.58	598.30	junio	2015	NO	-72.853	10.8741	fedearroz_fonseca_granja
15/06/2015	0.00	0	35.17	25.78	30.48	23.66	1.57	66.96	556.16	junio	2015	NO	-72.853	10.8741	fedearroz_fonseca_granja
16/06/2015	0.00	0	34.33	26.17	30.25	23.68	1.48	67.88	427.01	junio	2015	NO	-72.853	10.8741	fedearroz_fonseca_granja
17/06/2015	0.00	0	36.72	26.61	31.67	23.87	1.87	63.33	530.28	junio	2015	NO	-72.853	10.8741	fedearroz_fonseca_granja
18/06/2015	0.00	0	35.06	26.11	30.59	23.40	1.63	65.50	584.37	junio	2015	NO	-72.853	10.8741	fedearroz_fonseca_granja
19/06/2015	0.00	0	36.72	25.94	31.33	23.74	1.83	64.08	585.21	junio	2015	NO	-72.853	10.8741	fedearroz_fonseca_granja
20/06/2015	0.00	0	36.50	26.28	31.39	23.43	1.88	62.67	550.40	junio	2015	NO	-72.853	10.8741	fedearroz_fonseca_granja
21/06/2015	0.00	0	35.67	26.17	30.92	23.18	1.77	63.42	548.42	junio	2015	NO	-72.853	10.8741	fedearroz_fonseca_granja
22/06/2015	0.00	0	33.11	25.78	29.45	22.60	1.45	66.62	355.63	junio	2015	NO	-72.853	10.8741	fedearroz_fonseca_granja
23/06/2015	0.00	0	38.28	26.39	32.34	24.60	1.99	63.71	565.01	junio	2015	NO	-72.853	10.8741	fedearroz_fonseca_granja
24/06/2015	0.00	0	38.44	26.78	32.61	24.02	2.16	60.54	557.54	junio	2015	NO	-72.853	10.8741	fedearroz_fonseca_granja
25/06/2015	0.00	0	36.78	26.39	31.59	23.65	1.90	62.79	591.16	junio	2015	NO	-72.853	10.8741	fedearroz_fonseca_granja
26/06/2015	0.00	0	37.44	25.83	31.64	23.30	2.02	61.29	587.46	junio	2015	NO	-72.853	10.8741	fedearroz_fonseca_granja
27/06/2015	0.00	0	37.89	26.33	32.11	23.51	2.11	60.42	575.51	junio	2015	NO	-72.853	10.8741	fedearroz_fonseca_granja
28/06/2015	0.00	0	36.28	26.22	31.25	24.00	1.73	65.38	478.85	junio	2015	NO	-72.853	10.8741	fedearroz_fonseca_granja
29/06/2015	0.00	0	36.72	26.33	31.53	22.51	2.08	58.75	535.27	junio	2015	NO	-72.853	10.8741	fedearroz_fonseca_granja
30/06/2015	0.00	0	35.33	25.00	30.17	22.26	1.76	62.62	484.88	junio	2015	NO	-72.853	10.8741	fedearroz_fonseca_granja
1/07/2015	0.00	0	37.83	25.94	31.89	23.52	2.06	61.25	586.68	julio	2015	NO	-72.853	10.8741	fedearroz_fonseca_granja
2/07/2015	0.00	0	35.78	25.67	30.73	22.83	1.80	62.79	566.99	julio	2015	NO	-72.853	10.8741	fedearroz_fonseca_granja
3/07/2015	0.00	0	36.00	25.89	30.95	22.86	1.85	62.12	582.82	julio	2015	NO	-72.853	10.8741	fedearroz_fonseca_granja
4/07/2015	0.00	0	37.72	25.89	31.81	23.88	1.97	62.88	568.70	julio	2015	NO	-72.853	10.8741	fedearroz_fonseca_granja
5/07/2015	0.00	0	34.22	26.61	30.42	23.46	1.55	66.38	580.24	julio	2015	NO	-72.853	10.8741	fedearroz_fonseca_granja
6/07/2015	0.00	0	34.00	25.22	29.61	23.20	1.42	68.42	479.45	julio	2015	NO	-72.853	10.8741	fedearroz_fonseca_granja
7/07/2015	0.00	0	33.33	25.83	29.58	23.28	1.37	68.88	298.28	julio	2015	NO	-72.853	10.8741	fedearroz_fonseca_granja
8/07/2015	0.00	0	32.11	25.67	28.89	22.66	1.29	69.04	265.97	julio	2015	NO	-72.853	10.8741	fedearroz_fonseca_granja
9/07/2015	0.00	0	35.11	25.83	30.47	23.43	1.61	66.04	493.46	julio	2015	NO	-72.853	10.8741	fedearroz_fonseca_granja
10/07/2015	0.00	0	35.11	26.17	30.64	22.88	1.74	63.29	484.45	julio	2015	NO	-72.853	10.8741	fedearroz_fonseca_granja
11/07/2015	1.20	1	33.89	24.44	29.17	24.11	1.17	74.04	365.27	julio	2015	NO	-72.853	10.8741	fedearroz_fonseca_granja
12/07/2015	0.00	0	36.00	24.83	30.42	23.72	1.60	67.42	519.88	julio	2015	NO	-72.853	10.8741	fedearroz_fonseca_granja
13/07/2015	0.00	0	34.94	24.94	29.94	22.84	1.60	65.71	416.94	julio	2015	NO	-72.853	10.8741	fedearroz_fonseca_granja
14/07/2015	0.00	0	36.11	24.83	30.47	23.01	1.74	64.42	584.10	julio	2015	NO	-72.853	10.8741	fedearroz_fonseca_granja
15/07/2015	0.00	0	35.78	26.06	30.92	23.73	1.69	65.54	496.74	julio	2015	NO	-72.853	10.8741	fedearroz_fonseca_granja
16/07/2015	0.00	0	35.33	25.28	30.31	22.44	1.76	62.83	570.09	julio	2015	NO	-72.853	10.8741	fedearroz_fonseca_granja
17/07/2015	0.40	1	35.94	24.78	30.36	24.77	1.40	71.96	468.62	julio	2015	NO	-72.853	10.8741	fedearroz_fonseca_granja
18/07/2015	0.00	0	34.44	25.89	30.17	23.53	1.49	67.62	474.81	julio	2015	NO	-72.853	10.8741	fedearroz_fonseca_granja
19/07/2015	0.00	0	33.00	25.28	29.14	21.92	1.49	65.09	485.58	julio	2015	NO	-72.853	10.8741	fedearroz_fonseca_granja
20/07/2015	0.00	0	34.33	24.67	29.50	22.54	1.53	66.21	487.54	julio	2015	NO	-72.853	10.8741	fedearroz_fonseca_granja
21/07/2015	0.00	0	35.83	25.61	30.72	23.43	1.70	65.12	588.74	julio	2015	NO	-72.853	10.8741	fedearroz_fonseca_granja
22/07/2015	0.00	0	35.39	25.72	30.56	23.60	1.61	66.42	383.59	julio	2015	NO	-72.853	10.8741	fedearroz_fonseca_granja
23/07/2015	0.00	0	36.94	26.33	31.64	24.10	1.84	64.33	484.88	julio	2015	NO	-72.853	10.8741	fedearroz_fonseca_granja
24/07/2015	0.00	0	35.50	26.39	30.95	22.90	1.82	62.25	461.48	julio	2015	NO	-72.853	10.8741	fedearroz_fonseca_granja
25/07/2015	0.00	0	35.89	25.39	30.64	22.40	1.86	61.46	586.08	julio	2015	NO	-72.853	10.8741	fedearroz_fonseca_granja
26/07/2015	0.00	0	37.39	25.78	31.59	23.77	1.92	63.25	555.72	julio	2015	NO	-72.853	10.8741	fedearroz_fonseca_granja
27/07/2015	0.00	0	35.17	26.28	30.73	22.94	1.75	63.21	589.26	julio	2015	NO	-72.853	10.8741	fedearroz_fonseca_granja
28/07/2015	0.00	0	36.39	25.44	30.92	22.94	1.86	62.50	574.57	julio	2015	NO	-72.853	10.8741	fedearroz_fonseca_granja
29/07/2015	0.00	0	35.44	26.33	30.89	23.20	1.75	63.62	541.36	julio	2015	NO	-72.853	10.8741	fedearroz_fonseca_granja
30/07/2015	0.00	0	34.17	24.94	29.56	21.92	1.63	63.54	543.69	julio	2015	NO	-72.853	10.8741	fedearroz_fonseca_granja
31/07/2015	0.00	0	35.56	25.72	30.64	23.60	1.64	66.08	525.45	julio	2015	NO	-72.853	10.8741	fedearroz_fonseca_granja
1/08/2015	0.00	0	36.78	26.61	31.70	23.49	1.95	61.79	519.36	agosto	2015	NO	-72.853	10.8741	fedearroz_fonseca_granja
2/08/2015	0.00	0	36.67	25.83	31.25	23.34	1.88	62.83	575.60	agosto	2015	NO	-72.853	10.8741	fedearroz_fonseca_granja
3/08/2015	0.00	0	37.50	25.56	31.53	23.38	1.99	61.96	576.44	agosto	2015	NO	-72.853	10.8741	fedearroz_fonseca_granja
