Date	Rain	rain_days	tmax	tmin	tmean	t_dew_point	vapor_pressure_deficit	rhum	esol	month	year	Modif	x	y	station
01/01/2012	0.00	0	32.06	21.11	26.59	21.72	1.04	74.50	540.60	enero	2012	NO	-73.56	3.3028	fedearroz_granada_los_naranjos
02/01/2012	0.00	0	31.78	19.33	25.56	21.58	0.89	78.38	505.25	enero	2012	NO	-73.56	3.3028	fedearroz_granada_los_naranjos
03/01/2012	0.00	0	32.44	20.67	26.56	22.21	0.98	76.83	499.24	enero	2012	NO	-73.56	3.3028	fedearroz_granada_los_naranjos
04/01/2012	0.00	0	32.44	22.39	27.42	22.99	0.98	76.58	392.34	enero	2012	NO	-73.56	3.3028	fedearroz_granada_los_naranjos
05/01/2012	0.00	0	33.22	21.56	27.39	23.14	1.00	77.38	488.06	enero	2012	NO	-73.56	3.3028	fedearroz_granada_los_naranjos
06/01/2012	0.00	0	32.06	21.72	26.89	23.02	0.87	79.08	350.91	enero	2012	NO	-73.56	3.3028	fedearroz_granada_los_naranjos
07/01/2012	0.00	0	32.83	22.06	27.45	22.17	1.15	72.83	521.59	enero	2012	NO	-73.56	3.3028	fedearroz_granada_los_naranjos
08/01/2012	0.00	0	32.78	22.94	27.86	22.97	1.08	74.58	453.84	enero	2012	NO	-73.56	3.3028	fedearroz_granada_los_naranjos
09/01/2012	0.00	0	33.17	22.06	27.62	23.01	1.06	75.79	451.08	enero	2012	NO	-73.56	3.3028	fedearroz_granada_los_naranjos
10/01/2012	0.00	0	32.78	21.67	27.23	22.74	1.01	76.29	508.45	enero	2012	NO	-73.56	3.3028	fedearroz_granada_los_naranjos
11/01/2012	0.00	0	32.39	22.78	27.59	23.35	0.95	77.46	384.87	enero	2012	NO	-73.56	3.3028	fedearroz_granada_los_naranjos
12/01/2012	0.00	0	31.72	23.11	27.42	22.69	1.00	75.25	313.33	enero	2012	NO	-73.56	3.3028	fedearroz_granada_los_naranjos
13/01/2012	0.00	0	32.78	23.11	27.95	21.89	1.27	69.58	506.28	enero	2012	NO	-73.56	3.3028	fedearroz_granada_los_naranjos
14/01/2012	0.00	0	32.89	20.78	26.84	22.08	1.07	75.00	392.69	enero	2012	NO	-73.56	3.3028	fedearroz_granada_los_naranjos
15/01/2012	0.00	0	32.56	21.56	27.06	21.36	1.20	70.96	364.15	enero	2012	NO	-73.56	3.3028	fedearroz_granada_los_naranjos
16/01/2012	0.00	0	32.61	21.11	26.86	22.14	1.05	75.17	499.65	enero	2012	NO	-73.56	3.3028	fedearroz_granada_los_naranjos
17/01/2012	0.00	0	32.78	19.39	26.09	21.10	1.11	73.88	511.27	enero	2012	NO	-73.56	3.3028	fedearroz_granada_los_naranjos
18/01/2012	0.00	0	32.44	21.33	26.89	22.16	1.04	75.17	467.67	enero	2012	NO	-73.56	3.3028	fedearroz_granada_los_naranjos
19/01/2012	0.00	0	31.78	21.83	26.81	21.58	1.08	72.96	404.40	enero	2012	NO	-73.56	3.3028	fedearroz_granada_los_naranjos
20/01/2012	0.00	0	30.11	21.28	25.70	20.66	0.97	73.58	308.08	enero	2012	NO	-73.56	3.3028	fedearroz_granada_los_naranjos
21/01/2012	0.00	0	31.89	19.72	25.81	21.01	1.02	74.67	366.55	enero	2012	NO	-73.56	3.3028	fedearroz_granada_los_naranjos
22/01/2012	0.00	0	33.22	19.44	26.33	20.17	1.31	68.88	513.69	enero	2012	NO	-73.56	3.3028	fedearroz_granada_los_naranjos
23/01/2012	0.00	0	34.22	19.28	26.75	20.69	1.37	69.38	536.55	enero	2012	NO	-73.56	3.3028	fedearroz_granada_los_naranjos
24/01/2012	0.00	0	34.17	18.78	26.48	20.49	1.36	69.62	521.67	enero	2012	NO	-73.56	3.3028	fedearroz_granada_los_naranjos
25/01/2012	0.00	0	31.22	21.83	26.53	22.22	0.90	77.00	343.77	enero	2012	NO	-73.56	3.3028	fedearroz_granada_los_naranjos
26/01/2012	0.20	1	31.72	21.44	26.58	21.70	1.02	74.42	346.34	enero	2012	NO	-73.56	3.3028	fedearroz_granada_los_naranjos
27/01/2012	0.00	0	32.72	22.00	27.36	21.18	1.28	68.96	413.33	enero	2012	NO	-73.56	3.3028	fedearroz_granada_los_naranjos
28/01/2012	0.00	0	33.22	21.83	27.53	21.33	1.32	68.96	386.50	enero	2012	NO	-73.56	3.3028	fedearroz_granada_los_naranjos
29/01/2012	0.00	0	32.78	22.67	27.73	22.19	1.19	71.75	408.96	enero	2012	NO	-73.56	3.3028	fedearroz_granada_los_naranjos
30/01/2012	0.00	0	31.50	20.06	25.78	21.38	0.94	76.46	331.82	enero	2012	NO	-73.56	3.3028	fedearroz_granada_los_naranjos
31/01/2012	0.00	0	33.50	21.22	27.36	21.38	1.30	69.83	434.40	enero	2012	NO	-73.56	3.3028	fedearroz_granada_los_naranjos
01/02/2012	0.00	0	32.28	23.33	27.81	21.90	1.22	70.21	293.04	febrero	2012	NO	-73.56	3.3028	fedearroz_granada_los_naranjos
02/02/2012	0.00	0	32.11	21.33	26.72	20.86	1.20	70.21	358.73	febrero	2012	NO	-73.56	3.3028	fedearroz_granada_los_naranjos
03/02/2012	0.00	0	31.17	19.72	25.45	20.18	1.05	72.54	301.38	febrero	2012	NO	-73.56	3.3028	fedearroz_granada_los_naranjos
04/02/2012	0.00	0	34.50	21.06	27.78	20.95	1.50	66.38	465.19	febrero	2012	NO	-73.56	3.3028	fedearroz_granada_los_naranjos
05/02/2012	3.80	1	29.72	22.22	25.97	23.20	0.58	84.29	204.90	febrero	2012	NO	-73.56	3.3028	fedearroz_granada_los_naranjos
06/02/2012	7.80	1	26.06	21.39	23.73	23.17	0.12	96.45	173.23	febrero	2012	SI	-73.56	3.3028	fedearroz_granada_los_naranjos
07/02/2012	6.00	1	31.00	21.44	26.22	24.10	0.52	87.67	386.59	febrero	2012	NO	-73.56	3.3028	fedearroz_granada_los_naranjos
08/02/2012	37.80	1	32.43	20.78	26.60	26.26	0.25	97.83	310.39	febrero	2012	SI	-73.56	3.3028	fedearroz_granada_los_naranjos
09/02/2012	9.00	1	32.06	19.28	25.67	22.96	0.70	84.58	525.45	febrero	2012	NO	-73.56	3.3028	fedearroz_granada_los_naranjos
10/02/2012	13.60	1	31.11	22.44	26.78	25.65	0.33	93.17	246.09	febrero	2012	NO	-73.56	3.3028	fedearroz_granada_los_naranjos
11/02/2012	0.00	0	33.06	22.44	27.75	23.70	0.95	78.33	489.87	febrero	2012	NO	-73.56	3.3028	fedearroz_granada_los_naranjos
12/02/2012	0.00	0	33.00	22.94	27.97	23.42	1.03	76.08	398.53	febrero	2012	NO	-73.56	3.3028	fedearroz_granada_los_naranjos
13/02/2012	0.00	0	32.94	22.72	27.83	23.13	1.06	75.42	408.61	febrero	2012	NO	-73.56	3.3028	fedearroz_granada_los_naranjos
14/02/2012	0.00	0	32.94	21.11	27.03	22.57	1.02	76.38	487.97	febrero	2012	NO	-73.56	3.3028	fedearroz_granada_los_naranjos
15/02/2012	0.00	0	32.17	19.50	25.84	21.13	1.03	75.08	517.63	febrero	2012	NO	-73.56	3.3028	fedearroz_granada_los_naranjos
16/02/2012	0.00	0	32.89	19.50	26.20	20.83	1.17	72.25	484.45	febrero	2012	NO	-73.56	3.3028	fedearroz_granada_los_naranjos
17/02/2012	0.00	0	34.22	19.22	26.72	20.57	1.38	69.00	537.34	febrero	2012	NO	-73.56	3.3028	fedearroz_granada_los_naranjos
18/02/2012	0.00	0	32.78	21.89	27.34	22.31	1.10	73.88	409.55	febrero	2012	NO	-73.56	3.3028	fedearroz_granada_los_naranjos
19/02/2012	0.00	0	32.11	22.33	27.22	22.50	1.01	75.25	373.36	febrero	2012	NO	-73.56	3.3028	fedearroz_granada_los_naranjos
20/02/2012	0.00	0	33.89	22.94	28.42	22.52	1.31	70.33	504.05	febrero	2012	NO	-73.56	3.3028	fedearroz_granada_los_naranjos
21/02/2012	0.00	0	33.17	22.44	27.81	22.29	1.21	71.83	441.71	febrero	2012	NO	-73.56	3.3028	fedearroz_granada_los_naranjos
22/02/2012	0.00	0	32.44	21.39	26.92	21.08	1.21	70.33	523.14	febrero	2012	NO	-73.56	3.3028	fedearroz_granada_los_naranjos
23/02/2012	0.00	0	33.61	21.72	27.67	21.18	1.39	67.79	535.60	febrero	2012	NO	-73.56	3.3028	fedearroz_granada_los_naranjos
24/02/2012	0.00	0	32.83	20.39	26.61	21.58	1.11	73.75	339.64	febrero	2012	NO	-73.56	3.3028	fedearroz_granada_los_naranjos
25/02/2012	1.20	1	31.83	22.11	26.97	23.91	0.72	82.96	371.98	febrero	2012	NO	-73.56	3.3028	fedearroz_granada_los_naranjos
26/02/2012	0.00	0	30.94	20.78	25.86	20.74	1.02	73.25	302.93	febrero	2012	NO	-73.56	3.3028	fedearroz_granada_los_naranjos
27/02/2012	0.00	0	33.11	18.94	26.03	20.30	1.24	70.67	573.95	febrero	2012	NO	-73.56	3.3028	fedearroz_granada_los_naranjos
28/02/2012	0.00	0	33.67	20.61	27.14	20.51	1.41	67.08	549.80	febrero	2012	NO	-73.56	3.3028	fedearroz_granada_los_naranjos
29/02/2012	0.00	0	33.39	20.39	26.89	20.32	1.38	67.29	432.26	febrero	2012	NO	-73.56	3.3028	fedearroz_granada_los_naranjos
01/03/2012	0.00	0	33.50	22.22	27.86	21.49	1.36	68.29	446.70	marzo	2012	NO	-73.56	3.3028	fedearroz_granada_los_naranjos
02/03/2012	1.20	1	28.39	22.28	25.34	23.45	0.39	88.88	206.28	marzo	2012	NO	-73.56	3.3028	fedearroz_granada_los_naranjos
03/03/2012	32.80	1	30.06	21.17	25.62	24.81	0.25	95.00	200.77	marzo	2012	NO	-73.56	3.3028	fedearroz_granada_los_naranjos
04/03/2012	0.60	1	30.89	20.67	25.78	23.86	0.49	88.71	328.21	marzo	2012	NO	-73.56	3.3028	fedearroz_granada_los_naranjos
05/03/2012	0.20	1	31.72	21.89	26.81	23.75	0.71	83.00	476.27	marzo	2012	NO	-73.56	3.3028	fedearroz_granada_los_naranjos
06/03/2012	0.00	0	32.78	21.28	27.03	22.68	0.99	76.88	544.02	marzo	2012	NO	-73.56	3.3028	fedearroz_granada_los_naranjos
07/03/2012	0.00	0	32.00	20.89	26.45	21.90	0.98	75.92	516.00	marzo	2012	NO	-73.56	3.3028	fedearroz_granada_los_naranjos
08/03/2012	0.00	0	31.39	21.44	26.42	21.50	1.01	74.25	408.52	marzo	2012	NO	-73.56	3.3028	fedearroz_granada_los_naranjos
09/03/2012	0.00	0	27.67	21.56	24.62	22.25	0.46	86.25	158.47	marzo	2012	NO	-73.56	3.3028	fedearroz_granada_los_naranjos
10/03/2012	5.00	1	33.07	21.50	27.28	26.66	0.31	96.12	312.96	marzo	2012	SI	-73.56	3.3028	fedearroz_granada_los_naranjos
11/03/2012	0.80	1	30.89	21.11	26.00	23.78	0.54	87.12	402.25	marzo	2012	NO	-73.56	3.3028	fedearroz_granada_los_naranjos
12/03/2012	13.80	1	29.17	21.33	25.25	23.74	0.35	90.92	334.15	marzo	2012	NO	-73.56	3.3028	fedearroz_granada_los_naranjos
13/03/2012	14.80	1	30.83	22.11	26.47	24.36	0.51	87.75	418.41	marzo	2012	NO	-73.56	3.3028	fedearroz_granada_los_naranjos
14/03/2012	0.00	0	30.28	21.72	26.00	24.06	0.46	88.62	270.34	marzo	2012	NO	-73.56	3.3028	fedearroz_granada_los_naranjos
15/03/2012	0.00	0	31.89	22.00	26.95	24.17	0.67	84.38	391.66	marzo	2012	NO	-73.56	3.3028	fedearroz_granada_los_naranjos
16/03/2012	4.40	1	30.00	20.39	25.20	23.67	0.39	90.83	178.67	marzo	2012	NO	-73.56	3.3028	fedearroz_granada_los_naranjos
17/03/2012	17.00	1	33.06	20.39	26.73	23.52	0.82	82.21	549.02	marzo	2012	NO	-73.56	3.3028	fedearroz_granada_los_naranjos
18/03/2012	0.20	1	31.72	21.56	26.64	24.54	0.55	87.83	442.66	marzo	2012	NO	-73.56	3.3028	fedearroz_granada_los_naranjos
19/03/2012	0.00	0	30.44	22.33	26.39	24.31	0.48	87.96	346.45	marzo	2012	NO	-73.56	3.3028	fedearroz_granada_los_naranjos
20/03/2012	0.20	1	30.56	22.39	26.48	24.08	0.55	86.29	348.16	marzo	2012	NO	-73.56	3.3028	fedearroz_granada_los_naranjos
21/03/2012	47.40	1	29.89	21.39	25.64	24.40	0.33	92.46	332.08	marzo	2012	NO	-73.56	3.3028	fedearroz_granada_los_naranjos
22/03/2012	2.20	1	27.33	21.89	24.61	23.86	0.17	95.29	229.75	marzo	2012	NO	-73.56	3.3028	fedearroz_granada_los_naranjos
23/03/2012	8.80	1	31.17	21.56	26.37	24.74	0.44	90.38	391.50	marzo	2012	NO	-73.56	3.3028	fedearroz_granada_los_naranjos
24/03/2012	3.80	1	29.89	21.39	25.64	24.03	0.39	90.42	405.68	marzo	2012	NO	-73.56	3.3028	fedearroz_granada_los_naranjos
25/03/2012	0.80	1	30.00	21.22	25.61	24.36	0.33	92.42	249.95	marzo	2012	NO	-73.56	3.3028	fedearroz_granada_los_naranjos
26/03/2012	5.40	1	27.28	21.72	24.50	23.65	0.19	94.71	184.10	marzo	2012	NO	-73.56	3.3028	fedearroz_granada_los_naranjos
27/03/2012	0.20	1	32.11	21.39	26.75	24.62	0.57	87.67	572.75	marzo	2012	NO	-73.56	3.3028	fedearroz_granada_los_naranjos
