Date	Rain	rain_days	tmax	tmin	tmean	t_dew_point	vapor_pressure_deficit	rhum	esol	month	year	Modif	x	y	station
01/01/2012	0.00	0	29.89	22.83	26.36	23.80	0.55	85.42	252.63	enero	2012	NO	-74.9793	4.0991	fedearroz_guamo_quita_suenos
02/01/2012	0.00	0	32.33	22.94	27.64	25.41	0.58	87.25	384.19	enero	2012	NO	-74.9793	4.0991	fedearroz_guamo_quita_suenos
03/01/2012	0.00	0	31.72	23.44	27.58	24.99	0.62	85.38	306.45	enero	2012	NO	-74.9793	4.0991	fedearroz_guamo_quita_suenos
04/01/2012	0.00	0	31.50	22.78	27.14	24.83	0.56	86.79	375.24	enero	2012	NO	-74.9793	4.0991	fedearroz_guamo_quita_suenos
05/01/2012	0.00	0	32.78	23.17	27.98	25.56	0.63	86.29	381.94	enero	2012	NO	-74.9793	4.0991	fedearroz_guamo_quita_suenos
06/01/2012	0.00	0	31.94	22.44	27.19	25.33	0.50	89.17	323.21	enero	2012	NO	-74.9793	4.0991	fedearroz_guamo_quita_suenos
07/01/2012	0.30	1	33.78	23.28	28.53	25.54	0.79	83.48	468.80	enero	2012	NO	-74.9793	4.0991	fedearroz_guamo_quita_suenos
08/01/2012	3.40	1	33.78	23.94	28.86	24.66	1.01	77.83	474.89	enero	2012	NO	-74.9793	4.0991	fedearroz_guamo_quita_suenos
09/01/2012	0.00	0	32.33	23.00	27.67	24.19	0.81	81.04	425.28	enero	2012	NO	-74.9793	4.0991	fedearroz_guamo_quita_suenos
10/01/2012	0.00	0	33.33	23.67	28.50	25.65	0.73	84.17	301.29	enero	2012	NO	-74.9793	4.0991	fedearroz_guamo_quita_suenos
11/01/2012	0.00	0	32.56	23.17	27.87	25.01	0.70	84.08	339.64	enero	2012	NO	-74.9793	4.0991	fedearroz_guamo_quita_suenos
12/01/2012	0.00	0	34.06	23.11	28.59	24.32	1.04	77.46	482.81	enero	2012	NO	-74.9793	4.0991	fedearroz_guamo_quita_suenos
13/01/2012	0.00	0	32.50	22.50	27.50	24.95	0.65	85.58	335.10	enero	2012	NO	-74.9793	4.0991	fedearroz_guamo_quita_suenos
14/01/2012	0.00	0	32.61	22.94	27.78	24.50	0.79	82.00	470.87	enero	2012	NO	-74.9793	4.0991	fedearroz_guamo_quita_suenos
15/01/2012	0.00	0	30.39	22.39	26.39	23.79	0.58	85.21	369.23	enero	2012	NO	-74.9793	4.0991	fedearroz_guamo_quita_suenos
16/01/2012	0.00	0	30.94	22.78	26.86	24.56	0.54	86.79	329.67	enero	2012	NO	-74.9793	4.0991	fedearroz_guamo_quita_suenos
