Date	Rain	rain_days	tmax	tmin	tmean	t_dew_point	vapor_pressure_deficit	rhum	esol	month	year	Modif	x	y	station
01/01/2012	0.00	0	33.50	22.50	28.00	25.18	0.75	84.25	429.08	enero	2012	NO	-74.9761	4.2024	fedearroz_guamo_rancho_alegre
02/01/2012	0.00	0	33.22	20.89	27.06	23.80	0.83	82.04	416.34	enero	2012	NO	-74.9761	4.2024	fedearroz_guamo_rancho_alegre
03/01/2012	0.00	0	33.50	23.22	28.36	24.02	1.02	77.12	376.37	enero	2012	NO	-74.9761	4.2024	fedearroz_guamo_rancho_alegre
04/01/2012	0.00	0	28.94	22.00	25.47	23.40	0.44	87.88	204.47	enero	2012	NO	-74.9761	4.2024	fedearroz_guamo_rancho_alegre
05/01/2012	0.00	0	31.89	21.61	26.75	24.02	0.67	84.58	419.17	enero	2012	NO	-74.9761	4.2024	fedearroz_guamo_rancho_alegre
06/01/2012	0.00	0	31.72	23.22	27.47	24.07	0.77	81.38	339.31	enero	2012	NO	-74.9761	4.2024	fedearroz_guamo_rancho_alegre
07/01/2012	0.00	0	31.72	22.28	27.00	24.15	0.67	84.00	440.59	enero	2012	NO	-74.9761	4.2024	fedearroz_guamo_rancho_alegre
08/01/2012	21.60	1	32.67	21.22	26.95	23.95	0.75	83.29	389.87	enero	2012	NO	-74.9761	4.2024	fedearroz_guamo_rancho_alegre
09/01/2012	1.20	1	32.56	22.17	27.37	25.05	0.61	86.75	472.74	enero	2012	NO	-74.9761	4.2024	fedearroz_guamo_rancho_alegre
10/01/2012	0.00	0	33.17	22.50	27.84	24.38	0.85	81.17	520.83	enero	2012	NO	-74.9761	4.2024	fedearroz_guamo_rancho_alegre
11/01/2012	0.00	0	34.00	24.28	29.14	24.23	1.15	74.67	493.81	enero	2012	NO	-74.9761	4.2024	fedearroz_guamo_rancho_alegre
12/01/2012	0.00	0	33.50	22.39	27.95	24.05	0.95	79.08	473.78	enero	2012	NO	-74.9761	4.2024	fedearroz_guamo_rancho_alegre
13/01/2012	0.00	0	32.94	23.83	28.39	24.87	0.84	80.92	410.24	enero	2012	NO	-74.9761	4.2024	fedearroz_guamo_rancho_alegre
14/01/2012	0.00	0	32.89	22.17	27.53	24.60	0.74	83.67	425.03	enero	2012	NO	-74.9761	4.2024	fedearroz_guamo_rancho_alegre
15/01/2012	0.00	0	33.17	22.50	27.84	23.56	1.00	77.33	481.00	enero	2012	NO	-74.9761	4.2024	fedearroz_guamo_rancho_alegre
16/01/2012	0.20	1	31.78	22.00	26.89	23.85	0.71	83.08	286.25	enero	2012	NO	-74.9761	4.2024	fedearroz_guamo_rancho_alegre
17/01/2012	0.00	0	32.00	21.56	26.78	23.61	0.75	82.42	436.11	enero	2012	NO	-74.9761	4.2024	fedearroz_guamo_rancho_alegre
18/01/2012	1.00	1	30.61	22.28	26.45	23.31	0.68	82.54	418.49	enero	2012	NO	-74.9761	4.2024	fedearroz_guamo_rancho_alegre
19/01/2012	0.40	1	30.00	22.67	26.34	24.06	0.50	86.88	292.26	enero	2012	NO	-74.9761	4.2024	fedearroz_guamo_rancho_alegre
20/01/2012	0.00	0	30.44	21.89	26.17	23.12	0.66	82.96	328.37	enero	2012	NO	-74.9761	4.2024	fedearroz_guamo_rancho_alegre
21/01/2012	0.00	0	30.22	22.00	26.11	23.65	0.55	85.88	359.33	enero	2012	NO	-74.9761	4.2024	fedearroz_guamo_rancho_alegre
22/01/2012	0.60	1	28.00	21.89	24.95	23.62	0.29	91.96	184.26	enero	2012	NO	-74.9761	4.2024	fedearroz_guamo_rancho_alegre
23/01/2012	0.00	0	30.72	22.17	26.45	24.01	0.56	86.08	412.30	enero	2012	NO	-74.9761	4.2024	fedearroz_guamo_rancho_alegre
24/01/2012	0.00	0	32.39	21.33	26.86	23.35	0.83	80.75	397.26	enero	2012	NO	-74.9761	4.2024	fedearroz_guamo_rancho_alegre
25/01/2012	0.00	0	33.28	20.33	26.81	22.39	1.04	76.54	527.10	enero	2012	NO	-74.9761	4.2024	fedearroz_guamo_rancho_alegre
26/01/2012	0.00	0	32.72	20.83	26.78	22.47	0.99	77.04	455.90	enero	2012	NO	-74.9761	4.2024	fedearroz_guamo_rancho_alegre
27/01/2012	20.20	1	30.78	21.89	26.34	24.18	0.52	87.50	245.23	enero	2012	NO	-74.9761	4.2024	fedearroz_guamo_rancho_alegre
28/01/2012	0.00	0	33.61	21.94	27.78	24.36	0.87	81.33	512.22	enero	2012	NO	-74.9761	4.2024	fedearroz_guamo_rancho_alegre
29/01/2012	0.00	0	33.61	22.28	27.95	23.93	0.98	78.54	506.55	enero	2012	NO	-74.9761	4.2024	fedearroz_guamo_rancho_alegre
30/01/2012	0.00	0	32.50	21.50	27.00	23.36	0.86	80.17	428.29	enero	2012	NO	-74.9761	4.2024	fedearroz_guamo_rancho_alegre
31/01/2012	0.00	0	32.06	22.50	27.28	23.90	0.78	81.46	463.21	enero	2012	NO	-74.9761	4.2024	fedearroz_guamo_rancho_alegre
01/02/2012	0.00	0	31.50	21.83	26.67	23.88	0.66	84.33	355.73	febrero	2012	NO	-74.9761	4.2024	fedearroz_guamo_rancho_alegre
02/02/2012	0.00	0	33.00	22.61	27.81	24.19	0.87	80.38	439.31	febrero	2012	NO	-74.9761	4.2024	fedearroz_guamo_rancho_alegre
03/02/2012	1.00	1	31.72	22.28	27.00	24.05	0.69	83.54	347.89	febrero	2012	NO	-74.9761	4.2024	fedearroz_guamo_rancho_alegre
04/02/2012	5.20	1	34.44	22.78	28.61	24.00	1.13	75.92	536.04	febrero	2012	NO	-74.9761	4.2024	fedearroz_guamo_rancho_alegre
05/02/2012	0.00	0	31.56	23.61	27.59	23.81	0.83	79.62	315.91	febrero	2012	NO	-74.9761	4.2024	fedearroz_guamo_rancho_alegre
06/02/2012	5.00	1	29.22	21.67	25.45	24.13	0.32	92.04	267.76	febrero	2012	NO	-74.9761	4.2024	fedearroz_guamo_rancho_alegre
07/02/2012	0.20	1	32.94	20.72	26.83	23.99	0.75	84.04	541.36	febrero	2012	NO	-74.9761	4.2024	fedearroz_guamo_rancho_alegre
08/02/2012	8.80	1	26.22	21.61	23.92	23.00	0.18	94.25	165.53	febrero	2012	NO	-74.9761	4.2024	fedearroz_guamo_rancho_alegre
