Date	Rain	rain_days	tmax	tmin	tmean	t_dew_point	vapor_pressure_deficit	rhum	esol	month	year	Modif	x	y	station
01/01/2012	0.00	0	32.28	21.50	26.89	23.22	0.85	80.00	479.29	enero	2012	NO	-74.9798	4.4784	fedearroz_ibague_el_chaco
02/01/2012	0.00	0	32.82	21.61	27.21	25.51	0.51	90.00	300.36	enero	2012	SI	-74.9798	4.4784	fedearroz_ibague_el_chaco
03/01/2012	0.00	0	31.28	22.12	26.70	22.06	0.96	75.49	428.46	enero	2012	SI	-74.9798	4.4784	fedearroz_ibague_el_chaco
04/01/2012	0.00	0	30.62	21.12	25.87	22.47	0.73	81.17	440.10	enero	2012	SI	-74.9798	4.4784	fedearroz_ibague_el_chaco
05/01/2012	0.00	0	31.01	20.35	25.68	21.43	0.89	77.10	447.12	enero	2012	SI	-74.9798	4.4784	fedearroz_ibague_el_chaco
06/01/2012	0.00	0	31.89	20.44	26.17	22.23	0.88	78.66	473.51	enero	2012	SI	-74.9798	4.4784	fedearroz_ibague_el_chaco
07/01/2012	0.20	1	33.00	21.94	27.47	23.63	0.91	79.30	408.96	enero	2012	NO	-74.9798	4.4784	fedearroz_ibague_el_chaco
08/01/2012	0.00	0	32.17	21.72	26.95	22.79	0.93	77.75	468.37	enero	2012	NO	-74.9798	4.4784	fedearroz_ibague_el_chaco
09/01/2012	7.20	1	31.22	21.33	26.28	23.07	0.72	82.17	477.90	enero	2012	NO	-74.9798	4.4784	fedearroz_ibague_el_chaco
10/01/2012	0.00	0	32.33	21.22	26.78	23.19	0.84	80.38	489.34	enero	2012	NO	-74.9798	4.4784	fedearroz_ibague_el_chaco
11/01/2012	0.00	0	32.39	22.67	27.53	23.04	0.99	76.29	516.27	enero	2012	NO	-74.9798	4.4784	fedearroz_ibague_el_chaco
12/01/2012	0.00	0	33.28	22.06	27.67	23.46	0.99	77.62	453.33	enero	2012	NO	-74.9798	4.4784	fedearroz_ibague_el_chaco
13/01/2012	0.60	1	32.17	21.94	27.06	23.75	0.78	81.79	386.42	enero	2012	NO	-74.9798	4.4784	fedearroz_ibague_el_chaco
14/01/2012	0.00	0	32.78	21.50	27.14	23.42	0.88	79.83	459.41	enero	2012	NO	-74.9798	4.4784	fedearroz_ibague_el_chaco
15/01/2012	9.20	1	32.00	21.06	26.53	22.98	0.82	80.54	551.00	enero	2012	NO	-74.9798	4.4784	fedearroz_ibague_el_chaco
16/01/2012	0.00	0	30.61	21.17	25.89	22.59	0.71	81.67	454.96	enero	2012	NO	-74.9798	4.4784	fedearroz_ibague_el_chaco
17/01/2012	0.00	0	30.28	21.22	25.75	24.25	0.39	91.00	302.15	enero	2012	SI	-74.9798	4.4784	fedearroz_ibague_el_chaco
18/01/2012	0.00	0	29.57	22.29	25.93	22.73	0.65	82.17	336.68	enero	2012	SI	-74.9798	4.4784	fedearroz_ibague_el_chaco
19/01/2012	0.00	0	29.90	21.73	25.82	21.46	0.85	76.69	404.42	enero	2012	SI	-74.9798	4.4784	fedearroz_ibague_el_chaco
20/01/2012	0.00	0	32.58	22.03	27.30	23.02	0.97	77.22	454.52	enero	2012	SI	-74.9798	4.4784	fedearroz_ibague_el_chaco
21/01/2012	0.00	0	31.56	22.00	26.78	22.70	0.88	78.06	467.85	enero	2012	SI	-74.9798	4.4784	fedearroz_ibague_el_chaco
