Date	Rain	rain_days	tmax	tmin	tmean	t_dew_point	vapor_pressure_deficit	rhum	esol	month	year	Modif	x	y	station
1/01/2018	2.29	1.00	28.45	21.45	24.95	22.53	0.49	86.01	381.93	enero	2018	SI	-75.0227	4.3961	fedearroz_ibague_finca_el_paraiso
2/01/2018	0.00	0.00	28.85	20.85	24.85	22.73	0.46	87.53	409.58	enero	2018	SI	-75.0227	4.3961	fedearroz_ibague_finca_el_paraiso
3/01/2018	0.00	0.00	26.32	20.76	23.54	22.13	0.27	91.37	270.54	enero	2018	SI	-75.0227	4.3961	fedearroz_ibague_finca_el_paraiso
4/01/2018	0.00	0.00	29.88	19.88	24.88	22.25	0.58	84.87	463.71	enero	2018	SI	-75.0227	4.3961	fedearroz_ibague_finca_el_paraiso
5/01/2018	0.60	1.00	32.00	20.89	26.45	21.95	0.98	76.10	509.13	enero	2018	SI	-75.0227	4.3961	fedearroz_ibague_finca_el_paraiso
6/01/2018	0.00	0.00	31.59	20.92	26.26	22.32	0.87	78.67	510.34	enero	2018	SI	-75.0227	4.3961	fedearroz_ibague_finca_el_paraiso
7/01/2018	0.60	1.00	32.26	21.15	26.70	22.81	0.89	78.95	493.96	enero	2018	SI	-75.0227	4.3961	fedearroz_ibague_finca_el_paraiso
8/01/2018	0.00	0.00	35.57	19.79	27.68	16.99	2.12	52.00	541.79	enero	2018	SI	-75.0227	4.3961	fedearroz_ibague_finca_el_paraiso
9/01/2018	0.00	0.00	33.31	21.15	27.23	19.04	1.61	61.00	492.42	enero	2018	SI	-75.0227	4.3961	fedearroz_ibague_finca_el_paraiso
10/01/2018	0.00	0.00	35.02	21.58	28.30	20.03	1.76	60.90	524.13	enero	2018	SI	-75.0227	4.3961	fedearroz_ibague_finca_el_paraiso
11/01/2018	0.00	0.00	34.32	22.32	28.32	21.58	1.48	66.85	517.85	enero	2018	SI	-75.0227	4.3961	fedearroz_ibague_finca_el_paraiso
12/01/2018	0.00	0.00	33.27	21.33	27.30	20.52	1.41	66.53	510.82	enero	2018	SI	-75.0227	4.3961	fedearroz_ibague_finca_el_paraiso
13/01/2018	0.00	0.00	33.80	21.80	27.80	21.54	1.36	68.75	503.66	enero	2018	SI	-75.0227	4.3961	fedearroz_ibague_finca_el_paraiso
14/01/2018	0.00	0.00	34.54	22.26	28.40	21.37	1.54	65.71	531.04	enero	2018	SI	-75.0227	4.3961	fedearroz_ibague_finca_el_paraiso
15/01/2018	0.00	0.00	32.04	22.87	27.45	22.86	0.99	75.81	469.62	enero	2018	SI	-75.0227	4.3961	fedearroz_ibague_finca_el_paraiso
16/01/2018	0.00	0.00	32.50	21.78	27.14	21.74	1.15	72.27	504.15	enero	2018	SI	-75.0227	4.3961	fedearroz_ibague_finca_el_paraiso
17/01/2018	0.00	0.00	32.02	20.80	26.41	22.16	0.94	77.26	495.87	enero	2018	SI	-75.0227	4.3961	fedearroz_ibague_finca_el_paraiso
18/01/2018	0.20	1.00	31.16	20.88	26.02	22.52	0.77	80.70	491.26	enero	2018	SI	-75.0227	4.3961	fedearroz_ibague_finca_el_paraiso
19/01/2018	0.00	0.00	31.71	20.60	26.16	21.83	0.94	76.84	499.54	enero	2018	SI	-75.0227	4.3961	fedearroz_ibague_finca_el_paraiso
