Date	Rain	rain_days	tmax	tmin	tmean	t_dew_point	vapor_pressure_deficit	rhum	esol	month	year	Modif	x	y	station
01/01/2012	0.00	0	29.94	19.78	24.86	20.18	0.90	75.08	513.34	enero	2012	NO	-75.2242	4.4496	fedearroz_ibague_perales
02/01/2012	0.00	0	28.78	20.00	24.39	19.94	0.82	76.04	376.45	enero	2012	NO	-75.2242	4.4496	fedearroz_ibague_perales
03/01/2012	0.00	0	26.39	20.78	23.59	21.75	0.34	89.00	206.37	enero	2012	NO	-75.2242	4.4496	fedearroz_ibague_perales
04/01/2012	5.60	1	25.56	20.22	22.89	21.45	0.27	91.17	184.26	enero	2012	NO	-75.2242	4.4496	fedearroz_ibague_perales
05/01/2012	26.40	1	26.28	19.94	23.11	21.38	0.33	89.54	246.77	enero	2012	NO	-75.2242	4.4496	fedearroz_ibague_perales
06/01/2012	18.40	1	27.44	19.39	23.42	21.57	0.38	88.92	263.80	enero	2012	NO	-75.2242	4.4496	fedearroz_ibague_perales
07/01/2012	6.80	1	26.94	20.06	23.50	21.82	0.33	89.88	358.91	enero	2012	NO	-75.2242	4.4496	fedearroz_ibague_perales
08/01/2012	0.00	0	28.06	19.00	23.53	20.86	0.53	84.54	422.18	enero	2012	NO	-75.2242	4.4496	fedearroz_ibague_perales
09/01/2012	13.20	1	28.44	20.33	24.39	22.28	0.44	87.62	364.07	enero	2012	NO	-75.2242	4.4496	fedearroz_ibague_perales
10/01/2012	0.00	0	29.17	20.22	24.70	21.77	0.60	83.38	439.21	enero	2012	NO	-75.2242	4.4496	fedearroz_ibague_perales
11/01/2012	0.00	0	28.83	19.50	24.17	21.44	0.56	84.33	404.13	enero	2012	NO	-75.2242	4.4496	fedearroz_ibague_perales
12/01/2012	0.00	0	29.06	19.83	24.45	21.70	0.57	84.25	398.97	enero	2012	NO	-75.2242	4.4496	fedearroz_ibague_perales
13/01/2012	0.40	1	29.00	20.78	24.89	21.90	0.60	83.08	382.03	enero	2012	NO	-75.2242	4.4496	fedearroz_ibague_perales
14/01/2012	0.00	0	29.56	20.00	24.78	21.51	0.67	81.67	491.50	enero	2012	NO	-75.2242	4.4496	fedearroz_ibague_perales
15/01/2012	1.20	1	29.44	19.78	24.61	21.07	0.71	80.35	471.96	enero	2012	NO	-75.2242	4.4496	fedearroz_ibague_perales
16/01/2012	0.00	0	28.33	19.56	23.95	20.29	0.68	79.71	484.96	enero	2012	NO	-75.2242	4.4496	fedearroz_ibague_perales
