Date	Rain	rain_days	tmax	tmin	tmean	t_dew_point	vapor_pressure_deficit	rhum	esol	month	year	Modif	x	y	station
15/08/2015	0.00	0	32.78	22.89	27.84	21.49	1.32	68.38	406.89	agosto	2015	NO	-74.912	4.8465	fedearroz_lerida_la_carmelita
16/08/2015	0.00	0	33.61	24.39	29.00	21.48	1.57	63.88	347.29	agosto	2015	NO	-74.912	4.8465	fedearroz_lerida_la_carmelita
17/08/2015	0.00	0	35.33	24.89	30.11	20.40	2.04	55.96	574.13	agosto	2015	NO	-74.912	4.8465	fedearroz_lerida_la_carmelita
18/08/2015	0.00	0	36.11	24.50	30.31	22.43	1.81	62.75	508.94	agosto	2015	NO	-74.912	4.8465	fedearroz_lerida_la_carmelita
19/08/2015	0.00	0	35.56	24.17	29.87	20.30	2.02	56.42	545.84	agosto	2015	NO	-74.912	4.8465	fedearroz_lerida_la_carmelita
20/08/2015	0.00	0	36.17	24.50	30.34	18.67	2.38	49.25	569.74	agosto	2015	NO	-74.912	4.8465	fedearroz_lerida_la_carmelita
21/08/2015	0.00	0	34.83	24.28	29.56	17.62	2.29	48.17	456.67	agosto	2015	NO	-74.912	4.8465	fedearroz_lerida_la_carmelita
22/08/2015	0.00	0	35.61	24.94	30.28	20.52	2.07	55.83	468.45	agosto	2015	NO	-74.912	4.8465	fedearroz_lerida_la_carmelita
23/08/2015	0.00	0	36.33	23.22	29.78	22.25	1.76	64.00	512.74	agosto	2015	NO	-74.912	4.8465	fedearroz_lerida_la_carmelita
24/08/2015	0.60	1	35.44	23.94	29.69	22.43	1.65	65.04	445.92	agosto	2015	NO	-74.912	4.8465	fedearroz_lerida_la_carmelita
25/08/2015	0.00	0	35.06	23.89	29.48	22.33	1.61	65.42	497.26	agosto	2015	NO	-74.912	4.8465	fedearroz_lerida_la_carmelita
26/08/2015	0.00	0	32.67	23.72	28.20	22.98	1.13	73.17	441.54	agosto	2015	NO	-74.912	4.8465	fedearroz_lerida_la_carmelita
27/08/2015	0.00	0	32.83	23.61	28.22	22.90	1.16	72.75	331.22	agosto	2015	NO	-74.912	4.8465	fedearroz_lerida_la_carmelita
28/08/2015	0.00	0	36.44	24.56	30.50	21.14	2.08	57.29	576.36	agosto	2015	NO	-74.912	4.8465	fedearroz_lerida_la_carmelita
29/08/2015	0.00	0	36.39	25.44	30.92	19.04	2.46	48.67	551.08	agosto	2015	NO	-74.912	4.8465	fedearroz_lerida_la_carmelita
30/08/2015	0.00	0	34.72	24.17	29.45	17.18	2.32	47.04	557.97	agosto	2015	NO	-74.912	4.8465	fedearroz_lerida_la_carmelita
31/08/2015	0.00	0	34.94	24.44	29.69	19.02	2.13	52.50	369.48	agosto	2015	NO	-74.912	4.8465	fedearroz_lerida_la_carmelita
1/09/2015	0.00	0	35.39	24.61	30.00	19.39	2.17	52.79	402.66	septiembre	2015	NO	-74.912	4.8465	fedearroz_lerida_la_carmelita
2/09/2015	0.00	0	34.56	23.89	29.23	18.60	2.08	52.54	367.50	septiembre	2015	NO	-74.912	4.8465	fedearroz_lerida_la_carmelita
3/09/2015	0.00	0	36.67	23.83	30.25	19.07	2.35	50.88	554.69	septiembre	2015	NO	-74.912	4.8465	fedearroz_lerida_la_carmelita
4/09/2015	0.00	0	36.61	23.78	30.20	21.20	2.03	58.54	543.53	septiembre	2015	NO	-74.912	4.8465	fedearroz_lerida_la_carmelita
5/09/2015	0.00	0	36.89	25.28	31.09	20.51	2.32	53.12	544.81	septiembre	2015	NO	-74.912	4.8465	fedearroz_lerida_la_carmelita
6/09/2015	1.60	1	31.94	22.50	27.22	22.19	1.06	73.88	303.87	septiembre	2015	NO	-74.912	4.8465	fedearroz_lerida_la_carmelita
7/09/2015	0.00	0	35.39	23.50	29.45	21.44	1.77	62.08	420.39	septiembre	2015	NO	-74.912	4.8465	fedearroz_lerida_la_carmelita
8/09/2015	0.00	0	36.17	24.06	30.12	23.17	1.66	66.33	480.15	septiembre	2015	NO	-74.912	4.8465	fedearroz_lerida_la_carmelita
9/09/2015	0.00	0	36.78	24.50	30.64	21.46	2.08	58.00	553.58	septiembre	2015	NO	-74.912	4.8465	fedearroz_lerida_la_carmelita
10/09/2015	0.00	0	34.17	22.83	28.50	22.72	1.31	70.83	329.15	septiembre	2015	NO	-74.912	4.8465	fedearroz_lerida_la_carmelita
11/09/2015	22.20	1	28.78	21.67	25.23	22.32	0.58	83.54	215.82	septiembre	2015	NO	-74.912	4.8465	fedearroz_lerida_la_carmelita
12/09/2015	0.00	0	36.17	21.78	28.98	20.75	1.85	61.17	590.72	septiembre	2015	NO	-74.912	4.8465	fedearroz_lerida_la_carmelita
13/09/2015	0.00	0	37.06	23.50	30.28	18.47	2.47	48.77	587.36	septiembre	2015	NO	-74.912	4.8465	fedearroz_lerida_la_carmelita
14/09/2015	0.00	0	36.83	24.94	30.89	18.43	2.57	46.75	512.39	septiembre	2015	NO	-74.912	4.8465	fedearroz_lerida_la_carmelita
15/09/2015	0.00	0	36.67	24.28	30.48	18.91	2.41	49.62	534.74	septiembre	2015	NO	-74.912	4.8465	fedearroz_lerida_la_carmelita
16/09/2015	0.00	0	37.67	23.72	30.70	21.27	2.19	57.08	564.58	septiembre	2015	NO	-74.912	4.8465	fedearroz_lerida_la_carmelita
17/09/2015	1.40	1	34.50	22.11	28.31	22.56	1.33	70.92	547.04	septiembre	2015	NO	-74.912	4.8465	fedearroz_lerida_la_carmelita
18/09/2015	11.80	1	35.06	22.50	28.78	23.97	1.21	75.04	503.97	septiembre	2015	NO	-74.912	4.8465	fedearroz_lerida_la_carmelita
19/09/2015	11.80	1	34.78	22.00	28.39	24.38	1.05	78.62	548.58	septiembre	2015	NO	-74.912	4.8465	fedearroz_lerida_la_carmelita
20/09/2015	0.60	1	33.67	22.78	28.23	23.44	1.11	75.08	388.75	septiembre	2015	NO	-74.912	4.8465	fedearroz_lerida_la_carmelita
21/09/2015	0.00	0	36.67	23.61	30.14	23.79	1.59	68.75	538.37	septiembre	2015	NO	-74.912	4.8465	fedearroz_lerida_la_carmelita
22/09/2015	0.00	0	37.44	24.78	31.11	23.17	1.94	62.67	595.97	septiembre	2015	NO	-74.912	4.8465	fedearroz_lerida_la_carmelita
23/09/2015	0.00	0	35.11	25.28	30.20	22.25	1.75	62.46	394.32	septiembre	2015	NO	-74.912	4.8465	fedearroz_lerida_la_carmelita
24/09/2015	0.00	0	37.39	23.22	30.31	22.56	1.89	63.26	543.18	septiembre	2015	NO	-74.912	4.8465	fedearroz_lerida_la_carmelita
25/09/2015	0.00	0	37.00	22.78	29.89	22.17	1.85	63.29	558.06	septiembre	2015	NO	-74.912	4.8465	fedearroz_lerida_la_carmelita
