Date	Rain	rain_days	tmax	tmin	tmean	t_dew_point	vapor_pressure_deficit	rhum	esol	month	year	Modif	x	y	station
01/01/2012	0.00	0	35.06	23.78	29.42	25.72	0.99	80.21	444.29	enero	2012	NO	-75.8406	8.7734	fedearroz_monteria_la_victoria
02/01/2012	0.00	0	34.06	24.00	29.03	25.97	0.80	83.21	353.24	enero	2012	NO	-75.8406	8.7734	fedearroz_monteria_la_victoria
03/01/2012	0.00	0	31.89	24.50	28.20	25.15	0.70	83.17	306.97	enero	2012	NO	-75.8406	8.7734	fedearroz_monteria_la_victoria
04/01/2012	0.00	0	29.33	24.44	26.89	24.77	0.45	87.75	160.80	enero	2012	NO	-75.8406	8.7734	fedearroz_monteria_la_victoria
05/01/2012	0.00	0	33.17	23.67	28.42	25.65	0.71	84.58	343.43	enero	2012	NO	-75.8406	8.7734	fedearroz_monteria_la_victoria
06/01/2012	0.00	0	33.67	23.44	28.56	25.41	0.81	82.75	382.97	enero	2012	NO	-75.8406	8.7734	fedearroz_monteria_la_victoria
07/01/2012	0.00	0	33.67	24.33	29.00	25.90	0.79	83.00	343.60	enero	2012	NO	-75.8406	8.7734	fedearroz_monteria_la_victoria
08/01/2012	0.00	0	33.56	23.56	28.56	25.72	0.74	84.25	337.06	enero	2012	NO	-75.8406	8.7734	fedearroz_monteria_la_victoria
09/01/2012	0.00	0	32.89	23.89	28.39	25.35	0.75	83.21	383.16	enero	2012	NO	-75.8406	8.7734	fedearroz_monteria_la_victoria
10/01/2012	0.00	0	31.44	24.28	27.86	25.24	0.61	85.25	323.75	enero	2012	NO	-75.8406	8.7734	fedearroz_monteria_la_victoria
11/01/2012	0.00	0	33.72	24.00	28.86	25.84	0.78	83.38	399.32	enero	2012	NO	-75.8406	8.7734	fedearroz_monteria_la_victoria
12/01/2012	0.00	0	33.06	24.17	28.62	25.67	0.73	83.71	351.07	enero	2012	NO	-75.8406	8.7734	fedearroz_monteria_la_victoria
13/01/2012	0.00	0	33.56	24.44	29.00	25.68	0.83	81.96	318.24	enero	2012	NO	-75.8406	8.7734	fedearroz_monteria_la_victoria
14/01/2012	0.00	0	33.89	24.00	28.95	25.88	0.80	83.17	321.42	enero	2012	NO	-75.8406	8.7734	fedearroz_monteria_la_victoria
15/01/2012	0.00	0	33.83	24.39	29.11	26.56	0.69	85.75	299.48	enero	2012	NO	-75.8406	8.7734	fedearroz_monteria_la_victoria
16/01/2012	0.00	0	34.50	23.56	29.03	25.71	0.88	81.92	358.40	enero	2012	NO	-75.8406	8.7734	fedearroz_monteria_la_victoria
17/01/2012	0.00	0	34.61	22.72	28.67	24.13	1.13	76.25	446.95	enero	2012	NO	-75.8406	8.7734	fedearroz_monteria_la_victoria
18/01/2012	0.00	0	35.06	23.22	29.14	25.51	0.98	80.50	421.34	enero	2012	NO	-75.8406	8.7734	fedearroz_monteria_la_victoria
19/01/2012	0.00	0	34.50	23.11	28.81	25.20	0.94	80.54	408.69	enero	2012	NO	-75.8406	8.7734	fedearroz_monteria_la_victoria
20/01/2012	0.00	0	34.44	22.67	28.56	24.72	0.99	79.46	429.08	enero	2012	NO	-75.8406	8.7734	fedearroz_monteria_la_victoria
21/01/2012	0.00	0	35.22	21.72	28.47	23.96	1.17	76.33	460.03	enero	2012	NO	-75.8406	8.7734	fedearroz_monteria_la_victoria
22/01/2012	0.00	0	34.67	23.67	29.17	25.31	1.00	79.42	404.48	enero	2012	NO	-75.8406	8.7734	fedearroz_monteria_la_victoria
23/01/2012	0.00	0	34.78	22.67	28.73	25.15	0.96	80.71	396.90	enero	2012	NO	-75.8406	8.7734	fedearroz_monteria_la_victoria
24/01/2012	0.00	0	34.17	23.11	28.64	25.12	0.91	80.92	375.83	enero	2012	NO	-75.8406	8.7734	fedearroz_monteria_la_victoria
25/01/2012	0.00	0	34.17	23.83	29.00	24.96	1.00	78.58	370.26	enero	2012	NO	-75.8406	8.7734	fedearroz_monteria_la_victoria
26/01/2012	0.00	0	34.72	23.33	29.03	25.14	1.01	79.29	428.29	enero	2012	NO	-75.8406	8.7734	fedearroz_monteria_la_victoria
27/01/2012	0.00	0	33.78	24.06	28.92	25.32	0.89	80.62	373.69	enero	2012	NO	-75.8406	8.7734	fedearroz_monteria_la_victoria
28/01/2012	0.00	0	34.50	22.83	28.67	24.99	0.96	80.21	349.01	enero	2012	NO	-75.8406	8.7734	fedearroz_monteria_la_victoria
29/01/2012	0.00	0	34.89	23.33	29.11	25.53	0.96	80.71	362.69	enero	2012	NO	-75.8406	8.7734	fedearroz_monteria_la_victoria
30/01/2012	0.00	0	35.00	23.72	29.36	25.63	0.99	80.04	371.46	enero	2012	NO	-75.8406	8.7734	fedearroz_monteria_la_victoria
31/01/2012	0.00	0	35.17	24.00	29.59	25.38	1.09	77.88	372.66	enero	2012	NO	-75.8406	8.7734	fedearroz_monteria_la_victoria
01/02/2012	0.00	0	36.22	23.50	29.86	25.06	1.28	75.25	446.87	febrero	2012	NO	-75.8406	8.7734	fedearroz_monteria_la_victoria
02/02/2012	0.00	0	35.44	23.06	29.25	25.30	1.07	79.00	420.55	febrero	2012	NO	-75.8406	8.7734	fedearroz_monteria_la_victoria
03/02/2012	0.00	0	33.94	23.50	28.72	25.02	0.93	80.08	312.56	febrero	2012	NO	-75.8406	8.7734	fedearroz_monteria_la_victoria
04/02/2012	0.00	0	34.61	23.22	28.92	25.26	0.96	80.33	327.17	febrero	2012	NO	-75.8406	8.7734	fedearroz_monteria_la_victoria
05/02/2012	0.00	0	32.89	24.22	28.56	25.39	0.77	82.62	225.19	febrero	2012	NO	-75.8406	8.7734	fedearroz_monteria_la_victoria
06/02/2012	0.20	1	31.17	24.50	27.84	25.13	0.61	84.83	211.09	febrero	2012	NO	-75.8406	8.7734	fedearroz_monteria_la_victoria
07/02/2012	0.00	0	36.11	24.00	30.06	26.56	1.01	81.21	320.98	febrero	2012	NO	-75.8406	8.7734	fedearroz_monteria_la_victoria
08/02/2012	2.20	1	34.06	24.89	29.48	26.30	0.82	82.71	314.03	febrero	2012	NO	-75.8406	8.7734	fedearroz_monteria_la_victoria
09/02/2012	0.20	1	33.06	24.44	28.75	25.86	0.72	84.00	308.60	febrero	2012	NO	-75.8406	8.7734	fedearroz_monteria_la_victoria
10/02/2012	0.00	0	34.33	24.33	29.33	25.91	0.89	81.50	395.79	febrero	2012	NO	-75.8406	8.7734	fedearroz_monteria_la_victoria
11/02/2012	0.00	0	33.94	24.50	29.22	25.69	0.89	80.96	397.26	febrero	2012	NO	-75.8406	8.7734	fedearroz_monteria_la_victoria
12/02/2012	0.00	0	32.56	24.06	28.31	24.64	0.85	80.17	326.57	febrero	2012	NO	-75.8406	8.7734	fedearroz_monteria_la_victoria
13/02/2012	1.40	1	34.94	23.22	29.08	24.93	1.07	78.08	446.70	febrero	2012	NO	-75.8406	8.7734	fedearroz_monteria_la_victoria
14/02/2012	0.00	0	34.28	23.44	28.86	25.38	0.90	81.17	375.07	febrero	2012	NO	-75.8406	8.7734	fedearroz_monteria_la_victoria
15/02/2012	0.00	0	35.50	22.83	29.17	25.09	1.10	78.42	447.13	febrero	2012	NO	-75.8406	8.7734	fedearroz_monteria_la_victoria
16/02/2012	0.00	0	35.56	22.83	29.20	24.93	1.13	77.58	430.52	febrero	2012	NO	-75.8406	8.7734	fedearroz_monteria_la_victoria
17/02/2012	0.00	0	35.89	22.67	29.28	24.83	1.19	76.75	448.17	febrero	2012	NO	-75.8406	8.7734	fedearroz_monteria_la_victoria
