Date	Rain	rain_days	tmax	tmin	tmean	t_dew_point	vapor_pressure_deficit	rhum	esol	month	year	Modif	x	y	station
01/01/2012	0.00	0	32.72	24.44	28.58	25.96	0.66	85.31	477.22	enero	2012	NO	-74.7859	8.0898	fedearroz_nechi_santa_clara
02/01/2012	0.00	0	32.56	24.33	28.45	26.02	0.61	86.31	455.99	enero	2012	NO	-74.7859	8.0898	fedearroz_nechi_santa_clara
03/01/2012	0.00	0	32.89	24.28	28.59	26.13	0.63	86.17	451.63	enero	2012	NO	-74.7859	8.0898	fedearroz_nechi_santa_clara
04/01/2012	0.00	0	32.06	24.72	28.39	26.18	0.55	87.40	322.36	enero	2012	NO	-74.7859	8.0898	fedearroz_nechi_santa_clara
05/01/2012	0.00	0	32.89	24.61	28.75	26.17	0.65	85.54	414.63	enero	2012	NO	-74.7859	8.0898	fedearroz_nechi_santa_clara
06/01/2012	0.00	0	33.06	24.56	28.81	26.39	0.63	86.35	412.49	enero	2012	NO	-74.7859	8.0898	fedearroz_nechi_santa_clara
07/01/2012	0.00	0	31.94	24.33	28.14	26.42	0.45	90.00	346.34	enero	2012	NO	-74.7859	8.0898	fedearroz_nechi_santa_clara
08/01/2012	0.00	0	32.17	24.06	28.12	26.33	0.47	89.60	382.64	enero	2012	NO	-74.7859	8.0898	fedearroz_nechi_santa_clara
09/01/2012	0.40	1	33.39	24.72	29.06	26.73	0.62	86.88	396.43	enero	2012	NO	-74.7859	8.0898	fedearroz_nechi_santa_clara
10/01/2012	0.00	0	33.44	24.44	28.94	26.79	0.59	87.75	427.01	enero	2012	NO	-74.7859	8.0898	fedearroz_nechi_santa_clara
11/01/2012	0.00	0	33.00	23.06	28.03	25.65	0.63	86.52	469.97	enero	2012	SI	-74.7859	8.0898	fedearroz_nechi_santa_clara
12/01/2012	0.00	0	33.11	23.00	28.06	25.16	0.74	83.92	450.83	enero	2012	NO	-74.7859	8.0898	fedearroz_nechi_santa_clara
13/01/2012	0.00	0	32.78	24.17	28.48	25.54	0.72	83.73	470.35	enero	2012	NO	-74.7859	8.0898	fedearroz_nechi_santa_clara
14/01/2012	0.00	0	32.94	24.00	28.47	25.69	0.70	84.52	423.84	enero	2012	NO	-74.7859	8.0898	fedearroz_nechi_santa_clara
15/01/2012	0.00	0	33.33	22.89	28.11	24.94	0.80	82.58	503.58	enero	2012	NO	-74.7859	8.0898	fedearroz_nechi_santa_clara
16/01/2012	0.00	0	31.94	22.50	27.22	24.29	0.70	83.65	450.83	enero	2012	NO	-74.7859	8.0898	fedearroz_nechi_santa_clara
17/01/2012	0.00	0	32.83	23.44	28.14	25.22	0.73	83.79	499.45	enero	2012	NO	-74.7859	8.0898	fedearroz_nechi_santa_clara
18/01/2012	0.00	0	31.89	23.17	27.53	24.84	0.64	84.88	255.81	enero	2012	NO	-74.7859	8.0898	fedearroz_nechi_santa_clara
19/01/2012	0.00	0	32.83	23.50	28.17	25.17	0.74	83.44	491.71	enero	2012	NO	-74.7859	8.0898	fedearroz_nechi_santa_clara
20/01/2012	0.00	0	32.83	24.17	28.50	25.87	0.66	85.27	477.94	enero	2012	NO	-74.7859	8.0898	fedearroz_nechi_santa_clara
21/01/2012	0.00	0	32.94	24.28	28.61	25.44	0.77	82.60	474.00	enero	2012	NO	-74.7859	8.0898	fedearroz_nechi_santa_clara
22/01/2012	0.00	0	33.22	26.61	29.92	24.96	1.13	74.60	485.48	enero	2012	SI	-74.7859	8.0898	fedearroz_nechi_santa_clara
23/01/2012	0.00	0	32.67	24.06	28.37	25.88	0.63	85.98	430.40	enero	2012	NO	-74.7859	8.0898	fedearroz_nechi_santa_clara
24/01/2012	0.00	0	32.67	23.50	28.09	25.95	0.57	87.77	464.08	enero	2012	NO	-74.7859	8.0898	fedearroz_nechi_santa_clara
25/01/2012	0.00	0	32.67	23.17	27.92	25.63	0.60	86.96	442.41	enero	2012	NO	-74.7859	8.0898	fedearroz_nechi_santa_clara
26/01/2012	0.00	0	32.17	24.22	28.20	25.71	0.61	85.96	477.82	enero	2012	NO	-74.7859	8.0898	fedearroz_nechi_santa_clara
27/01/2012	0.00	0	32.39	23.78	28.09	26.17	0.51	88.94	353.71	enero	2012	NO	-74.7859	8.0898	fedearroz_nechi_santa_clara
28/01/2012	0.00	0	32.78	24.00	28.39	25.83	0.65	85.60	446.31	enero	2012	NO	-74.7859	8.0898	fedearroz_nechi_santa_clara
29/01/2012	0.00	0	32.56	25.00	28.78	26.81	0.51	88.67	307.96	enero	2012	NO	-74.7859	8.0898	fedearroz_nechi_santa_clara
30/01/2012	0.40	1	32.44	24.94	28.69	27.02	0.45	90.27	372.66	enero	2012	NO	-74.7859	8.0898	fedearroz_nechi_santa_clara
31/01/2012	9.60	1	33.33	24.83	29.08	27.24	0.51	89.40	370.30	enero	2012	NO	-74.7859	8.0898	fedearroz_nechi_santa_clara
01/02/2012	25.40	1	30.72	24.17	27.45	26.24	0.31	92.79	187.67	febrero	2012	NO	-74.7859	8.0898	fedearroz_nechi_santa_clara
