Date	Rain	rain_days	tmax	tmin	tmean	t_dew_point	vapor_pressure_deficit	rhum	esol	month	year	Modif	x	y	station
01/01/2012	0.00	0	31.67	21.06	26.37	21.97	0.94	76.58	497.86	enero	2012	NO	-71.7309	5.4203	fedearroz_palenque_villa_mar
02/01/2012	0.00	0	32.00	22.00	27.00	22.92	0.90	78.09	453.53	enero	2012	NO	-71.7309	5.4203	fedearroz_palenque_villa_mar
03/01/2012	0.00	0	32.61	21.67	27.14	23.08	0.93	78.21	475.08	enero	2012	NO	-71.7309	5.4203	fedearroz_palenque_villa_mar
04/01/2012	0.00	0	32.06	22.44	27.25	23.15	0.91	78.04	440.16	enero	2012	NO	-71.7309	5.4203	fedearroz_palenque_villa_mar
05/01/2012	0.00	0	32.50	20.89	26.70	22.48	0.96	77.42	472.06	enero	2012	NO	-71.7309	5.4203	fedearroz_palenque_villa_mar
06/01/2012	0.00	0	32.78	20.50	26.64	22.05	1.04	75.72	343.60	enero	2012	NO	-71.7309	5.4203	fedearroz_palenque_villa_mar
07/01/2012	0.00	0	32.61	20.22	26.42	21.99	1.00	76.46	524.52	enero	2012	NO	-71.7309	5.4203	fedearroz_palenque_villa_mar
08/01/2012	0.00	0	32.22	21.28	26.75	22.32	0.98	76.46	460.20	enero	2012	NO	-71.7309	5.4203	fedearroz_palenque_villa_mar
09/01/2012	0.00	0	32.33	22.11	27.22	23.42	0.87	79.42	285.76	enero	2012	NO	-71.7309	5.4203	fedearroz_palenque_villa_mar
10/01/2012	0.00	0	32.06	22.44	27.25	22.77	0.97	76.32	458.79	enero	2012	NO	-71.7309	5.4203	fedearroz_palenque_villa_mar
11/01/2012	0.00	0	32.06	21.83	26.95	20.67	1.26	68.53	443.91	enero	2012	NO	-71.7309	5.4203	fedearroz_palenque_villa_mar
12/01/2012	0.00	0	32.00	21.28	26.64	22.08	0.98	75.88	459.76	enero	2012	NO	-71.7309	5.4203	fedearroz_palenque_villa_mar
13/01/2012	0.00	0	33.22	21.83	27.53	22.14	1.19	72.38	507.58	enero	2012	NO	-71.7309	5.4203	fedearroz_palenque_villa_mar
14/01/2012	0.00	0	32.06	21.17	26.62	21.71	1.04	74.33	407.66	enero	2012	NO	-71.7309	5.4203	fedearroz_palenque_villa_mar
15/01/2012	0.00	0	32.17	20.89	26.53	20.38	1.24	68.95	499.21	enero	2012	SI	-71.7309	5.4203	fedearroz_palenque_villa_mar
16/01/2012	0.00	0	31.56	22.06	26.81	22.41	0.94	76.60	468.60	enero	2012	NO	-71.7309	5.4203	fedearroz_palenque_villa_mar
17/01/2012	0.00	0	31.28	21.44	26.36	19.80	1.25	67.23	505.49	enero	2012	NO	-71.7309	5.4203	fedearroz_palenque_villa_mar
18/01/2012	0.00	0	33.28	16.83	25.06	19.64	1.23	71.85	627.56	enero	2012	NO	-71.7309	5.4203	fedearroz_palenque_villa_mar
19/01/2012	0.00	0	32.94	17.44	25.19	18.53	1.37	66.62	535.44	enero	2012	NO	-71.7309	5.4203	fedearroz_palenque_villa_mar
20/01/2012	0.00	0	33.89	18.61	26.25	20.20	1.35	69.33	531.39	enero	2012	NO	-71.7309	5.4203	fedearroz_palenque_villa_mar
21/01/2012	0.00	0	33.50	20.00	26.75	20.95	1.28	70.46	490.72	enero	2012	NO	-71.7309	5.4203	fedearroz_palenque_villa_mar
22/01/2012	0.00	0	32.67	21.94	27.31	23.03	0.97	77.25	160.86	enero	2012	NO	-71.7309	5.4203	fedearroz_palenque_villa_mar
23/01/2012	0.00	0	32.17	20.72	26.45	20.42	1.22	69.46	528.30	enero	2012	NO	-71.7309	5.4203	fedearroz_palenque_villa_mar
24/01/2012	0.00	0	30.78	20.17	25.48	21.48	0.84	78.29	460.44	enero	2012	SI	-71.7309	5.4203	fedearroz_palenque_villa_mar
25/01/2012	0.00	0	32.78	21.33	27.06	21.44	1.20	71.29	469.05	enero	2012	NO	-71.7309	5.4203	fedearroz_palenque_villa_mar
26/01/2012	0.00	0	31.78	21.83	26.81	21.49	1.09	72.57	309.55	enero	2012	NO	-71.7309	5.4203	fedearroz_palenque_villa_mar
27/01/2012	0.00	0	32.17	21.72	26.95	20.98	1.22	69.82	401.94	enero	2012	NO	-71.7309	5.4203	fedearroz_palenque_villa_mar
28/01/2012	0.00	0	33.50	22.44	27.97	21.76	1.34	68.96	445.83	enero	2012	NO	-71.7309	5.4203	fedearroz_palenque_villa_mar
29/01/2012	0.00	0	31.50	22.50	27.00	20.94	1.20	69.42	341.54	enero	2012	NO	-71.7309	5.4203	fedearroz_palenque_villa_mar
30/01/2012	0.00	0	32.44	19.44	25.94	20.70	1.12	72.75	308.62	enero	2012	NO	-71.7309	5.4203	fedearroz_palenque_villa_mar
31/01/2012	0.00	0	33.11	22.11	27.61	20.13	1.50	63.79	478.17	enero	2012	NO	-71.7309	5.4203	fedearroz_palenque_villa_mar
01/02/2012	0.00	0	33.56	24.17	28.87	23.35	1.23	72.00	214.62	febrero	2012	NO	-71.7309	5.4203	fedearroz_palenque_villa_mar
02/02/2012	0.00	0	32.07	22.68	27.37	24.15	0.75	82.19	449.07	febrero	2012	SI	-71.7309	5.4203	fedearroz_palenque_villa_mar
03/02/2012	0.00	0	32.18	20.51	26.35	22.42	0.90	78.75	504.15	febrero	2012	SI	-71.7309	5.4203	fedearroz_palenque_villa_mar
04/02/2012	0.00	0	32.61	22.05	27.33	24.32	0.75	83.22	495.83	febrero	2012	SI	-71.7309	5.4203	fedearroz_palenque_villa_mar
05/02/2012	22.20	1	34.31	20.20	27.26	20.22	1.52	65.46	527.39	febrero	2012	SI	-71.7309	5.4203	fedearroz_palenque_villa_mar
06/02/2012	2.70	1	33.69	22.25	27.97	24.01	0.97	78.81	523.28	febrero	2012	SI	-71.7309	5.4203	fedearroz_palenque_villa_mar
07/02/2012	0.00	0	35.13	21.24	28.19	21.60	1.51	67.45	537.63	febrero	2012	SI	-71.7309	5.4203	fedearroz_palenque_villa_mar
08/02/2012	63.00	1	35.24	22.57	28.90	22.59	1.48	68.68	429.69	febrero	2012	SI	-71.7309	5.4203	fedearroz_palenque_villa_mar
09/02/2012	0.00	0	34.22	21.61	27.92	22.11	1.32	70.64	486.30	febrero	2012	SI	-71.7309	5.4203	fedearroz_palenque_villa_mar
10/02/2012	0.00	0	36.98	22.03	29.50	20.82	2.00	59.58	505.14	febrero	2012	SI	-71.7309	5.4203	fedearroz_palenque_villa_mar
11/02/2012	0.00	0	33.11	22.90	28.01	16.42	2.06	49.00	475.62	febrero	2012	SI	-71.7309	5.4203	fedearroz_palenque_villa_mar
12/02/2012	0.00	0	33.61	18.28	25.95	20.19	1.29	70.54	562.27	febrero	2012	NO	-71.7309	5.4203	fedearroz_palenque_villa_mar
13/02/2012	0.00	0	33.56	21.06	27.31	21.31	1.31	69.71	511.87	febrero	2012	NO	-71.7309	5.4203	fedearroz_palenque_villa_mar
