Date	Rain	rain_days	tmax	tmin	tmean	t_dew_point	vapor_pressure_deficit	rhum	esol	month	year	Modif	x	y	station
01/01/2012	0.00	0	34.06	20.94	27.50	23.46	1.02	78.38	459.08	enero	2012	NO	-75.4417	2.8846	fedearroz_palermo_asojuncal
02/01/2012	0.00	0	32.83	20.83	26.83	22.73	0.96	78.00	415.31	enero	2012	NO	-75.4417	2.8846	fedearroz_palermo_asojuncal
03/01/2012	1.00	1	32.33	23.33	27.83	24.68	0.75	82.62	409.39	enero	2012	NO	-75.4417	2.8846	fedearroz_palermo_asojuncal
04/01/2012	17.40	1	30.17	21.83	26.00	23.93	0.48	87.92	338.36	enero	2012	NO	-75.4417	2.8846	fedearroz_palermo_asojuncal
05/01/2012	0.00	0	31.94	22.22	27.08	24.50	0.63	85.38	406.19	enero	2012	NO	-75.4417	2.8846	fedearroz_palermo_asojuncal
06/01/2012	23.60	1	29.78	20.44	25.11	23.46	0.41	90.13	388.15	enero	2012	NO	-75.4417	2.8846	fedearroz_palermo_asojuncal
07/01/2012	5.40	1	30.78	22.33	26.56	24.37	0.52	87.38	395.87	enero	2012	NO	-75.4417	2.8846	fedearroz_palermo_asojuncal
08/01/2012	14.40	1	26.56	21.94	24.25	23.86	0.09	97.50	189.45	enero	2012	SI	-75.4417	2.8846	fedearroz_palermo_asojuncal
09/01/2012	0.20	1	31.72	21.94	26.83	24.74	0.54	87.88	360.89	enero	2012	NO	-75.4417	2.8846	fedearroz_palermo_asojuncal
10/01/2012	6.80	1	32.39	21.50	26.95	24.02	0.73	83.62	434.92	enero	2012	NO	-75.4417	2.8846	fedearroz_palermo_asojuncal
11/01/2012	1.00	1	31.78	22.56	27.17	25.04	0.54	87.71	449.45	enero	2012	NO	-75.4417	2.8846	fedearroz_palermo_asojuncal
12/01/2012	0.00	0	31.89	23.28	27.59	25.01	0.62	85.46	437.33	enero	2012	NO	-75.4417	2.8846	fedearroz_palermo_asojuncal
13/01/2012	0.00	0	32.28	23.28	27.78	24.66	0.74	82.79	332.50	enero	2012	NO	-75.4417	2.8846	fedearroz_palermo_asojuncal
14/01/2012	0.00	0	30.89	21.11	26.00	22.83	0.70	82.33	323.75	enero	2012	NO	-75.4417	2.8846	fedearroz_palermo_asojuncal
15/01/2012	0.20	1	32.89	20.94	26.92	23.08	0.91	79.25	464.41	enero	2012	NO	-75.4417	2.8846	fedearroz_palermo_asojuncal
16/01/2012	0.20	1	32.67	22.06	27.37	24.24	0.77	82.71	447.57	enero	2012	NO	-75.4417	2.8846	fedearroz_palermo_asojuncal
17/01/2012	0.00	0	32.50	21.22	26.86	22.67	0.95	77.58	460.20	enero	2012	NO	-75.4417	2.8846	fedearroz_palermo_asojuncal
18/01/2012	9.20	1	30.11	21.22	25.67	23.34	0.53	86.57	439.29	enero	2012	NO	-75.4417	2.8846	fedearroz_palermo_asojuncal
19/01/2012	0.20	1	28.06	21.22	24.64	22.68	0.40	88.41	367.08	enero	2012	NO	-75.4417	2.8846	fedearroz_palermo_asojuncal
20/01/2012	33.60	1	29.28	21.22	25.25	23.92	0.33	91.96	305.07	enero	2012	NO	-75.4417	2.8846	fedearroz_palermo_asojuncal
21/01/2012	2.60	1	31.78	22.17	26.98	24.30	0.65	84.88	434.75	enero	2012	NO	-75.4417	2.8846	fedearroz_palermo_asojuncal
22/01/2012	0.00	0	31.78	22.06	26.92	23.55	0.77	81.46	442.82	enero	2012	NO	-75.4417	2.8846	fedearroz_palermo_asojuncal
23/01/2012	5.00	1	31.00	21.28	26.14	23.59	0.60	85.46	420.12	enero	2012	NO	-75.4417	2.8846	fedearroz_palermo_asojuncal
24/01/2012	9.00	1	30.50	22.17	26.34	23.47	0.63	83.88	486.94	enero	2012	NO	-75.4417	2.8846	fedearroz_palermo_asojuncal
25/01/2012	1.00	1	30.83	21.89	26.36	23.01	0.73	81.50	511.27	enero	2012	NO	-75.4417	2.8846	fedearroz_palermo_asojuncal
26/01/2012	0.00	0	31.44	21.56	26.50	23.37	0.72	82.58	414.80	enero	2012	NO	-75.4417	2.8846	fedearroz_palermo_asojuncal
27/01/2012	0.00	0	31.61	22.11	26.86	23.47	0.77	81.33	456.32	enero	2012	NO	-75.4417	2.8846	fedearroz_palermo_asojuncal
28/01/2012	0.00	0	32.06	22.33	27.20	24.14	0.72	83.04	494.41	enero	2012	NO	-75.4417	2.8846	fedearroz_palermo_asojuncal
29/01/2012	0.20	1	31.78	22.33	27.06	23.33	0.83	79.79	430.11	enero	2012	NO	-75.4417	2.8846	fedearroz_palermo_asojuncal
30/01/2012	1.80	1	30.17	22.44	26.31	23.97	0.52	86.58	399.24	enero	2012	NO	-75.4417	2.8846	fedearroz_palermo_asojuncal
31/01/2012	0.20	1	30.78	22.44	26.61	23.91	0.61	84.71	402.17	enero	2012	NO	-75.4417	2.8846	fedearroz_palermo_asojuncal
01/02/2012	0.00	0	29.39	22.28	25.84	23.71	0.46	87.65	295.19	febrero	2012	NO	-75.4417	2.8846	fedearroz_palermo_asojuncal
02/02/2012	0.20	1	30.44	23.00	26.72	24.21	0.56	85.71	362.09	febrero	2012	NO	-75.4417	2.8846	fedearroz_palermo_asojuncal
03/02/2012	0.00	0	31.61	23.22	27.42	23.96	0.77	81.09	420.64	febrero	2012	NO	-75.4417	2.8846	fedearroz_palermo_asojuncal
04/02/2012	0.00	0	32.44	22.00	27.22	22.51	1.03	75.29	462.18	febrero	2012	NO	-75.4417	2.8846	fedearroz_palermo_asojuncal
05/02/2012	0.60	1	29.61	22.72	26.17	23.23	0.61	83.50	243.08	febrero	2012	NO	-75.4417	2.8846	fedearroz_palermo_asojuncal
06/02/2012	1.60	1	28.17	22.33	25.25	23.73	0.32	90.88	250.49	febrero	2012	NO	-75.4417	2.8846	fedearroz_palermo_asojuncal
07/02/2012	1.20	1	32.50	22.33	27.42	24.38	0.74	83.12	432.26	febrero	2012	NO	-75.4417	2.8846	fedearroz_palermo_asojuncal
08/02/2012	1.20	1	27.50	19.89	23.70	21.69	0.40	88.08	203.44	febrero	2012	NO	-75.4417	2.8846	fedearroz_palermo_asojuncal
09/02/2012	0.00	0	31.44	19.89	25.67	22.28	0.78	81.21	387.89	febrero	2012	NO	-75.4417	2.8846	fedearroz_palermo_asojuncal
10/02/2012	0.60	1	30.89	21.83	26.36	23.30	0.68	82.88	417.73	febrero	2012	NO	-75.4417	2.8846	fedearroz_palermo_asojuncal
11/02/2012	1.80	1	31.06	21.44	26.25	22.82	0.75	81.09	481.91	febrero	2012	NO	-75.4417	2.8846	fedearroz_palermo_asojuncal
12/02/2012	0.20	1	31.17	21.39	26.28	22.94	0.74	81.54	463.89	febrero	2012	NO	-75.4417	2.8846	fedearroz_palermo_asojuncal
13/02/2012	0.00	0	31.56	22.39	26.98	22.58	0.93	76.67	455.29	febrero	2012	NO	-75.4417	2.8846	fedearroz_palermo_asojuncal
14/02/2012	0.00	0	31.56	22.22	26.89	21.82	1.04	73.62	514.53	febrero	2012	NO	-75.4417	2.8846	fedearroz_palermo_asojuncal
15/02/2012	0.00	0	31.56	21.72	26.64	21.68	1.03	74.08	470.27	febrero	2012	NO	-75.4417	2.8846	fedearroz_palermo_asojuncal
16/02/2012	0.00	0	31.56	21.83	26.70	21.38	1.08	72.54	486.67	febrero	2012	NO	-75.4417	2.8846	fedearroz_palermo_asojuncal
17/02/2012	0.60	1	32.00	21.94	26.97	22.52	0.97	76.41	508.69	febrero	2012	NO	-75.4417	2.8846	fedearroz_palermo_asojuncal
18/02/2012	0.00	0	31.44	21.89	26.67	21.95	0.98	75.17	583.34	febrero	2012	NO	-75.4417	2.8846	fedearroz_palermo_asojuncal
19/02/2012	0.20	1	31.06	22.33	26.70	22.54	0.87	77.74	399.36	febrero	2012	NO	-75.4417	2.8846	fedearroz_palermo_asojuncal
20/02/2012	0.60	1	31.17	22.39	26.78	22.86	0.84	78.83	527.22	febrero	2012	NO	-75.4417	2.8846	fedearroz_palermo_asojuncal
21/02/2012	0.00	0	30.33	21.56	25.95	22.72	0.69	82.04	366.73	febrero	2012	NO	-75.4417	2.8846	fedearroz_palermo_asojuncal
22/02/2012	0.00	0	32.22	21.17	26.70	23.05	0.85	80.12	437.85	febrero	2012	NO	-75.4417	2.8846	fedearroz_palermo_asojuncal
23/02/2012	0.00	0	32.72	21.33	27.03	22.25	1.06	74.96	457.27	febrero	2012	NO	-75.4417	2.8846	fedearroz_palermo_asojuncal
24/02/2012	1.40	1	31.94	21.94	26.94	22.61	0.94	76.96	389.43	febrero	2012	NO	-75.4417	2.8846	fedearroz_palermo_asojuncal
25/02/2012	0.00	0	31.22	23.17	27.20	23.24	0.84	78.71	395.98	febrero	2012	NO	-75.4417	2.8846	fedearroz_palermo_asojuncal
26/02/2012	0.00	0	33.11	22.06	27.59	24.31	0.82	82.00	480.75	febrero	2012	NO	-75.4417	2.8846	fedearroz_palermo_asojuncal
27/02/2012	0.00	0	33.28	20.67	26.98	21.61	1.19	72.38	539.48	febrero	2012	NO	-75.4417	2.8846	fedearroz_palermo_asojuncal
28/02/2012	0.40	1	33.06	22.44	27.75	22.65	1.13	73.65	503.18	febrero	2012	NO	-75.4417	2.8846	fedearroz_palermo_asojuncal
29/02/2012	0.60	1	32.61	22.11	27.36	22.81	1.01	76.00	409.12	febrero	2012	NO	-75.4417	2.8846	fedearroz_palermo_asojuncal
01/03/2012	0.00	0	31.22	23.06	27.14	22.56	0.95	75.83	245.76	marzo	2012	NO	-75.4417	2.8846	fedearroz_palermo_asojuncal
02/03/2012	1.60	1	29.44	23.28	26.36	23.28	0.63	82.79	217.96	marzo	2012	NO	-75.4417	2.8846	fedearroz_palermo_asojuncal
03/03/2012	0.00	0	32.44	21.72	27.08	23.12	0.91	78.67	318.92	marzo	2012	NO	-75.4417	2.8846	fedearroz_palermo_asojuncal
04/03/2012	0.00	0	32.00	22.17	27.09	21.92	1.08	73.25	514.72	marzo	2012	NO	-75.4417	2.8846	fedearroz_palermo_asojuncal
05/03/2012	0.00	0	33.17	21.78	27.48	22.24	1.16	73.00	449.20	marzo	2012	NO	-75.4417	2.8846	fedearroz_palermo_asojuncal
06/03/2012	0.00	0	33.28	22.28	27.78	22.76	1.13	74.00	476.71	marzo	2012	NO	-75.4417	2.8846	fedearroz_palermo_asojuncal
07/03/2012	0.00	0	32.39	22.67	27.53	21.92	1.18	71.42	330.97	marzo	2012	NO	-75.4417	2.8846	fedearroz_palermo_asojuncal
08/03/2012	0.00	0	29.00	22.83	25.92	21.73	0.79	77.46	202.92	marzo	2012	NO	-75.4417	2.8846	fedearroz_palermo_asojuncal
09/03/2012	0.00	0	31.72	22.89	27.31	23.23	0.89	78.17	433.37	marzo	2012	NO	-75.4417	2.8846	fedearroz_palermo_asojuncal
10/03/2012	0.00	0	31.89	22.39	27.14	23.63	0.80	80.79	349.79	marzo	2012	NO	-75.4417	2.8846	fedearroz_palermo_asojuncal
11/03/2012	0.40	1	28.89	21.11	25.00	23.24	0.39	89.54	228.20	marzo	2012	NO	-75.4417	2.8846	fedearroz_palermo_asojuncal
12/03/2012	0.00	0	32.56	21.61	27.09	23.12	0.91	78.67	381.34	marzo	2012	NO	-75.4417	2.8846	fedearroz_palermo_asojuncal
13/03/2012	4.80	1	29.83	22.17	26.00	22.86	0.65	82.46	254.08	marzo	2012	NO	-75.4417	2.8846	fedearroz_palermo_asojuncal
14/03/2012	3.00	1	31.56	21.50	26.53	23.95	0.63	85.35	464.51	marzo	2012	NO	-75.4417	2.8846	fedearroz_palermo_asojuncal
15/03/2012	3.40	1	31.67	21.78	26.73	23.80	0.69	83.62	502.25	marzo	2012	NO	-75.4417	2.8846	fedearroz_palermo_asojuncal
16/03/2012	11.80	1	28.33	21.44	24.89	23.66	0.28	92.50	269.23	marzo	2012	NO	-75.4417	2.8846	fedearroz_palermo_asojuncal
17/03/2012	0.20	1	27.61	22.61	25.11	24.07	0.22	93.59	205.89	marzo	2012	NO	-75.4417	2.8846	fedearroz_palermo_asojuncal
18/03/2012	0.00	0	30.06	23.00	26.53	24.27	0.50	87.00	306.10	marzo	2012	NO	-75.4417	2.8846	fedearroz_palermo_asojuncal
19/03/2012	2.20	1	32.00	20.89	26.44	26.19	0.21	98.39	152.17	marzo	2012	NO	-75.4417	2.8846	fedearroz_palermo_asojuncal
20/03/2012	1.20	1	31.44	22.28	26.86	24.93	0.49	88.75	391.23	marzo	2012	NO	-75.4417	2.8846	fedearroz_palermo_asojuncal
21/03/2012	3.60	1	30.61	22.22	26.42	24.30	0.50	87.71	393.29	marzo	2012	NO	-75.4417	2.8846	fedearroz_palermo_asojuncal
22/03/2012	0.60	1	28.39	22.44	25.42	24.13	0.28	92.21	382.46	marzo	2012	NO	-75.4417	2.8846	fedearroz_palermo_asojuncal
23/03/2012	15.20	1	32.33	21.61	26.97	25.09	0.53	89.04	502.94	marzo	2012	NO	-75.4417	2.8846	fedearroz_palermo_asojuncal
24/03/2012	0.00	0	29.72	24.00	26.86	22.87	0.79	78.50	274.40	marzo	2012	SI	-75.4417	2.8846	fedearroz_palermo_asojuncal
25/03/2012	12.00	1	36.22	26.72	31.47	21.85	2.14	56.58	435.96	marzo	2012	SI	-75.4417	2.8846	fedearroz_palermo_asojuncal
26/03/2012	0.00	0	32.52	24.36	28.44	21.77	1.37	67.16	345.07	marzo	2012	SI	-75.4417	2.8846	fedearroz_palermo_asojuncal
27/03/2012	0.00	0	31.28	24.44	27.86	24.29	0.78	80.62	339.99	marzo	2012	NO	-75.4417	2.8846	fedearroz_palermo_asojuncal
28/03/2012	0.00	0	30.50	22.28	26.39	24.14	0.52	87.04	333.12	marzo	2012	NO	-75.4417	2.8846	fedearroz_palermo_asojuncal
29/03/2012	0.00	0	31.94	22.22	27.08	22.96	0.91	77.92	378.08	marzo	2012	NO	-75.4417	2.8846	fedearroz_palermo_asojuncal
30/03/2012	3.40	1	30.78	22.83	26.81	22.36	0.91	76.42	352.37	marzo	2012	NO	-75.4417	2.8846	fedearroz_palermo_asojuncal
31/03/2012	0.00	0	29.67	22.17	25.92	22.93	0.62	83.22	298.51	marzo	2012	NO	-75.4417	2.8846	fedearroz_palermo_asojuncal
01/04/2012	0.00	0	31.94	23.50	27.72	21.25	1.29	67.83	437.33	abril	2012	NO	-75.4417	2.8846	fedearroz_palermo_asojuncal
02/04/2012	0.00	0	31.56	21.61	26.59	22.43	0.90	77.70	456.61	abril	2012	NO	-75.4417	2.8846	fedearroz_palermo_asojuncal
03/04/2012	0.00	0	30.50	20.67	25.59	22.43	0.69	82.35	287.84	abril	2012	NO	-75.4417	2.8846	fedearroz_palermo_asojuncal
04/04/2012	0.00	0	30.56	21.39	25.98	22.68	0.71	81.71	377.30	abril	2012	NO	-75.4417	2.8846	fedearroz_palermo_asojuncal
05/04/2012	0.40	1	29.50	21.83	25.67	23.91	0.40	89.62	260.37	abril	2012	NO	-75.4417	2.8846	fedearroz_palermo_asojuncal
06/04/2012	0.40	1	29.89	21.22	25.56	23.70	0.44	89.08	331.38	abril	2012	NO	-75.4417	2.8846	fedearroz_palermo_asojuncal
07/04/2012	9.00	1	26.78	20.72	23.75	23.30	0.12	97.09	220.33	abril	2012	SI	-75.4417	2.8846	fedearroz_palermo_asojuncal
08/04/2012	0.00	0	29.56	22.44	26.00	24.84	0.29	92.96	418.84	abril	2012	NO	-75.4417	2.8846	fedearroz_palermo_asojuncal
09/04/2012	3.60	1	31.17	22.11	26.64	24.46	0.53	87.43	312.23	abril	2012	NO	-75.4417	2.8846	fedearroz_palermo_asojuncal
10/04/2012	14.00	1	29.67	21.11	25.39	23.29	0.47	87.74	457.87	abril	2012	NO	-75.4417	2.8846	fedearroz_palermo_asojuncal
11/04/2012	10.20	1	27.56	21.44	24.50	24.14	0.11	97.70	234.61	abril	2012	SI	-75.4417	2.8846	fedearroz_palermo_asojuncal
12/04/2012	4.20	1	29.83	21.33	25.58	23.70	0.44	88.92	441.19	abril	2012	NO	-75.4417	2.8846	fedearroz_palermo_asojuncal
13/04/2012	4.60	1	28.67	22.22	25.45	23.89	0.34	90.70	391.83	abril	2012	NO	-75.4417	2.8846	fedearroz_palermo_asojuncal
14/04/2012	8.40	1	29.50	21.83	25.67	24.42	0.31	92.42	381.18	abril	2012	NO	-75.4417	2.8846	fedearroz_palermo_asojuncal
15/04/2012	1.80	1	29.61	22.94	26.28	25.36	0.24	94.39	312.50	abril	2012	NO	-75.4417	2.8846	fedearroz_palermo_asojuncal
16/04/2012	0.00	0	32.83	22.33	27.58	24.91	0.69	84.96	465.95	abril	2012	NO	-75.4417	2.8846	fedearroz_palermo_asojuncal
17/04/2012	0.60	1	28.44	20.72	24.58	23.01	0.35	90.57	473.84	abril	2012	NO	-75.4417	2.8846	fedearroz_palermo_asojuncal
18/04/2012	18.40	1	28.94	21.61	25.28	24.43	0.23	94.74	341.68	abril	2012	NO	-75.4417	2.8846	fedearroz_palermo_asojuncal
19/04/2012	0.00	0	26.89	22.89	24.89	24.40	0.11	96.86	205.19	abril	2012	NO	-75.4417	2.8846	fedearroz_palermo_asojuncal
20/04/2012	0.00	0	31.83	24.17	28.00	24.00	0.88	78.62	278.57	abril	2012	SI	-75.4417	2.8846	fedearroz_palermo_asojuncal
21/04/2012	37.80	1	27.94	20.83	24.39	23.27	0.26	93.12	340.86	abril	2012	NO	-75.4417	2.8846	fedearroz_palermo_asojuncal
22/04/2012	1.40	1	30.11	22.44	26.28	24.78	0.37	91.08	371.81	abril	2012	NO	-75.4417	2.8846	fedearroz_palermo_asojuncal
23/04/2012	0.00	0	31.17	22.06	26.62	23.46	0.71	82.46	478.77	abril	2012	NO	-75.4417	2.8846	fedearroz_palermo_asojuncal
24/04/2012	0.00	0	30.28	20.50	25.39	22.91	0.57	85.75	356.50	abril	2012	NO	-75.4417	2.8846	fedearroz_palermo_asojuncal
25/04/2012	0.00	0	32.28	20.56	26.42	23.21	0.78	82.17	520.04	abril	2012	NO	-75.4417	2.8846	fedearroz_palermo_asojuncal
26/04/2012	0.20	1	29.44	22.17	25.81	23.72	0.46	87.83	299.58	abril	2012	NO	-75.4417	2.8846	fedearroz_palermo_asojuncal
27/04/2012	0.40	1	30.50	22.17	26.34	23.80	0.57	85.54	433.97	abril	2012	NO	-75.4417	2.8846	fedearroz_palermo_asojuncal
28/04/2012	2.00	1	28.72	21.94	25.33	23.85	0.33	91.08	292.88	abril	2012	NO	-75.4417	2.8846	fedearroz_palermo_asojuncal
29/04/2012	0.80	1	29.72	22.33	26.03	25.01	0.27	93.79	327.01	abril	2012	NO	-75.4417	2.8846	fedearroz_palermo_asojuncal
30/04/2012	0.20	1	31.39	21.78	26.59	24.63	0.50	88.58	480.05	abril	2012	NO	-75.4417	2.8846	fedearroz_palermo_asojuncal
01/05/2012	8.40	1	26.33	22.11	24.22	23.83	0.09	97.46	182.47	mayo	2012	NO	-75.4417	2.8846	fedearroz_palermo_asojuncal
02/05/2012	0.20	1	29.83	21.44	25.64	22.14	0.71	80.71	379.88	mayo	2012	NO	-75.4417	2.8846	fedearroz_palermo_asojuncal
03/05/2012	0.00	0	32.11	22.83	27.47	21.83	1.17	71.25	512.14	mayo	2012	NO	-75.4417	2.8846	fedearroz_palermo_asojuncal
04/05/2012	0.00	0	31.50	22.39	26.95	21.03	1.17	70.00	428.81	mayo	2012	NO	-75.4417	2.8846	fedearroz_palermo_asojuncal
05/05/2012	0.00	0	31.50	22.22	26.86	23.37	0.78	80.88	449.01	mayo	2012	NO	-75.4417	2.8846	fedearroz_palermo_asojuncal
06/05/2012	0.00	0	30.56	21.72	26.14	22.03	0.84	77.83	385.66	mayo	2012	NO	-75.4417	2.8846	fedearroz_palermo_asojuncal
07/05/2012	0.00	0	28.83	22.33	25.58	21.40	0.78	77.46	316.09	mayo	2012	NO	-75.4417	2.8846	fedearroz_palermo_asojuncal
08/05/2012	0.00	0	31.72	20.22	25.97	20.37	1.13	71.21	452.38	mayo	2012	NO	-75.4417	2.8846	fedearroz_palermo_asojuncal
09/05/2012	0.00	0	30.44	21.06	25.75	18.63	1.28	64.88	371.21	mayo	2012	NO	-75.4417	2.8846	fedearroz_palermo_asojuncal
10/05/2012	0.00	0	32.67	20.94	26.81	22.01	1.06	74.83	516.35	mayo	2012	NO	-75.4417	2.8846	fedearroz_palermo_asojuncal
11/05/2012	0.00	0	31.17	20.89	26.03	22.85	0.72	82.29	392.18	mayo	2012	NO	-75.4417	2.8846	fedearroz_palermo_asojuncal
12/05/2012	4.20	1	31.17	22.44	26.81	24.29	0.59	85.71	396.82	mayo	2012	NO	-75.4417	2.8846	fedearroz_palermo_asojuncal
13/05/2012	0.40	1	32.06	22.22	27.14	24.37	0.68	84.41	489.65	mayo	2012	NO	-75.4417	2.8846	fedearroz_palermo_asojuncal
14/05/2012	0.00	0	32.06	22.78	27.42	24.30	0.73	82.74	557.64	mayo	2012	NO	-75.4417	2.8846	fedearroz_palermo_asojuncal
15/05/2012	0.00	0	33.44	22.61	28.03	24.27	0.92	79.75	466.55	mayo	2012	NO	-75.4417	2.8846	fedearroz_palermo_asojuncal
