Date	Rain	rain_days	tmax	tmin	tmean	t_dew_point	vapor_pressure_deficit	rhum	esol	month	year	Modif	x	y	station
01/01/2012	0.00	0	32.67	23.56	28.12	24.62	0.82	81.00	379.71	enero	2012	NO	-74.9264	3.7604	fedearroz_prado_asoprado
02/01/2012	0.00	0	33.50	24.67	29.09	26.25	0.73	84.33	381.43	enero	2012	NO	-74.9264	3.7604	fedearroz_prado_asoprado
03/01/2012	0.20	1	31.94	23.28	27.61	24.26	0.77	81.62	377.40	enero	2012	NO	-74.9264	3.7604	fedearroz_prado_asoprado
04/01/2012	11.80	1	32.44	23.67	28.06	25.34	0.67	84.79	335.70	enero	2012	NO	-74.9264	3.7604	fedearroz_prado_asoprado
05/01/2012	2.60	1	32.44	24.00	28.22	25.66	0.64	85.58	376.45	enero	2012	NO	-74.9264	3.7604	fedearroz_prado_asoprado
06/01/2012	15.60	1	32.72	23.33	28.03	25.43	0.66	85.38	383.41	enero	2012	NO	-74.9264	3.7604	fedearroz_prado_asoprado
07/01/2012	21.00	1	32.39	23.78	28.09	25.67	0.61	86.33	347.13	enero	2012	NO	-74.9264	3.7604	fedearroz_prado_asoprado
08/01/2012	5.20	1	33.94	22.89	28.42	25.52	0.78	83.92	482.73	enero	2012	NO	-74.9264	3.7604	fedearroz_prado_asoprado
09/01/2012	0.00	0	34.72	24.11	29.42	26.07	0.89	81.88	452.38	enero	2012	NO	-74.9264	3.7604	fedearroz_prado_asoprado
10/01/2012	3.60	1	34.78	24.28	29.53	25.95	0.94	80.75	478.42	enero	2012	NO	-74.9264	3.7604	fedearroz_prado_asoprado
11/01/2012	1.40	1	33.94	24.39	29.17	25.72	0.87	81.38	438.01	enero	2012	NO	-74.9264	3.7604	fedearroz_prado_asoprado
12/01/2012	0.00	0	33.50	24.17	28.84	24.97	0.93	79.33	387.02	enero	2012	NO	-74.9264	3.7604	fedearroz_prado_asoprado
13/01/2012	11.20	1	33.06	23.11	28.09	25.08	0.75	83.38	349.63	enero	2012	NO	-74.9264	3.7604	fedearroz_prado_asoprado
14/01/2012	0.00	0	33.89	24.00	28.95	25.41	0.89	80.92	415.83	enero	2012	NO	-74.9264	3.7604	fedearroz_prado_asoprado
15/01/2012	4.40	1	31.83	23.00	27.42	24.85	0.62	85.50	343.00	enero	2012	NO	-74.9264	3.7604	fedearroz_prado_asoprado
16/01/2012	0.80	1	32.94	23.61	28.28	25.30	0.74	83.54	482.55	enero	2012	NO	-74.9264	3.7604	fedearroz_prado_asoprado
17/01/2012	9.40	1	30.72	21.78	26.25	23.67	0.59	85.29	333.12	enero	2012	NO	-74.9264	3.7604	fedearroz_prado_asoprado
18/01/2012	4.40	1	31.50	22.17	26.84	24.61	0.55	87.17	379.98	enero	2012	NO	-74.9264	3.7604	fedearroz_prado_asoprado
