Date	Rain	rain_days	tmax	tmin	tmean	t_dew_point	vapor_pressure_deficit	rhum	esol	month	year	Modif	x	y	station
01/01/2012	0.00	0	32.17	20.11	26.14	22.73	0.81	81.17	485.39	enero	2012	NO	-73.1557	4.0606	fedearroz_pto._lopez_la_coquera
02/01/2012	0.00	0	32.11	21.61	26.86	23.20	0.84	80.04	459.95	enero	2012	NO	-73.1557	4.0606	fedearroz_pto._lopez_la_coquera
03/01/2012	0.00	0	32.39	23.06	27.73	23.97	0.86	79.71	487.19	enero	2012	NO	-73.1557	4.0606	fedearroz_pto._lopez_la_coquera
04/01/2012	0.00	0	32.17	23.28	27.73	24.07	0.83	80.17	448.60	enero	2012	NO	-73.1557	4.0606	fedearroz_pto._lopez_la_coquera
05/01/2012	0.00	0	32.39	22.50	27.45	24.16	0.78	81.91	432.05	enero	2012	SI	-73.1557	4.0606	fedearroz_pto._lopez_la_coquera
06/01/2012	0.00	0	32.33	22.56	27.45	23.34	0.92	78.04	519.26	enero	2012	NO	-73.1557	4.0606	fedearroz_pto._lopez_la_coquera
07/01/2012	0.00	0	32.67	21.33	27.00	22.86	0.95	77.83	537.67	enero	2012	NO	-73.1557	4.0606	fedearroz_pto._lopez_la_coquera
08/01/2012	0.00	0	32.50	21.17	26.84	22.98	0.90	79.12	520.83	enero	2012	NO	-73.1557	4.0606	fedearroz_pto._lopez_la_coquera
09/01/2012	0.00	0	32.33	21.50	26.92	23.52	0.81	81.33	426.39	enero	2012	NO	-73.1557	4.0606	fedearroz_pto._lopez_la_coquera
10/01/2012	0.00	0	31.33	22.33	26.83	23.42	0.76	81.25	309.30	enero	2012	NO	-73.1557	4.0606	fedearroz_pto._lopez_la_coquera
11/01/2012	0.00	0	32.56	23.78	28.17	23.43	1.04	75.29	416.70	enero	2012	NO	-73.1557	4.0606	fedearroz_pto._lopez_la_coquera
12/01/2012	0.00	0	32.89	20.83	26.86	22.87	0.94	78.50	423.84	enero	2012	NO	-73.1557	4.0606	fedearroz_pto._lopez_la_coquera
13/01/2012	0.00	0	33.33	22.56	27.95	23.07	1.11	74.67	498.73	enero	2012	NO	-73.1557	4.0606	fedearroz_pto._lopez_la_coquera
14/01/2012	0.00	0	32.50	20.72	26.61	22.52	0.94	78.00	529.25	enero	2012	NO	-73.1557	4.0606	fedearroz_pto._lopez_la_coquera
15/01/2012	0.00	0	32.94	19.83	26.39	22.07	1.01	76.92	545.59	enero	2012	NO	-73.1557	4.0606	fedearroz_pto._lopez_la_coquera
16/01/2012	0.00	0	32.06	19.83	25.95	22.51	0.82	81.00	334.99	enero	2012	NO	-73.1557	4.0606	fedearroz_pto._lopez_la_coquera
17/01/2012	0.00	0	33.39	18.67	26.03	20.46	1.24	71.33	554.34	enero	2012	NO	-73.1557	4.0606	fedearroz_pto._lopez_la_coquera
18/01/2012	0.00	0	34.22	18.94	26.58	20.82	1.33	70.62	545.49	enero	2012	NO	-73.1557	4.0606	fedearroz_pto._lopez_la_coquera
19/01/2012	0.00	0	34.11	18.83	26.47	21.47	1.20	73.88	517.20	enero	2012	NO	-73.1557	4.0606	fedearroz_pto._lopez_la_coquera
20/01/2012	0.00	0	32.50	21.61	27.06	22.98	0.93	78.12	429.92	enero	2012	NO	-73.1557	4.0606	fedearroz_pto._lopez_la_coquera
21/01/2012	0.00	0	33.17	20.94	27.06	21.73	1.18	72.54	409.20	enero	2012	NO	-73.1557	4.0606	fedearroz_pto._lopez_la_coquera
22/01/2012	0.00	0	33.44	20.33	26.89	21.15	1.26	70.75	487.02	enero	2012	NO	-73.1557	4.0606	fedearroz_pto._lopez_la_coquera
23/01/2012	0.00	0	33.56	21.22	27.39	22.03	1.21	72.46	505.00	enero	2012	NO	-73.1557	4.0606	fedearroz_pto._lopez_la_coquera
24/01/2012	0.00	0	32.67	20.61	26.64	22.21	1.01	76.43	406.46	enero	2012	NO	-73.1557	4.0606	fedearroz_pto._lopez_la_coquera
25/01/2012	0.00	0	32.50	20.61	26.56	21.35	1.12	73.00	364.40	enero	2012	NO	-73.1557	4.0606	fedearroz_pto._lopez_la_coquera
26/01/2012	0.00	0	33.78	21.94	27.86	21.92	1.31	70.08	486.59	enero	2012	NO	-73.1557	4.0606	fedearroz_pto._lopez_la_coquera
