Date	Rain	rain_days	tmax	tmin	tmean	t_dew_point	vapor_pressure_deficit	rhum	esol	month	year	Modif	x	y	station
01/01/2012	0.00	0	33.78	23.28	28.53	25.37	0.82	82.67	446.87	enero	2012	NO	-74.9801	3.9145	fedearroz_saldana_las_lagunas
02/01/2012	0.00	0	33.06	23.11	28.09	24.78	0.81	81.92	424.60	enero	2012	NO	-74.9801	3.9145	fedearroz_saldana_las_lagunas
03/01/2012	0.00	0	32.17	24.72	28.45	25.12	0.77	81.83	353.05	enero	2012	NO	-74.9801	3.9145	fedearroz_saldana_las_lagunas
04/01/2012	0.00	0	30.22	23.50	26.86	24.04	0.60	84.17	327.52	enero	2012	NO	-74.9801	3.9145	fedearroz_saldana_las_lagunas
05/01/2012	0.80	1	31.44	23.83	27.64	25.21	0.57	86.21	410.07	enero	2012	NO	-74.9801	3.9145	fedearroz_saldana_las_lagunas
06/01/2012	2.80	1	31.22	23.72	27.47	24.70	0.63	84.46	349.54	enero	2012	NO	-74.9801	3.9145	fedearroz_saldana_las_lagunas
07/01/2012	3.40	1	31.67	23.33	27.50	24.90	0.62	85.33	409.20	enero	2012	NO	-74.9801	3.9145	fedearroz_saldana_las_lagunas
08/01/2012	5.00	1	32.00	23.39	27.70	24.99	0.65	84.83	425.90	enero	2012	NO	-74.9801	3.9145	fedearroz_saldana_las_lagunas
09/01/2012	2.40	1	32.00	23.00	27.50	24.65	0.68	84.08	448.93	enero	2012	NO	-74.9801	3.9145	fedearroz_saldana_las_lagunas
10/01/2012	0.00	0	33.33	24.28	28.81	25.45	0.83	81.75	504.81	enero	2012	NO	-74.9801	3.9145	fedearroz_saldana_las_lagunas
11/01/2012	0.00	0	33.61	24.33	28.97	24.78	1.00	77.88	526.75	enero	2012	NO	-74.9801	3.9145	fedearroz_saldana_las_lagunas
12/01/2012	0.00	0	32.67	24.44	28.56	25.06	0.82	81.04	502.94	enero	2012	NO	-74.9801	3.9145	fedearroz_saldana_las_lagunas
13/01/2012	0.00	0	32.72	24.83	28.78	24.83	0.91	78.96	423.22	enero	2012	NO	-74.9801	3.9145	fedearroz_saldana_las_lagunas
14/01/2012	22.80	1	31.72	22.61	27.17	24.96	0.55	87.33	317.64	enero	2012	NO	-74.9801	3.9145	fedearroz_saldana_las_lagunas
15/01/2012	0.00	0	32.28	23.50	27.89	24.86	0.72	83.21	423.30	enero	2012	NO	-74.9801	3.9145	fedearroz_saldana_las_lagunas
16/01/2012	7.60	1	30.56	22.33	26.45	24.19	0.52	87.00	300.02	enero	2012	NO	-74.9801	3.9145	fedearroz_saldana_las_lagunas
17/01/2012	0.00	0	31.11	23.00	27.06	24.47	0.60	85.38	496.48	enero	2012	NO	-74.9801	3.9145	fedearroz_saldana_las_lagunas
18/01/2012	16.00	1	29.33	21.72	25.53	23.53	0.44	88.29	390.71	enero	2012	NO	-74.9801	3.9145	fedearroz_saldana_las_lagunas
19/01/2012	2.60	1	29.44	22.28	25.86	24.07	0.40	89.42	300.26	enero	2012	NO	-74.9801	3.9145	fedearroz_saldana_las_lagunas
20/01/2012	0.00	0	30.17	23.11	26.64	24.39	0.50	87.04	372.84	enero	2012	NO	-74.9801	3.9145	fedearroz_saldana_las_lagunas
21/01/2012	5.00	1	30.56	22.89	26.73	24.66	0.48	88.00	344.03	enero	2012	NO	-74.9801	3.9145	fedearroz_saldana_las_lagunas
22/01/2012	6.40	1	28.78	22.17	25.48	23.97	0.34	90.96	269.82	enero	2012	NO	-74.9801	3.9145	fedearroz_saldana_las_lagunas
