Date	Rain	rain_days	tmax	tmin	tmean	t_dew_point	vapor_pressure_deficit	rhum	esol	month	year	Modif	x	y	station
30/07/2021	15.24	1	32.67	21.61	27.14	26.34	0.33	95.08	173.99	julio	2021	NO	-71.2474	5.0647	fedearroz_san_luis_sabanales
31/07/2021	0.51	1	27.61	21.72	24.67	22.66	0.39	88.17	239.74	julio	2021	NO	-71.2474	5.0647	fedearroz_san_luis_sabanales
1/08/2021	0.00	0	29.78	22.06	25.92	23.42	0.54	85.67	300.78	agosto	2021	NO	-71.2474	5.0647	fedearroz_san_luis_sabanales
2/08/2021	0.00	0	28.44	22.72	25.58	23.13	0.49	85.92	222.19	agosto	2021	NO	-71.2474	5.0647	fedearroz_san_luis_sabanales
3/08/2021	0.00	0	29.56	22.17	25.87	22.96	0.60	83.62	257.52	agosto	2021	NO	-71.2474	5.0647	fedearroz_san_luis_sabanales
4/08/2021	0.25	1	30.11	22.67	26.39	23.57	0.60	84.08	274.30	agosto	2021	NO	-71.2474	5.0647	fedearroz_san_luis_sabanales
5/08/2021	0.00	0	29.39	22.61	26.00	23.35	0.55	84.92	263.20	agosto	2021	NO	-71.2474	5.0647	fedearroz_san_luis_sabanales
6/08/2021	0.00	0	31.50	22.00	26.75	23.88	0.67	83.88	274.12	agosto	2021	NO	-71.2474	5.0647	fedearroz_san_luis_sabanales
7/08/2021	0.00	0	32.06	23.44	27.75	24.87	0.68	83.96	340.94	agosto	2021	NO	-71.2474	5.0647	fedearroz_san_luis_sabanales
8/08/2021	0.50	1	32.83	22.83	27.83	25.99	0.52	89.33	345.83	agosto	2021	NO	-71.2474	5.0647	fedearroz_san_luis_sabanales
9/08/2021	0.00	0	31.33	22.89	27.11	25.57	0.41	90.88	228.72	agosto	2021	NO	-71.2474	5.0647	fedearroz_san_luis_sabanales
10/08/2021	30.99	1	29.39	21.22	25.31	24.39	0.25	94.33	162.43	agosto	2021	SI	-71.2474	5.0647	fedearroz_san_luis_sabanales
11/08/2021	0.00	0	31.00	20.94	25.97	23.75	0.55	87.12	366.98	agosto	2021	NO	-71.2474	5.0647	fedearroz_san_luis_sabanales
12/08/2021	0.00	0	33.33	22.56	27.95	25.11	0.74	84.21	383.24	agosto	2021	NO	-71.2474	5.0647	fedearroz_san_luis_sabanales
13/08/2021	19.56	1	28.61	22.94	25.78	24.41	0.30	91.79	193.30	agosto	2021	NO	-71.2474	5.0647	fedearroz_san_luis_sabanales
14/08/2021	57.40	1	27.44	22.72	25.08	24.47	0.14	96.17	111.19	agosto	2021	NO	-71.2474	5.0647	fedearroz_san_luis_sabanales
15/08/2021	0.00	0	32.61	22.44	27.53	25.15	0.62	86.46	407.41	agosto	2021	NO	-71.2474	5.0647	fedearroz_san_luis_sabanales
16/08/2021	0.00	0	30.72	24.06	27.39	25.91	0.36	91.26	239.30	agosto	2021	NO	-71.2474	5.0647	fedearroz_san_luis_sabanales
17/08/2021	59.94	1	31.78	22.67	27.23	25.83	0.40	91.71	267.24	agosto	2021	NO	-71.2474	5.0647	fedearroz_san_luis_sabanales
18/08/2021	16.00	1	31.22	22.17	26.70	24.81	0.48	89.00	397.85	agosto	2021	NO	-71.2474	5.0647	fedearroz_san_luis_sabanales
19/08/2021	0.00	0	27.22	22.89	25.06	24.02	0.21	93.62	163.90	agosto	2021	NO	-71.2474	5.0647	fedearroz_san_luis_sabanales
20/08/2021	0.00	0	33.00	23.06	28.03	25.39	0.68	85.17	423.22	agosto	2021	NO	-71.2474	5.0647	fedearroz_san_luis_sabanales
21/08/2021	0.51	1	31.89	22.28	27.09	24.49	0.63	85.33	393.56	agosto	2021	NO	-71.2474	5.0647	fedearroz_san_luis_sabanales
22/08/2021	11.94	1	31.44	23.61	27.53	26.26	0.35	92.46	251.09	agosto	2021	NO	-71.2474	5.0647	fedearroz_san_luis_sabanales
23/08/2021	0.00	0	32.83	23.17	28.00	25.76	0.60	87.21	389.95	agosto	2021	NO	-71.2474	5.0647	fedearroz_san_luis_sabanales
24/08/2021	19.05	1	26.44	22.17	24.31	23.18	0.22	93.04	144.70	agosto	2021	NO	-71.2474	5.0647	fedearroz_san_luis_sabanales
