Date	Rain	rain_days	tmax	tmin	tmean	t_dew_point	vapor_pressure_deficit	rhum	esol	month	year	Modif	x	y	station
01/01/2012	0.00	0	34.33	24.17	29.25	24.55	1.13	75.62	473.61	enero	2012	NO	-73.5039	8.0064	fedearroz_san_martin_el_reparo
02/01/2012	0.00	0	34.06	24.17	29.12	24.54	1.09	76.17	438.53	enero	2012	NO	-73.5039	8.0064	fedearroz_san_martin_el_reparo
03/01/2012	0.00	0	33.28	24.72	29.00	23.80	1.16	73.40	617.72	enero	2012	NO	-73.5039	8.0064	fedearroz_san_martin_el_reparo
04/01/2012	0.00	0	29.06	24.06	26.56	24.56	0.42	88.36	250.61	enero	2012	SI	-73.5039	8.0064	fedearroz_san_martin_el_reparo
05/01/2012	0.00	0	33.44	23.61	28.53	24.62	0.94	79.10	482.61	enero	2012	NO	-73.5039	8.0064	fedearroz_san_martin_el_reparo
06/01/2012	0.00	0	32.22	23.33	27.78	24.33	0.80	81.21	358.48	enero	2012	NO	-73.5039	8.0064	fedearroz_san_martin_el_reparo
07/01/2012	0.00	0	33.56	23.61	28.59	23.95	1.08	75.83	483.41	enero	2012	NO	-73.5039	8.0064	fedearroz_san_martin_el_reparo
08/01/2012	0.00	0	33.67	22.67	28.17	23.86	1.03	77.21	389.95	enero	2012	NO	-73.5039	8.0064	fedearroz_san_martin_el_reparo
09/01/2012	0.00	0	34.28	24.44	29.36	24.77	1.11	76.10	359.28	enero	2012	NO	-73.5039	8.0064	fedearroz_san_martin_el_reparo
10/01/2012	0.00	0	34.00	22.72	28.36	23.79	1.09	76.08	491.67	enero	2012	NO	-73.5039	8.0064	fedearroz_san_martin_el_reparo
11/01/2012	0.00	0	33.33	23.33	28.33	24.16	0.98	77.88	481.18	enero	2012	NO	-73.5039	8.0064	fedearroz_san_martin_el_reparo
12/01/2012	0.00	0	31.83	24.11	27.97	24.59	0.76	81.54	324.94	enero	2012	NO	-73.5039	8.0064	fedearroz_san_martin_el_reparo
13/01/2012	0.00	0	34.11	23.00	28.56	24.79	0.95	79.79	474.73	enero	2012	NO	-73.5039	8.0064	fedearroz_san_martin_el_reparo
14/01/2012	0.00	0	34.44	23.11	28.78	24.34	1.09	76.75	442.49	enero	2012	NO	-73.5039	8.0064	fedearroz_san_martin_el_reparo
15/01/2012	2.80	1	32.83	23.44	28.14	24.74	0.81	81.50	329.51	enero	2012	NO	-73.5039	8.0064	fedearroz_san_martin_el_reparo
16/01/2012	0.00	0	34.72	23.89	29.31	25.20	1.04	78.29	477.66	enero	2012	NO	-73.5039	8.0064	fedearroz_san_martin_el_reparo
