Date	Rain	rain_days	tmax	tmin	tmean	t_dew_point	vapor_pressure_deficit	rhum	esol	month	year	Modif	x	y	station
4/11/2020	0	0	28.61	23.39	26	23.26	0.54	84.46	394.63	noviembre	2020	NO	-73.7534	3.6722	fedearroz_san_martin_mayoral
5/11/2020	8.37	1	31.28	22.33	26.81	22.55	0.9	77.26	424.01	noviembre	2020	SI	-73.7534	3.6722	fedearroz_san_martin_mayoral
6/11/2020	32.51	1	30.61	21.94	26.28	23.26	0.66	83.14	428.46	noviembre	2020	NO	-73.7534	3.6722	fedearroz_san_martin_mayoral
7/11/2020	0	0	26.56	21.72	24.14	22.04	0.39	87.64	184.74	noviembre	2020	NO	-73.7534	3.6722	fedearroz_san_martin_mayoral
8/11/2020	0	0	31.22	22.5	26.86	19.01	1.44	62.22	512.4	noviembre	2020	NO	-73.7534	3.6722	fedearroz_san_martin_mayoral
9/11/2020	1.01	1	30.89	22.89	26.89	23.62	0.71	81.91	406.03	noviembre	2020	NO	-73.7534	3.6722	fedearroz_san_martin_mayoral
10/11/2020	0	0	28.78	22.89	25.84	23.75	0.43	87.83	226.32	noviembre	2020	NO	-73.7534	3.6722	fedearroz_san_martin_mayoral
11/11/2020	0	0	30.5	21.89	26.2	23.28	0.64	83.62	405.94	noviembre	2020	NO	-73.7534	3.6722	fedearroz_san_martin_mayoral
12/11/2020	40.38	1	32.67	21.89	27.28	23.34	0.91	78.79	374.91	noviembre	2020	NO	-73.7534	3.6722	fedearroz_san_martin_mayoral
13/11/2020	0	0	31.28	21.44	26.36	22.92	0.76	81.04	541.03	noviembre	2020	NO	-73.7534	3.6722	fedearroz_san_martin_mayoral
14/11/2020	0	0	31.44	21.72	26.58	23.21	0.76	81.42	399.67	noviembre	2020	NO	-73.7534	3.6722	fedearroz_san_martin_mayoral
15/11/2020	65.28	1	30.67	21.17	25.92	23.27	0.61	84.92	416.08	noviembre	2020	NO	-73.7534	3.6722	fedearroz_san_martin_mayoral
16/11/2020	23.89	1	28.83	21.56	25.2	23.61	0.36	90.5	304.56	noviembre	2020	NO	-73.7534	3.6722	fedearroz_san_martin_mayoral
17/11/2020	0	0	29.67	20.83	25.25	22.72	0.55	85.46	404.4	noviembre	2020	NO	-73.7534	3.6722	fedearroz_san_martin_mayoral
18/11/2020	0	0	29.78	22.28	26.03	22.3	0.75	79.62	460.11	noviembre	2020	NO	-73.7534	3.6722	fedearroz_san_martin_mayoral
19/11/2020	0	0	31.28	23.17	27.23	22.7	0.94	76.12	429.68	noviembre	2020	NO	-73.7534	3.6722	fedearroz_san_martin_mayoral
20/11/2020	0	0	30.78	22.67	26.73	22.18	0.92	75.96	467.42	noviembre	2020	NO	-73.7534	3.6722	fedearroz_san_martin_mayoral
21/11/2020	0	0	31.11	22.44	26.78	22.86	0.83	78.83	497.94	noviembre	2020	NO	-73.7534	3.6722	fedearroz_san_martin_mayoral
22/11/2020	0	0	31.33	21.89	26.61	21.91	0.97	75.25	504.48	noviembre	2020	NO	-73.7534	3.6722	fedearroz_san_martin_mayoral
23/11/2020	14.73	1	26.17	21.28	23.73	21.68	0.37	87.88	165.61	noviembre	2020	NO	-73.7534	3.6722	fedearroz_san_martin_mayoral
24/11/2020	0	0	32.06	19.94	26	22.56	0.81	81	467.67	noviembre	2020	NO	-73.7534	3.6722	fedearroz_san_martin_mayoral
25/11/2020	0	0	29.89	22.06	25.98	23.73	0.5	87	284.79	noviembre	2020	NO	-73.7534	3.6722	fedearroz_san_martin_mayoral
26/11/2020	27.44	1	30.11	21.22	25.67	22.6	0.65	82.79	365.62	noviembre	2020	NO	-73.7534	3.6722	fedearroz_san_martin_mayoral
27/11/2020	24.87	1	29.61	22.17	25.89	23.72	0.48	87.38	240.25	noviembre	2020	NO	-73.7534	3.6722	fedearroz_san_martin_mayoral
28/11/2020	27.18	1	28.89	20.61	24.75	22.88	0.41	88.92	325.46	noviembre	2020	NO	-73.7534	3.6722	fedearroz_san_martin_mayoral
29/11/2020	0	0	31.17	20.17	25.67	22.55	0.72	82.54	454.6	noviembre	2020	NO	-73.7534	3.6722	fedearroz_san_martin_mayoral
30/11/2020	0	0	30.67	22	26.34	22.88	0.74	80.96	432.42	noviembre	2020	NO	-73.7534	3.6722	fedearroz_san_martin_mayoral
1/12/2020	28.19	1	30.28	21.56	25.92	23.59	0.53	86.58	315.14	diciembre	2020	NO	-73.7534	3.6722	fedearroz_san_martin_mayoral
2/12/2020	0.25	1	30.78	21.94	26.36	23.06	0.72	81.71	507.91	diciembre	2020	NO	-73.7534	3.6722	fedearroz_san_martin_mayoral
3/12/2020	0	0	31.33	23.06	27.2	22.22	1.02	74.08	554.61	diciembre	2020	NO	-73.7534	3.6722	fedearroz_san_martin_mayoral
4/12/2020	0	0	31.28	22.83	27.06	22.22	0.99	74.71	525.72	diciembre	2020	NO	-73.7534	3.6722	fedearroz_san_martin_mayoral
5/12/2020	0.51	1	31.17	23.28	27.23	22.74	0.93	76.29	403.61	diciembre	2020	NO	-73.7534	3.6722	fedearroz_san_martin_mayoral
6/12/2020	0	0	31.44	22.56	27	23.28	0.81	79.79	383.92	diciembre	2020	NO	-73.7534	3.6722	fedearroz_san_martin_mayoral
7/12/2020	46.99	1	29.94	21.72	25.83	23.72	0.48	87.71	298.8	diciembre	2020	NO	-73.7534	3.6722	fedearroz_san_martin_mayoral
8/12/2020	3.04	1	28.94	21.33	25.14	23.16	0.43	88.38	236.04	diciembre	2020	NO	-73.7534	3.6722	fedearroz_san_martin_mayoral
9/12/2020	80.78	1	25.67	20.94	23.31	21.94	0.25	91.62	150.73	diciembre	2020	NO	-73.7534	3.6722	fedearroz_san_martin_mayoral
