Date	Rain	rain_days	tmax	tmin	tmean	t_dew_point	vapor_pressure_deficit	rhum	esol	month	year	Modif	x	y	station
1/01/2017	0.00	0	36.29	21.29	28.79	21.13	1.78	63.32	485.53	enero	2017	SI	-75.191	3.0809	fedearroz_tello_san_diego
2/01/2017	0.00	0	34.25	23.14	28.70	21.43	1.56	64.83	398.10	enero	2017	SI	-75.191	3.0809	fedearroz_tello_san_diego
3/01/2017	0.00	0	32.21	24.05	28.13	21.25	1.38	66.27	410.17	enero	2017	SI	-75.191	3.0809	fedearroz_tello_san_diego
4/01/2017	0.00	0	32.27	22.04	27.15	23.42	0.86	79.73	396.06	enero	2017	SI	-75.191	3.0809	fedearroz_tello_san_diego
5/01/2017	0.00	0	34.82	21.77	28.29	21.70	1.49	67.44	431.28	enero	2017	SI	-75.191	3.0809	fedearroz_tello_san_diego
6/01/2017	0.00	0	32.45	22.34	27.40	22.39	1.08	73.99	391.16	enero	2017	SI	-75.191	3.0809	fedearroz_tello_san_diego
7/01/2017	0.00	0	35.06	23.17	29.11	22.83	1.46	68.88	436.21	enero	2017	SI	-75.191	3.0809	fedearroz_tello_san_diego
8/01/2017	0.00	0	33.37	22.09	27.73	22.98	1.09	75.16	455.25	enero	2017	SI	-75.191	3.0809	fedearroz_tello_san_diego
9/01/2017	8.60	1	34.12	24.23	29.18	21.71	1.59	64.13	411.94	enero	2017	SI	-75.191	3.0809	fedearroz_tello_san_diego
10/01/2017	0.00	0	25.39	24.22	24.81	21.19	0.62	80.00	403.45	enero	2017	SI	-75.191	3.0809	fedearroz_tello_san_diego
11/01/2017	0.00	0	32.17	23.28	27.73	22.88	1.04	74.75	361.66	enero	2017	NO	-75.191	3.0809	fedearroz_tello_san_diego
12/01/2017	3.60	1	33.67	21.67	27.67	22.58	1.17	73.67	462.43	enero	2017	NO	-75.191	3.0809	fedearroz_tello_san_diego
13/01/2017	0.20	1	33.39	22.22	27.81	23.25	1.06	76.04	514.45	enero	2017	NO	-75.191	3.0809	fedearroz_tello_san_diego
14/01/2017	31.40	1	29.33	20.67	25.00	22.24	0.58	84.25	393.73	enero	2017	NO	-75.191	3.0809	fedearroz_tello_san_diego
15/01/2017	0.00	0	31.00	21.78	26.39	23.26	0.70	82.58	427.34	enero	2017	NO	-75.191	3.0809	fedearroz_tello_san_diego
16/01/2017	0.00	0	31.28	23.11	27.20	23.20	0.85	78.54	419.52	enero	2017	NO	-75.191	3.0809	fedearroz_tello_san_diego
17/01/2017	0.00	0	31.28	22.56	26.92	23.00	0.84	78.83	335.86	enero	2017	NO	-75.191	3.0809	fedearroz_tello_san_diego
18/01/2017	8.00	1	26.33	21.89	24.11	22.22	0.35	88.75	178.59	enero	2017	NO	-75.191	3.0809	fedearroz_tello_san_diego
19/01/2017	0.00	0	33.72	20.78	27.25	22.87	1.06	76.75	527.02	enero	2017	NO	-75.191	3.0809	fedearroz_tello_san_diego
20/01/2017	0.00	0	32.50	21.67	27.09	23.26	0.89	79.29	401.14	enero	2017	NO	-75.191	3.0809	fedearroz_tello_san_diego
21/01/2017	5.80	1	28.22	21.56	24.89	22.82	0.42	87.83	219.86	enero	2017	NO	-75.191	3.0809	fedearroz_tello_san_diego
22/01/2017	0.00	0	33.06	20.22	26.64	21.72	1.11	74.25	528.73	enero	2017	NO	-75.191	3.0809	fedearroz_tello_san_diego
23/01/2017	0.00	0	33.39	20.78	27.09	21.31	1.26	70.62	510.41	enero	2017	NO	-75.191	3.0809	fedearroz_tello_san_diego
24/01/2017	0.00	0	32.72	23.33	28.03	21.00	1.42	65.67	446.10	enero	2017	NO	-75.191	3.0809	fedearroz_tello_san_diego
25/01/2017	0.00	0	32.94	23.33	28.14	21.31	1.40	66.50	478.17	enero	2017	NO	-75.191	3.0809	fedearroz_tello_san_diego
26/01/2017	3.20	1	31.00	21.78	26.39	22.77	0.78	80.21	344.03	enero	2017	NO	-75.191	3.0809	fedearroz_tello_san_diego
27/01/2017	0.00	0	31.61	22.72	27.17	22.84	0.92	77.00	268.63	enero	2017	NO	-75.191	3.0809	fedearroz_tello_san_diego
28/01/2017	0.00	0	31.61	22.00	26.81	21.59	1.07	73.00	301.46	enero	2017	NO	-75.191	3.0809	fedearroz_tello_san_diego
29/01/2017	0.00	0	34.67	23.00	28.84	21.26	1.64	63.67	508.18	enero	2017	NO	-75.191	3.0809	fedearroz_tello_san_diego
30/01/2017	0.00	0	34.28	22.78	28.53	22.39	1.38	69.33	361.31	enero	2017	NO	-75.191	3.0809	fedearroz_tello_san_diego
31/01/2017	0.40	1	29.56	22.44	26.00	23.17	0.59	84.00	235.51	enero	2017	NO	-75.191	3.0809	fedearroz_tello_san_diego
