Date	Rain	rain_days	tmax	tmin	tmean	t_dew_point	vapor_pressure_deficit	rhum	esol	month	year	Modif	x	y	station
01/01/2012	0.00	0	31.28	21.61	26.45	20.49	1.16	69.75	503.78	enero	2012	NO	-73.1853	10.4879	fedearroz_valledupar_la_esperanza
02/01/2012	0.00	0	31.17	21.94	26.56	22.76	0.82	79.38	467.85	enero	2012	NO	-73.1853	10.4879	fedearroz_valledupar_la_esperanza
03/01/2012	0.00	0	31.39	22.28	26.84	22.67	0.89	77.71	450.56	enero	2012	NO	-73.1853	10.4879	fedearroz_valledupar_la_esperanza
04/01/2012	0.00	0	31.06	21.89	26.48	21.73	0.97	75.00	461.15	enero	2012	NO	-73.1853	10.4879	fedearroz_valledupar_la_esperanza
05/01/2012	0.00	0	31.06	22.00	26.53	22.13	0.91	76.58	497.51	enero	2012	NO	-73.1853	10.4879	fedearroz_valledupar_la_esperanza
06/01/2012	0.00	0	31.39	22.00	26.70	21.31	1.08	72.22	523.18	enero	2012	NO	-73.1853	10.4879	fedearroz_valledupar_la_esperanza
07/01/2012	0.00	0	31.28	21.50	26.39	21.45	1.01	74.12	498.37	enero	2012	NO	-73.1853	10.4879	fedearroz_valledupar_la_esperanza
08/01/2012	0.00	0	31.56	20.39	25.98	21.50	0.95	76.17	505.52	enero	2012	NO	-73.1853	10.4879	fedearroz_valledupar_la_esperanza
09/01/2012	0.00	0	31.89	21.00	26.45	22.73	0.84	79.75	469.65	enero	2012	NO	-73.1853	10.4879	fedearroz_valledupar_la_esperanza
10/01/2012	0.00	0	31.56	21.67	26.62	22.64	0.87	78.54	492.62	enero	2012	NO	-73.1853	10.4879	fedearroz_valledupar_la_esperanza
11/01/2012	0.00	0	30.78	21.83	26.31	21.71	0.93	75.67	424.43	enero	2012	NO	-73.1853	10.4879	fedearroz_valledupar_la_esperanza
12/01/2012	0.00	0	31.89	21.28	26.59	20.92	1.15	71.00	464.32	enero	2012	NO	-73.1853	10.4879	fedearroz_valledupar_la_esperanza
13/01/2012	0.00	0	32.22	22.11	27.17	22.53	1.01	75.62	475.67	enero	2012	NO	-73.1853	10.4879	fedearroz_valledupar_la_esperanza
14/01/2012	0.00	0	29.56	22.78	26.17	20.26	1.08	69.92	272.84	enero	2012	NO	-73.1853	10.4879	fedearroz_valledupar_la_esperanza
15/01/2012	0.00	0	30.94	19.61	25.28	20.09	1.03	72.87	193.63	enero	2012	NO	-73.1853	10.4879	fedearroz_valledupar_la_esperanza
16/01/2012	0.00	0	30.28	20.33	25.31	16.93	1.42	59.88	531.39	enero	2012	NO	-73.1853	10.4879	fedearroz_valledupar_la_esperanza
17/01/2012	0.00	0	31.22	21.06	26.14	21.09	1.02	73.62	524.77	enero	2012	NO	-73.1853	10.4879	fedearroz_valledupar_la_esperanza
18/01/2012	0.00	0	31.44	21.83	26.64	22.33	0.91	77.04	510.16	enero	2012	NO	-73.1853	10.4879	fedearroz_valledupar_la_esperanza
19/01/2012	0.00	0	32.00	21.94	26.97	22.73	0.93	77.38	512.47	enero	2012	NO	-73.1853	10.4879	fedearroz_valledupar_la_esperanza
20/01/2012	0.00	0	31.67	22.00	26.84	22.35	0.96	76.21	517.11	enero	2012	NO	-73.1853	10.4879	fedearroz_valledupar_la_esperanza
21/01/2012	0.00	0	30.22	23.33	26.78	18.22	1.49	59.50	466.43	enero	2012	SI	-73.1853	10.4879	fedearroz_valledupar_la_esperanza
