Date	Rain	rain_days	tmax	tmin	tmean	t_dew_point	vapor_pressure_deficit	rhum	esol	month	year	Modif	x	y	station
01/01/2012	0.00	0	34.72	22.33	28.53	23.26	1.26	73.04	537.17	enero	2012	NO	-74.9146	4.7233	fedearroz_venadillo_la_sonora
02/01/2012	0.00	0	32.83	22.22	27.53	23.51	0.93	78.50	395.79	enero	2012	NO	-74.9146	4.7233	fedearroz_venadillo_la_sonora
03/01/2012	0.00	0	30.83	23.22	27.03	23.44	0.76	80.43	408.96	enero	2012	NO	-74.9146	4.7233	fedearroz_venadillo_la_sonora
04/01/2012	0.00	0	32.89	23.28	28.09	24.46	0.86	80.38	372.74	enero	2012	NO	-74.9146	4.7233	fedearroz_venadillo_la_sonora
05/01/2012	0.00	0	33.17	23.44	28.31	23.81	1.03	76.38	397.42	enero	2012	NO	-74.9146	4.7233	fedearroz_venadillo_la_sonora
06/01/2012	0.00	0	33.72	23.78	28.75	24.00	1.11	75.33	488.41	enero	2012	NO	-74.9146	4.7233	fedearroz_venadillo_la_sonora
07/01/2012	0.00	0	33.39	23.78	28.59	22.83	1.26	70.96	563.81	enero	2012	NO	-74.9146	4.7233	fedearroz_venadillo_la_sonora
08/01/2012	0.20	1	33.28	22.83	28.06	23.50	1.05	76.09	442.24	enero	2012	NO	-74.9146	4.7233	fedearroz_venadillo_la_sonora
09/01/2012	0.00	0	35.06	23.06	29.06	24.29	1.19	75.30	427.72	enero	2012	NO	-74.9146	4.7233	fedearroz_venadillo_la_sonora
10/01/2012	0.00	0	33.89	24.50	29.20	23.32	1.32	70.57	553.25	enero	2012	NO	-74.9146	4.7233	fedearroz_venadillo_la_sonora
11/01/2012	0.00	0	34.89	23.67	29.28	23.46	1.37	70.79	501.39	enero	2012	NO	-74.9146	4.7233	fedearroz_venadillo_la_sonora
12/01/2012	0.00	0	35.39	24.17	29.78	24.25	1.35	72.12	353.40	enero	2012	NO	-74.9146	4.7233	fedearroz_venadillo_la_sonora
13/01/2012	0.00	0	35.50	23.22	29.36	24.39	1.26	74.46	431.66	enero	2012	NO	-74.9146	4.7233	fedearroz_venadillo_la_sonora
14/01/2012	0.00	0	35.44	22.67	29.06	23.48	1.37	71.79	455.47	enero	2012	NO	-74.9146	4.7233	fedearroz_venadillo_la_sonora
15/01/2012	0.00	0	34.39	23.17	28.78	23.74	1.20	74.04	455.47	enero	2012	NO	-74.9146	4.7233	fedearroz_venadillo_la_sonora
16/01/2012	0.00	0	35.17	22.67	28.92	23.56	1.31	72.67	508.34	enero	2012	NO	-74.9146	4.7233	fedearroz_venadillo_la_sonora
17/01/2012	0.00	0	33.67	22.39	28.03	23.39	1.09	75.71	314.19	enero	2012	NO	-74.9146	4.7233	fedearroz_venadillo_la_sonora
18/01/2012	0.20	1	32.00	22.89	27.45	23.04	0.96	76.67	368.53	enero	2012	NO	-74.9146	4.7233	fedearroz_venadillo_la_sonora
19/01/2012	0.00	0	33.06	22.61	27.84	22.89	1.10	74.33	409.12	enero	2012	NO	-74.9146	4.7233	fedearroz_venadillo_la_sonora
20/01/2012	0.00	0	31.00	23.06	27.03	23.52	0.76	80.77	384.28	enero	2012	SI	-74.9146	4.7233	fedearroz_venadillo_la_sonora
21/01/2012	17.00	1	29.28	21.78	25.53	23.63	0.42	88.83	276.45	enero	2012	NO	-74.9146	4.7233	fedearroz_venadillo_la_sonora
22/01/2012	2.40	1	33.94	22.78	28.36	24.49	0.96	79.26	475.98	enero	2012	NO	-74.9146	4.7233	fedearroz_venadillo_la_sonora
23/01/2012	0.20	1	29.17	20.89	25.03	22.09	0.60	83.33	425.90	enero	2012	NO	-74.9146	4.7233	fedearroz_venadillo_la_sonora
24/01/2012	0.00	0	32.78	20.94	26.86	22.28	1.03	75.79	550.48	enero	2012	NO	-74.9146	4.7233	fedearroz_venadillo_la_sonora
25/01/2012	0.00	0	34.06	21.11	27.59	22.15	1.25	72.17	562.49	enero	2012	NO	-74.9146	4.7233	fedearroz_venadillo_la_sonora
26/01/2012	0.00	0	30.56	23.56	27.06	23.41	0.76	80.12	404.04	enero	2012	NO	-74.9146	4.7233	fedearroz_venadillo_la_sonora
27/01/2012	0.00	0	35.00	23.33	29.17	24.11	1.24	74.04	530.80	enero	2012	NO	-74.9146	4.7233	fedearroz_venadillo_la_sonora
28/01/2012	0.00	0	36.28	23.33	29.81	25.05	1.27	75.46	432.09	enero	2012	NO	-74.9146	4.7233	fedearroz_venadillo_la_sonora
29/01/2012	0.00	0	32.61	23.28	27.95	22.03	1.24	70.18	410.02	enero	2012	SI	-74.9146	4.7233	fedearroz_venadillo_la_sonora
30/01/2012	0.00	0	34.08	24.75	29.41	23.88	1.27	72.03	441.59	enero	2012	SI	-74.9146	4.7233	fedearroz_venadillo_la_sonora
31/01/2012	0.00	0	28.44	25.50	26.97	23.81	0.62	82.50	261.37	enero	2012	SI	-74.9146	4.7233	fedearroz_venadillo_la_sonora
01/02/2012	0.00	0	34.28	22.72	28.50	24.44	1.02	78.38	431.31	febrero	2012	NO	-74.9146	4.7233	fedearroz_venadillo_la_sonora
02/02/2012	0.00	0	34.83	23.39	29.11	25.78	0.90	81.92	344.38	febrero	2012	NO	-74.9146	4.7233	fedearroz_venadillo_la_sonora
03/02/2012	0.00	0	33.44	24.00	28.72	24.76	0.95	78.88	326.06	febrero	2012	NO	-74.9146	4.7233	fedearroz_venadillo_la_sonora
04/02/2012	0.00	0	37.00	23.44	30.22	24.65	1.48	72.00	519.69	febrero	2012	NO	-74.9146	4.7233	fedearroz_venadillo_la_sonora
05/02/2012	2.80	1	33.22	22.28	27.75	23.66	0.97	78.18	336.85	febrero	2012	NO	-74.9146	4.7233	fedearroz_venadillo_la_sonora
06/02/2012	25.20	1	28.94	21.33	25.14	23.82	0.31	92.00	229.58	febrero	2012	NO	-74.9146	4.7233	fedearroz_venadillo_la_sonora
07/02/2012	0.00	0	34.50	20.78	27.64	23.90	0.99	79.79	561.67	febrero	2012	NO	-74.9146	4.7233	fedearroz_venadillo_la_sonora
08/02/2012	46.00	1	25.22	22.17	23.70	22.72	0.18	93.92	180.56	febrero	2012	SI	-74.9146	4.7233	fedearroz_venadillo_la_sonora
09/02/2012	3.20	1	33.56	21.56	27.56	23.99	0.90	80.58	481.08	febrero	2012	NO	-74.9146	4.7233	fedearroz_venadillo_la_sonora
10/02/2012	2.80	1	31.17	21.94	26.56	24.49	0.51	88.00	303.22	febrero	2012	SI	-74.9146	4.7233	fedearroz_venadillo_la_sonora
11/02/2012	0.00	0	32.56	22.50	27.53	22.82	1.04	75.31	449.40	febrero	2012	SI	-74.9146	4.7233	fedearroz_venadillo_la_sonora
12/02/2012	0.00	0	32.11	23.72	27.92	23.51	0.96	76.75	563.03	febrero	2012	NO	-74.9146	4.7233	fedearroz_venadillo_la_sonora
13/02/2012	0.00	0	32.83	24.11	28.47	23.46	1.11	74.12	499.92	febrero	2012	NO	-74.9146	4.7233	fedearroz_venadillo_la_sonora
14/02/2012	0.00	0	33.28	22.89	28.09	22.30	1.26	70.76	512.14	febrero	2012	NO	-74.9146	4.7233	fedearroz_venadillo_la_sonora
15/02/2012	0.00	0	33.33	22.89	28.11	21.71	1.36	68.21	574.13	febrero	2012	NO	-74.9146	4.7233	fedearroz_venadillo_la_sonora
16/02/2012	0.00	0	32.83	22.78	27.81	21.82	1.26	69.88	564.58	febrero	2012	NO	-74.9146	4.7233	fedearroz_venadillo_la_sonora
17/02/2012	0.00	0	33.78	21.78	27.78	21.71	1.33	69.50	556.67	febrero	2012	NO	-74.9146	4.7233	fedearroz_venadillo_la_sonora
18/02/2012	0.00	0	34.00	22.17	28.09	21.95	1.36	69.29	561.75	febrero	2012	NO	-74.9146	4.7233	fedearroz_venadillo_la_sonora
19/02/2012	0.00	0	34.39	22.22	28.31	22.23	1.38	69.58	530.11	febrero	2012	NO	-74.9146	4.7233	fedearroz_venadillo_la_sonora
20/02/2012	0.00	0	34.11	21.94	28.03	22.15	1.32	70.38	528.30	febrero	2012	NO	-74.9146	4.7233	fedearroz_venadillo_la_sonora
21/02/2012	0.00	0	34.28	22.17	28.23	22.31	1.34	70.21	565.20	febrero	2012	NO	-74.9146	4.7233	fedearroz_venadillo_la_sonora
22/02/2012	2.20	1	33.67	22.17	27.92	23.25	1.09	75.55	418.57	febrero	2012	NO	-74.9146	4.7233	fedearroz_venadillo_la_sonora
23/02/2012	0.20	1	35.39	22.72	29.06	23.53	1.35	72.00	646.81	febrero	2012	NO	-74.9146	4.7233	fedearroz_venadillo_la_sonora
24/02/2012	0.00	0	34.78	23.61	29.20	21.77	1.63	64.29	410.86	febrero	2012	SI	-74.9146	4.7233	fedearroz_venadillo_la_sonora
25/02/2012	0.00	0	32.39	22.33	27.36	23.39	0.90	78.67	366.30	febrero	2012	NO	-74.9146	4.7233	fedearroz_venadillo_la_sonora
26/02/2012	3.00	1	33.61	21.67	27.64	22.63	1.15	74.00	549.80	febrero	2012	NO	-74.9146	4.7233	fedearroz_venadillo_la_sonora
27/02/2012	0.00	0	35.83	22.56	29.20	23.48	1.42	71.21	534.14	febrero	2012	NO	-74.9146	4.7233	fedearroz_venadillo_la_sonora
28/02/2012	0.60	1	29.61	22.72	26.17	23.57	0.55	85.21	222.63	febrero	2012	NO	-74.9146	4.7233	fedearroz_venadillo_la_sonora
29/02/2012	0.00	0	34.44	22.28	28.36	23.40	1.19	74.33	568.37	febrero	2012	NO	-74.9146	4.7233	fedearroz_venadillo_la_sonora
01/03/2012	0.00	0	34.22	22.06	28.14	24.06	1.02	78.25	460.03	marzo	2012	NO	-74.9146	4.7233	fedearroz_venadillo_la_sonora
02/03/2012	0.00	0	33.33	21.89	27.61	22.03	1.23	71.54	360.36	marzo	2012	NO	-74.9146	4.7233	fedearroz_venadillo_la_sonora
03/03/2012	0.00	0	34.11	23.83	28.97	22.76	1.38	69.12	397.26	marzo	2012	NO	-74.9146	4.7233	fedearroz_venadillo_la_sonora
04/03/2012	0.00	0	35.67	24.56	30.12	22.12	1.80	62.29	555.91	marzo	2012	NO	-74.9146	4.7233	fedearroz_venadillo_la_sonora
05/03/2012	15.40	1	35.78	22.28	29.03	23.56	1.37	72.25	581.17	marzo	2012	NO	-74.9146	4.7233	fedearroz_venadillo_la_sonora
06/03/2012	0.40	1	35.67	23.22	29.45	24.89	1.19	76.29	435.35	marzo	2012	NO	-74.9146	4.7233	fedearroz_venadillo_la_sonora
07/03/2012	57.00	1	34.06	20.67	27.37	24.56	0.80	84.29	443.52	marzo	2012	NO	-74.9146	4.7233	fedearroz_venadillo_la_sonora
08/03/2012	0.40	1	35.17	22.11	28.64	23.52	1.27	73.67	532.43	marzo	2012	NO	-74.9146	4.7233	fedearroz_venadillo_la_sonora
