Date	Rain	rain_days	tmax	tmin	tmean	t_dew_point	vapor_pressure_deficit	rhum	esol	month	year	Modif	x	y	station
01/01/2012	0.00	0	34.22	22.33	28.27	23.55	1.14	75.38	492.73	enero	2012	SI	-72.8243	4.4789	fedearroz_villanueva_trompillos
02/01/2012	0.00	0	33.80	22.52	28.16	23.99	1.01	77.83	491.56	enero	2012	SI	-72.8243	4.4789	fedearroz_villanueva_trompillos
03/01/2012	1.80	1	32.12	21.34	26.73	22.25	0.98	76.24	467.72	enero	2012	SI	-72.8243	4.4789	fedearroz_villanueva_trompillos
04/01/2012	0.00	0	34.14	21.69	27.91	22.13	1.31	70.72	502.70	enero	2012	SI	-72.8243	4.4789	fedearroz_villanueva_trompillos
05/01/2012	0.00	0	33.32	21.54	27.43	22.65	1.10	74.99	467.43	enero	2012	SI	-72.8243	4.4789	fedearroz_villanueva_trompillos
06/01/2012	0.00	0	33.55	22.78	28.17	24.73	0.86	81.28	491.41	enero	2012	SI	-72.8243	4.4789	fedearroz_villanueva_trompillos
07/01/2012	0.00	0	34.10	22.77	28.43	24.05	1.07	76.91	484.12	enero	2012	SI	-72.8243	4.4789	fedearroz_villanueva_trompillos
08/01/2012	0.00	0	33.93	21.71	27.82	21.47	1.39	68.37	488.50	enero	2012	SI	-72.8243	4.4789	fedearroz_villanueva_trompillos
09/01/2012	0.00	0	33.96	22.57	28.27	23.26	1.17	74.09	485.70	enero	2012	SI	-72.8243	4.4789	fedearroz_villanueva_trompillos
10/01/2012	0.00	0	32.16	22.16	27.16	24.32	0.69	84.07	480.33	enero	2012	SI	-72.8243	4.4789	fedearroz_villanueva_trompillos
11/01/2012	0.00	0	33.56	22.12	27.84	23.66	1.00	77.77	505.61	enero	2012	SI	-72.8243	4.4789	fedearroz_villanueva_trompillos
12/01/2012	0.00	0	33.11	21.22	27.16	23.35	0.92	79.38	499.39	enero	2012	SI	-72.8243	4.4789	fedearroz_villanueva_trompillos
13/01/2012	0.00	0	34.85	23.07	28.96	22.89	1.41	69.73	465.22	enero	2012	SI	-72.8243	4.4789	fedearroz_villanueva_trompillos
14/01/2012	0.00	0	33.72	21.95	27.83	23.44	1.05	76.76	482.29	enero	2012	SI	-72.8243	4.4789	fedearroz_villanueva_trompillos
15/01/2012	0.00	0	32.86	21.08	26.97	21.97	1.11	73.94	503.27	enero	2012	SI	-72.8243	4.4789	fedearroz_villanueva_trompillos
16/01/2012	0.00	0	29.83	23.89	26.86	23.91	0.62	83.51	324.73	enero	2012	SI	-72.8243	4.4789	fedearroz_villanueva_trompillos
17/01/2012	0.00	0	32.94	22.94	27.94	24.55	0.82	81.45	480.36	enero	2012	SI	-72.8243	4.4789	fedearroz_villanueva_trompillos
18/01/2012	0.00	0	32.75	22.52	27.64	23.80	0.90	79.34	491.26	enero	2012	SI	-72.8243	4.4789	fedearroz_villanueva_trompillos
19/01/2012	0.00	0	36.19	21.80	28.99	22.14	1.64	66.54	504.60	enero	2012	SI	-72.8243	4.4789	fedearroz_villanueva_trompillos
20/01/2012	0.00	0	33.14	23.03	28.09	24.71	0.83	81.56	474.37	enero	2012	SI	-72.8243	4.4789	fedearroz_villanueva_trompillos
21/01/2012	0.00	0	30.53	23.36	26.94	24.48	0.55	85.96	394.24	enero	2012	SI	-72.8243	4.4789	fedearroz_villanueva_trompillos
22/01/2012	0.00	0	33.07	21.62	27.34	23.30	0.96	78.30	497.55	enero	2012	SI	-72.8243	4.4789	fedearroz_villanueva_trompillos
23/01/2012	0.00	0	31.53	22.69	27.11	22.75	0.93	76.81	441.26	enero	2012	SI	-72.8243	4.4789	fedearroz_villanueva_trompillos
24/01/2012	0.00	0	34.17	25.06	29.62	21.22	1.75	60.67	422.02	enero	2012	NO	-72.8243	4.4789	fedearroz_villanueva_trompillos
25/01/2012	0.00	0	32.17	21.89	27.03	21.93	1.08	73.54	450.99	enero	2012	NO	-72.8243	4.4789	fedearroz_villanueva_trompillos
26/01/2012	0.00	0	32.67	21.67	27.17	20.81	1.31	68.21	457.89	enero	2012	NO	-72.8243	4.4789	fedearroz_villanueva_trompillos
27/01/2012	0.00	0	33.39	21.89	27.64	20.46	1.48	64.96	530.44	enero	2012	NO	-72.8243	4.4789	fedearroz_villanueva_trompillos
