Date	Rain	rain_days	tmax	tmin	tmean	t_dew_point	vapor_pressure_deficit	rhum	esol	month	year	Modif	x	y	station
01/01/2018	0.00	0	31.52	22.41	26.97	26.49	0.21	97.00	348.69	enero	2018	SI	-73.0138	4.013	fedearroz_villavicencio_la_cecilia
02/01/2018	0.00	0	31.00	23.53	27.27	26.79	0.18	97.00	368.23	enero	2018	SI	-73.0138	4.013	fedearroz_villavicencio_la_cecilia
03/01/2018	0.00	0	31.44	24.44	27.94	26.30	0.41	90.42	399.46	enero	2018	SI	-73.0138	4.013	fedearroz_villavicencio_la_cecilia
04/01/2018	0.00	0	32.17	21.94	27.06	24.01	0.73	83.04	526.67	enero	2018	NO	-73.0138	4.013	fedearroz_villavicencio_la_cecilia
05/01/2018	0.00	0	31.56	21.89	26.73	23.59	0.72	82.58	532.26	enero	2018	NO	-73.0138	4.013	fedearroz_villavicencio_la_cecilia
06/01/2018	0.00	0	31.06	22.78	26.92	24.15	0.63	84.41	191.18	enero	2018	NO	-73.0138	4.013	fedearroz_villavicencio_la_cecilia
07/01/2018	0.00	0	31.22	21.28	26.25	23.59	0.63	84.92	404.64	enero	2018	NO	-73.0138	4.013	fedearroz_villavicencio_la_cecilia
08/01/2018	0.00	0	31.50	22.22	26.86	23.71	0.72	82.50	514.88	enero	2018	NO	-73.0138	4.013	fedearroz_villavicencio_la_cecilia
09/01/2018	0.00	0	31.44	22.50	26.97	24.08	0.67	83.83	487.19	enero	2018	NO	-73.0138	4.013	fedearroz_villavicencio_la_cecilia
10/01/2018	0.00	0	31.94	22.72	27.33	24.28	0.72	83.04	486.51	enero	2018	NO	-73.0138	4.013	fedearroz_villavicencio_la_cecilia
11/01/2018	10.80	1	31.56	23.33	27.45	24.25	0.72	82.38	514.72	enero	2018	NO	-73.0138	4.013	fedearroz_villavicencio_la_cecilia
12/01/2018	0.20	1	27.06	22.22	24.64	22.93	0.33	89.75	392.18	enero	2018	NO	-73.0138	4.013	fedearroz_villavicencio_la_cecilia
13/01/2018	0.00	0	31.17	22.22	26.70	23.80	0.66	83.75	601.12	enero	2018	NO	-73.0138	4.013	fedearroz_villavicencio_la_cecilia
14/01/2018	0.00	0	31.72	21.44	26.58	23.35	0.75	82.08	553.23	enero	2018	NO	-73.0138	4.013	fedearroz_villavicencio_la_cecilia
15/01/2018	0.00	0	33.10	22.50	27.80	27.00	0.33	95.12	364.76	enero	2018	SI	-73.0138	4.013	fedearroz_villavicencio_la_cecilia
16/01/2018	0.00	0	30.61	23.94	27.28	25.33	0.45	88.71	275.15	enero	2018	NO	-73.0138	4.013	fedearroz_villavicencio_la_cecilia
17/01/2018	0.80	1	29.83	22.83	26.33	24.45	0.43	88.96	324.08	enero	2018	NO	-73.0138	4.013	fedearroz_villavicencio_la_cecilia
