Date	Rain	rain_days	tmax	tmin	tmean	t_dew_point	vapor_pressure_deficit	rhum	esol	month	year	Modif	x	y	station
01/01/2012	0.00	0	31.44	18.33	24.89	20.47	0.95	76.29	576.88	enero	2012	NO	-72.2103	5.1567	fedearroz_yopal_el_recreo
02/01/2012	0.00	0	31.39	19.11	25.25	21.03	0.91	77.21	565.28	enero	2012	NO	-72.2103	5.1567	fedearroz_yopal_el_recreo
03/01/2012	0.00	0	32.17	20.06	26.12	21.97	0.94	77.67	552.28	enero	2012	NO	-72.2103	5.1567	fedearroz_yopal_el_recreo
04/01/2012	0.00	0	32.61	20.06	26.34	22.07	0.98	77.17	549.80	enero	2012	NO	-72.2103	5.1567	fedearroz_yopal_el_recreo
05/01/2012	0.00	0	31.83	21.50	26.67	22.24	0.95	76.50	459.60	enero	2012	NO	-72.2103	5.1567	fedearroz_yopal_el_recreo
06/01/2012	0.00	0	31.89	20.00	25.95	21.89	0.91	78.08	546.36	enero	2012	NO	-72.2103	5.1567	fedearroz_yopal_el_recreo
07/01/2012	0.00	0	32.56	20.17	26.37	21.44	1.08	74.21	559.17	enero	2012	NO	-72.2103	5.1567	fedearroz_yopal_el_recreo
08/01/2012	0.00	0	31.94	19.28	25.61	21.39	0.94	77.25	567.59	enero	2012	NO	-72.2103	5.1567	fedearroz_yopal_el_recreo
09/01/2012	0.00	0	32.44	19.67	26.06	21.63	1.00	76.38	576.01	enero	2012	NO	-72.2103	5.1567	fedearroz_yopal_el_recreo
10/01/2012	0.00	0	31.83	21.00	26.42	22.79	0.82	80.19	465.71	enero	2012	NO	-72.2103	5.1567	fedearroz_yopal_el_recreo
11/01/2012	0.00	0	32.50	21.11	26.81	22.41	0.99	76.62	563.73	enero	2012	NO	-72.2103	5.1567	fedearroz_yopal_el_recreo
12/01/2012	0.00	0	32.50	23.17	27.84	22.48	1.14	72.55	513.01	enero	2012	NO	-72.2103	5.1567	fedearroz_yopal_el_recreo
13/01/2012	0.00	0	32.06	19.94	26.00	20.17	1.19	70.21	480.83	enero	2012	NO	-72.2103	5.1567	fedearroz_yopal_el_recreo
14/01/2012	0.00	0	32.17	21.33	26.75	21.34	1.13	72.12	570.60	enero	2012	NO	-72.2103	5.1567	fedearroz_yopal_el_recreo
15/01/2012	0.00	0	33.33	21.44	27.39	21.89	1.21	71.88	524.01	enero	2012	NO	-72.2103	5.1567	fedearroz_yopal_el_recreo
16/01/2012	0.00	0	31.94	20.44	26.19	21.17	1.06	73.75	582.12	enero	2012	NO	-72.2103	5.1567	fedearroz_yopal_el_recreo
17/01/2012	0.00	0	31.78	19.67	25.73	20.49	1.08	72.75	544.21	enero	2012	NO	-72.2103	5.1567	fedearroz_yopal_el_recreo
18/01/2012	0.00	0	31.28	22.17	26.73	21.03	1.13	70.92	466.22	enero	2012	NO	-72.2103	5.1567	fedearroz_yopal_el_recreo
19/01/2012	0.00	0	30.78	20.72	25.75	19.77	1.14	69.54	493.46	enero	2012	NO	-72.2103	5.1567	fedearroz_yopal_el_recreo
