Date	Rain	rain_days	tmax	tmin	tmean	t_dew_point	vapor_pressure_deficit	rhum	esol	month	year	Modif	x	y	station
01/01/2017	0.00	0	32.54	20.04	26.29	22.26	0.94	78.25	510.47	enero	2017	SI	-72.2755	4.862	mani
02/01/2017	0.00	0	33.75	20.25	27.00	22.63	1.06	76.79	517.73	enero	2017	SI	-72.2755	4.862	mani
03/01/2017	0.00	0	34.27	20.38	27.32	21.40	1.35	70.04	454.55	enero	2017	SI	-72.2755	4.862	mani
04/01/2017	0.00	0	34.35	21.24	27.79	23.10	1.15	75.45	506.79	enero	2017	SI	-72.2755	4.862	mani
05/01/2017	0.00	0	33.17	20.95	27.06	23.54	0.88	80.76	511.65	enero	2017	SI	-72.2755	4.862	mani
06/01/2017	0.25	1	32.07	19.85	25.96	21.62	0.96	76.76	503.33	enero	2017	SI	-72.2755	4.862	mani
07/01/2017	0.00	0	33.88	21.71	27.80	23.06	1.12	75.23	483.30	enero	2017	SI	-72.2755	4.862	mani
08/01/2017	0.00	0	34.03	21.75	27.89	22.02	1.32	70.34	482.76	enero	2017	SI	-72.2755	4.862	mani
09/01/2017	0.00	0	29.72	22.66	26.19	24.74	0.34	91.37	361.46	enero	2017	SI	-72.2755	4.862	mani
10/01/2017	0.00	0	33.22	20.06	26.64	22.80	0.94	79.20	512.06	enero	2017	SI	-72.2755	4.862	mani
11/01/2017	0.00	0	35.74	21.18	28.46	21.70	1.59	66.80	481.84	enero	2017	SI	-72.2755	4.862	mani
12/01/2017	1.00	1	31.87	20.59	26.23	22.53	0.84	79.76	495.52	enero	2017	SI	-72.2755	4.862	mani
13/01/2017	0.00	0	33.30	20.13	26.72	22.65	0.99	78.12	518.45	enero	2017	SI	-72.2755	4.862	mani
14/01/2017	0.00	0	31.69	21.41	26.55	24.02	0.62	85.58	474.24	enero	2017	SI	-72.2755	4.862	mani
15/01/2017	0.00	0	31.62	20.50	26.06	22.45	0.81	80.20	466.78	enero	2017	SI	-72.2755	4.862	mani
16/01/2017	0.00	0	34.07	21.90	27.99	22.92	1.19	73.82	481.27	enero	2017	SI	-72.2755	4.862	mani
17/01/2017	0.00	0	29.70	21.48	25.59	24.59	0.27	93.85	295.65	enero	2017	SI	-72.2755	4.862	mani
18/01/2017	0.00	0	31.69	20.81	26.25	23.67	0.64	85.30	474.52	enero	2017	SI	-72.2755	4.862	mani
19/01/2017	0.00	0	31.47	20.59	26.03	22.69	0.76	81.49	437.92	enero	2017	SI	-72.2755	4.862	mani
20/01/2017	0.00	0	32.91	19.74	26.33	22.13	0.99	77.45	515.33	enero	2017	SI	-72.2755	4.862	mani
21/01/2017	0.00	0	31.95	21.12	26.54	24.09	0.62	86.00	500.51	enero	2017	SI	-72.2755	4.862	mani
22/01/2017	0.00	0	33.39	21.61	27.50	24.05	0.87	81.14	507.57	enero	2017	SI	-72.2755	4.862	mani
23/01/2017	2.20	1	31.41	21.35	26.38	24.71	0.46	90.15	440.57	enero	2017	SI	-72.2755	4.862	mani
24/01/2017	0.00	0	29.72	21.39	25.56	24.53	0.28	93.68	294.95	enero	2017	SI	-72.2755	4.862	mani
25/01/2017	0.00	0	32.74	20.30	26.52	22.58	0.93	78.69	506.88	enero	2017	SI	-72.2755	4.862	mani
26/01/2017	0.25	1	33.31	21.14	27.23	23.63	0.90	80.37	515.46	enero	2017	SI	-72.2755	4.862	mani
27/01/2017	0.00	0	32.95	22.12	27.54	24.49	0.77	83.12	491.78	enero	2017	SI	-72.2755	4.862	mani
28/01/2017	0.00	0	34.71	21.21	27.96	21.54	1.45	68.11	497.33	enero	2017	SI	-72.2755	4.862	mani
29/01/2017	0.00	0	34.94	21.00	27.97	21.41	1.50	67.51	475.96	enero	2017	SI	-72.2755	4.862	mani
30/01/2017	0.00	0	33.52	21.02	27.27	23.03	1.02	77.41	505.36	enero	2017	SI	-72.2755	4.862	mani
31/01/2017	0.00	0	32.94	20.60	26.77	22.58	0.98	77.57	510.06	enero	2017	SI	-72.2755	4.862	mani
01/02/2017	0.00	0	35.08	22.19	28.63	24.12	1.16	76.36	532.88	febrero	2017	SI	-72.2755	4.862	mani
02/02/2017	0.00	0	34.97	22.14	28.55	23.94	1.17	75.90	530.48	febrero	2017	SI	-72.2755	4.862	mani
03/02/2017	0.00	0	35.07	21.91	28.49	22.40	1.43	69.53	511.16	febrero	2017	SI	-72.2755	4.862	mani
04/02/2017	0.00	0	36.90	21.07	28.98	20.84	1.91	61.51	494.79	febrero	2017	SI	-72.2755	4.862	mani
05/02/2017	0.00	0	36.77	21.11	28.94	20.41	1.95	60.05	496.71	febrero	2017	SI	-72.2755	4.862	mani
06/02/2017	0.00	0	33.15	21.32	27.24	24.10	0.80	82.61	522.88	febrero	2017	SI	-72.2755	4.862	mani
07/02/2017	0.00	0	35.69	20.96	28.32	21.65	1.57	67.13	479.35	febrero	2017	SI	-72.2755	4.862	mani
08/02/2017	0.00	0	32.86	21.03	26.95	22.77	0.97	77.66	509.30	febrero	2017	SI	-72.2755	4.862	mani
09/02/2017	0.00	0	33.18	21.35	27.26	24.05	0.82	82.25	519.27	febrero	2017	SI	-72.2755	4.862	mani
10/02/2017	0.00	0	34.04	20.87	27.45	23.01	1.09	76.51	520.55	febrero	2017	SI	-72.2755	4.862	mani
11/02/2017	0.00	0	34.48	22.25	28.37	25.34	0.84	83.29	523.90	febrero	2017	SI	-72.2755	4.862	mani
12/02/2017	0.00	0	32.81	20.86	26.83	23.86	0.76	83.41	499.31	febrero	2017	SI	-72.2755	4.862	mani
13/02/2017	0.00	0	34.51	20.95	27.73	22.82	1.20	74.46	509.17	febrero	2017	SI	-72.2755	4.862	mani
14/02/2017	0.00	0	34.39	21.50	27.94	22.99	1.19	74.29	511.93	febrero	2017	SI	-72.2755	4.862	mani
15/02/2017	0.00	0	34.70	19.70	27.20	21.15	1.40	69.49	506.78	febrero	2017	SI	-72.2755	4.862	mani
16/02/2017	0.00	0	35.70	20.87	28.28	22.06	1.50	68.97	460.88	febrero	2017	SI	-72.2755	4.862	mani
17/02/2017	0.00	0	34.71	20.65	27.68	21.50	1.42	69.03	480.43	febrero	2017	SI	-72.2755	4.862	mani
18/02/2017	0.00	0	35.00	22.78	28.89	23.43	1.31	72.25	484.35	febrero	2017	SI	-72.2755	4.862	mani
19/02/2017	0.00	0	35.97	23.08	29.53	22.31	1.68	65.20	493.23	febrero	2017	SI	-72.2755	4.862	mani
20/02/2017	0.00	0	33.55	21.55	27.55	24.27	0.85	81.96	519.95	febrero	2017	SI	-72.2755	4.862	mani
21/02/2017	0.00	0	35.76	21.76	28.76	21.90	1.61	66.47	485.26	febrero	2017	SI	-72.2755	4.862	mani
22/02/2017	0.00	0	34.20	21.81	28.00	22.91	1.20	73.71	485.82	febrero	2017	SI	-72.2755	4.862	mani
23/02/2017	0.00	0	36.52	22.69	29.61	22.25	1.75	64.66	470.46	febrero	2017	SI	-72.2755	4.862	mani
24/02/2017	0.00	0	35.66	23.27	29.47	22.52	1.62	66.22	474.29	febrero	2017	SI	-72.2755	4.862	mani
25/02/2017	0.00	0	36.43	22.37	29.40	21.80	1.78	63.67	479.91	febrero	2017	SI	-72.2755	4.862	mani
26/02/2017	0.00	0	33.77	22.55	28.16	23.85	1.04	77.21	464.50	febrero	2017	SI	-72.2755	4.862	mani
27/02/2017	0.00	0	33.86	22.03	27.95	24.31	0.92	80.29	530.15	febrero	2017	SI	-72.2755	4.862	mani
28/02/2017	0.00	0	35.34	22.01	28.67	22.24	1.50	68.18	504.77	febrero	2017	SI	-72.2755	4.862	mani
01/03/2017	0.00	0	36.23	23.46	29.85	22.24	1.77	63.70	493.31	marzo	2017	SI	-72.2755	4.862	mani
02/03/2017	0.00	0	35.62	24.95	30.29	23.23	1.64	65.93	410.91	marzo	2017	SI	-72.2755	4.862	mani
03/03/2017	0.00	0	34.70	25.09	29.89	22.86	1.57	65.96	358.73	marzo	2017	SI	-72.2755	4.862	mani
04/03/2017	0.00	0	34.31	23.20	28.75	24.79	1.00	78.87	494.51	marzo	2017	SI	-72.2755	4.862	mani
05/03/2017	0.00	0	34.92	23.25	29.09	23.73	1.29	72.72	469.95	marzo	2017	SI	-72.2755	4.862	mani
06/03/2017	0.00	0	32.67	23.11	27.89	25.77	0.57	87.86	456.17	marzo	2017	SI	-72.2755	4.862	mani
07/03/2017	0.00	0	29.48	26.31	27.89	23.70	0.84	77.73	298.10	marzo	2017	SI	-72.2755	4.862	mani
08/03/2017	0.00	0	34.86	23.75	29.30	23.11	1.43	69.26	446.27	marzo	2017	SI	-72.2755	4.862	mani
09/03/2017	0.00	0	36.23	24.39	30.31	22.57	1.80	63.30	437.33	marzo	2017	SI	-72.2755	4.862	mani
10/03/2017	0.00	0	31.37	22.59	26.98	25.22	0.46	89.67	397.37	marzo	2017	SI	-72.2755	4.862	mani
11/03/2017	0.00	0	32.62	23.12	27.87	25.49	0.62	86.46	459.21	marzo	2017	SI	-72.2755	4.862	mani
12/03/2017	0.00	0	33.56	20.95	27.26	23.55	0.93	79.88	477.15	marzo	2017	SI	-72.2755	4.862	mani
13/03/2017	0.00	0	34.66	22.71	28.69	22.84	1.36	70.58	477.77	marzo	2017	SI	-72.2755	4.862	mani
14/03/2017	0.00	0	31.66	22.50	27.08	24.80	0.57	86.91	431.80	marzo	2017	SI	-72.2755	4.862	mani
15/03/2017	0.00	0	35.09	20.54	27.82	20.96	1.55	66.29	483.93	marzo	2017	SI	-72.2755	4.862	mani
16/03/2017	0.00	0	35.66	21.21	28.44	21.74	1.57	67.03	482.69	marzo	2017	SI	-72.2755	4.862	mani
17/03/2017	0.00	0	37.21	22.49	29.85	21.98	1.90	62.69	483.59	marzo	2017	SI	-72.2755	4.862	mani
18/03/2017	32.20	1	33.11	22.83	27.97	25.11	0.73	84.05	504.23	marzo	2017	SI	-72.2755	4.862	mani
19/03/2017	0.00	0	36.15	24.15	30.15	22.21	1.82	62.51	438.03	marzo	2017	SI	-72.2755	4.862	mani
20/03/2017	0.00	0	34.42	21.81	28.12	23.25	1.18	74.71	490.33	marzo	2017	SI	-72.2755	4.862	mani
21/03/2017	0.00	0	35.14	23.19	29.16	22.86	1.47	68.77	450.38	marzo	2017	SI	-72.2755	4.862	mani
22/03/2017	0.00	0	32.23	21.40	26.82	24.50	0.61	86.72	505.06	marzo	2017	SI	-72.2755	4.862	mani
