Date	Rain	rain_days	tmax	tmin	tmean	t_dew_point	vapor_pressure_deficit	rhum	esol	month	year	Modif	x	y	station
22/07/2017	0.00	0.00	36.39	23.78	30.09	26.89	0.97	82.64	598.09	julio	2017	NO	-75.2875	10.0202	marialabaja
23/07/2017	0.00	0.00	35.83	21.72	28.78	26.64	0.75	87.83	439.40	julio	2017	NO	-75.2875	10.0202	marialabaja
24/07/2017	0.00	0.00	36.28	24.39	30.34	27.51	0.87	84.50	579.02	julio	2017	NO	-75.2875	10.0202	marialabaja
25/07/2017	0.00	0.00	35.89	24.89	30.39	27.55	0.84	84.42	509.73	julio	2017	NO	-75.2875	10.0202	marialabaja
26/07/2017	0.00	0.00	35.61	25.78	30.70	28.85	0.60	89.50	389.87	julio	2017	NO	-75.2875	10.0202	marialabaja
27/07/2017	0.00	0.00	35.44	24.89	30.17	28.42	0.58	90.00	401.82	julio	2017	NO	-75.2875	10.0202	marialabaja
28/07/2017	0.00	0.00	34.44	25.28	29.86	27.81	0.60	88.38	409.64	julio	2017	NO	-75.2875	10.0202	marialabaja
29/07/2017	0.00	0.00	32.78	25.22	29.00	27.60	0.40	91.79	304.56	julio	2017	NO	-75.2875	10.0202	marialabaja
30/07/2017	0.00	0.00	32.00	25.22	28.61	26.52	0.52	88.04	348.41	julio	2017	NO	-75.2875	10.0202	marialabaja
31/07/2017	0.00	0.00	30.06	24.44	27.25	26.00	0.30	92.50	222.96	julio	2017	NO	-75.2875	10.0202	marialabaja
1/08/2017	0.00	0.00	33.61	24.44	29.03	27.25	0.52	89.75	389.95	agosto	2017	NO	-75.2875	10.0202	marialabaja
2/08/2017	0.00	0.00	34.89	23.61	29.25	27.49	0.58	89.83	500.69	agosto	2017	NO	-75.2875	10.0202	marialabaja
3/08/2017	0.00	0.00	35.67	24.00	29.84	27.27	0.79	85.75	560.72	agosto	2017	NO	-75.2875	10.0202	marialabaja
4/08/2017	0.00	0.00	34.94	24.33	29.64	27.91	0.56	90.08	436.71	agosto	2017	NO	-75.2875	10.0202	marialabaja
5/08/2017	0.00	0.00	31.17	24.11	27.64	25.85	0.44	89.58	294.59	agosto	2017	NO	-75.2875	10.0202	marialabaja
