Date	Rain	rain_days	tmax	tmin	tmean	t_dew_point	vapor_pressure_deficit	rhum	esol	month	year	Modif	x	y	station
01/01/2015	0.00	0	34.28	22.60	28.44	23.37	1.20	73.88	563.52	enero	2015	SI	-71.4198	5.8162	pazdeariporo_casanare
02/01/2015	0.00	0	33.75	21.80	27.77	23.11	1.10	75.58	562.21	enero	2015	SI	-71.4198	5.8162	pazdeariporo_casanare
03/01/2015	0.00	0	31.56	22.20	26.88	23.66	0.73	82.18	519.48	enero	2015	SI	-71.4198	5.8162	pazdeariporo_casanare
04/01/2015	0.00	0	31.84	20.20	26.02	23.49	0.64	85.56	450.13	enero	2015	SI	-71.4198	5.8162	pazdeariporo_casanare
05/01/2015	0.00	0	32.10	21.00	26.55	23.90	0.67	84.97	468.75	enero	2015	SI	-71.4198	5.8162	pazdeariporo_casanare
06/01/2015	0.00	0	32.47	19.80	26.14	22.34	0.90	79.32	531.02	enero	2015	SI	-71.4198	5.8162	pazdeariporo_casanare
07/01/2015	0.00	0	34.55	21.60	28.07	21.88	1.41	69.05	565.20	enero	2015	SI	-71.4198	5.8162	pazdeariporo_casanare
08/01/2015	0.00	0	33.45	22.80	28.13	24.53	0.89	80.54	560.34	enero	2015	SI	-71.4198	5.8162	pazdeariporo_casanare
09/01/2015	0.00	0	34.53	22.40	28.46	24.13	1.09	77.14	564.08	enero	2015	SI	-71.4198	5.8162	pazdeariporo_casanare
10/01/2015	0.00	0	34.08	22.60	28.34	22.99	1.23	72.66	566.37	enero	2015	SI	-71.4198	5.8162	pazdeariporo_casanare
11/01/2015	0.00	0	33.46	22.00	27.73	23.92	0.93	79.47	548.33	enero	2015	SI	-71.4198	5.8162	pazdeariporo_casanare
12/01/2015	0.00	0	31.80	24.00	27.90	25.10	0.66	84.36	505.07	enero	2015	SI	-71.4198	5.8162	pazdeariporo_casanare
13/01/2015	2.00	1	32.26	23.80	28.03	25.32	0.66	84.85	466.95	enero	2015	SI	-71.4198	5.8162	pazdeariporo_casanare
14/01/2015	0.00	0	29.38	24.00	26.69	25.56	0.26	93.17	268.65	enero	2015	SI	-71.4198	5.8162	pazdeariporo_casanare
15/01/2015	0.00	0	32.71	24.80	28.75	25.48	0.78	82.15	499.90	enero	2015	SI	-71.4198	5.8162	pazdeariporo_casanare
16/01/2015	0.00	0	30.67	24.00	27.34	25.79	0.38	90.89	314.30	enero	2015	SI	-71.4198	5.8162	pazdeariporo_casanare
17/01/2015	0.00	0	30.58	23.60	27.09	25.07	0.47	88.32	329.31	enero	2015	SI	-71.4198	5.8162	pazdeariporo_casanare
18/01/2015	0.00	0	30.83	24.20	27.51	25.04	0.56	85.99	376.22	enero	2015	SI	-71.4198	5.8162	pazdeariporo_casanare
19/01/2015	2.40	1	34.90	24.20	29.55	23.14	1.47	68.40	559.13	enero	2015	SI	-71.4198	5.8162	pazdeariporo_casanare
20/01/2015	2.40	1	33.94	23.40	28.67	25.02	0.92	80.33	588.08	enero	2015	SI	-71.4198	5.8162	pazdeariporo_casanare
21/01/2015	0.00	0	31.56	23.20	27.38	23.42	0.86	78.73	547.08	enero	2015	SI	-71.4198	5.8162	pazdeariporo_casanare
22/01/2015	0.00	0	29.79	24.20	26.99	25.69	0.31	92.19	289.72	enero	2015	SI	-71.4198	5.8162	pazdeariporo_casanare
23/01/2015	1.40	1	31.85	23.20	27.52	24.70	0.67	84.19	502.27	enero	2015	SI	-71.4198	5.8162	pazdeariporo_casanare
24/01/2015	0.00	0	31.20	24.00	27.60	24.39	0.71	82.28	441.36	enero	2015	SI	-71.4198	5.8162	pazdeariporo_casanare
25/01/2015	0.00	0	33.50	24.60	29.05	25.34	0.90	80.10	553.72	enero	2015	SI	-71.4198	5.8162	pazdeariporo_casanare
26/01/2015	0.00	0	32.87	24.00	28.44	24.81	0.86	80.43	518.82	enero	2015	SI	-71.4198	5.8162	pazdeariporo_casanare
27/01/2015	0.00	0	34.17	24.20	29.18	23.66	1.27	72.04	546.19	enero	2015	SI	-71.4198	5.8162	pazdeariporo_casanare
28/01/2015	0.00	0	33.55	23.00	28.27	24.03	1.01	77.52	556.91	enero	2015	SI	-71.4198	5.8162	pazdeariporo_casanare
