Date	Rain	rain_days	tmax	tmin	tmean	t_dew_point	vapor_pressure_deficit	rhum	esol	month	year	Modif	x	y	station
1/01/2015	0.00	0	34.69	24.69	29.69	25.98	0.96	80.16	418.70	enero	2015	SI	-73.4799	7.4754	sanalberto_cesar
2/01/2015	0.00	0	34.59	24.09	29.34	25.91	0.91	81.41	445.13	enero	2015	SI	-73.4799	7.4754	sanalberto_cesar
3/01/2015	0.00	0	33.20	24.40	28.80	25.46	0.82	81.81	439.95	enero	2015	SI	-73.4799	7.4754	sanalberto_cesar
4/01/2015	21.80	1	33.82	23.02	28.42	25.12	0.85	81.97	435.65	enero	2015	SI	-73.4799	7.4754	sanalberto_cesar
5/01/2015	0.00	0	32.97	22.87	27.92	24.94	0.75	83.46	443.82	enero	2015	SI	-73.4799	7.4754	sanalberto_cesar
6/01/2015	0.00	0	34.63	22.23	28.43	24.88	0.95	80.79	453.03	enero	2015	SI	-73.4799	7.4754	sanalberto_cesar
7/01/2015	0.00	0	34.52	22.92	28.72	24.96	0.97	79.84	472.01	enero	2015	SI	-73.4799	7.4754	sanalberto_cesar
8/01/2015	0.00	0	35.90	22.00	28.95	24.75	1.16	77.80	467.79	enero	2015	SI	-73.4799	7.4754	sanalberto_cesar
9/01/2015	0.00	0	35.45	23.35	29.40	25.29	1.09	78.28	477.45	enero	2015	SI	-73.4799	7.4754	sanalberto_cesar
10/01/2015	0.00	0	35.87	24.77	30.32	26.45	1.06	79.49	455.77	enero	2015	SI	-73.4799	7.4754	sanalberto_cesar
11/01/2015	0.00	0	34.31	23.71	29.01	25.59	0.89	81.43	480.35	enero	2015	SI	-73.4799	7.4754	sanalberto_cesar
12/01/2015	0.00	0	35.11	23.21	29.16	25.24	1.04	79.15	450.25	enero	2015	SI	-73.4799	7.4754	sanalberto_cesar
13/01/2015	0.00	0	35.98	22.08	29.03	24.67	1.19	77.12	442.03	enero	2015	SI	-73.4799	7.4754	sanalberto_cesar
14/01/2015	21.80	1	34.64	22.34	28.49	24.82	0.97	80.24	443.60	enero	2015	SI	-73.4799	7.4754	sanalberto_cesar
15/01/2015	0.00	0	35.28	21.98	28.63	24.58	1.09	78.48	485.81	enero	2015	SI	-73.4799	7.4754	sanalberto_cesar
16/01/2015	0.00	0	35.09	23.09	29.09	25.10	1.05	78.79	467.86	enero	2015	SI	-73.4799	7.4754	sanalberto_cesar
17/01/2015	0.00	0	36.15	22.85	29.50	24.40	1.33	73.91	414.86	enero	2015	SI	-73.4799	7.4754	sanalberto_cesar
18/01/2015	0.00	0	35.52	23.42	29.47	24.96	1.17	76.50	441.97	enero	2015	SI	-73.4799	7.4754	sanalberto_cesar
19/01/2015	0.00	0	34.81	23.91	29.36	25.78	0.95	80.72	452.42	enero	2015	SI	-73.4799	7.4754	sanalberto_cesar
20/01/2015	0.00	0	35.01	22.71	28.86	25.00	1.02	79.41	456.96	enero	2015	SI	-73.4799	7.4754	sanalberto_cesar
21/01/2015	0.00	0	36.99	24.09	30.54	25.64	1.34	74.97	430.47	enero	2015	SI	-73.4799	7.4754	sanalberto_cesar
22/01/2015	0.00	0	35.92	25.32	30.62	26.20	1.17	77.06	429.56	enero	2015	SI	-73.4799	7.4754	sanalberto_cesar
23/01/2015	0.00	0	35.51	25.01	30.26	25.61	1.19	75.99	405.47	enero	2015	SI	-73.4799	7.4754	sanalberto_cesar
24/01/2015	0.00	0	32.43	24.33	28.38	25.76	0.64	85.30	319.70	enero	2015	SI	-73.4799	7.4754	sanalberto_cesar
25/01/2015	0.00	0	32.12	24.32	28.22	25.31	0.69	83.84	333.85	enero	2015	SI	-73.4799	7.4754	sanalberto_cesar
26/01/2015	0.00	0	35.06	24.16	29.61	25.75	1.01	79.47	483.27	enero	2015	SI	-73.4799	7.4754	sanalberto_cesar
27/01/2015	0.00	0	35.34	23.04	29.19	25.00	1.10	77.90	478.07	enero	2015	SI	-73.4799	7.4754	sanalberto_cesar
28/01/2015	0.00	0	34.31	23.71	29.01	25.59	0.89	81.43	466.83	enero	2015	SI	-73.4799	7.4754	sanalberto_cesar
29/01/2015	0.00	0	36.13	23.03	29.58	24.78	1.27	75.25	442.13	enero	2015	SI	-73.4799	7.4754	sanalberto_cesar
30/01/2015	6.00	1	34.78	22.48	28.63	24.69	1.03	78.98	443.88	enero	2015	SI	-73.4799	7.4754	sanalberto_cesar
31/01/2015	0.00	0	33.47	22.97	28.22	25.12	0.79	82.94	432.79	enero	2015	SI	-73.4799	7.4754	sanalberto_cesar
1/02/2015	0.00	0	34.65	24.25	29.45	25.80	0.95	80.40	444.69	febrero	2015	SI	-73.4799	7.4754	sanalberto_cesar
2/02/2015	0.00	0	35.97	23.47	29.72	25.22	1.20	76.56	430.69	febrero	2015	SI	-73.4799	7.4754	sanalberto_cesar
3/02/2015	0.20	1	34.70	24.30	29.50	25.87	0.95	80.54	442.48	febrero	2015	SI	-73.4799	7.4754	sanalberto_cesar
4/02/2015	0.00	0	36.79	23.19	29.99	24.33	1.48	71.57	409.01	febrero	2015	SI	-73.4799	7.4754	sanalberto_cesar
5/02/2015	0.00	0	33.54	24.54	29.04	25.98	0.77	83.24	389.76	febrero	2015	SI	-73.4799	7.4754	sanalberto_cesar
6/02/2015	0.00	0	36.28	23.58	29.93	25.47	1.21	76.78	462.52	febrero	2015	SI	-73.4799	7.4754	sanalberto_cesar
7/02/2015	0.00	0	36.76	26.06	31.41	26.48	1.32	74.94	407.86	febrero	2015	SI	-73.4799	7.4754	sanalberto_cesar
8/02/2015	0.00	0	36.64	23.04	29.84	24.28	1.45	72.00	416.14	febrero	2015	SI	-73.4799	7.4754	sanalberto_cesar
9/02/2015	0.00	0	37.14	25.24	31.19	26.02	1.40	73.87	412.30	febrero	2015	SI	-73.4799	7.4754	sanalberto_cesar
10/02/2015	0.00	0	36.54	23.94	30.24	25.40	1.30	75.12	432.90	febrero	2015	SI	-73.4799	7.4754	sanalberto_cesar
11/02/2015	0.00	0	37.42	24.72	31.07	25.54	1.50	72.32	410.78	febrero	2015	SI	-73.4799	7.4754	sanalberto_cesar
12/02/2015	0.00	0	35.80	24.70	30.25	26.35	1.06	79.38	450.90	febrero	2015	SI	-73.4799	7.4754	sanalberto_cesar
13/02/2015	0.00	0	36.41	23.71	30.06	25.20	1.30	75.06	431.28	febrero	2015	SI	-73.4799	7.4754	sanalberto_cesar
14/02/2015	0.00	0	35.00	24.80	29.90	26.13	0.99	79.96	435.47	febrero	2015	SI	-73.4799	7.4754	sanalberto_cesar
15/02/2015	0.00	0	34.10	25.40	29.75	26.72	0.79	83.45	397.28	febrero	2015	SI	-73.4799	7.4754	sanalberto_cesar
16/02/2015	0.00	0	34.72	23.02	28.87	24.56	1.09	77.28	418.59	febrero	2015	SI	-73.4799	7.4754	sanalberto_cesar
17/02/2015	0.60	1	33.88	24.38	29.13	26.12	0.78	83.45	421.69	febrero	2015	SI	-73.4799	7.4754	sanalberto_cesar
18/02/2015	0.00	0	34.65	23.55	29.10	25.12	1.02	78.81	466.39	febrero	2015	SI	-73.4799	7.4754	sanalberto_cesar
19/02/2015	0.20	1	36.29	23.99	30.14	25.74	1.20	77.08	470.14	febrero	2015	SI	-73.4799	7.4754	sanalberto_cesar
20/02/2015	0.00	0	35.78	23.98	29.88	25.46	1.17	76.95	443.71	febrero	2015	SI	-73.4799	7.4754	sanalberto_cesar
21/02/2015	0.00	0	36.61	26.21	31.41	26.51	1.31	75.07	420.09	febrero	2015	SI	-73.4799	7.4754	sanalberto_cesar
22/02/2015	0.00	0	35.50	24.70	30.10	25.90	1.10	77.98	458.34	febrero	2015	SI	-73.4799	7.4754	sanalberto_cesar
23/02/2015	0.00	0	34.09	24.49	29.29	26.13	0.82	82.75	418.23	febrero	2015	SI	-73.4799	7.4754	sanalberto_cesar
24/02/2015	0.00	0	35.39	24.59	29.99	25.85	1.09	78.22	455.85	febrero	2015	SI	-73.4799	7.4754	sanalberto_cesar
25/02/2015	0.00	0	33.23	25.13	29.18	26.38	0.71	84.52	330.30	febrero	2015	SI	-73.4799	7.4754	sanalberto_cesar
26/02/2015	0.00	0	36.43	25.53	30.98	26.30	1.25	75.97	430.86	febrero	2015	SI	-73.4799	7.4754	sanalberto_cesar
27/02/2015	0.00	0	33.88	23.48	28.68	25.24	0.88	81.31	444.74	febrero	2015	SI	-73.4799	7.4754	sanalberto_cesar
28/02/2015	0.20	1	36.04	23.34	29.69	24.89	1.26	75.27	426.49	febrero	2015	SI	-73.4799	7.4754	sanalberto_cesar
1/03/2015	0.00	0	34.07	25.07	29.57	26.55	0.79	83.43	396.39	marzo	2015	SI	-73.4799	7.4754	sanalberto_cesar
2/03/2015	0.00	0	35.30	25.60	30.45	26.61	1.01	79.70	443.15	marzo	2015	SI	-73.4799	7.4754	sanalberto_cesar
3/03/2015	0.00	0	38.17	24.07	31.12	25.63	1.55	72.50	412.39	marzo	2015	SI	-73.4799	7.4754	sanalberto_cesar
4/03/2015	0.20	1	32.77	23.57	28.17	25.12	0.75	83.15	419.76	marzo	2015	SI	-73.4799	7.4754	sanalberto_cesar
5/03/2015	0.00	0	33.34	25.84	29.59	25.93	0.88	80.43	354.08	marzo	2015	SI	-73.4799	7.4754	sanalberto_cesar
6/03/2015	0.00	0	33.77	23.17	28.47	25.25	0.83	82.37	450.94	marzo	2015	SI	-73.4799	7.4754	sanalberto_cesar
7/03/2015	0.00	0	37.75	24.25	31.00	25.43	1.53	72.14	406.91	marzo	2015	SI	-73.4799	7.4754	sanalberto_cesar
8/03/2015	0.00	0	35.34	26.14	30.74	27.09	0.98	80.55	411.81	marzo	2015	SI	-73.4799	7.4754	sanalberto_cesar
9/03/2015	0.00	0	35.49	24.69	30.09	25.89	1.10	77.98	451.71	marzo	2015	SI	-73.4799	7.4754	sanalberto_cesar
10/03/2015	0.00	0	34.04	23.94	28.99	25.55	0.88	81.36	434.35	marzo	2015	SI	-73.4799	7.4754	sanalberto_cesar
11/03/2015	0.00	0	29.56	23.86	26.71	24.49	0.48	87.18	238.34	marzo	2015	SI	-73.4799	7.4754	sanalberto_cesar
12/03/2015	0.20	1	32.56	29.06	30.81	25.92	1.12	74.99	285.56	marzo	2015	SI	-73.4799	7.4754	sanalberto_cesar
